id,sent,expected,tokens,logprobs,critical_token_idx,continuation_prob,type
1_dog_affirmative_negation_sref,John owns a dog but Mark doesn't own a dog. The dog is very cute.,1,John|Ġowns|Ġa|Ġdog|Ġbut|ĠMark|Ġdoesn|'t|Ġown|Ġa|Ġdog|.|ĠThe|Ġdog|Ġis|Ġvery|Ġcute|.,"[-10.827788352966309, -1.4094048738479614, -5.5971503257751465, -4.92637300491333, -11.090274810791016, -3.4018468856811523, -0.000436091679148376, -4.975535869598389, -0.6256839632987976, -0.5945083498954773, -0.655897319316864, -3.686997175216675, -1.9595509767532349, -1.5124481916427612, -4.170736789703369, -4.484825134277344, -1.6627222299575806]",11,2.5687008015594363e-08,affirmative_negation_sref
1_dog_affirmative_negation_pref,John owns a dog but Mark doesn't own a dog. The dogs are very cute.,0,John|Ġowns|Ġa|Ġdog|Ġbut|ĠMark|Ġdoesn|'t|Ġown|Ġa|Ġdog|.|ĠThe|Ġdogs|Ġare|Ġvery|Ġcute|.,"[-10.827788352966309, -1.4094048738479614, -5.5971503257751465, -4.92637300491333, -11.090274810791016, -3.4018468856811523, -0.000436091679148376, -4.975535869598389, -0.6256839632987976, -0.5945083498954773, -0.655897319316864, -3.686997175216675, -3.414064407348633, -1.26923668384552, -3.8018674850463867, -4.637308120727539, -1.6308605670928955]",11,9.805381794723655e-09,affirmative_negation_pref
1_dog_affirmative_negation_nonref,John owns a dog but Mark doesn't own a dog. It's not a big deal.,-1,John|Ġowns|Ġa|Ġdog|Ġbut|ĠMark|Ġdoesn|'t|Ġown|Ġa|Ġdog|.|ĠIt|'s|Ġnot|Ġa|Ġbig|Ġdeal|.,"[-10.827788352966309, -1.4094048738479614, -5.5971503257751465, -4.92637300491333, -11.090274810791016, -3.4018468856811523, -0.000436091679148376, -4.975535869598389, -0.6256839632987976, -0.5945083498954773, -0.655897319316864, -3.9776313304901123, -0.6704555153846741, -2.320551633834839, -2.0504870414733887, -2.2388930320739746, -0.1452065408229828, -1.0341956615447998]",11,3.9673160270099144e-06,affirmative_negation_nonref
1_dog_affirmative_affirmative_sref,John owns a dog and Mark owns a different dog. The dog is very cute.,0,John|Ġowns|Ġa|Ġdog|Ġand|ĠMark|Ġowns|Ġa|Ġdifferent|Ġdog|.|ĠThe|Ġdog|Ġis|Ġvery|Ġcute|.,"[-10.827788352966309, -1.4094048738479614, -5.5971503257751465, -2.23222017288208, -11.81657600402832, -3.009568929672241, -0.2546943128108978, -8.607592582702637, -0.9296048283576965, -0.6299935579299927, -3.36445951461792, -2.152130126953125, -1.3625601530075073, -3.746372699737549, -4.283511161804199, -1.5374350547790527]",10,7.20094331241215e-08,affirmative_affirmative_sref
1_dog_affirmative_affirmative_pref,John owns a dog and Mark owns a different dog. The dogs are very cute.,1,John|Ġowns|Ġa|Ġdog|Ġand|ĠMark|Ġowns|Ġa|Ġdifferent|Ġdog|.|ĠThe|Ġdogs|Ġare|Ġvery|Ġcute|.,"[-10.827788352966309, -1.4094048738479614, -5.5971503257751465, -2.23222017288208, -11.81657600402832, -3.009568929672241, -0.2546943128108978, -8.607592582702637, -0.9296048283576965, -0.6299935579299927, -3.36445951461792, -2.9462890625, -1.0477558374404907, -3.1818933486938477, -4.9232282638549805, -1.4785560369491577]",10,4.386355411541882e-08,affirmative_affirmative_pref
1_dog_affirmative_affirmative_nonref,John owns a dog and Mark owns a different dog. It's not a big deal.,-1,John|Ġowns|Ġa|Ġdog|Ġand|ĠMark|Ġowns|Ġa|Ġdifferent|Ġdog|.|ĠIt|'s|Ġnot|Ġa|Ġbig|Ġdeal|.,"[-10.827788352966309, -1.4094048738479614, -5.5971503257751465, -2.23222017288208, -11.81657600402832, -3.009568929672241, -0.2546943128108978, -8.607592582702637, -0.9296048283576965, -0.6299935579299927, -3.7623629570007324, -0.6485620737075806, -2.1108686923980713, -2.066046953201294, -2.420318365097046, -0.10988282412290573, -0.9436197280883789]",10,5.776794617142317e-06,affirmative_affirmative_nonref
1_dog_negation_affirmative_sref,John doesn't own a dog but Mark owns a dog. The dog is very cute.,1,John|Ġdoesn|'t|Ġown|Ġa|Ġdog|Ġbut|ĠMark|Ġowns|Ġa|Ġdog|.|ĠThe|Ġdog|Ġis|Ġvery|Ġcute|.,"[-8.14722728729248, -0.0033622421324253082, -6.44360876083374, -1.2087013721466064, -4.722001075744629, -3.2169036865234375, -10.623108863830566, -6.430892467498779, -0.6297367811203003, -2.1229820251464844, -1.0124298334121704, -3.7993063926696777, -1.8590021133422852, -1.4031572341918945, -3.8123204708099365, -4.267727851867676, -1.53715181350708]",11,5.7088343876330594e-08,negation_affirmative_sref
1_dog_negation_affirmative_pref,John doesn't own a dog but Mark owns a dog. The dogs are very cute.,0,John|Ġdoesn|'t|Ġown|Ġa|Ġdog|Ġbut|ĠMark|Ġowns|Ġa|Ġdog|.|ĠThe|Ġdogs|Ġare|Ġvery|Ġcute|.,"[-8.14722728729248, -0.0033622421324253082, -6.44360876083374, -1.2087013721466064, -4.722001075744629, -3.2169036865234375, -10.623108863830566, -6.430892467498779, -0.6297367811203003, -2.1229820251464844, -1.0124298334121704, -3.7993063926696777, -3.503525733947754, -1.20645272731781, -3.33089017868042, -4.363274574279785, -1.5429410934448242]",11,1.9626390930690826e-08,negation_affirmative_pref
1_dog_negation_affirmative_nonref,John doesn't own a dog but Mark owns a dog. It's not a big deal.,-1,John|Ġdoesn|'t|Ġown|Ġa|Ġdog|Ġbut|ĠMark|Ġowns|Ġa|Ġdog|.|ĠIt|'s|Ġnot|Ġa|Ġbig|Ġdeal|.,"[-8.14722728729248, -0.0033622421324253082, -6.44360876083374, -1.2087013721466064, -4.722001075744629, -3.2169036865234375, -10.623108863830566, -6.430892467498779, -0.6297367811203003, -2.1229820251464844, -1.0124298334121704, -3.7613120079040527, -0.6509162187576294, -2.3320469856262207, -2.001842498779297, -2.2270283699035645, -0.1290254145860672, -1.069406270980835]",11,5.17548363812222e-06,negation_affirmative_nonref
1_dog_negation_negation_sref,John doesn't own a dog and Mark doesn't own a dog either. The dog is very cute.,0,John|Ġdoesn|'t|Ġown|Ġa|Ġdog|Ġand|ĠMark|Ġdoesn|'t|Ġown|Ġa|Ġdog|Ġeither|.|ĠThe|Ġdog|Ġis|Ġvery|Ġcute|.,"[-8.14722728729248, -0.0033622421324253082, -6.44360876083374, -1.2087013721466064, -4.722001075744629, -2.51806640625, -10.970075607299805, -2.4421236515045166, -0.00041631137719377875, -1.4798879623413086, -0.17604124546051025, -1.7910629510879517, -4.536686420440674, -0.7158287763595581, -3.339028835296631, -2.988333225250244, -1.7451525926589966, -4.974889755249023, -4.80435848236084, -1.9305710792541504]",14,2.562368092075928e-09,negation_negation_sref
