id,sent,expected,tokens,logprobs,critical_token_idx,continuation_prob,type
1_dog_affirmative_negation_sref,John owns a dog but Mark doesn't own a dog. The dog is very cute.,1,John| owns| a| dog| but| Mark| doesn|'t| own| a| dog|.| The| dog| is| very| cute|.,"[-10.587941, -1.2843908, -4.967986, -5.3478994, -10.792312, -2.0262918, -0.6294599, -2.4556558, -0.21975634, -0.19238633, -0.8429295, -3.626873, -2.025817, -1.2119052, -4.516784, -3.5854452, -1.4708083]",11,7.264852862937297e-08,affirmative_negation_sref
1_dog_affirmative_negation_pref,John owns a dog but Mark doesn't own a dog. The dogs are very cute.,0,John| owns| a| dog| but| Mark| doesn|'t| own| a| dog|.| The| dogs| are| very| cute|.,"[-10.587941, -1.2843908, -4.967986, -5.3478994, -10.792312, -2.0262918, -0.6294599, -2.4556558, -0.21975634, -0.19238633, -0.8429295, -3.626873, -3.4619665, -1.1918988, -4.031809, -5.307884, -1.5140058]",11,4.898008710691447e-09,affirmative_negation_pref
1_dog_affirmative_negation_nonref,John owns a dog but Mark doesn't own a dog. It's not a big deal.,-1,John| owns| a| dog| but| Mark| doesn|'t| own| a| dog|.| It|'s| not| a| big| deal|.,"[-10.587941, -1.2843908, -4.967986, -5.3478994, -10.792312, -2.0262918, -0.6294599, -2.4556558, -0.21975634, -0.19238633, -0.8429295, -4.1274157, -0.46126747, -2.3219905, -1.7270293, -2.573269, -0.4397838, -1.204025]",11,2.6136031537273008e-06,affirmative_negation_nonref
1_dog_affirmative_affirmative_sref,John owns a dog and Mark owns a different dog. The dog is very cute.,0,John| owns| a| dog| and| Mark| owns| a| different| dog|.| The| dog| is| very| cute|.,"[-10.587941, -1.2843908, -4.967986, -2.4812374, -11.964514, -0.59841895, -0.14194216, -8.360438, -0.57943535, -0.64596564, -2.9412072, -1.7378851, -2.508647, -3.8733284, -4.609643, -1.8170624]",10,2.541889352160739e-08,affirmative_affirmative_sref
1_dog_affirmative_affirmative_pref,John owns a dog and Mark owns a different dog. The dogs are very cute.,1,John| owns| a| dog| and| Mark| owns| a| different| dog|.| The| dogs| are| very| cute|.,"[-10.587941, -1.2843908, -4.967986, -2.4812374, -11.964514, -0.59841895, -0.14194216, -8.360438, -0.57943535, -0.64596564, -2.9412072, -1.9591604, -1.2652708, -3.1402407, -6.309837, -1.784811]",10,2.7736208813028463e-08,affirmative_affirmative_pref
1_dog_affirmative_affirmative_nonref,John owns a dog and Mark owns a different dog. It's not a big deal.,-1,John| owns| a| dog| and| Mark| owns| a| different| dog|.| It|'s| not| a| big| deal|.,"[-10.587941, -1.2843908, -4.967986, -2.4812374, -11.964514, -0.59841895, -0.14194216, -8.360438, -0.57943535, -0.64596564, -4.779624, -1.7272397, -2.1670349, -1.8114371, -2.1244144, -0.26957485, -1.2077011]",10,7.62223474983266e-07,affirmative_affirmative_nonref
1_dog_negation_affirmative_sref,John doesn't own a dog but Mark owns a dog. The dog is very cute.,1,John| doesn|'t| own| a| dog| but| Mark| owns| a| dog|.| The| dog| is| very| cute|.,"[-8.541175, -0.65515256, -6.331666, -1.3871005, -3.7860322, -2.9854052, -11.108945, -3.6713712, -0.6486593, -1.1607841, -1.4868612, -3.782723, -1.6018996, -1.0716615, -3.8809068, -3.6829824, -1.2716997]",11,2.284672415292795e-07,negation_affirmative_sref
1_dog_negation_affirmative_pref,John doesn't own a dog but Mark owns a dog. The dogs are very cute.,0,John| doesn|'t| own| a| dog| but| Mark| owns| a| dog|.| The| dogs| are| very| cute|.,"[-8.541175, -0.65515256, -6.331666, -1.3871005, -3.7860322, -2.9854052, -11.108945, -3.6713712, -0.6486593, -1.1607841, -1.4868612, -3.782723, -3.2131457, -1.1891853, -3.0851867, -4.8130226, -1.3340226]",11,2.7275256528780338e-08,negation_affirmative_pref
1_dog_negation_affirmative_nonref,John doesn't own a dog but Mark owns a dog. It's not a big deal.,-1,John| doesn|'t| own| a| dog| but| Mark| owns| a| dog|.| It|'s| not| a| big| deal|.,"[-8.541175, -0.65515256, -6.331666, -1.3871005, -3.7860322, -2.9854052, -11.108945, -3.6713712, -0.6486593, -1.1607841, -1.4868612, -3.914184, -0.37335926, -2.3278542, -1.6474607, -2.6629028, -0.5867455, -1.1347712]",11,3.2163040763930144e-06,negation_affirmative_nonref
1_dog_negation_negation_sref,John doesn't own a dog and Mark doesn't own a dog either. The dog is very cute.,0,John| doesn|'t| own| a| dog| and| Mark| doesn|'t| own| a| dog| either|.| The| dog| is| very| cute|.,"[-8.541175, -0.65515256, -6.331666, -1.3871005, -3.7860322, -3.1589444, -9.900236, -1.4375606, -0.016753338, -1.0527673, -0.18876077, -3.2659833, -2.5021098, -0.8775257, -3.5791411, -2.6717293, -1.599059, -5.4182057, -3.5565655, -1.9814031]",14,6.801628963478331e-09,negation_negation_sref
