id,type,sample,order,model,prompt,generation,tokens,log_probs
1_dog_affirmative_negation_ref,affirmative_negation,1,1,GPT-3,John owns a dog but he doesn't own a cat. The,John owns a dog but he doesn't own a cat. The man who lives next to John owns a cat but he doesn't own a dog.,"John| owns| a| dog| but| he| doesn|'t| own| a| cat|.| The| man| who| lives| next| to| John| owns| a| cat| but| he| doesn|'t| own| a| dog|.|
|
|There| is| a| third| neighbour",-12.051482|-1.2382514|-5.7370644|-4.920744|-1.5216742|-1.3281742|-0.3998293|-1.5751002|-0.6204402|-0.8694516|-0.5306297|-5.128024|-2.745958|-1.1603143|-1.3607469|-0.3276267|-1.9087473|-0.55163735|-1.0469651|-0.124332875|-0.24562375|-0.27336317|-0.062060226|-0.008251365|-0.0014508892|-0.011168533|-0.0028730948|-0.013810645|-0.05127609|-1.9308901|-0.00076377817|-4.521354|-0.94076425|-0.9122188|-4.010007|-2.2745035
1_dog_affirmative_negation_ref,affirmative_negation,2,1,GPT-3,John owns a dog but he doesn't own a cat. The,John owns a dog but he doesn't own a cat. The cat is under that table.,John| owns| a| dog| but| he| doesn|'t| own| a| cat|.| The| cat| is| under| that| table|.| The| cat,-12.051482|-1.2382514|-5.7370644|-4.920744|-1.5216742|-1.3281742|-0.3998293|-1.5751002|-0.6204402|-0.8694516|-0.5306297|-5.128024|-2.256972|-0.9177032|-5.196053|-5.4329095|-0.7317057|-0.21431|-2.0370467|-0.94133264
1_dog_affirmative_negation_ref,affirmative_negation,1,2,GPT-3,John owns a cat but he doesn't own a dog. The,John owns a cat but he doesn't own a dog. The man who lives next to John owns a dog but he doesn't own a cat.,"John| owns| a| cat| but| he| doesn|'t| own| a| dog|.| The| man| who| lives| next| to| John| owns| a| dog| but| he| doesn|'t| own| a| cat|.|
|
|There| is| a| dog| on",-12.05116|-1.2420322|-7.1957684|-4.788952|-1.6271218|-1.2838439|-0.4080258|-1.2337731|-0.6870447|-0.60448265|-0.5327923|-5.0158496|-2.8843129|-1.2165502|-1.2105343|-0.3117167|-2.0053341|-0.6014419|-1.0567931|-0.098777875|-0.10309201|-0.34830505|-0.10776626|-0.010800319|-0.0011604707|-0.011627264|-0.0034130847|-0.0438375|-0.045048434|-1.919142|-0.0008248027|-4.6133676|-0.96007717|-0.9008285|-2.5026934|-2.8240652
1_dog_affirmative_negation_ref,affirmative_negation,2,2,GPT-3,John owns a cat but he doesn't own a dog. The,John owns a cat but he doesn't own a dog. The cat is under the table.,John| owns| a| cat| but| he| doesn|'t| own| a| dog|.| The| cat| is| under| the| table|.| The| cat,-12.05116|-1.2420322|-7.1957684|-4.788952|-1.6271218|-1.2838439|-0.4080258|-1.2337731|-0.6870447|-0.60448265|-0.5327923|-5.0158496|-1.1459746|-0.80800116|-5.4213533|-0.06667363|-0.2908746|-0.4094595|-0.752944|-1.5388793
1_dog_negation_affirmative_ref,negation_affirmative,1,1,GPT-3,John doesn't own a dog but he owns a cat. The,John doesn't own a dog but he owns a cat. The cat's name is Jack.,John| doesn|'t| own| a| dog| but| he| owns| a| cat|.| The| cat|'s| name| is| Jack|.| John| is,-9.115577|-0.37893808|-5.7252364|-0.73854506|-5.002133|-2.8206055|-1.1332376|-3.8142767|-0.472214|-1.223881|-0.9752444|-3.2388806|-0.28727463|-1.4450732|-0.05803241|-0.0095580965|-4.133821|-0.22376122|-1.4525585|-2.2566566
1_dog_negation_affirmative_ref,negation_affirmative,2,1,GPT-3,John doesn't own a dog but he owns a cat. The,"John doesn't own a dog but he owns a cat. The cat is named ""May"".","John| doesn|'t| own| a| dog| but| he| owns| a| cat|.| The| cat| is| named| ""|May|"".| John|'s",-9.115577|-0.37893808|-5.7252364|-0.73854506|-5.002133|-2.8206055|-1.1332376|-3.8142767|-0.472214|-1.223881|-0.9752444|-3.2388806|-0.28727496|-0.87062997|-3.0535183|-3.34581|-6.2453566|-1.3388803|-1.420009|-1.9772235
1_dog_negation_affirmative_ref,negation_affirmative,1,2,GPT-3,John doesn't own a cat but he owns a dog. The,John doesn't own a cat but he owns a dog. The dog's name is Jack.,John| doesn|'t| own| a| cat| but| he| owns| a| dog|.| The| dog|'s| name| is| Jack|.| John| is,-9.114979|-0.37865043|-5.7253046|-0.741589|-5.2530923|-3.2711685|-1.0908581|-3.4628217|-0.5055856|-1.4237797|-0.9936084|-3.3226655|-0.39265054|-1.2301565|-0.03866718|-0.008692343|-3.0155287|-0.22933942|-1.2717303|-2.2708902
1_dog_negation_affirmative_ref,negation_affirmative,2,2,GPT-3,John doesn't own a cat but he owns a dog. The,John doesn't own a cat but he owns a dog. The dog is brown.,John| doesn|'t| own| a| cat| but| he| owns| a| dog|.| The| dog| is| brown|.| John| is| not| brown,-9.114979|-0.37865043|-5.7253046|-0.741589|-5.2530923|-3.2711685|-1.0908581|-3.4628217|-0.5055856|-1.4237797|-0.9936084|-3.3226655|-0.39265168|-0.87287205|-2.6944592|-0.62919456|-1.48594|-2.3546057|-2.4926155|-1.4584268
1_dog_know_doubt_ref,know_doubt,1,1,GPT-3,I know that John owns a dog but I doubt that he owns a cat. The,I know that John owns a dog but I doubt that he owns a cat. The first sentence is explicit in the sense that it provides a subject (John) and a verb (owns).,I| know| that| John| owns| a| dog| but| I| doubt| that| he| owns| a| cat|.| The| first| sentence| is| explicit| in| the| sense| that| it| provides| a| subject| (|John|)| and| a| verb| (|own|s|).| The| second,-4.261835|-2.3904634|-7.7225227|-8.212586|-1.0011188|-5.4446015|-3.627906|-0.6522559|-5.840863|-0.77155674|-0.6494139|-2.050045|-0.4504503|-1.1457427|-0.64499325|-4.876293|-4.2145963|-1.8998904|-1.1814784|-6.9607644|-2.5572746|-2.3563523|-2.2341366|-0.023971748|-0.6414499|-3.2904782|-1.9020196|-4.53636|-1.8534294|-0.2700323|-0.24424215|-0.33566156|-0.25052807|-0.7545036|-0.13890703|-0.04840357|-0.07297331|-0.8685309|-0.9040247|-0.18660107
1_dog_know_doubt_ref,know_doubt,2,1,GPT-3,I know that John owns a dog but I doubt that he owns a cat. The,I know that John owns a dog but I doubt that he owns a cat. The cat is not John's dog.,"I| know| that| John| owns| a| dog| but| I| doubt| that| he| owns| a| cat|.| The| cat| is| not| John|'s| dog|.|
",-4.261835|-2.3904634|-7.7225227|-8.212586|-1.0011188|-5.4446015|-3.627906|-0.6522559|-5.840863|-0.77155674|-0.6494139|-2.050045|-0.4504503|-1.1457427|-0.64499325|-4.876293|-2.5029628|-0.92526597|-2.904384|-2.15086|-0.59549993|-2.8782535|-0.3343542|-1.0381763
1_dog_know_doubt_ref,know_doubt,1,2,GPT-3,I know that John owns a cat but I doubt that he owns a dog. The,I know that John owns a cat but I doubt that he owns a dog. The cat is the only animal (that) John owns.,"I| know| that| John| owns| a| cat| but| I| doubt| that| he| owns| a| dog|.| The| cat| is| the| only| animal| (|that|)| John| owns|.|
|
|The| cat| is",-4.2620225|-2.3903484|-7.724775|-8.196027|-1.0020491|-6.7764654|-3.838142|-0.7511319|-5.6096973|-0.72944933|-0.69108063|-1.4804169|-0.4731692|-1.0109202|-0.7441541|-4.8604417|-2.0001829|-0.9823091|-3.7845705|-1.5650213|-1.0176555|-6.4943132|-0.8001986|-0.15271486|-0.44685435|-0.187621|-0.16726603|-0.81356585|-0.00083065045|-2.0929666|-1.2247475|-0.168313
