id,sentence,type,pronoun,tokens,log_probs
1_dog_affirmative,John owns a dog and it follows him everywhere he goes.,affirmative,it,John|##owns|##a|##dog|##and|##it|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-9.888465|-11.115249|-8.7470455|-7.977882|-7.252852|-9.330764|-13.434837|-11.880599|-7.292184|-14.577328|-12.749828|-10.354629|-11.537975
1_dog_affirmative,John owns a dog and it's not a big deal.,affirmative,subj,John|##owns|##a|##dog|##and|##it|'s|##not|##a|##big|##deal|.|<|endoftext|>,-9.888465|-11.115249|-8.7470455|-7.977882|-7.252852|-9.330764|-9.999666|-7.8600793|-9.036219|-6.7681756|-12.849034|-10.489176|-11.632682
1_dog_negated,John doesn't own a dog and it follows him everywhere he goes.,negated,it,John|##doesn|'t|##own|##a|##dog|##and|##it|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-9.888465|-10.518708|-11.227|-10.666261|-10.10988|-8.71361|-7.6008205|-9.915703|-12.961265|-11.824137|-7.403517|-14.314369|-13.483311|-10.62784|-11.401314
1_dog_negated,John doesn't own a dog and it's not a big deal.,negated,subj,John|##doesn|'t|##own|##a|##dog|##and|##it|'s|##not|##a|##big|##deal|.|<|endoftext|>,-9.888465|-10.518708|-11.227|-10.666261|-10.10988|-8.71361|-7.6008205|-9.915703|-10.412527|-7.8547344|-9.700596|-8.597493|-12.818396|-10.659039|-11.397681
1_dog_know,I know that John owns a dog. It follows him everywhere he goes.,know,it,I|##know|##that|##John|##owns|##a|##dog|.|##It|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-8.60888|-11.017691|-5.189841|-6.093276|-12.129921|-9.08379|-7.3545294|-10.691532|-13.922829|-11.466543|-11.416786|-8.968712|-14.009111|-13.460178|-10.675138|-11.573181
1_dog_know,I know that John owns a dog. It's not a big deal.,know,subj,I|##know|##that|##John|##owns|##a|##dog|.|##It|'s|##not|##a|##big|##deal|.|<|endoftext|>,-8.60888|-11.017691|-5.189841|-6.093276|-12.129921|-9.08379|-7.3545294|-10.691532|-13.922829|-11.219341|-7.5269885|-8.969157|-6.754636|-13.627746|-10.781946|-11.741965
1_dog_doubt,I doubt that John owns a dog. It follows him everywhere he goes.,doubt,it,I|##doubt|##that|##John|##owns|##a|##dog|.|##It|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-8.60888|-11.764902|-4.967761|-6.26463|-12.6733465|-9.32168|-8.3403225|-10.2859745|-13.515341|-11.043773|-10.220753|-8.665668|-13.102788|-13.158734|-10.309336|-11.583663
1_dog_doubt,I doubt that John owns a dog. It's not a big deal.,doubt,subj,I|##doubt|##that|##John|##owns|##a|##dog|.|##It|'s|##not|##a|##big|##deal|.|<|endoftext|>,-8.60888|-11.764902|-4.967761|-6.26463|-12.6733465|-9.32168|-8.3403225|-10.2859745|-13.515341|-10.902868|-7.755032|-10.037851|-8.258484|-13.457127|-10.700992|-11.696726
1_dog_modal,John wants to own a dog and it follows him everywhere he goes.,modal,it,John|##wants|##to|##own|##a|##dog|##and|##it|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-9.888465|-11.41762|-8.600998|-9.915765|-9.288921|-6.6353726|-7.2123194|-9.324105|-12.383934|-10.549925|-7.514959|-14.071583|-12.320148|-10.188886|-11.518676
1_dog_modal,John wants to own a dog and it's not a big deal.,modal,subj,John|##wants|##to|##own|##a|##dog|##and|##it|'s|##not|##a|##big|##deal|.|<|endoftext|>,-9.888465|-11.41762|-8.600998|-9.915765|-9.288921|-6.6353726|-7.2123194|-9.324105|-10.3068285|-7.722676|-9.239872|-8.094454|-11.706686|-10.620028|-11.618925
