id,sentence,type,expected,order,tokens,log_probs
1_dog_affirmative_negation_ref,John owns a dog but he doesn't own a cat. His dog follows him everywhere he goes.,affirmative_negation,1,1,John|##owns|##a|##dog|##but|##he|##doesn|'t|##own|##a|##cat|.|##His|##dog|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-9.888465|-11.115249|-8.7470455|-7.977882|-9.008975|-9.492973|-16.79211|-11.957631|-11.05182|-10.002239|-9.179492|-10.356817|-13.505863|-8.060687|-13.030556|-12.197426|-7.3406568|-14.839666|-13.635079|-10.665468|-11.61435
1_dog_affirmative_negation_ref,John owns a dog but he doesn't own a cat. His cat follows him everywhere he goes.,affirmative_negation,0,1,John|##owns|##a|##dog|##but|##he|##doesn|'t|##own|##a|##cat|.|##His|##cat|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-9.888465|-11.115249|-8.7470455|-7.977882|-9.008975|-9.492973|-16.79211|-11.957631|-11.05182|-10.002239|-9.179492|-10.356817|-13.505863|-7.529589|-13.486559|-12.023739|-7.209546|-14.820522|-13.595621|-10.485731|-11.585195
1_dog_affirmative_negation_nonref,John owns a dog but he doesn't own a cat. The cat that he liked had been adopted by someone else.,affirmative_negation,1,1,John|##owns|##a|##dog|##but|##he|##doesn|'t|##own|##a|##cat|.|##The|##cat|##that|##he|##liked|##had|##been|##adopted|##by|##someone|##else|.|<|endoftext|>,-9.888465|-11.115249|-8.7470455|-7.977882|-9.008975|-9.492973|-16.79211|-11.957631|-11.05182|-10.002239|-9.179492|-10.356817|-11.325887|-7.5825787|-8.208792|-9.912172|-7.085491|-5.7891064|-8.822624|-13.049563|-11.189192|-11.034584|-9.951129|-10.671677|-11.645519
1_dog_affirmative_negation_nonref,John owns a dog but he doesn't own a cat. The dog that he liked had been adopted by someone else.,affirmative_negation,0,1,John|##owns|##a|##dog|##but|##he|##doesn|'t|##own|##a|##cat|.|##The|##dog|##that|##he|##liked|##had|##been|##adopted|##by|##someone|##else|.|<|endoftext|>,-9.888465|-11.115249|-8.7470455|-7.977882|-9.008975|-9.492973|-16.79211|-11.957631|-11.05182|-10.002239|-9.179492|-10.356817|-11.325887|-8.874128|-8.244651|-9.879629|-7.3930106|-5.7169533|-8.831955|-13.007068|-11.282316|-11.170277|-10.014306|-10.717345|-11.673456
1_dog_affirmative_negation_ref,John owns a cat but he doesn't own a dog. His cat follows him everywhere he goes.,affirmative_negation,1,2,John|##owns|##a|##cat|##but|##he|##doesn|'t|##own|##a|##dog|.|##His|##cat|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-9.888465|-11.115249|-8.7470455|-8.979879|-9.240984|-9.419248|-16.846668|-11.726143|-10.995839|-10.246005|-10.444683|-10.445053|-13.3998|-7.130508|-13.438175|-12.259719|-7.0842667|-14.904912|-13.350563|-10.538464|-11.594055
1_dog_affirmative_negation_ref,John owns a cat but he doesn't own a dog. His dog follows him everywhere he goes.,affirmative_negation,0,2,John|##owns|##a|##cat|##but|##he|##doesn|'t|##own|##a|##dog|.|##His|##dog|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-9.888465|-11.115249|-8.7470455|-8.979879|-9.240984|-9.419248|-16.846668|-11.726143|-10.995839|-10.246005|-10.444683|-10.445053|-13.3998|-7.8351035|-13.030538|-12.076479|-7.063126|-14.781942|-13.450321|-10.484144|-11.502568
1_dog_affirmative_negation_nonref,John owns a cat but he doesn't own a dog. The dog that he liked had been adopted by someone else.,affirmative_negation,1,2,John|##owns|##a|##cat|##but|##he|##doesn|'t|##own|##a|##dog|.|##The|##dog|##that|##he|##liked|##had|##been|##adopted|##by|##someone|##else|.|<|endoftext|>,-9.888465|-11.115249|-8.7470455|-8.979879|-9.240984|-9.419248|-16.846668|-11.726143|-10.995839|-10.246005|-10.444683|-10.445053|-11.354992|-8.163771|-8.201031|-9.809896|-7.5779943|-5.754606|-8.805116|-12.860003|-11.219235|-11.187527|-9.980053|-10.630212|-11.594249
1_dog_affirmative_negation_nonref,John owns a cat but he doesn't own a dog. The cat that he liked had been adopted by someone else.,affirmative_negation,0,2,John|##owns|##a|##cat|##but|##he|##doesn|'t|##own|##a|##dog|.|##The|##cat|##that|##he|##liked|##had|##been|##adopted|##by|##someone|##else|.|<|endoftext|>,-9.888465|-11.115249|-8.7470455|-8.979879|-9.240984|-9.419248|-16.846668|-11.726143|-10.995839|-10.246005|-10.444683|-10.445053|-11.354992|-7.591624|-8.549767|-9.693304|-7.274572|-5.5343537|-8.762522|-12.8917|-11.254004|-11.106619|-9.999852|-10.624332|-11.650707
1_dog_negation_affirmative_ref,John doesn't own a dog but he owns a cat. His cat follows him everywhere he goes.,negation_affirmative,1,1,John|##doesn|'t|##own|##a|##dog|##but|##he|##owns|##a|##cat|.|##His|##cat|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-9.888465|-10.518708|-11.227|-10.666261|-10.10988|-8.71361|-9.736197|-9.505437|-12.800133|-9.397233|-9.519599|-10.752347|-14.055038|-7.3810863|-12.894413|-12.512781|-7.3402996|-14.761953|-13.718596|-10.552054|-11.640051
1_dog_negation_affirmative_ref,John doesn't own a dog but he owns a cat. His dog follows him everywhere he goes.,negation_affirmative,0,1,John|##doesn|'t|##own|##a|##dog|##but|##he|##owns|##a|##cat|.|##His|##dog|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-9.888465|-10.518708|-11.227|-10.666261|-10.10988|-8.71361|-9.736197|-9.505437|-12.800133|-9.397233|-9.519599|-10.752347|-14.055038|-8.257298|-12.772362|-12.218721|-7.418117|-14.799354|-13.826193|-10.725326|-11.591515
