id,type,sample,order,model,prompt,generation
1_dog_affirmative_negation_ref,affirmative_negation,1,1,gpt2-xl,John owns a dog but he doesn't own a cat. The,"John owns a dog but he doesn't own a cat. The cat is named Piggly Wiggly, and it's named after the character who is featured on the first episode of the TV show, ""Scooby Doo"" (which I found was actually called ""The Adventures of Lazer Team"")."
1_dog_affirmative_negation_ref,affirmative_negation,2,1,gpt2-xl,John owns a dog but he doesn't own a cat. The,"John owns a dog but he doesn't own a cat. The cat must be ""naughty,"" he says, and so they're put out the window."
1_dog_affirmative_negation_ref,affirmative_negation,1,2,gpt2-xl,John owns a cat but he doesn't own a dog. The,"John owns a cat but he doesn't own a dog. The cat has his ID - he pays for that in full, but he doesn't own the dog, because he hasn't signed the dog license."
1_dog_affirmative_negation_ref,affirmative_negation,2,2,gpt2-xl,John owns a cat but he doesn't own a dog. The,John owns a cat but he doesn't own a dog. The animal has been known to visit him at least as far back as the summer of 2007.
1_dog_negation_affirmative_ref,negation_affirmative,1,1,gpt2-xl,John doesn't own a dog but he owns a cat. The,John doesn't own a dog but he owns a cat. The cat knows about the dog and will do nothing with us.
1_dog_negation_affirmative_ref,negation_affirmative,2,1,gpt2-xl,John doesn't own a dog but he owns a cat. The,John doesn't own a dog but he owns a cat. The cat has always loved him back.
1_dog_negation_affirmative_ref,negation_affirmative,1,2,gpt2-xl,John doesn't own a cat but he owns a dog. The,"John doesn't own a cat but he owns a dog. The name of the dog is Moochie, and he is a 10-year-old English terrier."
1_dog_negation_affirmative_ref,negation_affirmative,2,2,gpt2-xl,John doesn't own a cat but he owns a dog. The,"John doesn't own a cat but he owns a dog. The black dog is named Biscuit and the black cat is named Peanut"" [Laughter]

So that's the gist of it, the whole ""Peanut"" thing."
1_dog_know_doubt_ref,know_doubt,1,1,gpt2-xl,I know that John owns a dog but I doubt that he owns a cat. The,"I know that John owns a dog but I doubt that he owns a cat. The chances are, neither does this cat."
1_dog_know_doubt_ref,know_doubt,2,1,gpt2-xl,I know that John owns a dog but I doubt that he owns a cat. The,I know that John owns a dog but I doubt that he owns a cat. The dogs and cats are for him to keep when he's with his family.
1_dog_know_doubt_ref,know_doubt,1,2,gpt2-xl,I know that John owns a cat but I doubt that he owns a dog. The,I know that John owns a cat but I doubt that he owns a dog. The dog would have been around for some years before John could have bought a pet.
1_dog_know_doubt_ref,know_doubt,2,2,gpt2-xl,I know that John owns a cat but I doubt that he owns a dog. The,I know that John owns a cat but I doubt that he owns a dog. The cat wouldn't be allowed to roam freely.
1_dog_doubt_know_ref,doubt_know,1,1,gpt2-xl,I doubt that John owns a dog but I know that he owns a cat. The,"I doubt that John owns a dog but I know that he owns a cat. The cat will be able to sniff out John's car as it passes a house, thereby alerting John that the cat should be allowed into the house."
1_dog_doubt_know_ref,doubt_know,2,1,gpt2-xl,I doubt that John owns a dog but I know that he owns a cat. The,"I doubt that John owns a dog but I know that he owns a cat. The cat I think was a kitten at first, possibly a kitten named Roo, but now I'm not so sure."
1_dog_doubt_know_ref,doubt_know,1,2,gpt2-xl,I doubt that John owns a cat but I know that he owns a dog. The,I doubt that John owns a cat but I know that he owns a dog. The dog is part of his family.
1_dog_doubt_know_ref,doubt_know,2,2,gpt2-xl,I doubt that John owns a cat but I know that he owns a dog. The,I doubt that John owns a cat but I know that he owns a dog. The dog is named Charlie (it may not be the case but I had a cat before I had a dog) and it's always sitting beside John as he comes and goes.
1_dog_affirmative_modal_ref,affirmative_modal,1,1,gpt2-xl,John owns a dog but he wants to own a cat. The,"John owns a dog but he wants to own a cat. The woman doesn't want the father to be a dog owner, but the woman has three boys."
1_dog_affirmative_modal_ref,affirmative_modal,2,1,gpt2-xl,John owns a dog but he wants to own a cat. The,"John owns a dog but he wants to own a cat. The answer, unfortunately, is you cannot change your DNA and the law will determine who becomes a cat at birth."
1_dog_affirmative_modal_ref,affirmative_modal,1,2,gpt2-xl,John owns a cat but he wants to own a dog. The,"John owns a cat but he wants to own a dog. The problem is that the local council says that cats cannot be kept inside, and that no dog can be kept inside either."
1_dog_affirmative_modal_ref,affirmative_modal,2,2,gpt2-xl,John owns a cat but he wants to own a dog. The,"John owns a cat but he wants to own a dog. The cat is healthy, friendly, and active."
1_dog_modal_affirmative_ref,modal_affirmative,1,1,gpt2-xl,John wants to own a dog but he owns a cat. The,"John wants to own a dog but he owns a cat. The cat is a ""stubborn, loyal little monster"" and John's wife is dead broke."
1_dog_modal_affirmative_ref,modal_affirmative,2,1,gpt2-xl,John wants to own a dog but he owns a cat. The,John wants to own a dog but he owns a cat. The cat is getting on my nerves.
1_dog_modal_affirmative_ref,modal_affirmative,1,2,gpt2-xl,John wants to own a cat but he owns a dog. The,John wants to own a cat but he owns a dog. The dog doesn't look like his favorite kitty.
1_dog_modal_affirmative_ref,modal_affirmative,2,2,gpt2-xl,John wants to own a cat but he owns a dog. The,"John wants to own a cat but he owns a dog. The story takes place after Mary is married and the groom has given their cat, a tabby, to the groom."
