id,sentence,type,expected,order,tokens,log_probs,continuation_log_prob,critical_token_idx
1_dog_affirmative_negation_ref,John owns a dog but he doesn't own a cat. His dog follows him everywhere he goes.,affirmative_negation,1,1,John| owns| a| dog| but| he| doesn|'t| own| a| cat|.| His| dog| follows| him| everywhere| he| goes|.,-12.051916|-1.239997|-5.7448916|-4.9226727|-1.5237339|-1.3308473|-0.3891534|-1.5813314|-0.62044007|-0.90413654|-0.5298924|-6.1161275|-1.2657051|-6.5931015|-0.25548366|-1.3750416|-1.8257015|-0.010179077|-0.38927197,-17.441339937,11
1_dog_affirmative_negation_ref,John owns a dog but he doesn't own a cat. His cat follows him everywhere he goes.,affirmative_negation,0,1,John| owns| a| dog| but| he| doesn|'t| own| a| cat|.| His| cat| follows| him| everywhere| he| goes|.,-12.051082|-1.2395414|-5.7546744|-4.922306|-1.5348645|-1.3296412|-0.3987388|-1.5724274|-0.6203947|-0.86618435|-0.53363514|-6.1014457|-3.4898412|-6.713201|-0.42263582|-1.4643742|-1.8502285|-0.009473791|-0.43640265,-20.051200210999998,11
1_dog_affirmative_negation_nonref,John owns a dog but he doesn't own a cat. The cat that he liked had been adopted by someone else.,affirmative_negation,1,1,John| owns| a| dog| but| he| doesn|'t| own| a| cat|.| The| cat| that| he| liked| had| been| adopted| by| someone| else|.,-12.051339|-1.2396362|-5.745694|-4.913863|-1.521435|-1.331498|-0.39699653|-1.5076987|-0.6207651|-0.8705029|-0.5318359|-5.1312795|-2.2207668|-4.9949965|-2.2402928|-9.456857|-3.8695126|-2.3315814|-1.9909196|-0.55061734|-1.1505243|-0.042451944|-0.2786529,-33.97979978400001,11
1_dog_affirmative_negation_nonref,John owns a dog but he doesn't own a cat. The dog that he liked had been adopted by someone else.,affirmative_negation,0,1,John| owns| a| dog| but| he| doesn|'t| own| a| cat|.| The| dog| that| he| liked| had| been| adopted| by| someone| else|.,-12.050948|-1.2370318|-5.750757|-4.9217353|-1.5206689|-1.3334204|-0.39455765|-1.5700758|-0.62136036|-0.86137545|-0.52989626|-5.139362|-1.4365253|-5.267085|-2.7907252|-12.657153|-3.8576775|-2.283155|-3.8354657|-0.4557778|-1.1500181|-0.052074548|-0.30413526,-38.925019148,11
1_dog_affirmative_negation_ref,John owns a cat but he doesn't own a dog. His cat follows him everywhere he goes.,affirmative_negation,1,2,John| owns| a| cat| but| he| doesn|'t| own| a| dog|.| His| cat| follows| him| everywhere| he| goes|.,-12.052374|-1.2355368|-7.201555|-4.7837453|-1.6224802|-1.2850319|-0.40432325|-1.1744051|-0.6854749|-0.62117165|-0.53280413|-6.050001|-1.4604692|-7.0803843|-0.22005786|-1.4398719|-1.7596515|-0.008458904|-0.44461334,-18.018894664000005,11
1_dog_affirmative_negation_ref,John owns a cat but he doesn't own a dog. His dog follows him everywhere he goes.,affirmative_negation,0,2,John| owns| a| cat| but| he| doesn|'t| own| a| dog|.| His| dog| follows| him| everywhere| he| goes|.,-12.052211|-1.2338231|-7.191174|-4.7900925|-1.6247306|-1.2845272|-0.41069835|-1.2423787|-0.68917227|-0.6120586|-0.5339198|-6.055371|-2.6611903|-6.5186076|-0.41818374|-1.6941069|-1.9191326|-0.010327756|-0.40590134,-19.276919896000003,11
1_dog_affirmative_negation_nonref,John owns a cat but he doesn't own a dog. The dog that he liked had been adopted by someone else.,affirmative_negation,1,2,John| owns| a| cat| but| he| doesn|'t| own| a| dog|.| The| dog| that| he| liked| had| been| adopted| by| someone| else|.,-12.051346|-1.2383631|-7.1937995|-4.7936926|-1.6237141|-1.2879821|-0.41183922|-1.2379802|-0.6866667|-0.6159538|-0.53729963|-5.0060163|-2.3336096|-4.5359974|-2.5061738|-9.53055|-3.9003086|-2.0536706|-1.9586477|-0.55320364|-1.1745101|-0.0336601|-0.27662513,-33.586347839999995,11
1_dog_affirmative_negation_nonref,John owns a cat but he doesn't own a dog. The cat that he liked had been adopted by someone else.,affirmative_negation,0,2,John| owns| a| cat| but| he| doesn|'t| own| a| dog|.| The| cat| that| he| liked| had| been| adopted| by| someone| else|.,-12.051339|-1.2396362|-7.188085|-4.7991247|-1.6224434|-1.2819817|-0.39393207|-1.1732814|-0.6869569|-0.60519946|-0.54129356|-5.0606394|-1.1166471|-5.575228|-2.9333797|-13.433764|-3.7272515|-2.657835|-3.5777621|-0.42724547|-1.1626768|-0.057532128|-0.32661274,-39.729961198000005,11
1_dog_negation_affirmative_ref,John doesn't own a dog but he owns a cat. His cat follows him everywhere he goes.,negation_affirmative,1,1,John| doesn|'t| own| a| dog| but| he| owns| a| cat|.| His| cat| follows| him| everywhere| he| goes|.,-9.116709|-0.38103926|-5.721045|-0.7407405|-4.8730135|-2.8245635|-1.1300533|-3.8116183|-0.4713044|-1.229176|-0.97663146|-4.0652366|-0.21361819|-7.10333|-0.123552814|-1.1175019|-1.8190757|-0.011787621|-0.37819877,-14.454102825,11
1_dog_negation_affirmative_ref,John doesn't own a dog but he owns a cat. His dog follows him everywhere he goes.,negation_affirmative,0,1,John| doesn|'t| own| a| dog| but| he| owns| a| cat|.| His| dog| follows| him| everywhere| he| goes|.,-9.116669|-0.3813775|-5.727823|-0.7413751|-4.989389|-2.8216736|-1.1293033|-3.8079123|-0.47365785|-1.2149819|-0.9729797|-4.0595803|-4.0796146|-7.034932|-0.44352987|-1.5455636|-2.027015|-0.017411644|-0.41266847,-19.207647014,11
1_dog_negation_affirmative_nonref,John doesn't own a dog but he owns a cat. The dog that he liked had been adopted by someone else.,negation_affirmative,1,1,John| doesn|'t| own| a| dog| but| he| owns| a| cat|.| The| dog| that| he| liked| had| been| adopted| by| someone| else|.,-9.116519|-0.38158002|-5.7203417|-0.741533|-4.8792315|-2.8326914|-1.1283357|-3.8086438|-0.47327772|-1.2318838|-0.97926384|-3.2303417|-2.4350286|-4.5592694|-2.3255951|-6.408503|-3.9491835|-2.2191098|-2.4870477|-0.56523675|-1.2217413|-0.055542972|-0.34914127,-29.456599822,11
1_dog_negation_affirmative_nonref,John doesn't own a dog but he owns a cat. The cat that he liked had been adopted by someone else.,negation_affirmative,0,1,John| doesn|'t| own| a| dog| but| he| owns| a| cat|.| The| cat| that| he| liked| had| been| adopted| by| someone| else|.,-9.115689|-0.378603|-5.724095|-0.74007326|-4.9368925|-2.8321118|-1.1306477|-3.813734|-0.4734019|-1.2246085|-0.971405|-3.2401385|-0.30442882|-7.0162106|-0.96198773|-10.69165|-4.487335|-2.5953724|-4.6354566|-0.5745083|-1.4840006|-0.20551945|-0.5061215,-36.196608,11
1_dog_negation_affirmative_ref,John doesn't own a cat but he owns a dog. His dog follows him everywhere he goes.,negation_affirmative,1,2,John| doesn|'t| own| a| cat| but| he| owns| a| dog|.| His| dog| follows| him| everywhere| he| goes|.,-9.114917|-0.3797935|-5.7233224|-0.74004817|-5.2553697|-3.2708035|-1.0876788|-3.4763412|-0.5031061|-1.3875846|-0.9875532|-4.019955|-0.19994067|-7.0931845|-0.18400618|-1.0430387|-1.9992557|-0.012597993|-0.34226325,-14.551978743,11
1_dog_negation_affirmative_ref,John doesn't own a cat but he owns a dog. His cat follows him everywhere he goes.,negation_affirmative,0,2,John| doesn|'t| own| a| cat| but| he| owns| a| dog|.| His| cat| follows| him| everywhere| he| goes|.,-9.115972|-0.37948343|-5.7287393|-0.74889106|-5.2488294|-3.283256|-1.088537|-3.4146576|-0.50539076|-1.3814281|-0.98299694|-4.003471|-3.7052157|-7.2234926|-0.36906132|-1.4561256|-2.0721343|-0.015488532|-0.45904213,-18.844989052000003,11
1_dog_negation_affirmative_nonref,John doesn't own a cat but he owns a dog. The cat that he liked had been adopted by someone else.,negation_affirmative,1,2,John| doesn|'t| own| a| cat| but| he| owns| a| dog|.| The| cat| that| he| liked| had| been| adopted| by| someone| else|.,-9.11634|-0.37944555|-5.7248783|-0.7468613|-5.248881|-3.282792|-1.0854646|-3.4248838|-0.5058923|-1.4242824|-0.98778653|-3.339497|-1.9342432|-4.4437633|-2.7247179|-6.1997952|-3.9366062|-2.6101508|-2.4257655|-0.5306533|-1.2814071|-0.08015694|-0.3596739,-29.506756439999997,11
1_dog_negation_affirmative_nonref,John doesn't own a cat but he owns a dog. The dog that he liked had been adopted by someone else.,negation_affirmative,0,2,John| doesn|'t| own| a| cat| but| he| owns| a| dog|.| The| dog| that| he| liked| had| been| adopted| by| someone| else|.,-9.115255|-0.380488|-5.731485|-0.7379122|-5.2542043|-3.27013|-1.0880369|-3.4705288|-0.5040055|-1.3300261|-0.98769075|-3.3383482|-0.38371488|-6.5954013|-0.8266812|-10.344036|-4.812351|-2.5535889|-5.0543394|-0.6260493|-1.5919219|-0.18152721|-0.50998455,-36.30795929,11
1_dog_know_doubt_ref,I know that John owns a dog but I doubt that he owns a cat. His dog follows him everywhere he goes.,know_doubt,1,1,I| know| that| John| owns| a| dog| but| I| doubt| that| he| owns| a| cat|.| His| dog| follows| him| everywhere| he| goes|.,-4.262049|-2.3925607|-7.7179446|-8.208547|-1.0021741|-5.4388785|-3.6384869|-0.6516078|-5.832845|-0.7811589|-0.63651055|-2.063907|-0.4560907|-1.1626076|-0.6467316|-7.394281|-2.294135|-6.815355|-0.10034174|-0.8466499|-2.2526739|-0.0074066957|-0.50524145,-19.7108432357,15
