id,sentence,type,pronoun,tokens,log_probs,continuation_log_prob,critical_token_idx
1_dog_affirmative,John owns a dog and it follows him everywhere he goes.,affirmative,it,John|##owns|##a|##dog|##and|##it|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-9.567303|-10.970505|-7.947838|-6.544609|-7.3216934|-10.625191|-12.395096|-11.41111|-7.296112|-14.350365|-12.460136|-11.213882|-12.854004,-79.75189200000001,5
1_dog_affirmative,John owns a dog and it's not a big deal.,affirmative,subj,John|##owns|##a|##dog|##and|##it|'s|##not|##a|##big|##deal|.|<|endoftext|>,-9.567303|-10.970505|-7.947838|-6.544609|-7.3216934|-10.625191|-10.54406|-7.0734863|-8.727066|-7.3669357|-12.745758|-11.7508545|-12.776726,-68.83335149999999,5
1_dog_negated,John doesn't own a dog and it follows him everywhere he goes.,negated,it,John|##doesn|'t|##own|##a|##dog|##and|##it|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-9.567303|-14.78009|-10.614151|-10.966743|-9.225418|-7.668373|-7.6322174|-10.747795|-11.765213|-11.139389|-7.61483|-14.598412|-11.609352|-10.964584|-12.642876,-78.439575,7
1_dog_negated,John doesn't own a dog and it's not a big deal.,negated,subj,John|##doesn|'t|##own|##a|##dog|##and|##it|'s|##not|##a|##big|##deal|.|<|endoftext|>,-9.567303|-14.78009|-10.614151|-10.966743|-9.225418|-7.668373|-7.6322174|-10.747795|-10.732704|-7.490402|-8.783417|-7.700569|-13.138733|-11.271942|-12.54705,-69.865562,7
1_dog_know,I know that John owns a dog. It follows him everywhere he goes.,know,it,I|##know|##that|##John|##owns|##a|##dog|.|##It|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-5.9291916|-11.287071|-5.565056|-6.2989883|-11.555168|-8.28521|-6.315796|-11.406296|-14.384689|-12.105103|-10.635094|-7.2858734|-13.700333|-12.950104|-11.066589|-12.796257,-82.1277854,8
1_dog_know,I know that John owns a dog. It's not a big deal.,know,subj,I|##know|##that|##John|##owns|##a|##dog|.|##It|'s|##not|##a|##big|##deal|.|<|endoftext|>,-5.9291916|-11.287071|-5.565056|-6.2989883|-11.555168|-8.28521|-6.315796|-11.406296|-14.384689|-11.427528|-7.379898|-8.597748|-7.4738846|-13.259193|-11.411118|-12.7721405,-73.9340586,8
1_dog_doubt,I doubt that John owns a dog. It follows him everywhere he goes.,doubt,it,I|##doubt|##that|##John|##owns|##a|##dog|.|##It|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-5.9291916|-12.024307|-5.201149|-5.8358|-12.04718|-9.1807785|-6.4630127|-11.35527|-14.548691|-12.167889|-10.743645|-7.515465|-13.004646|-13.170982|-10.906036|-12.72612,-82.057354,8
1_dog_doubt,I doubt that John owns a dog. It's not a big deal.,doubt,subj,I|##doubt|##that|##John|##owns|##a|##dog|.|##It|'s|##not|##a|##big|##deal|.|<|endoftext|>,-5.9291916|-12.024307|-5.201149|-5.8358|-12.04718|-9.1807785|-6.4630127|-11.35527|-14.548691|-11.738853|-7.78302|-8.799438|-7.754326|-13.481888|-11.303726|-12.746437,-75.409942,8
1_dog_modal,John wants to own a dog and it follows him everywhere he goes.,modal,it,John|##wants|##to|##own|##a|##dog|##and|##it|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-9.567303|-12.720268|-8.770935|-9.825783|-8.773705|-6.9807434|-7.409355|-10.462074|-11.873611|-10.726166|-7.435318|-13.875511|-12.033745|-10.929718|-12.609116,-77.33614299999999,7
1_dog_modal,John wants to own a dog and it's not a big deal.,modal,subj,John|##wants|##to|##own|##a|##dog|##and|##it|'s|##not|##a|##big|##deal|.|<|endoftext|>,-9.567303|-12.720268|-8.770935|-9.825783|-8.773705|-6.9807434|-7.409355|-10.462074|-10.275307|-6.8792725|-8.746796|-7.735016|-12.6712265|-11.400848|-12.520058,-68.17054,7
1_dog_managed,John managed to adopt a dog. It follows him everywhere he goes.,managed,it,John|##managed|##to|##adopt|##a|##dog|.|##It|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-9.567303|-11.151474|-8.914459|-11.391655|-7.640259|-6.1337814|-11.428612|-14.222763|-10.374088|-11.822006|-7.776291|-13.94075|-13.284576|-11.317581|-12.599266,-82.738055,7
1_dog_managed,John managed to adopt a dog. It's not a big deal.,managed,subj,John|##managed|##to|##adopt|##a|##dog|.|##It|'s|##not|##a|##big|##deal|.|<|endoftext|>,-9.567303|-11.151474|-8.914459|-11.391655|-7.640259|-6.1337814|-11.428612|-14.222763|-11.074867|-7.606064|-8.580978|-7.969528|-13.555603|-11.962402|-12.597885,-74.972205,7
1_dog_failed,John failed to adopt a dog. It follows him everywhere he goes.,failed,it,John|##failed|##to|##adopt|##a|##dog|.|##It|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-9.567303|-10.718689|-9.209389|-10.310745|-8.047943|-5.9396744|-11.145065|-14.256531|-10.430389|-11.741516|-7.860367|-13.604256|-12.968239|-11.008575|-12.429382,-81.86987300000001,7
1_dog_failed,John failed to adopt a dog. It's not a big deal.,failed,subj,John|##failed|##to|##adopt|##a|##dog|.|##It|'s|##not|##a|##big|##deal|.|<|endoftext|>,-9.567303|-10.718689|-9.209389|-10.310745|-8.047943|-5.9396744|-11.145065|-14.256531|-11.512138|-7.9596176|-8.724449|-8.0414505|-13.593666|-11.708267|-12.476425,-75.7961191,7
2_car_affirmative,Lucy has a car and it has a self-driving mode.,affirmative,it,Lu|cy|##has|##a|##car|##and|##it|##has|##a|##self|-|driving|##mode|.|<|endoftext|>,-8.863075|-10.874321|-9.0879135|-8.512314|-8.012657|-7.25811|-10.697662|-9.612907|-8.000565|-9.42561|-9.614853|-13.624413|-5.5813446|-11.265472|-12.619728,-77.8228266,6
2_car_affirmative,Lucy has a car and it's not a big deal.,affirmative,subj,Lu|cy|##has|##a|##car|##and|##it|'s|##not|##a|##big|##deal|.|<|endoftext|>,-8.863075|-10.874321|-9.0879135|-8.512314|-8.012657|-7.25811|-10.697662|-10.732925|-7.459152|-8.315109|-7.3926163|-12.586998|-11.72374|-12.694298,-68.9082023,6
2_car_negated,Lucy doesn't have a car and it has a self-driving mode.,negated,it,Lu|cy|##doesn|'t|##have|##a|##car|##and|##it|##has|##a|##self|-|driving|##mode|.|<|endoftext|>,-8.863075|-10.874321|-16.754318|-10.814362|-10.84639|-9.449844|-7.5603943|-7.284134|-11.02327|-9.856819|-8.02211|-10.098053|-9.513332|-14.235504|-6.15152|-11.417755|-12.595612,-80.31836299999999,8
