pair_id,sentence,type,pronoun,preferred,noun,verb,ll,np_ll
1,John owned a dog. |||  He ,negation,1,1,dog,own,1.6030265,1.6030265
1,John didn't own a dog. |||  He ,negation,1,0,dog,own,1.2191159,1.2191159
3,Jennifer owned a dog. |||  She ,negation,1,1,dog,own,1.632375,1.632375
3,Jennifer didn't own a dog. |||  She ,negation,1,0,dog,own,1.1352277,1.1352277
5,Susan owned a dog. |||  She ,negation,1,1,dog,own,1.6487005,1.6487005
5,Susan didn't own a dog. |||  She ,negation,1,0,dog,own,1.1063669,1.1063669
7,Bill owned a dog. |||  He ,negation,1,1,dog,own,1.7714818,1.7714818
7,Bill didn't own a dog. |||  He ,negation,1,0,dog,own,1.1558747,1.1558747
9,David owned a dog. |||  He ,negation,1,1,dog,own,1.5615109,1.5615109
9,David didn't own a dog. |||  He ,negation,1,0,dog,own,1.124124,1.124124
11,Linda owned a dog. |||  She ,negation,1,1,dog,own,1.514081,1.514081
11,Linda didn't own a dog. |||  She ,negation,1,0,dog,own,1.0836829,1.0836829
13,Bob owned a dog. |||  He ,negation,1,1,dog,own,1.7636731,1.7636731
13,Bob didn't own a dog. |||  He ,negation,1,0,dog,own,1.1529846,1.1529846
15,Jennifer owned a dog. |||  She ,negation,1,1,dog,own,1.632375,1.632375
15,Jennifer didn't own a dog. |||  She ,negation,1,0,dog,own,1.1352277,1.1352277
17,Sarah owned a dog. |||  She ,negation,1,1,dog,own,1.5837791,1.5837791
17,Sarah didn't own a dog. |||  She ,negation,1,0,dog,own,1.1309551,1.1309551
19,Sarah owned a dog. |||  She ,negation,1,1,dog,own,1.5837791,1.5837791
19,Sarah didn't own a dog. |||  She ,negation,1,0,dog,own,1.1309551,1.1309551
21,Bob saw a dog. |||  He ,negation,1,1,dog,see,1.4983994,1.4983994
21,Bob didn't see a dog. |||  He ,negation,1,0,dog,see,1.0800669,1.0800669
23,Linda saw a dog. |||  She ,negation,1,1,dog,see,1.4044609,1.4044609
23,Linda didn't see a dog. |||  She ,negation,1,0,dog,see,1.116854,1.116854
25,Jennifer saw a dog. |||  She ,negation,1,1,dog,see,1.5553275,1.5553275
25,Jennifer didn't see a dog. |||  She ,negation,1,0,dog,see,1.1221812,1.1221812
27,Thomas saw a dog. |||  He ,negation,1,1,dog,see,1.4196492,1.4196492
27,Thomas didn't see a dog. |||  He ,negation,1,0,dog,see,1.1765962,1.1765962
29,Bob saw a dog. |||  He ,negation,1,1,dog,see,1.4983994,1.4983994
29,Bob didn't see a dog. |||  He ,negation,1,0,dog,see,1.0800669,1.0800669
31,Susan saw a dog. |||  She ,negation,1,1,dog,see,1.5321618,1.5321618
31,Susan didn't see a dog. |||  She ,negation,1,0,dog,see,1.0907583,1.0907583
33,Susan saw a dog. |||  She ,negation,1,1,dog,see,1.5321618,1.5321618
33,Susan didn't see a dog. |||  She ,negation,1,0,dog,see,1.0907583,1.0907583
35,Chris saw a dog. |||  He ,negation,1,1,dog,see,1.5199442,1.5199442
35,Chris didn't see a dog. |||  He ,negation,1,0,dog,see,1.0641631,1.0641631
37,Karen saw a dog. |||  She ,negation,1,1,dog,see,1.4776878,1.4776878
37,Karen didn't see a dog. |||  She ,negation,1,0,dog,see,1.1520176,1.1520176
39,Thomas saw a dog. |||  He ,negation,1,1,dog,see,1.4196492,1.4196492
39,Thomas didn't see a dog. |||  He ,negation,1,0,dog,see,1.1765962,1.1765962
41,Richard kicked a dog. |||  He ,negation,1,1,dog,kick,2.5210156,2.5210156
41,Richard didn't kick a dog. |||  He ,negation,1,0,dog,kick,1.1368381,1.1368381
43,Bob kicked a dog. |||  He ,negation,1,1,dog,kick,2.6088428,2.6088428
43,Bob didn't kick a dog. |||  He ,negation,1,0,dog,kick,1.1394057,1.1394057
45,Elizabeth kicked a dog. |||  She ,negation,1,1,dog,kick,2.378217,2.378217
45,Elizabeth didn't kick a dog. |||  She ,negation,1,0,dog,kick,1.150696,1.150696
47,Nancy kicked a dog. |||  She ,negation,1,1,dog,kick,2.3179903,2.3179903
47,Nancy didn't kick a dog. |||  She ,negation,1,0,dog,kick,1.291693,1.291693
49,Thomas kicked a dog. |||  He ,negation,1,1,dog,kick,2.3734503,2.3734503
49,Thomas didn't kick a dog. |||  He ,negation,1,0,dog,kick,1.0533686,1.0533686
51,Linda kicked a dog. |||  She ,negation,1,1,dog,kick,2.259694,2.259694
51,Linda didn't kick a dog. |||  She ,negation,1,0,dog,kick,1.1341816,1.1341816
53,Chris kicked a dog. |||  He ,negation,1,1,dog,kick,2.539214,2.539214
53,Chris didn't kick a dog. |||  He ,negation,1,0,dog,kick,1.0728713,1.0728713
55,Mary kicked a dog. |||  She ,negation,1,1,dog,kick,2.5015693,2.5015693
55,Mary didn't kick a dog. |||  She ,negation,1,0,dog,kick,1.4718748,1.4718748
57,Mary kicked a dog. |||  She ,negation,1,1,dog,kick,2.5015693,2.5015693
57,Mary didn't kick a dog. |||  She ,negation,1,0,dog,kick,1.4718748,1.4718748
59,Bob kicked a dog. |||  He ,negation,1,1,dog,kick,2.6088428,2.6088428
59,Bob didn't kick a dog. |||  He ,negation,1,0,dog,kick,1.1394057,1.1394057
61,Jessica brought a dog. |||  She ,negation,1,1,dog,bring,2.0515468,2.0515468
61,Jessica didn't bring a dog. |||  She ,negation,1,0,dog,bring,1.3941075,1.3941075
63,Richard brought a dog. |||  He ,negation,1,1,dog,bring,1.9727496,1.9727496
63,Richard didn't bring a dog. |||  He ,negation,1,0,dog,bring,1.2780257,1.2780257
65,Bob brought a dog. |||  He ,negation,1,1,dog,bring,1.9575939,1.9575939
65,Bob didn't bring a dog. |||  He ,negation,1,0,dog,bring,1.2743058,1.2743058
67,Mary brought a dog. |||  She ,negation,1,1,dog,bring,2.2556725,2.2556725
67,Mary didn't bring a dog. |||  She ,negation,1,0,dog,bring,1.5370207,1.5370207
69,Mary brought a dog. |||  She ,negation,1,1,dog,bring,2.2556725,2.2556725
69,Mary didn't bring a dog. |||  She ,negation,1,0,dog,bring,1.5370207,1.5370207
71,Richard brought a dog. |||  He ,negation,1,1,dog,bring,1.9727496,1.9727496
71,Richard didn't bring a dog. |||  He ,negation,1,0,dog,bring,1.2780257,1.2780257
