pair_id,sentence,type,preferred,ll,np_ll
0,"With proper equipment, scuba-diving is very  ||| safe ||| .",negation-natural,1,3.6006672,2.58121
0,"With proper equipment, scuba-diving isn't very  ||| safe ||| .",negation-natural,0,5.0201564,4.275833
1,"With proper equipment, scuba-diving isn't very  ||| dangerous ||| .",negation-natural,1,2.9356563,2.9356563
1,"With proper equipment, scuba-diving is very  ||| dangerous ||| .",negation-natural,0,4.6821136,4.6821136
1,Traveling in Baghdad is very  ||| dangerous ||| .,negation-natural,1,4.9448233,4.9448233
1,Traveling in Baghdad isn't very  ||| dangerous ||| .,negation-natural,0,7.30168,7.30168
2,Traveling in Baghdad isn't very  ||| safe ||| .,negation-natural,1,5.60075,4.580756
2,Traveling in Baghdad is very  ||| safe ||| .,negation-natural,0,6.903249,5.5987606
2,"In moderation, drinking red wine is  ||| good ||| .",negation-natural,1,5.8181925,3.2860413
2,"In moderation, drinking red wine isn't  ||| good ||| .",negation-natural,0,7.6309185,4.6335554
3,"In moderation, drinking red wine isn't  ||| bad ||| .",negation-natural,1,4.70855,3.0249434
3,"In moderation, drinking red wine is  ||| bad ||| .",negation-natural,0,7.313942,5.009552
3,Drinking tap water in developing countries is very  ||| dangerous ||| .,negation-natural,1,4.2681375,4.2681375
3,Drinking tap water in developing countries isn't very  ||| dangerous ||| .,negation-natural,0,7.6502833,7.6502833
4,Drinking tap water in developing countries isn't very  ||| safe ||| .,negation-natural,1,3.8186872,2.6315024
4,Drinking tap water in developing countries is very  ||| safe ||| .,negation-natural,0,6.3043013,4.763558
4,Secondhand furniture is very  ||| cheap ||| .,negation-natural,1,5.2753997,5.2753997
4,Secondhand furniture isn't very  ||| cheap ||| .,negation-natural,0,6.339969,6.339969
5,Secondhand furniture isn't very  ||| expensive ||| .,negation-natural,1,5.606361,3.9429092
5,Secondhand furniture is very  ||| expensive ||| .,negation-natural,0,4.653013,3.1988847
5,Most smokers find that quitting is very  ||| difficult ||| .,negation-natural,1,2.6742845,2.6742845
5,Most smokers find that quitting isn't very  ||| difficult ||| .,negation-natural,0,2.5840397,2.5840397
6,Most smokers find that quitting isn't very  ||| easy ||| .,negation-natural,1,5.0029945,3.8280396
6,Most smokers find that quitting is very  ||| easy ||| .,negation-natural,0,3.9040904,2.3812294
6,Old computers may be  ||| slow ||| .,negation-natural,1,7.929888,5.32294
6,Old computers may not be  ||| slow ||| .,negation-natural,0,9.326771,7.2244544
7,Old computers may not be  ||| fast ||| .,negation-natural,1,10.677595,6.531385
7,Old computers may be  ||| fast ||| .,negation-natural,0,10.47066,7.294429
7,A fast food dinner on a first date is very  ||| lame ||| .,negation-natural,1,9.569464,9.569464
7,A fast food dinner on a first date isn't very  ||| lame ||| .,negation-natural,0,11.745681,11.745681
8,A fast food dinner on a first date isn't very  ||| romantic ||| .,negation-natural,1,3.6276708,3.6276708
8,A fast food dinner on a first date is very  ||| romantic ||| .,negation-natural,0,5.7704225,5.7704225
8,Bulletproof vests are very  ||| safe ||| .,negation-natural,1,6.731016,4.9585066
8,Bulletproof vests aren't very  ||| safe ||| .,negation-natural,0,6.917714,5.4480696
9,Bulletproof vests aren't very  ||| dangerous ||| .,negation-natural,1,8.403138,8.403138
9,Bulletproof vests are very  ||| dangerous ||| .,negation-natural,0,8.23385,8.23385
9,Terrorist bomb attacks are really  ||| dangerous ||| .,negation-natural,1,6.1121874,6.1121874
9,Terrorist bomb attacks aren't really  ||| dangerous ||| .,negation-natural,0,7.450821,7.450821
10,Terrorist bomb attacks aren't really  ||| safe ||| .,negation-natural,1,7.8568087,6.454611
10,Terrorist bomb attacks are really  ||| safe ||| .,negation-natural,0,10.292638,8.583891
10,Vitamins and proteins are very  ||| good ||| .,negation-natural,1,6.8708296,4.2126412
10,Vitamins and proteins aren't very  ||| good ||| .,negation-natural,0,4.6045084,2.1290267
11,Vitamins and proteins aren't very  ||| bad ||| .,negation-natural,1,7.311281,5.895643
11,Vitamins and proteins are very  ||| bad ||| .,negation-natural,0,9.256128,7.239634
11,Using strong suntan lotion is  ||| safe ||| .,negation-natural,1,8.185882,5.6115594
11,Using strong suntan lotion isn't  ||| safe ||| .,negation-natural,0,7.77224,5.6754904
12,Using strong suntan lotion isn't  ||| dangerous ||| .,negation-natural,1,8.21058,8.21058
12,Using strong suntan lotion is  ||| dangerous ||| .,negation-natural,0,8.98037,8.98037
12,Rockets and missiles are very  ||| fast ||| .,negation-natural,1,6.0968847,4.622299
12,Rockets and missiles aren't very  ||| fast ||| .,negation-natural,0,6.1885524,4.642089
13,Rockets and missiles aren't very  ||| slow ||| .,negation-natural,1,9.133448,7.755225
13,Rockets and missiles are very  ||| slow ||| .,negation-natural,0,6.7931824,5.096283
13,Keeping the door open for somebody is very  ||| polite ||| .,negation-natural,1,10.278831,10.278831
13,Keeping the door open for somebody isn't very  ||| polite ||| .,negation-natural,0,7.3136754,7.3136754
14,Keeping the door open for somebody isn't very  ||| rude ||| .,negation-natural,1,9.573304,9.573304
14,Keeping the door open for somebody is very  ||| rude ||| .,negation-natural,0,9.17659,9.17659
14,A baby bunny's fur is very  ||| soft ||| .,negation-natural,1,4.256518,2.3217125
14,A baby bunny's fur isn't very  ||| soft ||| .,negation-natural,0,5.4694643,3.9927337
15,A baby bunny's fur isn't very  ||| hard ||| .,negation-natural,1,6.9857016,4.144147
15,A baby bunny's fur is very  ||| hard ||| .,negation-natural,0,6.0303173,3.704525
15,Businessman Donald Trump is really  ||| rich ||| .,negation-natural,1,7.4217706,6.3770657
15,Businessman Donald Trump isn't really  ||| rich ||| .,negation-natural,0,7.685605,6.5831094
16,Businessman Donald Trump isn't really  ||| poor ||| .,negation-natural,1,10.517097,9.426348
16,Businessman Donald Trump is really  ||| poor ||| .,negation-natural,0,9.441603,8.1172695
100,A trout is a  ||| fish ||| .,negation-simple,1,8.661308,3.8160684
100,A trout is not a  ||| fish ||| .,negation-simple,0,4.6479635,2.67097
101,A trout is not a  ||| tool ||| .,negation-simple,1,9.42887,7.589549
101,A trout is a  ||| tool ||| .,negation-simple,0,11.588644,7.8898525
101,A salmon is a  ||| fish ||| .,negation-simple,1,8.069855,3.9464307
101,A salmon is not a  ||| fish ||| .,negation-simple,0,4.235199,2.5158217
102,A salmon is not a  ||| flower ||| .,negation-simple,1,9.215399,7.9921856
102,A salmon is a  ||| flower ||| .,negation-simple,0,11.257328,9.107174
102,An ant is an  ||| insect ||| .,negation-simple,1,5.4294186,5.4294186
102,An ant is not an  ||| insect ||| .,negation-simple,0,4.338789,4.338789
103,An ant is not a  ||| vegetable ||| .,negation-simple,1,7.341989,7.341989
103,An ant is a  ||| vegetable ||| .,negation-simple,0,9.775852,9.775852
103,A bee is an  ||| insect ||| .,negation-simple,1,5.526244,5.526244
103,A bee is not an  ||| insect ||| .,negation-simple,0,3.3116355,3.3116355
104,A bee is not a  ||| building ||| .,negation-simple,1,9.513455,7.9074955
104,A bee is a  ||| building ||| .,negation-simple,0,10.4385395,7.7986994
104,A robin is a  ||| bird ||| .,negation-simple,1,7.9619546,4.5089464
104,A robin is not a  ||| bird ||| .,negation-simple,0,4.8730536,3.7502532
105,A robin is not a  ||| tree ||| .,negation-simple,1,9.662377,8.426416
105,A robin is a  ||| tree ||| .,negation-simple,0,10.98968,8.107381
105,A sparrow is a  ||| bird ||| .,negation-simple,1,8.009387,4.2211018
105,A sparrow is not a  ||| bird ||| .,negation-simple,0,4.4874706,3.1647334
