id,sentence,type,pronoun,tokens,log_probs
1_dog_affirmative,John owns a dog and it follows him everywhere he goes.,affirmative,it,John| owns| a| dog| and| it| follows| him| everywhere| he| goes|.,-12.051119|-1.2373904|-5.7481155|-2.5420334|-3.8252473|-5.4210567|-0.19079721|-1.1869087|-2.108229|-0.015260944|-0.27180964
1_dog_affirmative,John owns a dog and it's not a big deal.,affirmative,subj,John| owns| a| dog| and| it|'s| not| a| big| deal|.,-12.051212|-1.2373413|-5.7515492|-2.5466518|-3.8244371|-2.1018465|-3.4360502|-1.2145218|-4.145349|-0.87788737|-0.9900381
1_dog_negated,John doesn't own a dog and it follows him everywhere he goes.,negated,it,John| doesn|'t| own| a| dog| and| it| follows| him| everywhere| he| goes|.,-9.116043|-0.3797415|-5.7230887|-0.7407425|-4.9985723|-3.2709832|-4.6078715|-8.749039|-1.5723461|-1.4200764|-1.6992201|-0.023414824|-0.60396636
1_dog_negated,John doesn't own a dog and it's not a big deal.,negated,subj,John| doesn|'t| own| a| dog| and| it|'s| not| a| big| deal|.,-9.115689|-0.378603|-5.7251916|-0.73862934|-4.9316454|-3.2703815|-4.604723|-0.8834959|-1.681059|-3.0539296|-3.2282734|-0.51965|-1.1925771
1_dog_know,I know that John owns a dog. It follows him everywhere he goes.,know,it,I| know| that| John| owns| a| dog|.| It| follows| him| everywhere| he| goes|.,-4.262452|-2.389607|-7.721996|-8.206224|-1.003945|-5.442449|-1.5884413|-4.2698402|-4.76771|-8.437799|-0.9231949|-2.0416226|-0.0082890475|-0.4750483
1_dog_know,I know that John owns a dog. It's not a big deal.,know,subj,I| know| that| John| owns| a| dog|.| It|'s| not| a| big| deal|.,-4.2624393|-2.3910964|-7.725838|-8.191907|-1.0034739|-5.432918|-1.5899495|-4.255606|-1.2719587|-2.8183997|-1.8228152|-2.3727891|-1.1926986|-1.0323344
1_dog_doubt,I doubt that John owns a dog. It follows him everywhere he goes.,doubt,it,I| doubt| that| John| owns| a| dog|.| It| follows| him| everywhere| he| goes|.,-8.07201|-1.9216126|-7.753258|-9.341236|-0.96525764|-5.087931|-1.405268|-5.2507086|-6.432219|-9.834876|-0.84617966|-2.015604|-0.008192593|-0.4054131
1_dog_doubt,I doubt that John owns a dog. It's not a big deal.,doubt,subj,I| doubt| that| John| owns| a| dog|.| It|'s| not| a| big| deal|.,-8.071987|-1.9223516|-7.755223|-9.339105|-0.96631503|-5.088769|-1.4017881|-5.271777|-1.0968571|-2.003123|-2.661672|-3.0157511|-0.64297104|-0.5437288
1_dog_modal,John wants to own a dog and it follows him everywhere he goes.,modal,it,John| wants| to| own| a| dog| and| it| follows| him| everywhere| he| goes|.,-10.131388|-0.4189392|-7.46554|-0.98772377|-4.36566|-2.8828354|-5.1222744|-8.256885|-0.72269666|-1.3462955|-2.0519354|-0.029840056|-0.44105878
1_dog_modal,John wants to own a dog and it's not a big deal.,modal,subj,John| wants| to| own| a| dog| and| it|'s| not| a| big| deal|.,-10.131919|-0.41769895|-7.4638557|-0.9910276|-4.427634|-2.8810918|-5.120813|-1.8013358|-2.490591|-2.5066898|-3.1614861|-0.8180932|-1.2868918
1_dog_managed,John managed to adopt a dog. It follows him everywhere he goes.,managed,it,John| managed| to| adopt| a| dog|.| It| follows| him| everywhere| he| goes|.,-10.892566|-0.40442896|-10.022592|-0.5357093|-8.733749|-3.0054085|-2.7408314|-8.443871|-2.063432|-1.2192534|-2.6791356|-0.02400386|-0.65055776
1_dog_managed,John managed to adopt a dog. It's not a big deal.,managed,subj,John| managed| to| adopt| a| dog|.| It|'s| not| a| big| deal|.,-10.892947|-0.4045595|-10.016768|-0.5362857|-8.609449|-3.012267|-2.73021|-1.862521|-2.9265554|-2.0658042|-2.473186|-2.0771616|-1.1762984
1_dog_failed,John failed to adopt a dog. It follows him everywhere he goes.,failed,it,John| failed| to| adopt| a| dog|.| It| follows| him| everywhere| he| goes|.,-11.397041|-0.6190651|-8.953153|-1.5592449|-5.8662014|-2.481847|-4.856592|-6.577616|-7.135671|-2.09322|-2.0424104|-0.020934783|-0.48591653
1_dog_failed,John failed to adopt a dog. It's not a big deal.,failed,subj,John| failed| to| adopt| a| dog|.| It|'s| not| a| big| deal|.,-11.397974|-0.61418986|-8.958403|-1.5592903|-5.903886|-2.4826167|-4.861215|-1.6538582|-1.9576168|-2.9588351|-2.0589473|-0.23745571|-0.78440833
2_car_affirmative,Lucy has a car and it has a self-driving mode.,affirmative,it,Lu|cy| has| a| car| and| it| has| a| self|-|driving| mode|.,-1.6450003|-5.2137165|-1.9236821|-7.197981|-2.5567183|-3.8935814|-3.7709792|-1.2827665|-8.295247|-0.21668395|-1.3149809|-1.2395024|-1.0126762
2_car_affirmative,Lucy has a car and it's not a big deal.,affirmative,subj,Lu|cy| has| a| car| and| it|'s| not| a| big| deal|.,-1.6436563|-5.2177444|-1.9214778|-7.205921|-2.5556817|-3.897052|-1.0111816|-2.5788064|-1.6854004|-4.1309595|-0.5460391|-1.4044296
2_car_negated,Lucy doesn't have a car and it has a self-driving mode.,negated,it,Lu|cy| doesn|'t| have| a| car| and| it| has| a| self|-|driving| mode|.,-1.6436572|-7.2885313|-0.39878896|-2.6951132|-1.3765802|-4.050133|-2.8230739|-3.7742226|-5.4363604|-3.990593|-9.325062|-0.32046604|-1.492393|-1.187625|-1.2627761
2_car_negated,Lucy doesn't have a car and it's not a big deal.,negated,subj,Lu|cy| doesn|'t| have| a| car| and| it|'s| not| a| big| deal|.,-1.644264|-7.2993712|-0.39696407|-2.6980796|-1.3784482|-4.0483623|-2.82695|-3.7809865|-0.6849334|-2.2900178|-3.1169677|-4.1211605|-1.0883299|-1.2997129
2_car_know,I know that Lucy has a car. It has a self-driving mode.,know,it,I| know| that| Lucy| has| a| car|.| It| has| a| self|-|driving| mode|.,-4.26207|-2.3886948|-9.0009|-2.554983|-2.0613308|-6.5491977|-1.7738137|-3.1645403|-4.2249866|-1.4000081|-9.143318|-0.092434876|-1.9397709|-2.1300337|-1.1656789
2_car_know,I know that Lucy has a car. It's not a big deal.,know,subj,I| know| that| Lucy| has| a| car|.| It|'s| not| a| big| deal|.,-4.2623463|-2.3917582|-8.99639|-2.5606837|-2.0621665|-6.5479584|-1.774903|-3.1661875|-0.7248998|-2.751632|-1.9345927|-2.4005818|-0.65833056|-1.1949949
2_car_doubt,I doubt that Lucy has a car. It has a self-driving mode.,doubt,it,I| doubt| that| Lucy| has| a| car|.| It| has| a| self|-|driving| mode|.,-8.072854|-1.9223696|-10.252353|-3.190132|-2.705885|-5.7553787|-1.381451|-3.4566877|-5.5748644|-3.3559306|-8.434618|-0.12244757|-3.2042794|-1.5912099|-1.7345204
2_car_doubt,I doubt that Lucy has a car. It's not a big deal.,doubt,subj,I| doubt| that| Lucy| has| a| car|.| It|'s| not| a| big| deal|.,-8.071772|-1.9192162|-10.225881|-3.1964128|-2.7084398|-5.754204|-1.3841128|-3.4619455|-0.996674|-1.8427734|-2.8505447|-2.5468135|-1.5417027|-0.9689888
2_car_modal,Lucy wants to have a car and it has a self-driving mode.,modal,it,Lu|cy| wants| to| have| a| car| and| it| has| a| self|-|driving| mode|.,-1.6450003|-7.6814613|-0.46841338|-4.14973|-1.0002707|-7.3626046|-2.9571917|-5.491785|-3.9390028|-3.5545168|-8.5055485|-0.37016654|-0.64838326|-1.9483958|-1.0134294
2_car_modal,Lucy wants to have a car and it's not a big deal.,modal,subj,Lu|cy| wants| to| have| a| car| and| it|'s| not| a| big| deal|.,-1.6437256|-7.679269|-0.46887165|-4.145681|-0.9979002|-7.3562717|-2.953681|-5.4931283|-1.5857081|-2.1935055|-2.7292948|-3.1362824|-0.44378772|-1.3886838
2_car_managed,Lucy managed to rent a car. It has a self-driving mode.,managed,it,Lu|cy| managed| to| rent| a| car|.| It| has| a| self|-|driving| mode|.,-1.644144|-9.0716505|-0.42798296|-10.1205435|-0.499617|-2.358727|-3.0073254|-2.7170374|-6.585936|-1.2574471|-8.239775|-0.056152757|-1.4163203|-2.4647517|-1.1396942
