id,sentence,type,pronoun,tokens,log_probs
1_dog_affirmative,John owns a dog and it follows him everywhere he goes.,affirmative,it,John|##owns|##a|##dog|##and|##it|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-11.836182|-11.474472|-10.139519|-7.1224594|-7.4778137|-10.3076935|-12.7252655|-11.627304|-7.2374153|-16.098839|-13.1959915|-9.916824|-11.782383
1_dog_affirmative,John owns a dog and it's not a big deal.,affirmative,subj,John|##owns|##a|##dog|##and|##it|'s|##not|##a|##big|##deal|.|<|endoftext|>,-11.836182|-11.474472|-10.139519|-7.1224594|-7.4778137|-10.3076935|-10.329269|-7.245102|-9.923347|-7.328453|-11.894112|-10.040421|-11.876816
1_dog_negated,John doesn't own a dog and it follows him everywhere he goes.,negated,it,John|##doesn|'t|##own|##a|##dog|##and|##it|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-11.836182|-19.123611|-11.048294|-10.977119|-10.625641|-8.453133|-7.5149994|-10.613968|-12.218025|-11.224014|-7.548622|-16.07447|-12.893238|-9.810608|-11.731064
1_dog_negated,John doesn't own a dog and it's not a big deal.,negated,subj,John|##doesn|'t|##own|##a|##dog|##and|##it|'s|##not|##a|##big|##deal|.|<|endoftext|>,-11.836182|-19.123611|-11.048294|-10.977119|-10.625641|-8.453133|-7.5149994|-10.613968|-10.602707|-7.2387695|-10.079201|-7.430748|-12.484268|-9.934265|-11.787567
1_dog_know,I know that John owns a dog. It follows him everywhere he goes.,know,it,I|##know|##that|##John|##owns|##a|##dog|.|##It|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-8.450356|-10.6460495|-5.7970123|-6.783684|-12.397736|-10.08223|-7.514633|-9.513748|-14.96405|-13.142662|-11.783798|-7.666893|-15.839363|-13.547176|-9.935959|-11.758339
1_dog_know,I know that John owns a dog. It's not a big deal.,know,subj,I|##know|##that|##John|##owns|##a|##dog|.|##It|'s|##not|##a|##big|##deal|.|<|endoftext|>,-8.450356|-10.6460495|-5.7970123|-6.783684|-12.397736|-10.08223|-7.514633|-9.513748|-14.96405|-10.760239|-7.1572876|-9.896584|-7.5079575|-13.06321|-9.979546|-11.824387
1_dog_doubt,I doubt that John owns a dog. It follows him everywhere he goes.,doubt,it,I|##doubt|##that|##John|##owns|##a|##dog|.|##It|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-8.450356|-11.461784|-5.2720184|-6.7208557|-12.985275|-10.231667|-7.161064|-9.482178|-14.825607|-10.889622|-10.836853|-7.6306458|-15.162529|-13.603123|-9.876495|-11.757767
1_dog_doubt,I doubt that John owns a dog. It's not a big deal.,doubt,subj,I|##doubt|##that|##John|##owns|##a|##dog|.|##It|'s|##not|##a|##big|##deal|.|<|endoftext|>,-8.450356|-11.461784|-5.2720184|-6.7208557|-12.985275|-10.231667|-7.161064|-9.482178|-14.825607|-10.788261|-7.6075363|-10.041771|-7.663994|-13.641251|-10.006363|-11.799995
1_dog_modal,John wants to own a dog and it follows him everywhere he goes.,modal,it,John|##wants|##to|##own|##a|##dog|##and|##it|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-11.836182|-11.8703575|-8.893761|-10.20295|-9.96212|-7.521652|-7.5572357|-10.231865|-12.832405|-10.7660675|-7.727421|-15.962471|-12.909241|-10.216537|-11.683922
1_dog_modal,John wants to own a dog and it's not a big deal.,modal,subj,John|##wants|##to|##own|##a|##dog|##and|##it|'s|##not|##a|##big|##deal|.|<|endoftext|>,-11.836182|-11.8703575|-8.893761|-10.20295|-9.96212|-7.521652|-7.5572357|-10.231865|-10.385178|-6.9824066|-9.800896|-7.162422|-11.393517|-10.343872|-11.782745
