id,sentence,type,pronoun,tokens,log_probs,continuation_log_prob,critical_token_idx
1_dog_affirmative,John owns a dog and it follows him everywhere he goes.,affirmative,it,John|##owns|##a|##dog|##and|##it|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-9.936898|-11.739592|-8.96608|-6.6907873|-7.2112184|-9.767154|-13.184687|-12.032926|-7.8918633|-13.86628|-13.076682|-10.003746|-12.661596,-79.82333830000002,5
1_dog_affirmative,John owns a dog and it's not a big deal.,affirmative,subj,John|##owns|##a|##dog|##and|##it|'s|##not|##a|##big|##deal|.|<|endoftext|>,-9.936898|-11.739592|-8.96608|-6.6907873|-7.2112184|-9.767154|-9.882813|-7.622138|-8.572891|-6.498127|-12.525425|-10.348941|-12.556744,-65.217489,5
1_dog_negated,John doesn't own a dog and it follows him everywhere he goes.,negated,it,John|##doesn|'t|##own|##a|##dog|##and|##it|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-9.936898|-14.552651|-10.976233|-10.365701|-10.135315|-8.872593|-7.563295|-10.067517|-12.908989|-12.069985|-8.40093|-13.906826|-12.8902445|-10.100271|-12.676279,-80.3447625,7
1_dog_negated,John doesn't own a dog and it's not a big deal.,negated,subj,John|##doesn|'t|##own|##a|##dog|##and|##it|'s|##not|##a|##big|##deal|.|<|endoftext|>,-9.936898|-14.552651|-10.976233|-10.365701|-10.135315|-8.872593|-7.563295|-10.067517|-10.385191|-7.814587|-9.005331|-7.6530867|-13.134244|-10.321239|-12.596409,-68.3811957,7
1_dog_know,I know that John owns a dog. It follows him everywhere he goes.,know,it,I|##know|##that|##John|##owns|##a|##dog|.|##It|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-8.253021|-10.449959|-5.3576436|-5.881065|-12.439189|-9.027311|-6.9918146|-9.893427|-14.309317|-12.120465|-12.2019005|-8.306324|-13.466795|-13.815648|-10.229638|-12.642473,-84.4500875,8
1_dog_know,I know that John owns a dog. It's not a big deal.,know,subj,I|##know|##that|##John|##owns|##a|##dog|.|##It|'s|##not|##a|##big|##deal|.|<|endoftext|>,-8.253021|-10.449959|-5.3576436|-5.881065|-12.439189|-9.027311|-6.9918146|-9.893427|-14.309317|-10.628372|-7.634325|-8.579672|-6.673526|-13.482861|-10.14048|-12.62304,-71.448553,8
1_dog_doubt,I doubt that John owns a dog. It follows him everywhere he goes.,doubt,it,I|##doubt|##that|##John|##owns|##a|##dog|.|##It|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-8.253021|-11.769142|-5.1762204|-6.0308094|-12.904413|-9.444734|-7.252231|-9.959278|-14.29157|-11.675659|-11.722837|-8.453833|-12.9023075|-13.288358|-9.991848|-12.67193,-82.3264125,8
1_dog_doubt,I doubt that John owns a dog. It's not a big deal.,doubt,subj,I|##doubt|##that|##John|##owns|##a|##dog|.|##It|'s|##not|##a|##big|##deal|.|<|endoftext|>,-8.253021|-11.769142|-5.1762204|-6.0308094|-12.904413|-9.444734|-7.252231|-9.959278|-14.29157|-10.88454|-7.7756286|-9.2060175|-7.2814264|-13.479098|-10.193125|-12.6462345,-73.1114055,8
1_dog_modal,John wants to own a dog and it follows him everywhere he goes.,modal,it,John|##wants|##to|##own|##a|##dog|##and|##it|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-9.936898|-12.492069|-8.514174|-10.297271|-8.991724|-6.6527915|-7.4040756|-9.572885|-12.851267|-11.051339|-7.981058|-13.803422|-12.567392|-10.193159|-12.728877,-78.02052199999999,7
1_dog_modal,John wants to own a dog and it's not a big deal.,modal,subj,John|##wants|##to|##own|##a|##dog|##and|##it|'s|##not|##a|##big|##deal|.|<|endoftext|>,-9.936898|-12.492069|-8.514174|-10.297271|-8.991724|-6.6527915|-7.4040756|-9.572885|-10.187245|-7.3904457|-8.528993|-6.9984765|-12.718233|-10.547762|-12.720711,-65.9440402,7
