id,sentence,type,expected,order,tokens,log_probs,continuation_log_prob,critical_token_idx
1_dog_affirmative_negation_ref,John owns a dog but he doesn't own a cat. His dog follows him everywhere he goes.,affirmative_negation,1,1,John|##owns|##a|##dog|##but|##he|##doesn|'t|##own|##a|##cat|.|##His|##dog|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-11.836182|-11.474472|-10.139519|-7.1224594|-9.357727|-9.897217|-20.786285|-13.213898|-11.436516|-9.953896|-10.142689|-9.8526|-13.977058|-8.185726|-11.926994|-11.725708|-7.2409286|-16.190933|-13.57465|-10.434982|-11.7519455,-103.10957960000002,11
1_dog_affirmative_negation_ref,John owns a dog but he doesn't own a cat. His cat follows him everywhere he goes.,affirmative_negation,0,1,John|##owns|##a|##dog|##but|##he|##doesn|'t|##own|##a|##cat|.|##His|##cat|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-11.836182|-11.474472|-10.139519|-7.1224594|-9.357727|-9.897217|-20.786285|-13.213898|-11.436516|-9.953896|-10.142689|-9.8526|-13.977058|-5.8294754|-12.264404|-11.681427|-7.3556824|-16.499908|-13.71431|-10.292206|-11.736076,-101.46707079999999,11
1_dog_affirmative_negation_nonref,John owns a dog but he doesn't own a cat. The cat that he liked had been adopted by someone else.,affirmative_negation,1,1,John|##owns|##a|##dog|##but|##he|##doesn|'t|##own|##a|##cat|.|##The|##cat|##that|##he|##liked|##had|##been|##adopted|##by|##someone|##else|.|<|endoftext|>,-11.836182|-11.474472|-10.139519|-7.1224594|-9.357727|-9.897217|-20.786285|-13.213898|-11.436516|-9.953896|-10.142689|-9.8526|-10.047836|-6.566391|-8.044189|-10.287537|-5.3406754|-5.9987106|-8.364914|-12.694496|-11.108566|-9.133369|-9.105133|-10.229874|-11.687141,-116.77429099999999,11
1_dog_affirmative_negation_nonref,John owns a dog but he doesn't own a cat. The dog that he liked had been adopted by someone else.,affirmative_negation,0,1,John|##owns|##a|##dog|##but|##he|##doesn|'t|##own|##a|##cat|.|##The|##dog|##that|##he|##liked|##had|##been|##adopted|##by|##someone|##else|.|<|endoftext|>,-11.836182|-11.474472|-10.139519|-7.1224594|-9.357727|-9.897217|-20.786285|-13.213898|-11.436516|-9.953896|-10.142689|-9.8526|-10.047836|-8.362114|-7.9208527|-10.247803|-5.150139|-5.882965|-8.41909|-12.504478|-11.062874|-9.173691|-9.151062|-10.343033|-11.710411,-118.11853770000002,11
1_dog_affirmative_negation_ref,John owns a cat but he doesn't own a dog. His cat follows him everywhere he goes.,affirmative_negation,1,2,John|##owns|##a|##cat|##but|##he|##doesn|'t|##own|##a|##dog|.|##His|##cat|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-11.836182|-11.474472|-10.139519|-7.414131|-9.2361145|-9.84111|-20.863098|-12.853806|-11.157936|-9.898514|-10.51968|-9.757423|-13.875343|-6.3712044|-12.3840065|-11.839485|-7.2008896|-16.444447|-13.693993|-10.229813|-11.713379,-101.7966045,11
1_dog_affirmative_negation_ref,John owns a cat but he doesn't own a dog. His dog follows him everywhere he goes.,affirmative_negation,0,2,John|##owns|##a|##cat|##but|##he|##doesn|'t|##own|##a|##dog|.|##His|##dog|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-11.836182|-11.474472|-10.139519|-7.414131|-9.2361145|-9.84111|-20.863098|-12.853806|-11.157936|-9.898514|-10.51968|-9.757423|-13.875343|-7.9684944|-12.24514|-11.613121|-7.4137306|-16.39038|-13.754013|-10.189621|-11.726692,-103.207266,11
1_dog_affirmative_negation_nonref,John owns a cat but he doesn't own a dog. The dog that he liked had been adopted by someone else.,affirmative_negation,1,2,John|##owns|##a|##cat|##but|##he|##doesn|'t|##own|##a|##dog|.|##The|##dog|##that|##he|##liked|##had|##been|##adopted|##by|##someone|##else|.|<|endoftext|>,-11.836182|-11.474472|-10.139519|-7.414131|-9.2361145|-9.84111|-20.863098|-12.853806|-11.157936|-9.898514|-10.51968|-9.757423|-10.190704|-8.184044|-7.773613|-10.272377|-5.395897|-5.8806|-8.40844|-12.493431|-11.028053|-9.189835|-9.074856|-10.149902|-11.673279,-117.79917499999999,11
1_dog_affirmative_negation_nonref,John owns a cat but he doesn't own a dog. The cat that he liked had been adopted by someone else.,affirmative_negation,0,2,John|##owns|##a|##cat|##but|##he|##doesn|'t|##own|##a|##dog|.|##The|##cat|##that|##he|##liked|##had|##been|##adopted|##by|##someone|##else|.|<|endoftext|>,-11.836182|-11.474472|-10.139519|-7.414131|-9.2361145|-9.84111|-20.863098|-12.853806|-11.157936|-9.898514|-10.51968|-9.757423|-10.190704|-6.946884|-8.060928|-10.381447|-4.978691|-5.8441925|-8.305473|-12.473358|-11.095024|-9.146111|-9.19669|-10.236313|-11.6729965,-116.61323850000001,11
1_dog_negation_affirmative_ref,John doesn't own a dog but he owns a cat. His cat follows him everywhere he goes.,negation_affirmative,1,1,John|##doesn|'t|##own|##a|##dog|##but|##he|##owns|##a|##cat|.|##His|##cat|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-11.836182|-19.123611|-11.048294|-10.977119|-10.625641|-8.453133|-9.207672|-9.916|-12.414696|-9.731247|-9.140751|-9.689957|-13.935379|-6.547806|-12.283844|-12.058655|-7.2295837|-16.520287|-13.546234|-10.125381|-11.763588,-101.93712670000001,11
1_dog_negation_affirmative_ref,John doesn't own a dog but he owns a cat. His dog follows him everywhere he goes.,negation_affirmative,0,1,John|##doesn|'t|##own|##a|##dog|##but|##he|##owns|##a|##cat|.|##His|##dog|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-11.836182|-19.123611|-11.048294|-10.977119|-10.625641|-8.453133|-9.207672|-9.916|-12.414696|-9.731247|-9.140751|-9.689957|-13.935379|-7.7915573|-12.086624|-11.872589|-7.2883453|-16.266968|-13.478672|-10.244659|-11.78141,-102.6547506,11
