id,sent,expected,block,type,display,sent1,sent2,sent2delay,sliderdelay
,,,,,instruction,,,300,600
,,,,,practice,,,300,600
13_bed_affirmative_negation_sref,Luke bought a bed but Rachel didn't buy a bed. The bed was delivered the next day.,1,block13,target,trial,Luke bought a bed but Rachel didn't buy a bed.,The bed was delivered the next day.,3000,5100
8_cake_failed_failed_sref,Michael failed to bake a cake and Adam failed to bake a cake as well. The cake was the best thing at the picnic.,0,block8,target,trial,Michael failed to bake a cake and Adam failed to bake a cake as well.,The cake was the best thing at the picnic.,4500,7200
4_book_affirmative_affirmative_pref,Susan published a book and Ben published a book too. The books are real page-turners.,1,block4,target,trial,Susan published a book and Ben published a book too.,The books are real page-turners.,3000,4500
filler3,Mandy managed to pass the knowledge test for getting a driver's license but she failed the road test. She will need to take the road test again.,1,filler3,filler,trial,Mandy managed to pass the knowledge test for getting a driver's license but she failed the road test.,She will need to take the road test again.,5400,8100
filler8,Katie's parents were able to support her emotionally but not financially. They gave her one thousand dollars every month to help cover her rent.,0,filler8,filler,trial,Katie's parents were able to support her emotionally but not financially.,They gave her one thousand dollars every month to help cover her rent.,3300,7200
filler4,Doug didn't make salad for dinner but he made pasta. He skillfully garnished the pasta with fresh basil and grated Parmesan.,1,filler4,filler,trial,Doug didn't make salad for dinner but he made pasta.,He skillfully garnished the pasta with fresh basil and grated Parmesan.,3000,6300
filler2,I know that Peter loves pizzas but I doubt that he likes them with pineapple. He hates that combination.,1,filler2,filler,trial,I know that Peter loves pizzas but I doubt that he likes them with pineapple.,He hates that combination.,4500,5700
16_house_failed_failed_pref,Lisa failed to build a house and Jordan failed to build a house as well. The houses are the most beautiful buildings I have ever seen.,0,block16,target,trial,Lisa failed to build a house and Jordan failed to build a house as well.,The houses are the most beautiful buildings I have ever seen.,4500,7800
9_letter_failed_failed_sref,Carolyn failed to write a letter to her parents and Jennifer failed to write a letter to her parents as well. The letter arrived three days after it was sent.,0,block9,target,trial,Carolyn failed to write a letter to her parents and Jennifer failed to write a letter to her parents as well.,The letter arrived three days after it was sent.,6300,9000
filler1,Jane and Julie watched a movie last Friday night. It was about the first world war.,1,filler1,filler,trial,Jane and Julie watched a movie last Friday night.,It was about the first world war.,2700,4800
1_dog_failed_failed_pref,John failed to adopt a dog and Mark failed to adopt a dog as well. The dogs are very cute.,0,block1,target,trial,John failed to adopt a dog and Mark failed to adopt a dog as well.,The dogs are very cute.,4500,6000
11_rabbit_managed_failed_sref,Sarah managed to catch a rabbit but Alice failed to catch a rabbit. The rabbit was delicious.,1,block11,target,trial,Sarah managed to catch a rabbit but Alice failed to catch a rabbit.,The rabbit was delicious.,3900,5100
12_ticket_failed_managed_sref,Thomas failed to book a ticket but Patrick managed to book a ticket. The ticket was much cheaper than expected.,1,block12,target,trial,Thomas failed to book a ticket but Patrick managed to book a ticket.,The ticket was much cheaper than expected.,3900,6000
7_beer_negation_affirmative_sref,Sam didn't order a beer at the bar but Kate ordered a beer at the bar. The beer was warm.,1,block7,target,trial,Sam didn't order a beer at the bar but Kate ordered a beer at the bar.,The beer was warm.,4800,6000
14_gin_managed_failed_pref,Dan managed to mix a gin tonic but Jessica failed to mix a gin tonic. The gin tonics were very strong.,0,block14,target,trial,Dan managed to mix a gin tonic but Jessica failed to mix a gin tonic.,The gin tonics were very strong.,4500,6300
filler6,Nick was so busy today that he was forced to skip lunch. He had a chicken sandwich and some fries for lunch.,0,filler6,filler,trial,Nick was so busy today that he was forced to skip lunch.,He had a chicken sandwich and some fries for lunch.,3600,6600
15_bone_managed_managed_sref,David managed to discover a bone on his archeological expedition and Andy managed to discover a bone on his archeological expedition as well. The bone likely belonged to an extinct bird species.,0,block15,target,trial,David managed to discover a bone on his archeological expedition and Andy managed to discover a bone on his archeological expedition as well.,The bone likely belonged to an extinct bird species.,6900,9600
6_rat_negation_negation_pref,Carla didn't get a pet rat and Linda didn't get a pet rat either. The rats are very noisy at night.,0,block6,target,trial,Carla didn't get a pet rat and Linda didn't get a pet rat either.,The rats are very noisy at night.,4200,6300
filler7,Andy had to walk to school every day because no other means of transportation was available. The bus ride took him 15 minutes.,0,filler7,filler,trial,Andy had to walk to school every day because no other means of transporation was available.,The bus ride took him 15 minutes.,4800,6900
filler5,It was unfortunate that Barbara did not get an offer from the job she wanted. She accepted the offer immediately.,0,filler5,filler,trial,It was unfortunate that Barbara did not get an offer from the job she wanted.,She accepted the offer immediately.,4500,6000
10_hat_affirmative_affirmative_pref,Chris knitted a hat and George knitted a hat too. The hats were very colorful.,1,block10,target,trial,Chris knitted a hat and George knitted a hat too.,The hats were very colorful.,3000,4500
2_car_negation_negation_sref,Lucy doesn't have a car and Ethan doesn't have a car either. The car has a self-driving mode.,0,block2,target,trial,Lucy doesn't have a car and Ethan doesn't have a car either.,The car has a self-driving mode.,3600,5400
5_shirt_managed_managed_pref,Mary managed to find a shirt at the store and Teresa managed to find a shirt at the store as well. The shirts look amazing.,1,block5,target,trial,Mary managed to find a shirt at the store and Teresa managed to find a shirt at the store as well.,The shirts look amazing.,6300,7500
3_bear_negation_negation_pref,Carol didn't see a bear at the zoo and Jack didn't see a bear at the zoo either. The bears were taller than expected.,0,block3,target,trial,Carol didn't see a bear at the zoo and Jack didn't see a bear at the zoo either.,The bears were taller than expected.,5400,7200
