id,sent,expected,block,type,display,sent1,sent2,sent2delay,sliderdelay
,,,,,instruction,,,300,600
,,,,,practice,,,300,600
8_cake_affirmative_negation_sref,Michael baked a cake but Adam didn't bake a cake. The cake was the best thing at the picnic.,1,block8,target,trial,Michael baked a cake but Adam didn't bake a cake.,The cake was the best thing at the picnic.,3000,5700
12_ticket_negation_affirmative_pref,Thomas didn't book a ticket in advance but Patrick booked a ticket in advance. The tickets were much cheaper than expected.,0,block12,target,trial,Thomas didn't book a ticket in advance but Patrick booked a ticket in advance.,The tickets were much cheaper than expected.,4200,6300
2_car_affirmative_affirmative_sref,Lucy has a car and Ethan has a car too. The car has a self-driving mode.,0,block2,target,trial,Lucy has a car and Ethan has a car too.,The car has a self-driving mode.,3000,4800
1_dog_managed_failed_sref,John managed to adopt a dog but Mark failed to adopt a dog. The dog is very cute.,1,block1,target,trial,John managed to adopt a dog but Mark failed to adopt a dog.,The dog is very cute.,3900,5400
15_bone_affirmative_negation_pref,David discovered a bone on his archeological expedition but Andy didn't discover a bone on his archeological expedition. The bones likely belonged to an extinct bird species.,0,block15,target,trial,David discovered a bone on his archeological expedition but Andy didn't discover a bone on his archeological expedition.,The bones likely belonged to an extinct bird species.,5400,8100
9_letter_negation_affirmative_pref,Carolyn didn't write a letter to her parents but Jennifer wrote a letter to her parents. The letters arrived three days after they were sent.,0,block9,target,trial,Carolyn didn't write a letter to her parents but Jennifer wrote a letter to her parents.,The letters arrived three days after they were sent.,4800,7500
3_bear_affirmative_negation_sref,Carol saw a bear at the zoo but Jack didn't see a bear at the zoo. The bear was taller than expected.,1,block3,target,trial,Carol saw a bear at the zoo but Jack didn't see a bear at the zoo.,The bear was taller than expected.,4800,6600
filler6,Nick was so busy today that he was forced to skip lunch. He had a chicken sandwich and some fries for lunch.,0,filler6,filler,trial,Nick was so busy today that he was forced to skip lunch.,He had a chicken sandwich and some fries for lunch.,3600,6600
10_hat_failed_failed_sref,Chris failed to knit a hat and George failed to knit a hat as well. The hat was very colorful.,0,block10,target,trial,Chris failed to knit a hat and George failed to knit a hat as well.,The hat was very colorful.,4500,6000
filler1,Jane and Julie watched a movie last Friday night. It was about the first world war.,1,filler1,filler,trial,Jane and Julie watched a movie last Friday night.,It was about the first world war.,2700,4800
13_bed_failed_managed_sref,Luke failed to buy a bed but Rachel managed to buy a bed. The bed was delivered the next day.,1,block13,target,trial,Luke failed to buy a bed but Rachel managed to buy a bed.,The bed was delivered the next day.,3900,6000
5_shirt_failed_failed_pref,Mary failed to find a shirt at the store and Teresa failed to find a shirt at the store as well. The shirts look amazing.,0,block5,target,trial,Mary failed to find a shirt at the store and Teresa failed to find a shirt at the store as well.,The shirts look amazing.,6300,7500
filler3,Mandy managed to pass the knowledge test for getting a driver's license but she failed the road test. She will need to take the road test again.,1,filler3,filler,trial,Mandy managed to pass the knowledge test for getting a driver's license but she failed the road test.,She will need to take the road test again.,5400,8100
11_rabbit_managed_managed_sref,Sarah managed to catch a rabbit and Alice managed to catch a rabbit as well. The rabbit was delicious.,0,block11,target,trial,Sarah managed to catch a rabbit and Alice managed to catch a rabbit as well.,The rabbit was delicious.,4500,5700
7_beer_managed_managed_sref,Sam managed to order a beer at the bar and Kate managed to order a beer at the bar as well. The beer was warm.,0,block7,target,trial,Sam managed to order a beer at the bar and Kate managed to order a beer at the bar as well.,The beer was warm.,6300,7500
filler5,It was unfortunate that Barbara did not get an offer from the job she wanted. She accepted the offer immediately.,0,filler5,filler,trial,It was unfortunate that Barbara did not get an offer from the job she wanted.,She accepted the offer immediately.,4500,6000
6_rat_managed_failed_pref,Carla managed to get a pet rat but Linda failed to get a pet rat. The rats are very noisy at night.,0,block6,target,trial,Carla managed to get a pet rat but Linda failed to get a pet rat.,The rats are very noisy at night.,4500,6600
14_gin_affirmative_affirmative_pref,Dan drank a gin tonic and Jessica drank a gin tonic too. The gin tonics were very strong.,1,block14,target,trial,Dan drank a gin tonic and Jessica drank a gin tonic too.,The gin tonics were very strong.,3600,5400
filler4,Doug didn't make salad for dinner but he made pasta. He skillfully garnished the pasta with fresh basil and grated Parmesan.,1,filler4,filler,trial,Doug didn't make salad for dinner but he made pasta.,He skillfully garnished the pasta with fresh basil and grated Parmesan.,3000,6300
filler8,Katie's parents were able to support her emotionally but not financially. They gave her one thousand dollars every month to help cover her rent.,0,filler8,filler,trial,Katie's parents were able to support her emotionally but not financially.,They gave her one thousand dollars every month to help cover her rent.,3300,7200
filler7,Andy had to walk to school every day because no other means of transportation was available. The bus ride took him 15 minutes.,0,filler7,filler,trial,Andy had to walk to school every day because no other means of transporation was available.,The bus ride took him 15 minutes.,4800,6900
16_house_affirmative_affirmative_pref,Lisa built a house and Jordan built a house too. The houses are the most beautiful buildings I have ever seen.,1,block16,target,trial,Lisa built a house and Jordan built a house too.,The houses are the most beautiful buildings I have ever seen.,3000,6300
filler2,I know that Peter loves pizzas but I doubt that he likes them with pineapple. He hates that combination.,1,filler2,filler,trial,I know that Peter loves pizzas but I doubt that he likes them with pineapple.,He hates that combination.,4500,5700
4_book_affirmative_negation_sref,Susan published a book but Ben didn't publish a book. The book is a real page-turner.,1,block4,target,trial,Susan published a book but Ben didn't publish a book.,The book is a real page-turner.,3000,4800
