id,sent,expected,block,type,display,sent1,sent2,sent2delay,sliderdelay
,,,,,instruction,,,300,600
,,,,,practice,,,300,600
5_shirt_managed_managed_sref,Mary managed to find a shirt at the store and Teresa managed to find a shirt at the store as well. The shirt looks amazing.,0,block5,target,trial,Mary managed to find a shirt at the store and Teresa managed to find a shirt at the store as well.,The shirt looks amazing.,6300,7500
filler7,Andy had to walk to school every day because no other means of transportation was available. The bus ride took him 15 minutes.,0,filler7,filler,trial,Andy had to walk to school every day because no other means of transporation was available.,The bus ride took him 15 minutes.,4800,6900
9_letter_managed_failed_sref,Carolyn managed to write a letter to her parents but Jennifer failed to write a letter to her parents. The letter arrived three days after it was sent.,1,block9,target,trial,Carolyn managed to write a letter to her parents but Jennifer failed to write a letter to her parents.,The letter arrived three days after it was sent.,5700,8400
12_ticket_affirmative_negation_pref,Thomas booked a ticket in advance but Patrick didn't book a ticket in advance. The tickets were much cheaper than expected.,0,block12,target,trial,Thomas booked a ticket in advance but Patrick didn't book a ticket in advance.,The tickets were much cheaper than expected.,4200,6300
3_bear_negation_affirmative_sref,Carol didn't see a bear at the zoo but Jack saw a bear at the zoo. The bear was taller than expected.,1,block3,target,trial,Carol didn't see a bear at the zoo but Jack saw a bear at the zoo.,The bear was taller than expected.,4800,6600
2_car_failed_managed_sref,Lucy failed to rent a car but Ethan managed to rent a car. The car has a self-driving mode.,1,block2,target,trial,Lucy failed to rent a car but Ethan managed to rent a car.,The car has a self-driving mode.,3900,5700
4_book_managed_failed_pref,Susan managed to write a book but Ben failed to write a book. The books are real page-turners.,0,block4,target,trial,Susan managed to write a book but Ben failed to write a book.,The books are real page-turners.,3900,5400
filler5,It was unfortunate that Barbara did not get an offer from the job she wanted. She accepted the offer immediately.,0,filler5,filler,trial,It was unfortunate that Barbara did not get an offer from the job she wanted.,She accepted the offer immediately.,4500,6000
7_beer_failed_failed_sref,Sam failed to order a beer at the bar and Kate failed to order a beer at the bar as well. The beer was warm.,0,block7,target,trial,Sam failed to order a beer at the bar and Kate failed to order a beer at the bar as well.,The beer was warm.,6300,7500
1_dog_negation_affirmative_sref,John doesn't own a dog but Mark owns a dog. The dog is very cute.,1,block1,target,trial,John doesn't own a dog but Mark owns a dog.,The dog is very cute.,3000,4500
6_rat_failed_failed_pref,Carla failed to get a pet rat and Linda failed to get a pet rat as well. The rats are very noisy at night.,0,block6,target,trial,Carla failed to get a pet rat and Linda failed to get a pet rat as well.,The rats are very noisy at night.,5100,7200
filler6,Nick was so busy today that he was forced to skip lunch. He had a chicken sandwich and some fries for lunch.,0,filler6,filler,trial,Nick was so busy today that he was forced to skip lunch.,He had a chicken sandwich and some fries for lunch.,3600,6600
14_gin_negation_affirmative_sref,Dan didn't drink a gin tonic but Jessica drank a gin tonic. The gin tonic was very strong.,1,block14,target,trial,Dan didn't drink a gin tonic but Jessica drank a gin tonic.,The gin tonic was very strong.,3600,5400
8_cake_managed_failed_sref,Michael managed to bake a cake but Adam failed to bake a cake. The cake was the best thing at the picnic.,1,block8,target,trial,Michael managed to bake a cake but Adam failed to bake a cake.,The cake was the best thing at the picnic.,3900,6600
filler4,Doug didn't make salad for dinner but he made pasta. He skillfully garnished the pasta with fresh basil and grated Parmesan.,1,filler4,filler,trial,Doug didn't make salad for dinner but he made pasta.,He skillfully garnished the pasta with fresh basil and grated Parmesan.,3000,6300
filler2,I know that Peter loves pizzas but I doubt that he likes them with pineapple. He hates that combination.,1,filler2,filler,trial,I know that Peter loves pizzas but I doubt that he likes them with pineapple.,He hates that combination.,4500,5700
filler3,Mandy managed to pass the knowledge test for getting a driver's license but she failed the road test. She will need to take the road test again.,1,filler3,filler,trial,Mandy managed to pass the knowledge test for getting a driver's license but she failed the road test.,She will need to take the road test again.,5400,8100
16_house_negation_negation_pref,Lisa didn't build a house and Jordan didn't build a house either. The houses are the most beautiful buildings I have ever seen.,0,block16,target,trial,Lisa didn't build a house and Jordan didn't build a house either.,The houses are the most beautiful buildings I have ever seen.,3600,6900
13_bed_negation_affirmative_sref,Luke didn't buy a bed but Rachel bought a bed. The bed was delivered the next day.,1,block13,target,trial,Luke didn't buy a bed but Rachel bought a bed.,The bed was delivered the next day.,3000,5100
15_bone_affirmative_affirmative_sref,David discovered a bone on his archeological expedition and Andy discovered a bone on his archeological expedition too. The bone likely belonged to an extinct bird species.,0,block15,target,trial,David discovered a bone on his archeological expedition and Andy discovered a bone on his archeological expedition too.,The bone likely belonged to an extinct bird species.,5400,8100
filler8,Katie's parents were able to support her emotionally but not financially. They gave her one thousand dollars every month to help cover her rent.,0,filler8,filler,trial,Katie's parents were able to support her emotionally but not financially.,They gave her one thousand dollars every month to help cover her rent.,3300,7200
10_hat_failed_managed_pref,Chris failed to knit a hat but George managed to knit a hat. The hats were very colorful.,0,block10,target,trial,Chris failed to knit a hat but George managed to knit a hat.,The hats were very colorful.,3900,5400
11_rabbit_failed_managed_sref,Sarah failed to catch a rabbit but Alice managed to catch a rabbit. The rabbit was delicious.,1,block11,target,trial,Sarah failed to catch a rabbit but Alice managed to catch a rabbit.,The rabbit was delicious.,3900,5100
filler1,Jane and Julie watched a movie last Friday night. It was about the first world war.,1,filler1,filler,trial,Jane and Julie watched a movie last Friday night.,It was about the first world war.,2700,4800
