id,sent,expected,block,type,display,sent1,sent2,sent2delay,sliderdelay
,,,,,instruction,,,300,600
,,,,,practice,,,300,600
2_car_managed_managed_pref,Lucy managed to rent a car and Ethan managed to rent a car as well. The cars have a self-driving mode.,1,block2,target,trial,Lucy managed to rent a car and Ethan managed to rent a car as well.,The cars have a self-driving mode.,4500,6300
filler3,Mandy managed to pass the knowledge test for getting a driver's license but she failed the road test. She will need to take the road test again.,1,filler3,filler,trial,Mandy managed to pass the knowledge test for getting a driver's license but she failed the road test.,She will need to take the road test again.,5400,8100
5_shirt_affirmative_negation_pref,Mary found a shirt at the store but Teresa didn't find a shirt at the store. The shirts look amazing.,0,block5,target,trial,Mary found a shirt at the store but Teresa didn't find a shirt at the store.,The shirts look amazing.,4800,6000
13_bed_affirmative_negation_pref,Luke bought a bed but Rachel didn't buy a bed. The beds were delivered the next day.,0,block13,target,trial,Luke bought a bed but Rachel didn't buy a bed.,The beds were delivered the next day.,3000,5100
3_bear_managed_managed_sref,Carol managed to see a bear at the zoo and Jack managed to see a bear at the zoo as well. The bear was taller than expected.,0,block3,target,trial,Carol managed to see a bear at the zoo and Jack managed to see a bear at the zoo as well.,The bear was taller than expected.,6300,8100
11_rabbit_failed_managed_pref,Sarah failed to catch a rabbit but Alice managed to catch a rabbit. The rabbits were delicious.,0,block11,target,trial,Sarah failed to catch a rabbit but Alice managed to catch a rabbit.,The rabbits were delicious.,3900,5100
8_cake_managed_failed_pref,Michael managed to bake a cake but Adam failed to bake a cake. The cakes were the best thing at the picnic.,0,block8,target,trial,Michael managed to bake a cake but Adam failed to bake a cake.,The cakes were the best thing at the picnic.,3900,6600
filler1,Jane and Julie watched a movie last Friday night. It was about the first world war.,1,filler1,filler,trial,Jane and Julie watched a movie last Friday night.,It was about the first world war.,2700,4800
4_book_negation_negation_sref,Susan didn't publish a book and Ben didn't publish a book either. The book is a real page-turner.,0,block4,target,trial,Susan didn't publish a book and Ben didn't publish a book either.,The book is a real page-turner.,3600,5400
1_dog_negation_affirmative_pref,John doesn't own a dog but Mark owns a dog. The dogs are very cute.,0,block1,target,trial,John doesn't own a dog but Mark owns a dog.,The dogs are very cute.,3000,4500
9_letter_negation_negation_pref,Carolyn didn't write a letter to her parents and Jennifer didn't write a letter to her parents either. The letters arrived three days after they were sent.,0,block9,target,trial,Carolyn didn't write a letter to her parents and Jennifer didn't write a letter to her parents either.,The letters arrived three days after they were sent.,5400,8100
filler2,I know that Peter loves pizzas but I doubt that he likes them with pineapple. He hates that combination.,1,filler2,filler,trial,I know that Peter loves pizzas but I doubt that he likes them with pineapple.,He hates that combination.,4500,5700
16_house_managed_failed_sref,Lisa managed to build a house but Jordan failed to build a house. The house is the most beautiful building I have ever seen.,1,block16,target,trial,Lisa managed to build a house but Jordan failed to build a house.,The house is the most beautiful building I have ever seen.,3900,7200
15_bone_managed_failed_sref,David managed to discover a bone on his archeological expedition but Andy failed to discover a bone on his archeological expedition. The bone likely belonged to an extinct bird species.,1,block15,target,trial,David managed to discover a bone on his archeological expedition but Andy failed to discover a bone on his archeological expedition.,The bone likely belonged to an extinct bird species.,6300,9000
12_ticket_affirmative_negation_sref,Thomas booked a ticket in advance but Patrick didn't book a ticket in advance. The ticket was much cheaper than expected.,1,block12,target,trial,Thomas booked a ticket in advance but Patrick didn't book a ticket in advance.,The ticket was much cheaper than expected.,4200,6300
filler6,Nick was so busy today that he was forced to skip lunch. He had a chicken sandwich and some fries for lunch.,0,filler6,filler,trial,Nick was so busy today that he was forced to skip lunch.,He had a chicken sandwich and some fries for lunch.,3600,6600
6_rat_affirmative_affirmative_sref,Carla got a pet rat and Linda got a pet rat too. The rat is very noisy at night.,0,block6,target,trial,Carla got a pet rat and Linda got a pet rat too.,The rat is very noisy at night.,3600,5700
filler5,It was unfortunate that Barbara did not get an offer from the job she wanted. She accepted the offer immediately.,0,filler5,filler,trial,It was unfortunate that Barbara did not get an offer from the job she wanted.,She accepted the offer immediately.,4500,6000
7_beer_managed_failed_sref,Sam managed to order a beer at the bar but Kate failed to order a beer at the bar. The beer was warm.,1,block7,target,trial,Sam managed to order a beer at the bar but Kate failed to order a beer at the bar.,The beer was warm.,5700,6900
10_hat_managed_managed_pref,Chris managed to knit a hat and George managed to knit a hat as well. The hats were very colorful.,1,block10,target,trial,Chris managed to knit a hat and George managed to knit a hat as well.,The hats were very colorful.,4500,6000
14_gin_affirmative_negation_sref,Dan drank a gin tonic but Jessica didn't drink a gin tonic. The gin tonic was very strong.,1,block14,target,trial,Dan drank a gin tonic but Jessica didn't drink a gin tonic.,The gin tonic was very strong.,3600,5400
filler7,Andy had to walk to school every day because no other means of transportation was available. The bus ride took him 15 minutes.,0,filler7,filler,trial,Andy had to walk to school every day because no other means of transporation was available.,The bus ride took him 15 minutes.,4800,6900
filler8,Katie's parents were able to support her emotionally but not financially. They gave her one thousand dollars every month to help cover her rent.,0,filler8,filler,trial,Katie's parents were able to support her emotionally but not financially.,They gave her one thousand dollars every month to help cover her rent.,3300,7200
filler4,Doug didn't make salad for dinner but he made pasta. He skillfully garnished the pasta with fresh basil and grated Parmesan.,1,filler4,filler,trial,Doug didn't make salad for dinner but he made pasta.,He skillfully garnished the pasta with fresh basil and grated Parmesan.,3000,6300
