id,sent,expected,block,type,display,sent1,sent2,sent2delay,sliderdelay
,,,,,instruction,,,300,600
,,,,,practice,,,300,600
2_car_failed_failed_pref,Lucy failed to rent a car and Ethan failed to rent a car as well. The cars have a self-driving mode.,0,block2,target,trial,Lucy failed to rent a car and Ethan failed to rent a car as well.,The cars have a self-driving mode.,4500,6300
4_book_negation_affirmative_pref,Susan didn't publish a book but Ben published a book. The books are real page-turners.,0,block4,target,trial,Susan didn't publish a book but Ben published a book.,The books are real page-turners.,3000,4500
5_shirt_failed_managed_pref,Mary failed to find a shirt at the store but Teresa managed to find a shirt at the store. The shirts look amazing.,0,block5,target,trial,Mary failed to find a shirt at the store but Teresa managed to find a shirt at the store.,The shirts look amazing.,5700,6900
filler4,Doug didn't make salad for dinner but he made pasta. He skillfully garnished the pasta with fresh basil and grated Parmesan.,1,filler4,filler,trial,Doug didn't make salad for dinner but he made pasta.,He skillfully garnished the pasta with fresh basil and grated Parmesan.,3000,6300
7_beer_affirmative_negation_pref,Sam ordered a beer at the bar but Kate didn't order a beer at the bar. The beers were warm.,0,block7,target,trial,Sam ordered a beer at the bar but Kate didn't order a beer at the bar.,The beers were warm.,4800,6000
filler8,Katie's parents were able to support her emotionally but not financially. They gave her one thousand dollars every month to help cover her rent.,0,filler8,filler,trial,Katie's parents were able to support her emotionally but not financially.,They gave her one thousand dollars every month to help cover her rent.,3300,7200
11_rabbit_failed_failed_sref,Sarah failed to catch a rabbit and Alice failed to catch a rabbit as well. The rabbit was delicious.,0,block11,target,trial,Sarah failed to catch a rabbit and Alice failed to catch a rabbit as well.,The rabbit was delicious.,4500,5700
filler3,Mandy managed to pass the knowledge test for getting a driver's license but she failed the road test. She will need to take the road test again.,1,filler3,filler,trial,Mandy managed to pass the knowledge test for getting a driver's license but she failed the road test.,She will need to take the road test again.,5400,8100
filler6,Nick was so busy today that he was forced to skip lunch. He had a chicken sandwich and some fries for lunch.,0,filler6,filler,trial,Nick was so busy today that he was forced to skip lunch.,He had a chicken sandwich and some fries for lunch.,3600,6600
6_rat_affirmative_affirmative_pref,Carla got a pet rat and Linda got a pet rat too. The rats are very noisy at night.,1,block6,target,trial,Carla got a pet rat and Linda got a pet rat too.,The rats are very noisy at night.,3600,5700
filler1,Jane and Julie watched a movie last Friday night. It was about the first world war.,1,filler1,filler,trial,Jane and Julie watched a movie last Friday night.,It was about the first world war.,2700,4800
filler5,It was unfortunate that Barbara did not get an offer from the job she wanted. She accepted the offer immediately.,0,filler5,filler,trial,It was unfortunate that Barbara did not get an offer from the job she wanted.,She accepted the offer immediately.,4500,6000
13_bed_affirmative_affirmative_pref,Luke bought a bed and Rachel bought a bed too. The beds were delivered the next day.,1,block13,target,trial,Luke bought a bed and Rachel bought a bed too.,The beds were delivered the next day.,3000,5100
14_gin_negation_affirmative_pref,Dan didn't drink a gin tonic but Jessica drank a gin tonic. The gin tonics were very strong.,0,block14,target,trial,Dan didn't drink a gin tonic but Jessica drank a gin tonic.,The gin tonics were very strong.,3600,5400
10_hat_affirmative_affirmative_sref,Chris knitted a hat and George knitted a hat too. The hat was very colorful.,0,block10,target,trial,Chris knitted a hat and George knitted a hat too.,The hat was very colorful.,3000,4500
filler2,I know that Peter loves pizzas but I doubt that he likes them with pineapple. He hates that combination.,1,filler2,filler,trial,I know that Peter loves pizzas but I doubt that he likes them with pineapple.,He hates that combination.,4500,5700
12_ticket_managed_managed_sref,Thomas managed to book a ticket and Patrick managed to book a ticket as well. The ticket was much cheaper than expected.,0,block12,target,trial,Thomas managed to book a ticket and Patrick managed to book a ticket as well.,The ticket was much cheaper than expected.,4500,6600
8_cake_negation_affirmative_sref,Michael didn't bake a cake but Adam baked a cake. The cake was the best thing at the picnic.,1,block8,target,trial,Michael didn't bake a cake but Adam baked a cake.,The cake was the best thing at the picnic.,3000,5700
9_letter_affirmative_affirmative_sref,Carolyn wrote a letter to her parents and Jennifer wrote a letter to her parents too. The letter arrived three days after it was sent.,0,block9,target,trial,Carolyn wrote a letter to her parents and Jennifer wrote a letter to her parents too.,The letter arrived three days after it was sent.,4800,7500
1_dog_failed_failed_sref,John failed to adopt a dog and Mark failed to adopt a dog as well. The dog is very cute.,0,block1,target,trial,John failed to adopt a dog and Mark failed to adopt a dog as well.,The dog is very cute.,4500,6000
16_house_managed_failed_pref,Lisa managed to build a house but Jordan failed to build a house. The houses are the most beautiful buildings I have ever seen.,0,block16,target,trial,Lisa managed to build a house but Jordan failed to build a house.,The houses are the most beautiful buildings I have ever seen.,3900,7200
3_bear_managed_failed_pref,Carol managed to see a bear at the zoo but Jack failed to see a bear at the zoo. The bears were taller than expected.,0,block3,target,trial,Carol managed to see a bear at the zoo but Jack failed to see a bear at the zoo.,The bears were taller than expected.,5700,7500
15_bone_negation_affirmative_pref,David didn't discover a bone on his archeological expedition but Andy discovered a bone on his archeological expedition. The bones likely belonged to an extinct bird species.,0,block15,target,trial,David didn't discover a bone on his archeological expedition but Andy discovered a bone on his archeological expedition.,The bones likely belonged to an extinct bird species.,5400,8100
filler7,Andy had to walk to school every day because no other means of transportation was available. The bus ride took him 15 minutes.,0,filler7,filler,trial,Andy had to walk to school every day because no other means of transporation was available.,The bus ride took him 15 minutes.,4800,6900
