id,sent,expected,block,type,display,sent1,sent2,sent2delay,sliderdelay
,,,,,instruction,,,300,600
,,,,,practice,,,300,600
12_ticket_negation_affirmative_sref,Thomas didn't book a ticket in advance but Patrick booked a ticket in advance. The ticket was much cheaper than expected.,1,block12,target,trial,Thomas didn't book a ticket in advance but Patrick booked a ticket in advance.,The ticket was much cheaper than expected.,4200,6300
3_bear_failed_failed_pref,Carol failed to see a bear at the zoo and Jack failed to see a bear at the zoo as well. The bears were taller than expected.,0,block3,target,trial,Carol failed to see a bear at the zoo and Jack failed to see a bear at the zoo as well.,The bears were taller than expected.,6300,8100
filler3,Mandy managed to pass the knowledge test for getting a driver's license but she failed the road test. She will need to take the road test again.,1,filler3,filler,trial,Mandy managed to pass the knowledge test for getting a driver's license but she failed the road test.,She will need to take the road test again.,5400,8100
15_bone_affirmative_affirmative_pref,David discovered a bone on his archeological expedition and Andy discovered a bone on his archeological expedition too. The bones likely belonged to an extinct bird species.,1,block15,target,trial,David discovered a bone on his archeological expedition and Andy discovered a bone on his archeological expedition too.,The bones likely belonged to an extinct bird species.,5400,8100
7_beer_failed_managed_sref,Sam failed to order a beer at the bar but Kate managed to order a beer at the bar. The beer was warm.,1,block7,target,trial,Sam failed to order a beer at the bar but Kate managed to order a beer at the bar.,The beer was warm.,5700,6900
filler2,I know that Peter loves pizzas but I doubt that he likes them with pineapple. He hates that combination.,1,filler2,filler,trial,I know that Peter loves pizzas but I doubt that he likes them with pineapple.,He hates that combination.,4500,5700
1_dog_affirmative_affirmative_sref,John owns a dog and Mark owns a dog too. The dog is very cute.,0,block1,target,trial,John owns a dog and Mark owns a dog too.,The dog is very cute.,3000,4500
14_gin_affirmative_negation_pref,Dan drank a gin tonic but Jessica didn't drink a gin tonic. The gin tonics were very strong.,0,block14,target,trial,Dan drank a gin tonic but Jessica didn't drink a gin tonic.,The gin tonics were very strong.,3600,5400
filler6,Nick was so busy today that he was forced to skip lunch. He had a chicken sandwich and some fries for lunch.,0,filler6,filler,trial,Nick was so busy today that he was forced to skip lunch.,He had a chicken sandwich and some fries for lunch.,3600,6600
13_bed_negation_negation_pref,Luke didn't buy a bed and Rachel didn't buy a bed either. The beds were delivered the next day.,0,block13,target,trial,Luke didn't buy a bed and Rachel didn't buy a bed either.,The beds were delivered the next day.,3600,5700
16_house_managed_managed_sref,Lisa managed to build a house and Jordan managed to build a house as well. The house is the most beautiful building I have ever seen.,0,block16,target,trial,Lisa managed to build a house and Jordan managed to build a house as well.,The house is the most beautiful building I have ever seen.,4500,7800
9_letter_managed_failed_pref,Carolyn managed to write a letter to her parents but Jennifer failed to write a letter to her parents. The letters arrived three days after they were sent.,0,block9,target,trial,Carolyn managed to write a letter to her parents but Jennifer failed to write a letter to her parents.,The letters arrived three days after they were sent.,5700,8400
filler7,Andy had to walk to school every day because no other means of transportation was available. The bus ride took him 15 minutes.,0,filler7,filler,trial,Andy had to walk to school every day because no other means of transporation was available.,The bus ride took him 15 minutes.,4800,6900
filler5,It was unfortunate that Barbara did not get an offer from the job she wanted. She accepted the offer immediately.,0,filler5,filler,trial,It was unfortunate that Barbara did not get an offer from the job she wanted.,She accepted the offer immediately.,4500,6000
filler4,Doug didn't make salad for dinner but he made pasta. He skillfully garnished the pasta with fresh basil and grated Parmesan.,1,filler4,filler,trial,Doug didn't make salad for dinner but he made pasta.,He skillfully garnished the pasta with fresh basil and grated Parmesan.,3000,6300
8_cake_negation_affirmative_pref,Michael didn't bake a cake but Adam baked a cake. The cakes were the best thing at the picnic.,0,block8,target,trial,Michael didn't bake a cake but Adam baked a cake.,The cakes were the best thing at the picnic.,3000,5700
filler8,Katie's parents were able to support her emotionally but not financially. They gave her one thousand dollars every month to help cover her rent.,0,filler8,filler,trial,Katie's parents were able to support her emotionally but not financially.,They gave her one thousand dollars every month to help cover her rent.,3300,7200
11_rabbit_affirmative_affirmative_pref,Sarah caught a rabbit and Alice caught a rabbit too. The rabbits were delicious.,1,block11,target,trial,Sarah caught a rabbit and Alice caught a rabbit too.,The rabbits were delicious.,3000,4200
10_hat_failed_failed_pref,Chris failed to knit a hat and George failed to knit a hat as well. The hats were very colorful.,0,block10,target,trial,Chris failed to knit a hat and George failed to knit a hat as well.,The hats were very colorful.,4500,6000
6_rat_failed_managed_sref,Carla failed to get a pet rat but Linda managed to get a pet rat. The rat is very noisy at night.,1,block6,target,trial,Carla failed to get a pet rat but Linda managed to get a pet rat.,The rat is very noisy at night.,4500,6600
5_shirt_affirmative_affirmative_pref,Mary found a shirt at the store and Teresa found a shirt at the store too. The shirts look amazing.,1,block5,target,trial,Mary found a shirt at the store and Teresa found a shirt at the store too.,The shirts look amazing.,4800,6000
2_car_negation_affirmative_pref,Lucy doesn't have a car but Ethan has a car. The cars have a self-driving mode.,0,block2,target,trial,Lucy doesn't have a car but Ethan has a car.,The cars have a self-driving mode.,3000,4800
4_book_failed_failed_sref,Susan failed to write a book and Ben failed to write a book as well. The book is a real page-turner.,0,block4,target,trial,Susan failed to write a book and Ben failed to write a book as well.,The book is a real page-turner.,4500,6300
filler1,Jane and Julie watched a movie last Friday night. It was about the first world war.,1,filler1,filler,trial,Jane and Julie watched a movie last Friday night.,It was about the first world war.,2700,4800
