id,context_affirmative,context_negated,affirmative_continuation_referential,affirmative_continuation_nonreferential,context_know,context_doubt,factive_continuation_referential,factive_continuation_nonreferential,context_managed,context_failed,implicative_continuation_referential,implicative_continuation_nonreferential,context_modal,modal_continuation_referential,modal_continuation_nonreferential
1_dog,John owns a dog,John doesn't own a dog,and it follows him everywhere he goes.,and it's not a big deal.,I know that John owns a dog.,I doubt that John owns a dog.,It follows him everywhere he goes.,It's not a big deal.,John managed to adopt a dog.,John failed to adopt a dog.,It follows him everywhere he goes.,It's not a big deal.,John wants to own a dog,and it follows him everywhere he goes.,and it's not a big deal.
2_car,Lucy has a car,Lucy doesn't have a car,and it has a self-driving mode.,and it's not a big deal.,I know that Lucy has a car.,I doubt that Lucy has a car.,It has a self-driving mode.,It's not a big deal.,Lucy managed to rent a car.,Lucy failed to rent a car.,It has a self-driving mode.,It's not a big deal.,Lucy wants to have a car,and it has a self-driving mode.,and it's not a big deal.
3_bear,Carol saw a bear at the zoo,Carol didn't see a bear at the zoo,and it was taller than she expected.,and it's not a big deal.,I know that Carol saw a bear at the zoo.,I doubt that Carol saw a bear at the zoo.,It was taller than she expected.,It's not a big deal.,Carol managed to see a bear at the zoo.,Carol failed to see a bear at the zoo.,It was taller than she expected.,It's not a big deal.,Carol wants to see a bear at the zoo,and it was taller than she expected.,and it's not a big deal.
4_book,Susan published a book,Susan didn't publish a book,and it is a real page-turner.,and it's not a big deal.,I know that Susan published a book.,I doubt that Susan published a book.,It is a real page-turner.,It's not a big deal.,Susan managed to write a book.,Susan failed to write a book.,It is a real page-turner.,It's not a big deal.,Susan wants to publish a book,and it is a real page-turner.,and it's not a big deal.
5_shirt,Mary found a shirt at the store,Mary didn't find a shirt at the store,and it looks amazing on her.,and it's not a big deal.,I know that Mary found a shirt at the store.,I doubt that Mary found a shirt at the store.,It looks amazing on her.,It's not a big deal.,Mary managed to find a shirt at the store.,Mary failed to find a shirt at the store.,It looks amazing on her.,It's not a big deal.,Mary wants to find a shirt at the store,and it looks amazing on her.,and it's not a big deal.
6_rat,Carla got a pet rat,Carla didn't get a pet rat,and it is very noisy at night.,and it's not a big deal.,I know that Carla got a pet rat.,I doubt that Carla got a pet rat.,It is very noisy at night.,It's not a big deal.,Carla managed to get a pet rat.,Carla failed to get a pet rat.,It is very noisy at night.,It's not a big deal.,Carla wants to get a pet rat,and it is very noisy at night.,and it's not a big deal.
7_beer,Sam ordered a beer at the bar,Sam didn't order a beer at the bar,and it was warm.,and it's not a big deal.,I know that Sam ordered a beer at the bar.,I doubt that Sam ordered a beer at the bar.,It was warm.,It's not a big deal.,Sam managed to order a beer at the bar.,Sam failed to order a beer at the bar.,It was warm.,It's not a big deal.,Sam wants to order a beer at the bar,and it was warm.,and it's not a big deal.
8_cake,Michael baked a cake,Michael didn't bake a cake,and it was the best thing at the picnic.,and it's not a big deal.,I know that Michael baked a cake.,I doubt that Michael baked a cake.,It was the best thing at the picnic.,It's not a big deal.,Michael managed to bake a cake.,Michael failed to bake a cake.,It was the best thing at the picnic.,It's not a big deal.,Michael wants to bake a cake,and it was the best thing at the picnic.,and it's not a big deal.
9_letter,Carolyn wrote a letter to her parents,Carolyn didn't write a letter to her parents,and it arrived three days after she sent it.,and it's not a big deal.,I know that Carolyn wrote a letter to her parents.,I doubt that Carolyn wrote a letter to her parents.,It arrived three days after she sent it.,It's not a big deal.,Carolyn managed to write a letter to her parents.,Carolyn failed to write a letter to her parents.,It arrived three days after she sent it.,It's not a big deal.,Carolyn wants to write a letter to her parents,and it arrived three days after she sent it.,and it's not a big deal.
10_hat,Chris knitted a hat,Chris didn't knit a hat,and it was very colorful.,and it's not a big deal.,I know that Chris knitted a hat.,I doubt that Chris knitted a hat.,It was very colorful.,It's not a big deal.,Chris managed to knit a hat.,Chris failed to knit a hat.,It was very colorful.,It's not a big deal.,Chris wants to knit a hat,and it was very colorful.,and it's not a big deal.
11_cod,Sarah caught a cod,Sarah didn't catch a cod,and it made a fantastic dinner.,and it's not a big deal.,I know that Sarah caught a cod.,I doubt that Sarah caught a cod.,It made a fantastic dinner.,It's not a big deal.,Sarah managed to catch a cod.,Sarah failed to catch a cod.,It made a fantastic dinner.,It's not a big deal.,Sarah wants to catch a cod,and it made a fantastic dinner.,and it's not a big deal.
12_ticket,Thomas booked a ticket in advance,Thomas didn't book a ticket in advance,and it was much cheaper than he expected.,and it's not a big deal.,I know that Thomas booked a ticket in advance.,I doubt that Thomas booked a ticket in advance.,It was much cheaper than he expected.,It's not a big deal.,Thomas managed to book a ticket.,Thomas failed to book a ticket.,It was much cheaper than he expected.,It's not a big deal.,Thomas wants to book a ticket in advance,and it was much cheaper than he expected.,and it's not a big deal.
13_bed,Luke bought a bed,Luke didn't buy a bed,and it was delivered the next day.,and it's not a big deal.,I know that Luke bought a bed.,I doubt that Luke bought a bed.,It was delivered the next day.,It's not a big deal.,Luke managed to buy a bed.,Luke failed to buy a bed.,It was delivered the next day.,It's not a big deal.,Luke wants to buy a bed,and it was delivered the next day.,and it's not a big deal.
