id,negation_affirmative1,negation_affirmative2,affirmative_negation1,affirmative_negation2,modal_affirmative1,modal_affirmative2,affirmative_modal1,affirmative_modal2,managed_failed1,managed_failed2,failed_managed1,failed_managed2,know_doubt1,know_doubt2,doubt_know1,doubt_know2,noun_1,noun_2,continuation_ref_1,continuation_ref_2,continuation_nonref_1,continuation_nonref_2
1_dog,John doesn't own a dog but he owns a cat.,John doesn't own a cat but he owns a dog.,John owns a dog but he doesn't own a cat.,John owns a cat but he doesn't own a dog.,John wants to own a dog but he owns a cat.,John wants to own a cat but he owns a dog.,John owns a dog but he wants to own a cat.,John owns a cat but he wants to own a dog.,John managed to adopt a dog but failed to adopt a cat.,John managed to adopt a cat but failed to adopt a dog.,John failed to adopt a dog but managed to adopt a cat.,John failed to adopt a cat but managed to adopt a dog.,I know that John owns a dog but I doubt that he owns a cat.,I know that John owns a cat but I doubt that he owns a dog.,I doubt that John owns a dog but I know that he owns a cat.,I doubt that John owns a cat but I know that he owns a dog.,The dog,The cat,His dog follows him everywhere he goes.,His cat follows him everywhere he goes.,The dog that he liked had been adopted by someone else.,The cat that he liked had been adopted by someone else.
2_car,Lucy doesn't have a car but she has a bike.,Lucy doesn't have a bike but she has a car.,Lucy has a car but she doesn't have a bike.,Lucy has a bike but she doesn't have a car.,Lucy wants to have a car but she has a bike.,Lucy wants to have a bike but she has a car.,Lucy has a car but she wants to have a bike.,Lucy has a bike but she wants to have a car.,Lucy managed to rent a car but she failed to rent a bike.,Lucy managed to rent a bike but she failed to rent a car.,Lucy failed to rent a car but she managed to rent a bike.,Lucy failed to rent a bike but she managed to rent a car.,I know that Lucy has a car but I doubt that she has a bike.,I know that Lucy has a bike but I doubt that she has a car.,I doubt that Lucy has a car but I know that she has a bike.,I doubt that Lucy has a bike but I know that she has a car.,The car,The bike,Her car is red.,Her bike is red. ,The car that she liked would have been too expensive.,The bike that she liked would have been too expensive.
3_bear,Carol didn't see a bear at the zoo but she saw a monkey.,Carol didn't see a monkey at the zoo but she saw a bear.,Carol saw a bear at the zoo but she didn't see a monkey.,Carol saw a monkey at the zoo but she didn't see a bear.,Carol wanted to see a bear at the zoo but she saw a monkey.,Carol wanted to see a monkey at the zoo but she saw a bear.,Carol saw a bear at the zoo but she wanted to see a monkey.,Carol saw a monkey at the zoo but she wanted to see a bear.,Carol managed to see a bear at the zoo but failed to see a monkey.,Carol managed to see a monkey at the zoo but failed to see a bear.,Carol failed to see a bear at the zoo but managed to see a monkey.,Carol failed to see a monkey at the zoo but managed to see a bear.,I know that Carol saw a bear at the zoo but I doubt that she saw a monkey.,I know that Carol saw a monkey at the zoo but I doubt that she saw a bear.,I doubt that Carol saw a bear at the zoo but I know that she saw a monkey.,I doubt that Carol saw a monkey at the zoo but I know that she saw a bear.,The bear,The monkey,The bear was much taller than she expected.,The monkey was much taller than she expected.,The bear that was supposed to be in the zoo had been on loan to another zoo.,The monkey that was supposed to be in the zoo had been on loan to another zoo.
4_book,Susan didn't publish a book but she published an article in the New Yorker.,Susan didn't publish an article in the New Yorker but she published a book.,Susan published a book but she didn't publish an article in the New Yorker.,Susan published an article in the New Yorker but she didn't publish a book.,Susan wanted to publish a book but she published an article in the New Yorker.,Susan wanted to publish an article in the New Yorker but she published a book.,Susan published a book but she wanted to publish an article in the New Yorker.,Susan published an article in the New Yorker but she wanted to publish a book.,Susan managed to write a book but failed to write an article for the New Yorker.,Susan managed to write an article for the New Yorker but failed to write a book.,Susan failed to write a book but managed to write an article for the New Yorker.,Susan failed to write an article for the New Yorker but managed to write a book.,I know that Susan published a book but I doubt that she published an article in the New Yorker.,I know that Susan published an article in the New Yorker but I doubt that she published a book.,I doubt that Susan published a book but I know that she published an article in the New Yorker.,I doubt that Susan published an article in the New Yorker but I know that she published  a book.,The book,The article,Her book was translated into several languages.,Her article was translated into several languages.,The book that she was planning to write would have been about unions.,The article that she was planning to write would have been about unions.
5_shirt,Mary didn't find a shirt at the store but she found a hat.,Mary didn't find a hat at the store but she found a shirt.,Mary found a shirt at the store but she didn't find a hat.,Mary found a hat at the store but she didn't find a shirt.,Mary wanted to find a shirt at the store but she found a hat.,Mary wanted to find a hat at the store but she found a shirt.,Mary found a shirt at the store but she wanted to find a hat.,Mary found a hat at the store but she wanted to find a shirt.,Mary managed to find a shirt at the store but failed to find a hat.,Mary managed to find a hat at the store but failed to find a shirt.,Mary failed to find a shirt at the store but managed to find a hat.,Mary failed to find a hat at the store but managed to find a shirt.,I know that Mary found a shirt at the store but I doubt that she found a hat.,I know that Mary found a hat at the store but I doubt that she found a shirt.,I doubt that Mary found a shirt at the store but I know that she found a hat.,I doubt that Mary found a hat at the store but I know that she found a shirt.,The shirt,The hat,The shirt is blue.,The hat is blue.,The shirt that she tried on didn't fit.,The hat that she tried on didn't fit.
6_rat,Carla didn't get a pet rat but she got a bird.,Carla didn't get a bird but she got a pet rat.,Carla got a pet rat but she didn't get a bird.,Carla got a bird but she didn't get a pet rat.,Carla wanted to get a pet rat but she got a bird.,Carla wanted to get a bird but she got a pet rat.,Carla got a pet rat but she wanted to get a bird.,Carla got a bird but she wanted to get a pet rat.,Carla managed to get a pet rat but failed to get a bird.,Carla managed to get a bird but failed to get a pet rat.,Carla failed to get a pet rat but managed to get a bird.,Carla failed to get a bird but managed to get a pet rat.,I know that Carla got a pet rat but I doubt she got a bird.,I know that Carla got a bird but I doubt she got a pet rat.,I doubt that Carla got a pet rat but I know she got a bird.,I doubt that Carla got a bird but I know she got a pet rat.,The rat,The bird,Her rat makes a lot of noise at night.,Her bird makes a lot of noise at night.,The rat that she saw at the store was too aggressive.,The bird that she saw at the store was too aggressive.
7_beer,Sam didn't order a beer at the bar but he ordered a cocktail.,Sam didn't order a cocktail at the bar but he ordered a beer.,Sam ordered a beer at the bar but he didn't order a cocktail.,Sam ordered a cocktail at the bar but he didn't order a beer.,Sam wanted to order a beer at the bar but he ordered a cocktail.,Sam wanted to order a cocktail at the bar but he ordered a beer.,Sam ordered a beer at the bar but he wanted to order a cocktail.,Sam ordered a cocktail at the bar but he wanted to order a beer.,Sam managed to order a beer at the bar but failed to order a cocktail.,Sam managed to order a cocktail at the bar but failed to order a beer.,Sam failed to order a beer at the bar but managed to order a cocktail.,Sam failed to order a cocktail at the bar but managed to order a beer.,I know that Sam ordered a beer at the bar but I doubt that he ordered a cocktail.,I know that Sam ordered a cocktail at the bar but I doubt that he ordered a beer.,I doubt that Sam ordered a beer at the bar but I know that he ordered a cocktail.,I doubt that Sam ordered a cocktail at the bar but I know that he ordered a beer.,The beer,The cocktail,The beer was served in a plastic cup.,The cocktail was served in a plastic cup.,The beer that he likes was sold out.,The cocktail that he likes was sold out.
8_cake,Michael didn't bake a cake but he baked a pie.,Michael didn't bake a pie but he baked a cake.,Michael baked a cake but he didn't bake a pie.,Michael baked a pie but he didn't bake a cake.,Michael wanted to bake a cake but he baked a pie.,Michael wanted to bake a pie but he baked a cake.,Michael baked a cake but he wanted to bake a pie.,Michael baked a pie but he wanted to bake a cake.,Michael managed to bake a cake but failed to bake a pie.,Michael managed to bake a pie but failed to bake a cake.,Michael failed to bake a cake but managed to bake a pie.,Michael failed to bake a pie but managed to bake a cake.,I know that Michael baked a cake but I doubt that he baked a pie.,I know that Michael baked a pie but I doubt that he baked a cake.,I doubt that Michael baked a cake but I know that he baked a pie.,I doubt that Michael baked a pie but I know that he baked a cake.,The cake,The pie,His cake tasted delicious.,His pie tasted delicious.,The cake that he was planning to make required too many ingredients.,The pie that he was planning to make required too many ingredients.
9_letter,Carolyn didn't write a letter to her parents but she wrote them a card.,Carolyn didn't write a card to her parents but she wrote them a letter.,Carolyn wrote a letter to her parents but she didn't write them a card.,Carolyn wrote a card to her parents but she didn't write them a letter.,Carolyn wanted to write a letter to her parents but she wrote them a card.,Carolyn wanted to write a card to her parents but she wrote them a letter.,Carolyn wrote a letter to her parents but she wanted to write them a card.,Carolyn wrote a card to her parents but she wanted to write them a letter.,Carolyn managed to write a letter to her parents but failed to write them a card.,Carolyn managed to write a card to her parents but failed to write them a letter.,Carolyn failed to write a letter to her parents but managed to write them a card.,Carolyn failed to write a card to her parents but managed to write them a letter.,I know that Carolyn wrote a letter to her parents but I doubt that she wrote them a card.,I know that Carolyn wrote a card to her parents but I doubt that she wrote them a letter.,I doubt that Carolyn wrote a letter to her parents but I know that she wrote them a card.,I doubt that Carolyn wrote a card to her parents but I know that she wrote them a letter.,The letter,The card,Her letter was delivered two days after she sent it.,Her card was delivered two days after she sent it.,The letter would have arrived too late.,The card would have arrived too late.
10_hat,Chris didn't knit a hat but he knitted a bag.,Chris didn't knit a bag but he knitted a hat.,Chris knitted a hat but he didn't knit a bag.,Chris knitted a bag but he didn't knit a hat.,Chris wanted to knit a hat but he knitted a bag.,Chris wanted to knit a bag but he knitted a hat.,Chris knitted a hat but he wanted to knit a bag.,Chris knitted a bag but he wanted to knit a hat.,Chris managed to knit a hat but failed to knit a bag.,Chris managed to knit a bag but failed to knit a hat.,Chris failed to knit a hat but managed to knit a bag.,Chris failed to knit a bag but managed to knit a hat.,I know that Chris knitted a hat but I doubt that he knitted a bag.,I know that Chris knitted a bag but I doubt that he knitted a hat.,I doubt that Chris knitted a hat but I know that he knitted a bag.,I doubt that Chris knitted a bag but I know that he knitted a hat.,The hat,The bag,His hat was very colorful.,His bag was very colorful.,The hat would have taken too much time to knit.,The bag would have taken too much time to knit.
