id,negation_affirmative1,negation_affirmative2,affirmative_negation1,affirmative_negation2,modal_affirmative1,modal_affirmative2,affirmative_modal1,affirmative_modal2,managed_failed1,managed_failed2,failed_managed1,failed_managed2,know_doubt1,know_doubt2,doubt_know1,doubt_know2,continuation_1,continuation_2
1_dog,John doesn't own a dog but he owns a cat.,John doesn't own a cat but he owns a dog.,John owns a dog but he doesn't own a cat.,John owns a cat but he doesn't own a dog.,John wants to own a dog but he owns a cat.,John wants to own a cat but he owns a dog.,John owns a dog but he wants to own a cat.,John owns a cat but he wants to own a dog.,John managed to adopt a dog but failed to adopt a cat.,John managed to adopt a cat but failed to adopt a dog.,John failed to adopt a dog but managed to adopt a cat.,John failed to adopt a cat but managed to adopt a dog.,I know that John owns a dog but I doubt that he owns a cat.,I know that John owns a cat but I doubt that he owns a dog.,I doubt that John owns a dog but I know that he owns a cat.,I doubt that John owns a cat but I know that he owns a dog.,The dog,The cat
2_car,Peter doesn't have a car but he has a bike.,Peter doesn't have a bike but he has a car.,Peter has a car but he doesn't have a bike.,Peter has a bike but he doesn't have a car.,Peter wants to have a car but he has a bike.,Peter wants to have a bike but he has a car.,Peter has a car but he wants to have a bike.,Peter has a bike but he wants to have a car.,Lucy managed to rent a car but she failed to rent a bike.,Lucy managed to rent a bike but she failed to rent a car.,Lucy failed to rent a car but she managed to rent a bike.,Lucy failed to rent a bike but she managed to rent a car.,I know that Lucy has a car but I doubt that she has a bike.,I know that Lucy has a bike but I doubt that she has a car.,I doubt that Lucy has a car but I know that she has a bike.,I doubt that Lucy has a bike but I know that she has a car.,The car,The bike
3_bear,Carol didn't see a bear at the zoo but she saw a monkey.,Carol didn't see a monkey at the zoo but she saw a bear.,Carol saw a bear at the zoo but she didn't see a monkey.,Carol saw a monkey at the zoo but she didn't see a bear.,Carol wanted to see a bear at the zoo but she saw a monkey.,Carol wanted to see a monkey at the zoo but she saw a bear.,Carol saw a bear at the zoo but she wanted to see a monkey.,Carol saw a monkey at the zoo but she wanted to see a bear.,Carol managed to see a bear at the zoo but failed to see a monkey.,Carol managed to see a monkey at the zoo but failed to see a bear.,Carol failed to see a bear at the zoo but managed to see a monkey.,Carol failed to see a monkey at the zoo but managed to see a bear.,I know that Carol saw a bear at the zoo but I doubt that she saw a monkey.,I know that Carol saw a monkey at the zoo but I doubt that she saw a bear.,I doubt that Carol saw a bear at the zoo but I know that she saw a monkey.,I doubt that Carol saw a monkey at the zoo but I know that she saw a bear.,The bear,The monkey
4_book,Susan didn't publish a book but she published an article in the New Yorker.,Susan didn't publish an article in the New Yorker but she published a book.,Susan published a book but she didn't publish an article in the New Yorker.,Susan published an article in the New Yorker but she didn't publish a book.,Susan wanted to publish a book but she published an article in the New Yorker.,Susan wanted to publish an article in the New Yorker but she published a book.,Susan published a book but she wanted to publish an article in the New Yorker.,Susan published an article in the New Yorker but she wanted to publish a book.,Susan managed to write a book but failed to write an article for the New Yorker.,Susan managed to write an article for the New Yorker but failed to write a book.,Susan failed to write a book but managed to write an article for the New Yorker.,Susan failed to write an article for the New Yorker but managed to write a book.,I know that Susan published a book but I doubt that she published an article in the New Yorker.,I know that Susan published an article in the New Yorker but I doubt that she published a book.,I doubt that Susan published a book but I know that she published an article in the New Yorker.,I doubt that Susan published an article in the New Yorker but I know that she published  a book.,The book,The article
5_shirt,Mary didn't find a shirt at the store but she found a hat.,Mary didn't find a hat at the store but she found a shirt.,Mary found a shirt at the store but she didn't find a hat.,Mary found a hat at the store but she didn't find a shirt.,Mary wanted to find a shirt at the store but she found a hat.,Mary wanted to find a hat at the store but she found a shirt.,Mary found a shirt at the store but she wanted to find a hat.,Mary found a hat at the store but she wanted to find a shirt.,Mary managed to find a shirt at the store but failed to find a hat.,Mary managed to find a hat at the store but failed to find a shirt.,Mary failed to find a shirt at the store but managed to find a hat.,Mary failed to find a hat at the store but managed to find a shirt.,I know that Mary found a shirt at the store but I doubt that she found a hat.,I know that Mary found a hat at the store but I doubt that she found a shirt.,I doubt that Mary found a shirt at the store but I know that she found a hat.,I doubt that Mary found a hat at the store but I know that she found a shirt.,The shirt,The hat
6_rat,Carla didn't get a pet rat but she got a bird.,Carla didn't get a bird but she got a pet rat.,Carla got a pet rat but she didn't get a bird.,Carla got a bird but she didn't get a pet rat.,Carla wanted to get a pet rat but she got a bird.,Carla wanted to get a bird but she got a pet rat.,Carla got a pet rat but she wanted to get a bird.,Carla got a bird but she wanted to get a pet rat.,Carla managed to get a pet rat but failed to get a bird.,Carla managed to get a bird but failed to get a pet rat.,Carla failed to get a pet rat but managed to get a bird.,Carla failed to get a bird but managed to get a pet rat.,I know that Carla got a pet rat but I doubt she got a bird.,I know that Carla got a bird but I doubt she got a pet rat.,I doubt that Carla got a pet rat but I know she got a bird.,I doubt that Carla got a bird but I know she got a pet rat.,The rat,The bird
7_beer,Sam didn't order a beer at the bar but he ordered a wine.,Sam didn't order a wine at the bar but he ordered a beer.,Sam ordered a beer at the bar but he didn't order a wine.,Sam ordered a wine at the bar but he didn't order a beer.,Sam wanted to order a beer at the bar but he ordered a wine.,Sam wanted to order a wine at the bar but he ordered a beer.,Sam ordered a beer at the bar but he wanted to order a wine.,Sam ordered a wine at the bar but he wanted to order a beer.,Sam managed to order a beer at the bar but failed to order a wine.,Sam managed to order a wine at the bar but failed to order a beer.,Sam failed to order a beer at the bar but managed to order a wine.,Sam failed to order a wine at the bar but managed to order a beer.,I know that Sam ordered a beer at the bar but I doubt that he ordered a wine.,I know that Sam ordered a wine at the bar but I doubt that he ordered a beer.,I doubt that Sam ordered a beer at the bar but I know that he ordered a wine.,I doubt that Sam ordered a wine at the bar but I know that he ordered a beer.,The beer,The wine
8_cake,Michael didn't bake a cake but he baked a pie.,Michael didn't bake a pie but he baked a cake.,Michael baked a cake but he didn't bake a pie.,Michael baked a pie but he didn't bake a cake.,Michael wanted to bake a cake but he baked a pie.,Michael wanted to bake a pie but he baked a cake.,Michael baked a cake but he wanted to bake a pie.,Michael baked a pie but he wanted to bake a cake.,Michael managed to bake a cake but failed to bake a pie.,Michael managed to bake a pie but failed to bake a cake.,Michael failed to bake a cake but managed to bake a pie.,Michael failed to bake a pie but managed to bake a cake.,I know that Michael baked a cake but I doubt that he baked a pie.,I know that Michael baked a pie but I doubt that he baked a cake.,I doubt that Michael baked a cake but I know that he baked a pie.,I doubt that Michael baked a pie but I know that he baked a cake.,The cake,The pie
9_letter,Carolyn didn't write a letter to her parents but she wrote them a card.,Carolyn didn't write a card to her parents but she wrote them a letter.,Carolyn wrote a letter to her parents but she didn't write them a card.,Carolyn wrote a card to her parents but she didn't write them a letter.,Carolyn wanted to write a letter to her parents but she wrote them a card.,Carolyn wanted to write a card to her parents but she wrote them a letter.,Carolyn wrote a letter to her parents but she wanted to write them a card.,Carolyn wrote a card to her parents but she wanted to write them a letter.,Carolyn managed to write a letter to her parents but failed to write them a card.,Carolyn managed to write a card to her parents but failed to write them a letter.,Carolyn failed to write a letter to her parents but managed to write them a card.,Carolyn failed to write a card to her parents but managed to write them a letter.,I know that Carolyn wrote a letter to her parents but I doubt that she wrote them a card.,I know that Carolyn wrote a card to her parents but I doubt that she wrote them a letter.,I doubt that Carolyn wrote a letter to her parents but I know that she wrote them a card.,I doubt that Carolyn wrote a card to her parents but I know that she wrote them a letter.,The letter,The card
10_hat,Chris didn't knit a hat but he knitted a bag.,Chris didn't knit a bag but he knitted a hat.,Chris knitted a hat but he didn't knit a bag.,Chris knitted a bag but he didn't knit a hat.,Chris wanted to knit a hat but he knitted a bag.,Chris wanted to knit a bag but he knitted a hat.,Chris knitted a hat but he wanted to knit a bag.,Chris knitted a bag but he wanted to knit a hat.,Chris managed to knit a hat but failed to knit a bag.,Chris managed to knit a bag but failed to knit a hat.,Chris failed to knit a hat but managed to knit a bag.,Chris failed to knit a bag but managed to knit a hat.,I know that Chris knitted a hat but I doubt that he knitted a bag.,I know that Chris knitted a bag but I doubt that he knitted a hat.,I doubt that Chris knitted a hat but I know that he knitted a bag.,I doubt that Chris knitted a bag but I know that he knitted a hat.,The hat,The bag
11_cod,Sarah didn't catch a cod but she caught a bass.,Sarah didn't catch a bass but she caught a cod.,Sarah caught a cod but she didn't catch a bass.,Sarah caught a bass but she didn't catch a cod.,Sarah wanted to catch a cod but she caught a bass.,Sarah wanted to catch a bass but she caught a cod.,Sarah caught a cod but she wanted to catch a bass.,Sarah caught a bass but she wanted to catch a cod.,Sarah managed to catch a cod but failed to catch a bass.,Sarah managed to catch a bass but failed to catch a cod.,Sarah failed to catch a cod but managed to catch a bass.,Sarah failed to catch a bass but managed to catch a cod.,I know that Sarah caught a cod but I doubt that she caught a bass.,I know that Sarah caught a bass but I doubt that she caught a cod.,I doubt that Sarah caught a cod but I know that she caught a bass.,I doubt that Sarah caught a bass but I know that she caught a cod.,The cod,The bass
12_ticket,Thomas didn't book a ticket in advance but he booked a hotel room.,Thomas didn't book a hotel room in advance but he booked a ticket.,Thomas booked a ticket in advance but he didn't book a hotel room.,Thomas booked a hotel room in advance but he didn't book a ticket.,Thomas wanted to book a ticket in advance but he booked a hotel room.,Thomas wanted to book a hotel room in advance but he booked a ticket.,Thomas booked a ticket in advance but he wanted to book a hotel room.,Thomas booked a hotel room in advance but he wanted to book a ticket.,Thomas managed to book a ticket in advance but failed to book a hotel room.,Thomas managed to book a hotel room in advance but failed to book a ticket.,Thomas failed to book a ticket in advance but managed to book a hotel room.,Thomas failed to book a hotel room in advance but managed to book a ticket.,I know that Thomas booked a ticket in advance but I doubt that he booked a hotel room.,I know that Thomas booked a hotel room in advance but I doubt that he booked a ticket.,I doubt that Thomas booked a ticket in advance but I know that he booked a hotel room.,I doubt that Thomas booked a hotel room in advance but I know that he booked a ticket.,The ticket,The room
13_bed,Luke didn't buy a bed but he bought a table.,Luke didn't buy a table but he bought a bed.,Luke bought a bed but he didn't buy a table.,Luke bought a table but he didn't buy a bed.,Luke wanted to buy a bed but he bought a table.,Luke wanted to buy a table but he bought a bed.,Luke bought a bed but he wanted to buy a table.,Luke bought a table but he wanted to buy a bed.,Luke managed to buy a bed but he failed to buy a table.,Luke managed to buy a table but he failed to buy a bed.,Luke failed to buy a bed but he managed to buy a table.,Luke failed to buy a table but he managed to buy a bed.,I know that Luke bought a bed but I doubt that he bought a table.,I know that Luke bought a table but I doubt that he bought a bed.,I know that Luke bought a bed but I doubt that he bought a table.,I know that Luke bought a table but I doubt that he bought a bed.,The bed,The table
14_gin,Dan didn't drink a gin tonic but he drank a water.,Dan didn't drink a water but he drank a gin tonic.,Dan drank a gin tonic but he didn't drink a water.,Dan drank a water but he didn't drink a gin tonic.,Dan wanted to drink a gin tonic but he drank a water.,Dan wanted to drink a water but he drank a gin tonic.,Dan drank a gin tonic but he wanted to drink a water.,Dan drank a water but he wanted to drink a gin tonic.,Dan managed to mix a gin tonic but failed to get a water.,Dan managed to get a water but failed to mix a gin tonic.,Dan failed to mix a gin tonic but managed to get a water.,Dan failed to get a water but managed to mix a gin tonic.,I know that Dan drank a gin tonic but I doubt that he drank a water.,I know that Dan drank a water but I doubt that he drank a gin tonic.,I doubt that Dan drank a gin tonic but I know that he drank a water.,I doubt that Dan drank a water but I know that he drank a gin tonic.,The gin,The water
15_bone,David didn't discover an old jar on his archaeological expedition but he discovered a bone.,David didn't discover a bone on his archaeological expedition but he discovered an old jar.,David discovered an old jar on his archaeological expedition but he didn't discover a bone.,David discovered a bone on his archaeological expedition but he didn't discover an old jar.,David wanted to discover an old jar on his archaeological expedition but he discovered a bone.,David wanted to discover a bone on his archaeological expedition but he discovered an old jar.,David discovered an old jar on his archaeological expedition but he wanted to discover a bone.,David discovered a bone on his archaeological expedition but he wanted to discover an old jar.,David managed to discover an old jar on his archaeological expedition but failed to discover a bone.,David managed to discover a bone on his archaeological expedition but failed to discover an old jar.,David failed to discover an old jar on his archaeological expedition but managed to discover a bone.,David failed to discover a bone on his archaeological expedition but managed to discover an old jar.,I know that David discovered an old jar on his archaeological expedition but I doubt that he discovered a bone.,I know that David discovered a bone on his archaeological expedition but I doubt that he discovered an old jar.,I doubt that David discovered an old jar on his archaeological expedition but I know that he discovered a bone.,I doubt that David discovered a bone on his archaeological expedition but I know that he discovered an old jar.,The jar,The bone
