pair_id,sentence,type,pronoun,preferred,noun,verb
0,James owned a dog and  ||| the dog  ||| had a long tail.,negation,0,1,dog,own
0,James didn't own a dog and  ||| the dog  ||| had a long tail.,negation,0,0,dog,own
1,James owned a dog and  ||| it  ||| had a long tail.,negation,1,1,dog,own
1,James didn't own a dog and  ||| it  ||| had a long tail.,negation,1,0,dog,own
2,Bob owned a dog and  ||| the dog  ||| had a red collar.,negation,0,1,dog,own
2,Bob didn't own a dog and  ||| the dog  ||| had a red collar.,negation,0,0,dog,own
3,Bob owned a dog and  ||| it  ||| had a red collar.,negation,1,1,dog,own
3,Bob didn't own a dog and  ||| it  ||| had a red collar.,negation,1,0,dog,own
4,Elizabeth owned a dog and  ||| the dog  ||| had a blind eye.,negation,0,1,dog,own
4,Elizabeth didn't own a dog and  ||| the dog  ||| had a blind eye.,negation,0,0,dog,own
5,Elizabeth owned a dog and  ||| it  ||| had a blind eye.,negation,1,1,dog,own
5,Elizabeth didn't own a dog and  ||| it  ||| had a blind eye.,negation,1,0,dog,own
6,John owned a dog and  ||| the dog  ||| had a shrill voice.,negation,0,1,dog,own
6,John didn't own a dog and  ||| the dog  ||| had a shrill voice.,negation,0,0,dog,own
7,John owned a dog and  ||| it  ||| had a shrill voice.,negation,1,1,dog,own
7,John didn't own a dog and  ||| it  ||| had a shrill voice.,negation,1,0,dog,own
8,Sarah owned a dog and  ||| the dog  ||| had a colorful back.,negation,0,1,dog,own
8,Sarah didn't own a dog and  ||| the dog  ||| had a colorful back.,negation,0,0,dog,own
9,Sarah owned a dog and  ||| it  ||| had a colorful back.,negation,1,1,dog,own
9,Sarah didn't own a dog and  ||| it  ||| had a colorful back.,negation,1,0,dog,own
10,Karen owned a dog and  ||| the dog  ||| enjoyed frolicking in the forest.,negation,0,1,dog,own
10,Karen didn't own a dog and  ||| the dog  ||| enjoyed frolicking in the forest.,negation,0,0,dog,own
11,Karen owned a dog and  ||| it  ||| enjoyed frolicking in the forest.,negation,1,1,dog,own
11,Karen didn't own a dog and  ||| it  ||| enjoyed frolicking in the forest.,negation,1,0,dog,own
12,Nancy owned a dog and  ||| the dog  ||| preferred fish over other food.,negation,0,1,dog,own
12,Nancy didn't own a dog and  ||| the dog  ||| preferred fish over other food.,negation,0,0,dog,own
13,Nancy owned a dog and  ||| it  ||| preferred fish over other food.,negation,1,1,dog,own
13,Nancy didn't own a dog and  ||| it  ||| preferred fish over other food.,negation,1,0,dog,own
14,Richard owned a dog and  ||| the dog  ||| was called Fido.,negation,0,1,dog,own
14,Richard didn't own a dog and  ||| the dog  ||| was called Fido.,negation,0,0,dog,own
15,Richard owned a dog and  ||| it  ||| was called Fido.,negation,1,1,dog,own
15,Richard didn't own a dog and  ||| it  ||| was called Fido.,negation,1,0,dog,own
16,Barbara owned a dog and  ||| the dog  ||| liked to swim in lakes.,negation,0,1,dog,own
16,Barbara didn't own a dog and  ||| the dog  ||| liked to swim in lakes.,negation,0,0,dog,own
17,Barbara owned a dog and  ||| it  ||| liked to swim in lakes.,negation,1,1,dog,own
17,Barbara didn't own a dog and  ||| it  ||| liked to swim in lakes.,negation,1,0,dog,own
18,James owned a dog and  ||| the dog  ||| loved cheese.,negation,0,1,dog,own
18,James didn't own a dog and  ||| the dog  ||| loved cheese.,negation,0,0,dog,own
19,James owned a dog and  ||| it  ||| loved cheese.,negation,1,1,dog,own
19,James didn't own a dog and  ||| it  ||| loved cheese.,negation,1,0,dog,own
20,Chris saw a dog and  ||| the dog  ||| had a long tail.,negation,0,1,dog,see
20,Chris didn't see a dog and  ||| the dog  ||| had a long tail.,negation,0,0,dog,see
21,Chris saw a dog and  ||| it  ||| had a long tail.,negation,1,1,dog,see
21,Chris didn't see a dog and  ||| it  ||| had a long tail.,negation,1,0,dog,see
22,James saw a dog and  ||| the dog  ||| had a red collar.,negation,0,1,dog,see
22,James didn't see a dog and  ||| the dog  ||| had a red collar.,negation,0,0,dog,see
23,James saw a dog and  ||| it  ||| had a red collar.,negation,1,1,dog,see
23,James didn't see a dog and  ||| it  ||| had a red collar.,negation,1,0,dog,see
24,Barbara saw a dog and  ||| the dog  ||| had a blind eye.,negation,0,1,dog,see
24,Barbara didn't see a dog and  ||| the dog  ||| had a blind eye.,negation,0,0,dog,see
25,Barbara saw a dog and  ||| it  ||| had a blind eye.,negation,1,1,dog,see
25,Barbara didn't see a dog and  ||| it  ||| had a blind eye.,negation,1,0,dog,see
26,Nancy saw a dog and  ||| the dog  ||| had a shrill voice.,negation,0,1,dog,see
26,Nancy didn't see a dog and  ||| the dog  ||| had a shrill voice.,negation,0,0,dog,see
27,Nancy saw a dog and  ||| it  ||| had a shrill voice.,negation,1,1,dog,see
27,Nancy didn't see a dog and  ||| it  ||| had a shrill voice.,negation,1,0,dog,see
28,Richard saw a dog and  ||| the dog  ||| had a colorful back.,negation,0,1,dog,see
28,Richard didn't see a dog and  ||| the dog  ||| had a colorful back.,negation,0,0,dog,see
29,Richard saw a dog and  ||| it  ||| had a colorful back.,negation,1,1,dog,see
29,Richard didn't see a dog and  ||| it  ||| had a colorful back.,negation,1,0,dog,see
30,Thomas saw a dog and  ||| the dog  ||| enjoyed frolicking in the forest.,negation,0,1,dog,see
30,Thomas didn't see a dog and  ||| the dog  ||| enjoyed frolicking in the forest.,negation,0,0,dog,see
31,Thomas saw a dog and  ||| it  ||| enjoyed frolicking in the forest.,negation,1,1,dog,see
31,Thomas didn't see a dog and  ||| it  ||| enjoyed frolicking in the forest.,negation,1,0,dog,see
32,David saw a dog and  ||| the dog  ||| preferred fish over other food.,negation,0,1,dog,see
32,David didn't see a dog and  ||| the dog  ||| preferred fish over other food.,negation,0,0,dog,see
33,David saw a dog and  ||| it  ||| preferred fish over other food.,negation,1,1,dog,see
33,David didn't see a dog and  ||| it  ||| preferred fish over other food.,negation,1,0,dog,see
34,Nancy saw a dog and  ||| the dog  ||| was called Fido.,negation,0,1,dog,see
34,Nancy didn't see a dog and  ||| the dog  ||| was called Fido.,negation,0,0,dog,see
35,Nancy saw a dog and  ||| it  ||| was called Fido.,negation,1,1,dog,see
35,Nancy didn't see a dog and  ||| it  ||| was called Fido.,negation,1,0,dog,see
36,Joseph saw a dog and  ||| the dog  ||| liked to swim in lakes.,negation,0,1,dog,see
36,Joseph didn't see a dog and  ||| the dog  ||| liked to swim in lakes.,negation,0,0,dog,see
37,Joseph saw a dog and  ||| it  ||| liked to swim in lakes.,negation,1,1,dog,see
37,Joseph didn't see a dog and  ||| it  ||| liked to swim in lakes.,negation,1,0,dog,see
38,Jessica saw a dog and  ||| the dog  ||| loved cheese.,negation,0,1,dog,see
38,Jessica didn't see a dog and  ||| the dog  ||| loved cheese.,negation,0,0,dog,see
39,Jessica saw a dog and  ||| it  ||| loved cheese.,negation,1,1,dog,see
39,Jessica didn't see a dog and  ||| it  ||| loved cheese.,negation,1,0,dog,see
40,Chris kicked a dog and  ||| the dog  ||| had a long tail.,negation,0,1,dog,kick
40,Chris didn't kick a dog and  ||| the dog  ||| had a long tail.,negation,0,0,dog,kick
41,Chris kicked a dog and  ||| it  ||| had a long tail.,negation,1,1,dog,kick
41,Chris didn't kick a dog and  ||| it  ||| had a long tail.,negation,1,0,dog,kick
42,John kicked a dog and  ||| the dog  ||| had a red collar.,negation,0,1,dog,kick
42,John didn't kick a dog and  ||| the dog  ||| had a red collar.,negation,0,0,dog,kick
43,John kicked a dog and  ||| it  ||| had a red collar.,negation,1,1,dog,kick
43,John didn't kick a dog and  ||| it  ||| had a red collar.,negation,1,0,dog,kick
44,Richard kicked a dog and  ||| the dog  ||| had a blind eye.,negation,0,1,dog,kick
44,Richard didn't kick a dog and  ||| the dog  ||| had a blind eye.,negation,0,0,dog,kick
45,Richard kicked a dog and  ||| it  ||| had a blind eye.,negation,1,1,dog,kick
45,Richard didn't kick a dog and  ||| it  ||| had a blind eye.,negation,1,0,dog,kick
46,Jessica kicked a dog and  ||| the dog  ||| had a shrill voice.,negation,0,1,dog,kick
46,Jessica didn't kick a dog and  ||| the dog  ||| had a shrill voice.,negation,0,0,dog,kick
47,Jessica kicked a dog and  ||| it  ||| had a shrill voice.,negation,1,1,dog,kick
47,Jessica didn't kick a dog and  ||| it  ||| had a shrill voice.,negation,1,0,dog,kick
48,James kicked a dog and  ||| the dog  ||| had a colorful back.,negation,0,1,dog,kick
48,James didn't kick a dog and  ||| the dog  ||| had a colorful back.,negation,0,0,dog,kick
49,James kicked a dog and  ||| it  ||| had a colorful back.,negation,1,1,dog,kick
49,James didn't kick a dog and  ||| it  ||| had a colorful back.,negation,1,0,dog,kick
50,Jessica kicked a dog and  ||| the dog  ||| enjoyed frolicking in the forest.,negation,0,1,dog,kick
50,Jessica didn't kick a dog and  ||| the dog  ||| enjoyed frolicking in the forest.,negation,0,0,dog,kick
51,Jessica kicked a dog and  ||| it  ||| enjoyed frolicking in the forest.,negation,1,1,dog,kick
