id,context_affirmative,context_negated,it_continuation_negation,subj_continuation_affirmative,subj_continuation_negated,context_know,context_doubt,it_continuation_factive,subj_continutation_know,subj_continutation_doubt,context_modal,it_continutation_modal,subj_continuation_modal,context_managed,context_failed,it_continuation_implicative,subj_continuation_managed,subj_continuation_failed
1_dog,John owns a dog,John doesn't own a dog,and it follows him everywhere he goes.,and he is thinking about getting another one.,and he isn't planning on getting one.,I know that John owns a dog.,I doubt that John owns a dog.,It follows him everywhere he goes.,He is thinking about getting another one.,He doesn't own any other pets either.,John wants to own a dog,and it follows him everywhere he goes.,and he cannot wait to move to a building that allows pets.,John managed to adopt a dog.,John failed to adopt a dog.,It follows him everywhere he goes.,He only needed permission from his landlord.,He doesn't have a big enough apartment.
2_car,Lucy has a car,Lucy doesn't have a car,and it has a self-driving mode.,and she loves to go on roadtrips.,and she only buys second-hand clothes.,I know that Lucy has a car.,I doubt that Lucy has a car.,It has a self-driving mode.,She loves to go on roadtrips.,She also only buys second-hand clothes.,Lucy wants to have a car,and it has a self-driving mode.,and she also wants to get a motorcycle.,Lucy managed to rent a car.,Lucy failed to rent a car.,It has a self-driving mode.,She found a place that was open late.,She couldn't find a place that was open late.
3_bear,Carol saw a bear at the zoo,Carol didn't see a bear at the zoo,and it was taller than she expected.,and she took amazing pictures of it.,and she went home disappointed.,I know that Carol saw a bear at the zoo.,I doubt that Carol saw a bear at the zoo.,It was taller than she expected.,She took amazing pictures of it.,She didn't get to see any other big animals either.,Carol wants to see a bear at the zoo,and it is taller than she expected.,and she does not stop talking about it.,Carol managed to see a bear at the zoo.,Carol failed to see a bear at the zoo.,It was taller than she expected.,She took amazing pictures of it.,She didn't get to see any other big animals either.
4_book,Susan published a book,Susan didn't publish a book,and it is a real page-turner.,and she is going on tour later this year.,and she doesn't intend to do so in the near future.,I know that Susan published a book.,I doubt that Susan published a book.,It is a real page-turner.,She is going on tour later this year.,She also hasn't written any good articles lately.,Susan wants to publish a book,and it is a real page-turner.,and she committed to writing at least 2 pages a day.,Susan managed to write a book.,Susan failed to write a book.,It is a real page-turner.,She is going on tour later this year.,She also hasn't written any good articles lately.
5_shirt,Mary found a shirt at the store,Mary didn't find a shirt at the store,and it looks amazing on her.,and she wore it at the wedding.,and she had to wear a t-shirt instead.,I know that Mary found a shirt at the store.,I doubt that Mary found a shirt at the store.,It looks amazing on her.,She wore it at the wedding.,She didn't manage to get any other nice clothes either.,Mary wants to find a shirt at the store,and it looks amazing on her.,and she checked that the store is open on Sundays. ,Mary managed to find a shirt at the store.,Mary failed to find a shirt at the store.,It looks amazing on her.,She wore it at the wedding.,She didn't manage to get any other nice clothes either.
6_rat,Carla got a pet rat,Carla didn't get a pet rat,and it is very noisy at night.,and she constantly posts photos of it.,and she is already regretting her decision.,I know that Carla got a pet rat.,I doubt that Carla got a pet rat.,It is very noisy at night.,She constantly posts photos of it.,She wasn't particularly impressed by the chinchillas either.,Carla wants to get a pet rat,and it is very noisy at night.,and she already bought a cage.,Carla managed to get a pet rat.,Carla failed to get a pet rat.,It is very noisy at night.,She found one at the store at the mall.,She tried three different stores.
7_beer,Sam ordered a beer at the bar,Sam didn't order a beer at the bar,and it was warm.,and he gave a very generous tip.,and he also didn't do any drugs.,I know that Sam ordered a beer at the bar.,I doubt that Sam ordered a beer at the bar.,It was warm.,He gave a very generous tip.,He also couldn't get a drink with his fake ID anywhere else.,Sam wants to order a beer at the bar,and it is warm.,and he also wants to get some fries.,Sam managed to order a beer at the bar.,Sam failed to order a beer at the bar.,It was warm.,He had to stand in line for ten minutes though.,He also couldn't get a drink with his fake ID anywhere else.
8_cake,Michael baked a cake,Michael didn't bake a cake,and it was the best thing at the picnic.,and he also made a pie.,and he also didn't bring anything else to the picnic.,I know that Michael baked a cake.,I doubt that Michael baked a cake.,It was the best thing at the picnic.,He also made a pie.,He also didn't prepare anything else for the picnic.,Michael wants to bake a cake,and it is the best thing at the picnic.,and he already chose a recipe.,Michael managed to bake a cake.,Michael failed to bake a cake.,It was the best thing at the picnic.,He also made a pie.,He also didn't prepare anything else for the picnic.
9_letter,Carolyn wrote a letter to her parents,Carolyn didn't write a letter to her parents,and it arrived three days after she sent it.,and she also gave them a call.,and she also didn't explain anything when she visited them last year.,I know that Carolyn wrote a letter to her parents.,I doubt that Carolyn wrote a letter to her parents.,It arrived three days after she sent it.,She also gave them a call.,She also didn't give them a call.,Carolyn wants to write a letter to her parents,and it arrives three days after she sends it.,and she also plans to send them a gift.,Carolyn managed to write a letter to her parents.,Carolyn failed to write a letter to her parents.,It arrived three days after she sent it.,She also gave them a call.,She also didn't give them a call.
10_hat,Chris knitted a hat,Chris didn't knit a hat,and it was very colorful.,and he was very proud of it.,and he didn't do any of the other assignments either.,I know that Chris knitted a hat.,I doubt that Chris knitted a hat.,It was very colorful.,He was very proud of it.,He didn't do any of the other assignments either.,Chris wants to knit a hat,and it is very colorful.,and he already chose the color for the yarn.,Chris managed to knit a hat.,Chris failed to knit a hat.,It was very colorful.,He was very proud of it.,He didn't do any of the other assignments either.
