sentence,type,pronoun,preferred
Susan owned a dog. The dog had a long tail.,negation,0,1
Susan didn't own a dog. The dog had a long tail.,negation,0,0
Susan owned a dog. It had a long tail.,negation,1,1
Susan didn't own a dog. It had a long tail.,negation,1,0
Joseph owned a dog. The dog had a red collar.,negation,0,1
Joseph didn't own a dog. The dog had a red collar.,negation,0,0
Joseph owned a dog. It had a red collar.,negation,1,1
Joseph didn't own a dog. It had a red collar.,negation,1,0
Chris owned a dog. The dog had a blind eye.,negation,0,1
Chris didn't own a dog. The dog had a blind eye.,negation,0,0
Chris owned a dog. It had a blind eye.,negation,1,1
Chris didn't own a dog. It had a blind eye.,negation,1,0
Barbara owned a dog. The dog had a shrill voice.,negation,0,1
Barbara didn't own a dog. The dog had a shrill voice.,negation,0,0
Barbara owned a dog. It had a shrill voice.,negation,1,1
Barbara didn't own a dog. It had a shrill voice.,negation,1,0
Bob owned a dog. The dog had a colorful back.,negation,0,1
Bob didn't own a dog. The dog had a colorful back.,negation,0,0
Bob owned a dog. It had a colorful back.,negation,1,1
Bob didn't own a dog. It had a colorful back.,negation,1,0
Bob owned a dog. The dog enjoyed frolicking in the forest.,negation,0,1
Bob didn't own a dog. The dog enjoyed frolicking in the forest.,negation,0,0
Bob owned a dog. It enjoyed frolicking in the forest.,negation,1,1
Bob didn't own a dog. It enjoyed frolicking in the forest.,negation,1,0
Jennifer owned a dog. The dog preferred fish over other food.,negation,0,1
Jennifer didn't own a dog. The dog preferred fish over other food.,negation,0,0
Jennifer owned a dog. It preferred fish over other food.,negation,1,1
Jennifer didn't own a dog. It preferred fish over other food.,negation,1,0
Sarah owned a dog. The dog's name was Fido.,negation,0,1
Sarah didn't own a dog. The dog's name was Fido.,negation,0,0
Sarah owned a dog. Its name was Fido.,negation,1,1
Sarah didn't own a dog. Its name was Fido.,negation,1,0
Nancy owned a dog. The dog liked to swim in lakes.,negation,0,1
Nancy didn't own a dog. The dog liked to swim in lakes.,negation,0,0
