pair_id,sentence,type,preferred
0,"With proper equipment, scuba-diving is very ||| safe ||| .",negation-natural,1
0,"With proper equipment, scuba-diving isn't very ||| safe ||| .",negation-natural,0
1,"With proper equipment, scuba-diving isn't very ||| dangerous ||| .",negation-natural,1
1,"With proper equipment, scuba-diving is very ||| dangerous ||| .",negation-natural,0
1,Traveling in Baghdad is very ||| dangerous ||| .,negation-natural,1
1,Traveling in Baghdad isn't very ||| dangerous ||| .,negation-natural,0
2,Traveling in Baghdad isn't very ||| safe ||| .,negation-natural,1
2,Traveling in Baghdad is very ||| safe ||| .,negation-natural,0
2,"In moderation, drinking red wine is ||| good ||| .",negation-natural,1
2,"In moderation, drinking red wine isn't ||| good ||| .",negation-natural,0
3,"In moderation, drinking red wine isn't ||| bad ||| .",negation-natural,1
3,"In moderation, drinking red wine is ||| bad ||| .",negation-natural,0
3,Drinking tap water in developing countries is very ||| dangerous ||| .,negation-natural,1
3,Drinking tap water in developing countries isn't very ||| dangerous ||| .,negation-natural,0
4,Drinking tap water in developing countries isn't very ||| safe ||| .,negation-natural,1
4,Drinking tap water in developing countries is very ||| safe ||| .,negation-natural,0
4,Secondhand furniture is very ||| cheap ||| .,negation-natural,1
4,Secondhand furniture isn't very ||| cheap ||| .,negation-natural,0
5,Secondhand furniture isn't very ||| expensive ||| .,negation-natural,1
5,Secondhand furniture is very ||| expensive ||| .,negation-natural,0
5,Most smokers find that quitting is very ||| difficult ||| .,negation-natural,1
5,Most smokers find that quitting isn't very ||| difficult ||| .,negation-natural,0
6,Most smokers find that quitting isn't very ||| easy ||| .,negation-natural,1
6,Most smokers find that quitting is very ||| easy ||| .,negation-natural,0
6,Old computers may be ||| slow ||| .,negation-natural,1
6,Old computers may not be ||| slow ||| .,negation-natural,0
7,Old computers may not be ||| fast ||| .,negation-natural,1
7,Old computers may be ||| fast ||| .,negation-natural,0
7,A fast food dinner on a first date is very ||| lame ||| .,negation-natural,1
7,A fast food dinner on a first date isn't very ||| lame ||| .,negation-natural,0
8,A fast food dinner on a first date isn't very ||| romantic ||| .,negation-natural,1
8,A fast food dinner on a first date is very ||| romantic ||| .,negation-natural,0
8,Bulletproof vests are very ||| safe ||| .,negation-natural,1
