id,sent,expected,tokens,logprobs
1_dog_affirmative_negation_sref,John owns a dog but Mark doesn't own a dog. The dog is very cute.,1,John| owns| a| dog| but| Mark| doesn|'t| own| a| dog|.| The| dog| is| very| cute|.,"[-11.053562, -1.0855519, -5.741047, -5.200903, -7.9995503, -1.0726856, -0.70126486, -2.7336848, -0.23380427, -0.78748745, -1.167883, -3.9599795, -1.6261297, -1.0442009, -3.383165, -2.271599, -0.9280255]"
1_dog_affirmative_negation_pref,John owns a dog but Mark doesn't own a dog. The dogs are very cute.,0,John| owns| a| dog| but| Mark| doesn|'t| own| a| dog|.| The| dogs| are| very| cute|.,"[-11.053562, -1.0855519, -5.741047, -5.200903, -7.9995503, -1.0726856, -0.70126486, -2.7336848, -0.23380427, -0.78748745, -1.167883, -3.9599795, -5.056231, -1.0885824, -3.4558473, -2.7552269, -0.99339634]"
1_dog_two_negation_sref,John owns two dogs but Mark doesn't own a dog. The dog is very cute.,0,John| owns| two| dogs| but| Mark| doesn|'t| own| a| dog|.| The| dog| is| very| cute|.,"[-11.053562, -3.9327388, -4.459771, -5.505397, -10.840162, -2.759529, -0.8905986, -1.7132051, -2.0326061, -0.5225393, -1.2401533, -4.037834, -3.2554169, -1.5404624, -3.8210995, -2.1320636, -0.9734399]"
1_dog_two_negation_pref,John owns two dogs but Mark doesn't own a dog. The dogs are very cute.,1,John| owns| two| dogs| but| Mark| doesn|'t| own| a| dog|.| The| dogs| are| very| cute|.,"[-11.053562, -3.9327388, -4.459771, -5.505397, -10.840162, -2.759529, -0.8905986, -1.7132051, -2.0326061, -0.5225393, -1.2401533, -4.037834, -2.664935, -0.847612, -3.2025595, -2.7261672, -0.9904942]"
1_dog_affirmative_affirmative_sref,John owns a dog and Mark owns a dog too. The dog is very cute.,0,John| owns| a| dog| and| Mark| owns| a| dog| too|.| The| dog| is| very| cute|.,"[-11.053562, -1.0855519, -5.741047, -2.6173277, -10.3071, -1.4438993, -0.13553058, -1.9786973, -3.8227277, -0.6636982, -3.1036077, -1.2111988, -2.4654255, -3.5725815, -2.2855337, -0.87762904]"
1_dog_affirmative_affirmative_pref,John owns a dog and Mark owns a dog too. The dogs are very cute.,1,John| owns| a| dog| and| Mark| owns| a| dog| too|.| The| dogs| are| very| cute|.,"[-11.053562, -1.0855519, -5.741047, -2.6173277, -10.3071, -1.4438993, -0.13553058, -1.9786973, -3.8227277, -0.6636982, -3.1036077, -1.4768105, -0.700162, -3.552406, -3.6106348, -0.92382526]"
1_dog_negation_affirmative_sref,John doesn't own a dog but Mark owns a dog. The dog is very cute.,1,John| doesn|'t| own| a| dog| but| Mark| owns| a| dog|.| The| dog| is| very| cute|.,"[-9.187785, -0.5447306, -5.2640867, -0.8500852, -4.4201508, -3.3210683, -9.504514, -2.8861523, -1.0310974, -0.9909492, -1.2645043, -3.4781604, -1.0365391, -0.9581867, -3.9524412, -2.1762373, -0.93312407]"
1_dog_negation_affirmative_pref,John doesn't own a dog but Mark owns a dog. The dogs are very cute.,0,John| doesn|'t| own| a| dog| but| Mark| owns| a| dog|.| The| dogs| are| very| cute|.,"[-9.187785, -0.5447306, -5.2640867, -0.8500852, -4.4201508, -3.3210683, -9.504514, -2.8861523, -1.0310974, -0.9909492, -1.2645043, -3.4781604, -4.544487, -1.1583978, -3.9775577, -2.8318963, -1.0051864]"
1_dog_negation_two_sref,John doesn't own a dog but Mark owns two dogs. The dog is very cute.,0,John| doesn|'t| own| a| dog| but| Mark| owns| two| dogs|.| The| dog| is| very| cute|.,"[-9.187785, -0.5447306, -5.2640867, -0.8500852, -4.4201508, -3.3210683, -9.504514, -2.8861523, -1.4829941, -1.2434585, -1.0693502, -3.5664237, -2.597758, -2.0996585, -3.8629878, -1.9431161, -0.94497067]"
1_dog_negation_two_pref,John doesn't own a dog but Mark owns two dogs. The dogs are very cute.,1,John| doesn|'t| own| a| dog| but| Mark| owns| two| dogs|.| The| dogs| are| very| cute|.,"[-9.187785, -0.5447306, -5.2640867, -0.8500852, -4.4201508, -3.3210683, -9.504514, -2.8861523, -1.4829941, -1.2434585, -1.0693502, -3.5664237, -2.5231912, -0.7620848, -3.851832, -2.2199564, -1.0262843]"
