id,sent,expected,tokens,logprobs
1_dog_affirmative_negation_sref,John owns a dog but Mark doesn't own a dog. The dog is very cute.,1,▁John|▁own|s|▁a|▁dog|▁but|▁Mark|▁doesn|'|t|▁own|▁a|▁dog|.|▁The|▁dog|▁is|▁very|▁c|ute|.,"[-11.126160621643066, -0.23389996588230133, -1.3820710182189941, -5.406680107116699, -5.392480373382568, -8.987425804138184, -1.4220894575119019, -0.6268942356109619, -0.00033945043105632067, -2.4710440635681152, -0.3800756335258484, -0.34041452407836914, -0.46945834159851074, -3.059988498687744, -1.6883002519607544, -1.0065094232559204, -4.395491600036621, -3.6092259883880615, -0.020949048921465874, -0.6232184171676636]"
1_dog_affirmative_negation_pref,John owns a dog but Mark doesn't own a dog. The dogs are very cute.,0,▁John|▁own|s|▁a|▁dog|▁but|▁Mark|▁doesn|'|t|▁own|▁a|▁dog|.|▁The|▁dogs|▁are|▁very|▁c|ute|.,"[-11.126160621643066, -0.23389996588230133, -1.3820710182189941, -5.406680107116699, -5.392480373382568, -8.987425804138184, -1.4220894575119019, -0.6268942356109619, -0.00033945043105632067, -2.4710440635681152, -0.3800756335258484, -0.34041452407836914, -0.46945834159851074, -3.059988498687744, -4.7594709396362305, -1.2530184984207153, -4.2838544845581055, -4.649742126464844, -0.03409981355071068, -0.728699803352356]"
1_dog_two_negation_sref,John owns two dogs but Mark doesn't own a dog. The dog is very cute.,0,▁John|▁own|s|▁two|▁dogs|▁but|▁Mark|▁doesn|'|t|▁own|▁a|▁dog|.|▁The|▁dog|▁is|▁very|▁c|ute|.,"[-11.126160621643066, -0.23389996588230133, -4.210262775421143, -4.116324424743652, -5.313617706298828, -9.829385757446289, -2.436521291732788, -0.6298695206642151, -0.0001250427303602919, -1.9083833694458008, -1.7706714868545532, -0.4122660160064697, -0.3313596546649933, -3.1865737438201904, -4.222809791564941, -1.3242539167404175, -5.338014125823975, -3.522019863128662, -0.016889194026589394, -0.44687438011169434]"
1_dog_two_negation_pref,John owns two dogs but Mark doesn't own a dog. The dogs are very cute.,1,▁John|▁own|s|▁two|▁dogs|▁but|▁Mark|▁doesn|'|t|▁own|▁a|▁dog|.|▁The|▁dogs|▁are|▁very|▁c|ute|.,"[-11.126160621643066, -0.23389996588230133, -4.210262775421143, -4.116324424743652, -5.313617706298828, -9.829385757446289, -2.436521291732788, -0.6298695206642151, -0.0001250427303602919, -1.9083833694458008, -1.7706714868545532, -0.4122660160064697, -0.3313596546649933, -3.1865737438201904, -3.0753538608551025, -0.8929154276847839, -4.80423641204834, -4.298737525939941, -0.020582424476742744, -0.6381851434707642]"
1_dog_affirmative_affirmative_sref,John owns a dog and Mark owns a dog too. The dog is very cute.,0,▁John|▁own|s|▁a|▁dog|▁and|▁Mark|▁own|s|▁a|▁dog|▁too|.|▁The|▁dog|▁is|▁very|▁c|ute|.,"[-11.126160621643066, -0.23389996588230133, -1.3820710182189941, -5.406680107116699, -2.655521869659424, -9.282541275024414, -1.4246412515640259, -0.005457976367324591, -0.18779084086418152, -2.574613571166992, -4.629656791687012, -0.4667240381240845, -2.852810859680176, -1.5626840591430664, -1.592597484588623, -4.370184898376465, -3.2281572818756104, -0.01729021593928337, -0.5521828532218933]"
1_dog_affirmative_affirmative_pref,John owns a dog and Mark owns a dog too. The dogs are very cute.,1,▁John|▁own|s|▁a|▁dog|▁and|▁Mark|▁own|s|▁a|▁dog|▁too|.|▁The|▁dogs|▁are|▁very|▁c|ute|.,"[-11.126160621643066, -0.23389996588230133, -1.3820710182189941, -5.406680107116699, -2.655521869659424, -9.282541275024414, -1.4246412515640259, -0.005457976367324591, -0.18779084086418152, -2.574613571166992, -4.629656791687012, -0.4667240381240845, -2.852810859680176, -3.1796417236328125, -1.0068563222885132, -4.061112880706787, -4.562380790710449, -0.03207705169916153, -0.6983097791671753]"
1_dog_negation_affirmative_sref,John doesn't own a dog but Mark owns a dog. The dog is very cute.,1,▁John|▁doesn|'|t|▁own|▁a|▁dog|▁but|▁Mark|▁own|s|▁a|▁dog|.|▁The|▁dog|▁is|▁very|▁c|ute|.,"[-9.525649070739746, -0.919523298740387, -0.00036459474358707666, -5.940258979797363, -1.2000709772109985, -4.347688674926758, -3.0957932472229004, -9.946304321289062, -3.546827793121338, -0.006563415750861168, -0.4872431755065918, -0.6657789349555969, -0.7086883187294006, -2.906991958618164, -1.7144663333892822, -0.8573002219200134, -4.425694465637207, -3.3941099643707275, -0.01627868041396141, -0.619715690612793]"
1_dog_negation_affirmative_pref,John doesn't own a dog but Mark owns a dog. The dogs are very cute.,0,▁John|▁doesn|'|t|▁own|▁a|▁dog|▁but|▁Mark|▁own|s|▁a|▁dog|.|▁The|▁dogs|▁are|▁very|▁c|ute|.,"[-9.525649070739746, -0.919523298740387, -0.00036459474358707666, -5.940258979797363, -1.2000709772109985, -4.347688674926758, -3.0957932472229004, -9.946304321289062, -3.546827793121338, -0.006563415750861168, -0.4872431755065918, -0.6657789349555969, -0.7086883187294006, -2.906991958618164, -4.3570661544799805, -1.1068360805511475, -4.222559928894043, -4.550834655761719, -0.028081804513931274, -0.7169718742370605]"
1_dog_negation_two_sref,John doesn't own a dog but Mark owns two dogs. The dog is very cute.,0,▁John|▁doesn|'|t|▁own|▁a|▁dog|▁but|▁Mark|▁own|s|▁two|▁dogs|.|▁The|▁dog|▁is|▁very|▁c|ute|.,"[-9.525649070739746, -0.919523298740387, -0.00036459474358707666, -5.940258979797363, -1.2000709772109985, -4.347688674926758, -3.0957932472229004, -9.946304321289062, -3.546827793121338, -0.006563415750861168, -2.3015799522399902, -0.4925326406955719, -0.5134788751602173, -2.895148277282715, -4.098140716552734, -2.1962907314300537, -4.988431453704834, -3.1945114135742188, -0.03139453008770943, -0.6386319994926453]"
1_dog_negation_two_pref,John doesn't own a dog but Mark owns two dogs. The dogs are very cute.,1,▁John|▁doesn|'|t|▁own|▁a|▁dog|▁but|▁Mark|▁own|s|▁two|▁dogs|.|▁The|▁dogs|▁are|▁very|▁c|ute|.,"[-9.525649070739746, -0.919523298740387, -0.00036459474358707666, -5.940258979797363, -1.2000709772109985, -4.347688674926758, -3.0957932472229004, -9.946304321289062, -3.546827793121338, -0.006563415750861168, -2.3015799522399902, -0.4925326406955719, -0.5134788751602173, -2.895148277282715, -3.409524917602539, -0.86976557970047, -4.229574203491211, -3.889463186264038, -0.026519879698753357, -0.8036218285560608]"
1_dog_negation_negation_sref,John doesn't own a dog and Mark doesn't own a dog either. The dog is very cute.,0,▁John|▁doesn|'|t|▁own|▁a|▁dog|▁and|▁Mark|▁doesn|'|t|▁own|▁a|▁dog|▁either|.|▁The|▁dog|▁is|▁very|▁c|ute|.,"[-9.525649070739746, -0.919523298740387, -0.00036459474358707666, -5.940258979797363, -1.2000709772109985, -4.347688674926758, -3.0412650108337402, -8.564897537231445, -1.024253487586975, -0.009724270552396774, -0.0001481661747675389, -0.5565750598907471, -0.06287511438131332, -2.3786182403564453, -3.6731250286102295, -0.4563356339931488, -3.253298282623291, -2.753401279449463, -1.3112223148345947, -5.306668281555176, -3.3594882488250732, -0.02112017199397087, -0.7358930706977844]"
1_dog_negation_negation_pref,John doesn't own a dog and Mark doesn't own a dog either. The dogs are very cute.,0,▁John|▁doesn|'|t|▁own|▁a|▁dog|▁and|▁Mark|▁doesn|'|t|▁own|▁a|▁dog|▁either|.|▁The|▁dogs|▁are|▁very|▁c|ute|.,"[-9.525649070739746, -0.919523298740387, -0.00036459474358707666, -5.940258979797363, -1.2000709772109985, -4.347688674926758, -3.0412650108337402, -8.564897537231445, -1.024253487586975, -0.009724270552396774, -0.0001481661747675389, -0.5565750598907471, -0.06287511438131332, -2.3786182403564453, -3.6731250286102295, -0.4563356339931488, -3.253298282623291, -4.5298285484313965, -1.3991804122924805, -4.8437371253967285, -3.5857627391815186, -0.0232427679002285, -0.9119422435760498]"
1_dog_know_doubt_sref,I know that John owns a dog but I doubt that Mark owns a dog. The dog is very cute.,1,▁I|▁know|▁that|▁John|▁own|s|▁a|▁dog|▁but|▁I|▁doubt|▁that|▁Mark|▁own|s|▁a|▁dog|.|▁The|▁dog|▁is|▁very|▁c|ute|.,"[-4.491086006164551, -1.9560984373092651, -7.947098731994629, -9.490754127502441, -0.0050466060638427734, -1.1087565422058105, -4.174408912658691, -4.075198650360107, -0.9287769198417664, -5.956577777862549, -1.0113424062728882, -7.961353302001953, -1.2228405475616455, -0.0102836973965168, -0.2508428394794464, -0.4854538142681122, -0.4583013653755188, -3.4988274574279785, -2.644261121749878, -1.1510976552963257, -5.428705215454102, -2.392289400100708, -0.007496085949242115, -0.6359671354293823]"
1_dog_know_doubt_pref,I know that John owns a dog but I doubt that Mark owns a dog. The dogs are very cute.,0,▁I|▁know|▁that|▁John|▁own|s|▁a|▁dog|▁but|▁I|▁doubt|▁that|▁Mark|▁own|s|▁a|▁dog|.|▁The|▁dogs|▁are|▁very|▁c|ute|.,"[-4.491086006164551, -1.9560984373092651, -7.947098731994629, -9.490754127502441, -0.0050466060638427734, -1.1087565422058105, -4.174408912658691, -4.075198650360107, -0.9287769198417664, -5.956577777862549, -1.0113424062728882, -7.961353302001953, -1.2228405475616455, -0.0102836973965168, -0.2508428394794464, -0.4854538142681122, -0.4583013653755188, -3.4988274574279785, -5.414836883544922, -1.4662821292877197, -4.350106239318848, -2.6281347274780273, -0.010291957296431065, -0.6184818744659424]"
1_dog_two_doubt_sref,I know that John owns two dogs but I doubt that Mark owns a dog. The dog is very cute.,0,▁I|▁know|▁that|▁John|▁own|s|▁two|▁dogs|▁but|▁I|▁doubt|▁that|▁Mark|▁own|s|▁a|▁dog|.|▁The|▁dog|▁is|▁very|▁c|ute|.,"[-4.491086006164551, -1.9560984373092651, -7.947098731994629, -9.490754127502441, -0.0050466060638427734, -4.255639553070068, -3.3577542304992676, -4.232908248901367, -1.003664255142212, -6.3972249031066895, -1.027946949005127, -8.468461036682129, -1.070103406906128, -0.013460708782076836, -1.5433344841003418, -0.6522176861763, -0.44820094108581543, -3.4621620178222656, -3.618194580078125, -1.2224935293197632, -5.798853874206543, -2.538968801498413, -0.008160345256328583, -0.5510121583938599]"
1_dog_two_doubt_pref,I know that John owns two dogs but I doubt that Mark owns a dog. The dogs are very cute.,1,▁I|▁know|▁that|▁John|▁own|s|▁two|▁dogs|▁but|▁I|▁doubt|▁that|▁Mark|▁own|s|▁a|▁dog|.|▁The|▁dogs|▁are|▁very|▁c|ute|.,"[-4.491086006164551, -1.9560984373092651, -7.947098731994629, -9.490754127502441, -0.0050466060638427734, -4.255639553070068, -3.3577542304992676, -4.232908248901367, -1.003664255142212, -6.3972249031066895, -1.027946949005127, -8.468461036682129, -1.070103406906128, -0.013460708782076836, -1.5433344841003418, -0.6522176861763, -0.44820094108581543, -3.4621620178222656, -4.453680038452148, -1.0864372253417969, -5.204612731933594, -2.4515700340270996, -0.00816661212593317, -0.7430701851844788]"
1_dog_know_know_sref,I know that John owns a dog and I know that Mark owns a dog as well. The dog is very cute.,0,▁I|▁know|▁that|▁John|▁own|s|▁a|▁dog|▁and|▁I|▁know|▁that|▁Mark|▁own|s|▁a|▁dog|▁as|▁well|.|▁The|▁dog|▁is|▁very|▁c|ute|.,"[-4.491086006164551, -1.9560984373092651, -7.947098731994629, -9.490754127502441, -0.0050466060638427734, -1.1087565422058105, -4.174408912658691, -1.8933396339416504, -2.574584722518921, -1.164597749710083, -0.34080976247787476, -6.829839706420898, -1.1119303703308105, -0.004836645442992449, -0.09594430029392242, -0.8356453776359558, -5.543542385101318, -0.06726456433534622, -0.44151559472084045, -3.618997573852539, -2.893829822540283, -1.306097149848938, -5.500814437866211, -2.4789373874664307, -0.01181792002171278, -0.87375807762146]"
1_dog_know_know_pref,I know that John owns a dog and I know that Mark owns a dog as well. The dogs are very cute.,1,▁I|▁know|▁that|▁John|▁own|s|▁a|▁dog|▁and|▁I|▁know|▁that|▁Mark|▁own|s|▁a|▁dog|▁as|▁well|.|▁The|▁dogs|▁are|▁very|▁c|ute|.,"[-4.491086006164551, -1.9560984373092651, -7.947098731994629, -9.490754127502441, -0.0050466060638427734, -1.1087565422058105, -4.174408912658691, -1.8933396339416504, -2.574584722518921, -1.164597749710083, -0.34080976247787476, -6.829839706420898, -1.1119303703308105, -0.004836645442992449, -0.09594430029392242, -0.8356453776359558, -5.543542385101318, -0.06726456433534622, -0.44151559472084045, -3.618997573852539, -5.800614833831787, -0.8888781070709229, -4.510529518127441, -3.6857569217681885, -0.015764961019158363, -0.9831339716911316]"
1_dog_doubt_know_sref,I doubt that John owns a dog but I know that Mark owns a dog. The dog is very cute.,1,▁I|▁doubt|▁that|▁John|▁own|s|▁a|▁dog|▁but|▁I|▁know|▁that|▁Mark|▁own|s|▁a|▁dog|.|▁The|▁dog|▁is|▁very|▁c|ute|.,"[-6.956676959991455, -1.6479310989379883, -7.920250415802002, -10.741647720336914, -0.011446635238826275, -1.2181934118270874, -4.729826927185059, -4.6211628913879395, -1.6933977603912354, -3.345438241958618, -0.9626115560531616, -6.78788948059082, -2.266850471496582, -0.0050407941453158855, -0.24685874581336975, -0.4281102120876312, -0.5034782290458679, -3.298309326171875, -2.649397611618042, -0.8209185600280762, -3.945283889770508, -2.2540159225463867, -0.005990408360958099, -0.6896788477897644]"
1_dog_doubt_know_pref,I doubt that John owns a dog but I know that Mark owns a dog. The dogs are very cute.,0,▁I|▁doubt|▁that|▁John|▁own|s|▁a|▁dog|▁but|▁I|▁know|▁that|▁Mark|▁own|s|▁a|▁dog|.|▁The|▁dogs|▁are|▁very|▁c|ute|.,"[-6.956676959991455, -1.6479310989379883, -7.920250415802002, -10.741647720336914, -0.011446635238826275, -1.2181934118270874, -4.729826927185059, -4.6211628913879395, -1.6933977603912354, -3.345438241958618, -0.9626115560531616, -6.78788948059082, -2.266850471496582, -0.0050407941453158855, -0.24685874581336975, -0.4281102120876312, -0.5034782290458679, -3.298309326171875, -5.477388381958008, -1.2766557931900024, -4.026316165924072, -2.882572889328003, -0.00844668224453926, -0.7422844171524048]"
1_dog_doubt_two_sref,I doubt that John owns a dog but I know that Mark owns two dogs. The dog is very cute.,0,▁I|▁doubt|▁that|▁John|▁own|s|▁a|▁dog|▁but|▁I|▁know|▁that|▁Mark|▁own|s|▁two|▁dogs|.|▁The|▁dog|▁is|▁very|▁c|ute|.,"[-6.956676959991455, -1.6479310989379883, -7.920250415802002, -10.741647720336914, -0.011446635238826275, -1.2181934118270874, -4.729826927185059, -4.6211628913879395, -1.6933977603912354, -3.345438241958618, -0.9626115560531616, -6.78788948059082, -2.266850471496582, -0.0050407941453158855, -3.4491446018218994, -0.4713652729988098, -0.433138370513916, -3.2690954208374023, -3.289318323135376, -1.897775411605835, -4.6988749504089355, -2.703564167022705, -0.014244778081774712, -0.6083729267120361]"
1_dog_doubt_two_pref,I doubt that John owns a dog but I know that Mark owns two dogs. The dogs are very cute.,1,▁I|▁doubt|▁that|▁John|▁own|s|▁a|▁dog|▁but|▁I|▁know|▁that|▁Mark|▁own|s|▁two|▁dogs|.|▁The|▁dogs|▁are|▁very|▁c|ute|.,"[-6.956676959991455, -1.6479310989379883, -7.920250415802002, -10.741647720336914, -0.011446635238826275, -1.2181934118270874, -4.729826927185059, -4.6211628913879395, -1.6933977603912354, -3.345438241958618, -0.9626115560531616, -6.78788948059082, -2.266850471496582, -0.0050407941453158855, -3.4491446018218994, -0.4713652729988098, -0.433138370513916, -3.2690954208374023, -3.823683023452759, -0.7530893087387085, -3.5189900398254395, -2.5837550163269043, -0.005875577684491873, -0.7698683738708496]"
