id,sent,expected,tokens,logprobs
1_dog_affirmative_negation_sref,John owns a dog but Mark doesn't own a dog. The dog is very cute.,1,▁John|▁own|s|▁a|▁dog|▁but|▁Mark|▁doesn|'|t|▁own|▁a|▁dog|.|▁The|▁dog|▁is|▁very|▁c|ute|.,"[-11.543848037719727, -0.3777555227279663, -1.2467368841171265, -5.4976301193237305, -5.196443557739258, -9.335250854492188, -1.610153079032898, -0.6676270365715027, -0.0005413020844571292, -1.8935301303863525, -0.16767379641532898, -0.21652360260486603, -0.4713780879974365, -3.3671493530273438, -2.9065916538238525, -1.1166974306106567, -4.220456600189209, -3.446993350982666, -0.04026687890291214, -0.742744505405426]"
1_dog_affirmative_negation_pref,John owns a dog but Mark doesn't own a dog. The dogs are very cute.,0,▁John|▁own|s|▁a|▁dog|▁but|▁Mark|▁doesn|'|t|▁own|▁a|▁dog|.|▁The|▁dogs|▁are|▁very|▁c|ute|.,"[-11.543848037719727, -0.3777555227279663, -1.2467368841171265, -5.4976301193237305, -5.196443557739258, -9.335250854492188, -1.610153079032898, -0.6676270365715027, -0.0005413020844571292, -1.8935301303863525, -0.16767379641532898, -0.21652360260486603, -0.4713780879974365, -3.3671493530273438, -4.772439956665039, -1.2482450008392334, -4.064846992492676, -4.299778938293457, -0.028320198878645897, -0.6518369913101196]"
1_dog_two_negation_sref,John owns two dogs but Mark doesn't own a dog. The dog is very cute.,0,▁John|▁own|s|▁two|▁dogs|▁but|▁Mark|▁doesn|'|t|▁own|▁a|▁dog|.|▁The|▁dog|▁is|▁very|▁c|ute|.,"[-11.543848037719727, -0.3777555227279663, -4.328963756561279, -3.818908214569092, -5.691469192504883, -10.351237297058105, -2.624415159225464, -0.7156191468238831, -0.0003184764937032014, -1.4307808876037598, -1.1739630699157715, -0.29497331380844116, -0.3932928442955017, -3.4419054985046387, -4.362465858459473, -1.653976559638977, -4.841081619262695, -3.534148693084717, -0.044338829815387726, -0.7309925556182861]"
1_dog_two_negation_pref,John owns two dogs but Mark doesn't own a dog. The dogs are very cute.,1,▁John|▁own|s|▁two|▁dogs|▁but|▁Mark|▁doesn|'|t|▁own|▁a|▁dog|.|▁The|▁dogs|▁are|▁very|▁c|ute|.,"[-11.543848037719727, -0.3777555227279663, -4.328963756561279, -3.818908214569092, -5.691469192504883, -10.351237297058105, -2.624415159225464, -0.7156191468238831, -0.0003184764937032014, -1.4307808876037598, -1.1739630699157715, -0.29497331380844116, -0.3932928442955017, -3.4419054985046387, -3.4969723224639893, -0.8947029709815979, -4.546372413635254, -4.0860066413879395, -0.036302097141742706, -0.7394487261772156]"
1_dog_affirmative_affirmative_sref,John owns a dog and Mark owns a dog too. The dog is very cute.,0,▁John|▁own|s|▁a|▁dog|▁and|▁Mark|▁own|s|▁a|▁dog|▁too|.|▁The|▁dog|▁is|▁very|▁c|ute|.,"[-11.543848037719727, -0.3777555227279663, -1.2467368841171265, -5.4976301193237305, -2.306535482406616, -8.799376487731934, -1.9288967847824097, -0.003943287767469883, -0.10352650284767151, -1.7908234596252441, -4.385402679443359, -0.3953319191932678, -2.9892075061798096, -2.061856269836426, -2.646320343017578, -3.8111777305603027, -3.2078850269317627, -0.033928245306015015, -0.6866664886474609]"
1_dog_affirmative_affirmative_pref,John owns a dog and Mark owns a dog too. The dogs are very cute.,1,▁John|▁own|s|▁a|▁dog|▁and|▁Mark|▁own|s|▁a|▁dog|▁too|.|▁The|▁dogs|▁are|▁very|▁c|ute|.,"[-11.543848037719727, -0.3777555227279663, -1.2467368841171265, -5.4976301193237305, -2.306535482406616, -8.799376487731934, -1.9288967847824097, -0.003943287767469883, -0.10352650284767151, -1.7908234596252441, -4.385402679443359, -0.3953319191932678, -2.9892075061798096, -1.984162449836731, -0.7910330891609192, -3.6826703548431396, -4.872927188873291, -0.03923042118549347, -0.7018117904663086]"
1_dog_negation_affirmative_sref,John doesn't own a dog but Mark owns a dog. The dog is very cute.,1,▁John|▁doesn|'|t|▁own|▁a|▁dog|▁but|▁Mark|▁own|s|▁a|▁dog|.|▁The|▁dog|▁is|▁very|▁c|ute|.,"[-8.435867309570312, -0.7719582319259644, -0.0005440423847176135, -5.909218788146973, -1.2280696630477905, -4.275909423828125, -3.7388453483581543, -9.629762649536133, -3.7261390686035156, -0.005360396578907967, -0.5666006803512573, -0.6613640189170837, -0.7589523792266846, -3.4446582794189453, -2.1206822395324707, -1.0529476404190063, -4.076857566833496, -3.3418872356414795, -0.0309342909604311, -0.6232503652572632]"
1_dog_negation_affirmative_pref,John doesn't own a dog but Mark owns a dog. The dogs are very cute.,0,▁John|▁doesn|'|t|▁own|▁a|▁dog|▁but|▁Mark|▁own|s|▁a|▁dog|.|▁The|▁dogs|▁are|▁very|▁c|ute|.,"[-8.435867309570312, -0.7719582319259644, -0.0005440423847176135, -5.909218788146973, -1.2280696630477905, -4.275909423828125, -3.7388453483581543, -9.629762649536133, -3.7261390686035156, -0.005360396578907967, -0.5666006803512573, -0.6613640189170837, -0.7589523792266846, -3.4446582794189453, -4.305433750152588, -1.0117835998535156, -4.1250410079956055, -4.703249454498291, -0.025731321424245834, -0.5804914832115173]"
1_dog_negation_two_sref,John doesn't own a dog but Mark owns two dogs. The dog is very cute.,0,▁John|▁doesn|'|t|▁own|▁a|▁dog|▁but|▁Mark|▁own|s|▁two|▁dogs|.|▁The|▁dog|▁is|▁very|▁c|ute|.,"[-8.435867309570312, -0.7719582319259644, -0.0005440423847176135, -5.909218788146973, -1.2280696630477905, -4.275909423828125, -3.7388453483581543, -9.629762649536133, -3.7261390686035156, -0.005360396578907967, -2.3286895751953125, -1.322906255722046, -0.6718385219573975, -3.3245041370391846, -3.7969632148742676, -2.240816593170166, -4.412529945373535, -3.709900379180908, -0.04074997082352638, -0.5975162982940674]"
1_dog_negation_two_pref,John doesn't own a dog but Mark owns two dogs. The dogs are very cute.,1,▁John|▁doesn|'|t|▁own|▁a|▁dog|▁but|▁Mark|▁own|s|▁two|▁dogs|.|▁The|▁dogs|▁are|▁very|▁c|ute|.,"[-8.435867309570312, -0.7719582319259644, -0.0005440423847176135, -5.909218788146973, -1.2280696630477905, -4.275909423828125, -3.7388453483581543, -9.629762649536133, -3.7261390686035156, -0.005360396578907967, -2.3286895751953125, -1.322906255722046, -0.6718385219573975, -3.3245041370391846, -2.6240029335021973, -0.7619208097457886, -3.9960341453552246, -3.7330245971679688, -0.025709712877869606, -0.6793510913848877]"
