id,sent_type,type,correct
1_dog,affirmative_negation,pos_neg_s>pos_pos_s,1
1_dog,affirmative_negation,pos_neg_s>neg_neg_s,1
1_dog,affirmative_negation,neg_pos_s>pos_pos_s,1
1_dog,affirmative_negation,neg_pos_s>neg_neg_s,1
1_dog,affirmative_negation,neg_pos_s>pos_neg_s,1
1_dog,affirmative_negation,pos_pos_p>pos_neg_p,1
1_dog,affirmative_negation,pos_pos_p>neg_pos_p,1
1_dog,affirmative_negation,pos_pos_p>neg_neg_p,1
1_dog,affirmative_negation,neg_pos_p>pos_neg_p,1
1_dog,affirmative_negation,pos_neg_s>neg_pos_p,1
1_dog,affirmative_negation,pos_neg_s>pos_neg_p,1
1_dog,affirmative_negation,pos_neg_s>neg_neg_p,1
1_dog,affirmative_negation,neg_pos_s>pos_neg_p,1
1_dog,affirmative_negation,neg_pos_s>neg_pos_p,1
1_dog,affirmative_negation,neg_pos_s>neg_neg_p,1
1_dog,affirmative_negation,pos_pos_p>pos_pos_s,1
1_dog,affirmative_negation,pos_pos_p>neg_neg_s,0
1_dog,know_doubt,pos_neg_s>pos_pos_s,0
1_dog,know_doubt,pos_neg_s>neg_neg_s,0
1_dog,know_doubt,neg_pos_s>pos_pos_s,1
1_dog,know_doubt,neg_pos_s>neg_neg_s,0
1_dog,know_doubt,neg_pos_s>pos_neg_s,1
1_dog,know_doubt,pos_pos_p>pos_neg_p,1
1_dog,know_doubt,pos_pos_p>neg_pos_p,1
1_dog,know_doubt,pos_pos_p>neg_neg_p,1
1_dog,know_doubt,neg_pos_p>pos_neg_p,0
1_dog,know_doubt,pos_neg_s>neg_pos_p,1
1_dog,know_doubt,pos_neg_s>pos_neg_p,1
1_dog,know_doubt,pos_neg_s>neg_neg_p,0
1_dog,know_doubt,neg_pos_s>pos_neg_p,1
1_dog,know_doubt,neg_pos_s>neg_pos_p,1
1_dog,know_doubt,neg_pos_s>neg_neg_p,1
1_dog,know_doubt,pos_pos_p>pos_pos_s,1
1_dog,know_doubt,pos_pos_p>neg_neg_s,0
1_dog,managed_failed,pos_neg_s>pos_pos_s,1
1_dog,managed_failed,pos_neg_s>neg_neg_s,0
1_dog,managed_failed,neg_pos_s>pos_pos_s,1
1_dog,managed_failed,neg_pos_s>neg_neg_s,1
1_dog,managed_failed,neg_pos_s>pos_neg_s,1
1_dog,managed_failed,pos_pos_p>pos_neg_p,0
1_dog,managed_failed,pos_pos_p>neg_pos_p,0
