id,sentence,type,expected,order,tokens,log_probs
1_dog_affirmative_negation,John owns a dog but he doesn't own a cat. The dog,affirmative_negation,1,1,John|##owns|##a|##dog|##but|##he|##doesn|'t|##own|##a|##cat|.|##The|##dog|<|endoftext|>,-9.888465|-11.115249|-8.7470455|-7.977882|-9.008975|-9.492973|-16.79211|-11.957631|-11.05182|-10.002239|-9.179492|-10.356817|-11.325887|-8.87413|-11.530205
1_dog_affirmative_negation,John owns a dog but he doesn't own a cat. The cat,affirmative_negation,0,1,John|##owns|##a|##dog|##but|##he|##doesn|'t|##own|##a|##cat|.|##The|##cat|<|endoftext|>,-9.888465|-11.115249|-8.7470455|-7.977882|-9.008975|-9.492973|-16.79211|-11.957631|-11.05182|-10.002239|-9.179492|-10.356817|-11.325887|-7.5825787|-11.503773
1_dog_affirmative_negation,John owns a cat but he doesn't own a dog. The cat,affirmative_negation,1,2,John|##owns|##a|##cat|##but|##he|##doesn|'t|##own|##a|##dog|.|##The|##cat|<|endoftext|>,-9.888465|-11.115249|-8.7470455|-8.979879|-9.240984|-9.419248|-16.846668|-11.726143|-10.995839|-10.246005|-10.444683|-10.445053|-11.354991|-7.5916233|-11.502949
1_dog_affirmative_negation,John owns a cat but he doesn't own a dog. The dog,affirmative_negation,0,2,John|##owns|##a|##cat|##but|##he|##doesn|'t|##own|##a|##dog|.|##The|##dog|<|endoftext|>,-9.888465|-11.115249|-8.7470455|-8.979879|-9.240984|-9.419248|-16.846668|-11.726143|-10.995839|-10.246005|-10.444683|-10.445053|-11.354991|-8.163772|-11.430038
1_dog_negation_affirmative,John doesn't own a dog but he owns a cat. The cat,negation_affirmative,1,1,John|##doesn|'t|##own|##a|##dog|##but|##he|##owns|##a|##cat|.|##The|##cat|<|endoftext|>,-9.888465|-10.518708|-11.227|-10.666261|-10.10988|-8.71361|-9.736197|-9.505437|-12.800133|-9.397233|-9.519599|-10.752347|-12.074515|-8.078674|-11.581377
1_dog_negation_affirmative,John doesn't own a dog but he owns a cat. The dog,negation_affirmative,0,1,John|##doesn|'t|##own|##a|##dog|##but|##he|##owns|##a|##cat|.|##The|##dog|<|endoftext|>,-9.888465|-10.518708|-11.227|-10.666261|-10.10988|-8.71361|-9.736197|-9.505437|-12.800133|-9.397233|-9.519599|-10.752347|-12.074515|-8.915191|-11.543452
1_dog_negation_affirmative,John doesn't own a cat but he owns a dog. The dog,negation_affirmative,1,2,John|##doesn|'t|##own|##a|##cat|##but|##he|##owns|##a|##dog|.|##The|##dog|<|endoftext|>,-9.888465|-10.518708|-11.227|-10.666261|-10.10988|-9.677197|-9.796637|-9.463891|-12.886697|-9.264831|-8.659855|-10.838055|-11.738614|-8.992414|-11.543672
1_dog_negation_affirmative,John doesn't own a cat but he owns a dog. The cat,negation_affirmative,0,2,John|##doesn|'t|##own|##a|##cat|##but|##he|##owns|##a|##dog|.|##The|##cat|<|endoftext|>,-9.888465|-10.518708|-11.227|-10.666261|-10.10988|-9.677197|-9.796637|-9.463891|-12.886697|-9.264831|-8.659855|-10.838055|-11.738614|-8.318055|-11.552511
1_dog_know_doubt,I know that John owns a dog but I doubt that he owns a cat. The dog,know_doubt,1,1,I|##know|##that|##John|##owns|##a|##dog|##but|##I|##doubt|##that|##he|##owns|##a|##cat|.|##The|##dog|<|endoftext|>,-8.60888|-11.017691|-5.189841|-6.093276|-12.129921|-9.08379|-7.3545294|-8.936043|-10.04911|-14.128611|-4.832615|-9.455109|-12.685445|-9.179419|-9.395579|-9.748531|-10.492182|-7.4920535|-11.4052925
1_dog_know_doubt,I know that John owns a dog but I doubt that he owns a cat. The cat,know_doubt,0,1,I|##know|##that|##John|##owns|##a|##dog|##but|##I|##doubt|##that|##he|##owns|##a|##cat|.|##The|##cat|<|endoftext|>,-8.60888|-11.017691|-5.189841|-6.093276|-12.129921|-9.08379|-7.3545294|-8.936043|-10.04911|-14.128611|-4.832615|-9.455109|-12.685445|-9.179419|-9.395579|-9.748531|-10.492182|-8.388186|-11.397903
