id,sentence,type,pronoun,tokens,log_probs
1_dog_affirmative,John owns a dog and it follows him everywhere he goes.,affirmative,it,John|##owns|##a|##dog|##and|##it|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-9.936901|-11.739591|-8.96608|-6.690789|-7.211219|-9.767153|-13.184687|-12.032925|-7.8918633|-13.866285|-13.076684|-10.003746|-12.661596
1_dog_affirmative,John owns a dog and he is thinking about getting another one.,affirmative,subj,John|##owns|##a|##dog|##and|##he|##is|##thinking|##about|##getting|##another|##one|.|<|endoftext|>,-9.936901|-11.739591|-8.96608|-6.690789|-7.211219|-9.073124|-9.458994|-11.057011|-9.126566|-12.2287245|-9.433673|-7.8477626|-9.8058195|-12.55759
1_dog_negated,John doesn't own a dog and it follows him everywhere he goes.,negated,it,John|##doesn|'t|##own|##a|##dog|##and|##it|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-9.936901|-14.55265|-10.976232|-10.365697|-10.135317|-8.872596|-7.5632944|-10.067516|-12.908991|-12.0699835|-8.40093|-13.906826|-12.890248|-10.10027|-12.676279
1_dog_negated,John doesn't own a dog and he isn't planning on getting one.,negated,subj,John|##doesn|'t|##own|##a|##dog|##and|##he|##isn|'t|##planning|##on|##getting|##one|.|<|endoftext|>,-9.936901|-14.55265|-10.976232|-10.365697|-10.135317|-8.872596|-7.5632944|-9.877395|-16.299675|-14.884771|-14.677224|-9.82328|-15.090472|-6.644963|-10.789598|-12.603656
1_dog_know,I know that John owns a dog. It follows him everywhere he goes.,know,it,I|##know|##that|##John|##owns|##a|##dog|.|##It|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-8.253019|-10.449958|-5.3576446|-5.881067|-12.439188|-9.027312|-6.991816|-9.893427|-14.309315|-12.1204605|-12.201897|-8.306322|-13.466791|-13.815646|-10.229637|-12.642473
1_dog_know,I know that John owns a dog. He is thinking about getting another one.,know,subj,I|##know|##that|##John|##owns|##a|##dog|.|##He|##is|##thinking|##about|##getting|##another|##one|.|<|endoftext|>,-8.253019|-10.449959|-5.357644|-5.881066|-12.439187|-9.027311|-6.9918175|-9.893427|-12.289905|-9.585945|-10.697334|-8.901058|-12.245904|-9.704479|-8.004976|-9.940222|-12.555649
1_dog_doubt,I doubt that John owns a dog. It follows him everywhere he goes.,doubt,it,I|##doubt|##that|##John|##owns|##a|##dog|.|##It|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-8.253019|-11.769141|-5.176221|-6.030809|-12.904417|-9.444735|-7.2522316|-9.959278|-14.291573|-11.675659|-11.722837|-8.453834|-12.902298|-13.288361|-9.99185|-12.671932
1_dog_doubt,I doubt that John owns a dog. He doesn't own any other pets either.,doubt,subj,I|##doubt|##that|##John|##owns|##a|##dog|.|##He|##doesn|'t|##own|##any|##other|##pets|##either|.|<|endoftext|>,-8.253019|-11.769141|-5.1762214|-6.030808|-12.904415|-9.444735|-7.2522306|-9.959278|-13.3629055|-15.800518|-12.048282|-10.42533|-8.823802|-8.41936|-15.042557|-8.134617|-10.082638|-12.60519
1_dog_modal,John wants to own a dog and it follows him everywhere he goes.,modal,it,John|##wants|##to|##own|##a|##dog|##and|##it|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-9.936901|-12.492069|-8.514175|-10.297271|-8.991724|-6.652793|-7.4040747|-9.5728855|-12.851264|-11.05134|-7.981052|-13.803431|-12.567391|-10.193159|-12.728877
1_dog_modal,John wants to own a dog and he cannot wait to move to a building that allows pets.,modal,subj,John|##wants|##to|##own|##a|##dog|##and|##he|##cannot|##wait|##to|##move|##to|##a|##building|##that|##allows|##pets|.|<|endoftext|>,-9.936901|-12.49207|-8.514177|-10.297271|-8.991724|-6.6527925|-7.4040747|-9.682766|-11.7193575|-10.982658|-8.89805|-12.161508|-8.240824|-9.780653|-8.248822|-8.553084|-12.831233|-12.552693|-10.376274|-12.675558
1_dog_managed,John managed to adopt a dog. It follows him everywhere he goes.,managed,it,John|##managed|##to|##adopt|##a|##dog|.|##It|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-9.936901|-12.574855|-8.678687|-12.483589|-9.120843|-6.6246367|-10.238564|-14.24565|-10.993347|-11.470664|-8.47489|-12.99441|-13.135419|-10.47303|-12.520904
1_dog_managed,John managed to adopt a dog. He only needed permission from his landlord.,managed,subj,John|##managed|##to|##adopt|##a|##dog|.|##He|##only|##needed|##permission|##from|##his|##landlord|.|<|endoftext|>,-9.936901|-12.574855|-8.678687|-12.483589|-9.120843|-6.6246367|-10.238564|-12.947383|-8.455929|-12.086008|-9.517611|-10.655478|-9.348785|-11.4054985|-10.452528|-12.619638
1_dog_failed,John failed to adopt a dog. It follows him everywhere he goes.,failed,it,John|##failed|##to|##adopt|##a|##dog|.|##It|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-9.936901|-10.041578|-8.874502|-10.933692|-9.348467|-6.9614787|-10.073094|-13.987225|-11.0860615|-11.0461|-9.075156|-12.364748|-12.886585|-10.407485|-12.496939
