id,sentence,type,pronoun,tokens,continuation
1_dog_affirmative,John owns a dog and it,affirmative,it,John|##owns|##a|##dog|##and|##it|'s|##a|##German|##Shepherd|.|##He|'s|##a|##very|##good|##dog|.|##He|'s|##very|##loyal|.|##He|'s|##very|##smart|.|##He|'s,John owns a dog and it's a German Shepherd. He's a very good dog. He's very loyal. He's very smart. He's
1_dog_negated,John doesn't own a dog and it,negated,it,John|##doesn|'t|##own|##a|##dog|##and|##it|'s|##not|##his|##fault|##that|##he|'s|##a|##dog|##owner|.|##He|'s|##just|##a|##dog|##owner|.|##He|'s|##not|##a,John doesn't own a dog and it's not his fault that he's a dog owner. He's just a dog owner. He's not a
1_dog_know,I know that John owns a dog. It,know,it,I|##know|##that|##John|##owns|##a|##dog|.|##It|'s|##a|##German|##Shepherd|.|##He|'s|##a|##very|##good|##dog|.|##He|'s|##a|##very|##good|##dog|.|##He|'s,I know that John owns a dog. It's a German Shepherd. He's a very good dog. He's a very good dog. He's
1_dog_doubt,I doubt that John owns a dog. It,doubt,it,I|##doubt|##that|##John|##owns|##a|##dog|.|##It|'s|##not|##like|##he|'s|##a|##dog|##person|.|##He|'s|##a|##dog|##person|##who|##has|##a|##dog|.|##He|'s,I doubt that John owns a dog. It's not like he's a dog person. He's a dog person who has a dog. He's
1_dog_modal,John wants to own a dog and it,modal,it,John|##wants|##to|##own|##a|##dog|##and|##it|'s|##not|##a|##dog|##that|##he|'s|##going|##to|##be|##able|##to|##own|.|##He|'s|##going|##to|##have|##to|##go|##to,John wants to own a dog and it's not a dog that he's going to be able to own. He's going to have to go to
1_dog_managed,John managed to adopt a dog. It,managed,it,"John|##managed|##to|##adopt|##a|##dog|.|##It|##was|##a|##black|##Labrador|##named|##""|B|uddy|.""|Ċ|Ċ|""|I|##was|##a|##little|##nervous|##about|##it|,""|##he|##said","John managed to adopt a dog. It was a black Labrador named ""Buddy.""

""I was a little nervous about it,"" he said"
1_dog_failed,John failed to adopt a dog. It,failed,it,John|##failed|##to|##adopt|##a|##dog|.|##It|##was|##a|##dog|##that|##he|##had|##adopted|##from|##a|##shelter|.|##He|##had|##a|##dog|##that|##he|##loved|.|##He|##had|##a,John failed to adopt a dog. It was a dog that he had adopted from a shelter. He had a dog that he loved. He had a
2_car_affirmative,Lucy has a car and it,affirmative,it,"Lu|cy|##has|##a|##car|##and|##it|'s|##a|##nice|##car|,|##but|##it|'s|##not|##a|##car|##that|##I|##would|##want|##to|##drive|.|##I|##don|'t|##want|##to","Lucy has a car and it's a nice car, but it's not a car that I would want to drive. I don't want to"
2_car_negated,Lucy doesn't have a car and it,negated,it,Lu|cy|##doesn|'t|##have|##a|##car|##and|##it|'s|##not|##like|##she|'s|##going|##to|##be|##able|##to|##get|##to|##the|##airport|.|##She|'s|##going|##to|##have|##to,Lucy doesn't have a car and it's not like she's going to be able to get to the airport. She's going to have to
2_car_know,I know that Lucy has a car. It,know,it,I|##know|##that|##Lucy|##has|##a|##car|.|##It|'s|##a|##white|##one|.|##I|##know|##that|##she|'s|##got|##a|##boyfriend|.|##I|##know|##that|##she|'s|##got|##a,I know that Lucy has a car. It's a white one. I know that she's got a boyfriend. I know that she's got a
2_car_doubt,I doubt that Lucy has a car. It,doubt,it,I|##doubt|##that|##Lucy|##has|##a|##car|.|##It|'s|##not|##like|##she|'s|##a|##car|##person|.|##She|'s|##a|##person|##who|##likes|##to|##walk|.|##She|'s|##a,I doubt that Lucy has a car. It's not like she's a car person. She's a person who likes to walk. She's a
2_car_modal,Lucy wants to have a car and it,modal,it,Lu|cy|##wants|##to|##have|##a|##car|##and|##it|'s|##not|##going|##to|##be|##a|##car|##that|'s|##going|##to|##be|##a|##luxury|##car|.|##It|'s|##going|##to|##be,Lucy wants to have a car and it's not going to be a car that's going to be a luxury car. It's going to be
2_car_managed,Lucy managed to rent a car. It,managed,it,"Lu|cy|##managed|##to|##rent|##a|##car|.|##It|##was|##a|##white|,|##four|-|door|,|##four|-|door|,|##four|-|door|,|##four|-|door|,|##four","Lucy managed to rent a car. It was a white, four-door, four-door, four-door, four-door, four"
2_car_failed,Lucy failed to rent a car. It,failed,it,"Lu|cy|##failed|##to|##rent|##a|##car|.|##It|##was|##a|##problem|##that|##had|##plagued|##her|##for|##years|.|Ċ|Ċ|""|I|##was|##always|##late|,""|##she|##said|.","Lucy failed to rent a car. It was a problem that had plagued her for years.

""I was always late,"" she said."
3_bear_affirmative,Carol saw a bear at the zoo and it,affirmative,it,Car|ol|##saw|##a|##bear|##at|##the|##zoo|##and|##it|##was|##a|##big|##one|.|##She|##was|##scared|##and|##ran|##away|.|##She|##was|##scared|##of|##bears|.|##She|##was,Carol saw a bear at the zoo and it was a big one. She was scared and ran away. She was scared of bears. She was
3_bear_negated,Carol didn't see a bear at the zoo and it,negated,it,"Car|ol|##didn|'t|##see|##a|##bear|##at|##the|##zoo|##and|##it|##was|##a|##good|##thing|##she|##didn|'t|.|Ċ|Ċ|""|I|##was|##just|##trying|##to|##get|##my","Carol didn't see a bear at the zoo and it was a good thing she didn't.

""I was just trying to get my"
3_bear_know,I know that Carol saw a bear at the zoo. It,know,it,I|##know|##that|##Carol|##saw|##a|##bear|##at|##the|##zoo|.|##It|##was|##a|##big|##one|.|##I|##think|##she|##was|##scared|.|##I|##think|##she|##was|##scared|##of|##the,I know that Carol saw a bear at the zoo. It was a big one. I think she was scared. I think she was scared of the
3_bear_doubt,I doubt that Carol saw a bear at the zoo. It,doubt,it,I|##doubt|##that|##Carol|##saw|##a|##bear|##at|##the|##zoo|.|##It|'s|##not|##like|##she|##was|##a|##bear|##expert|.|##She|##was|##a|##zoo|##keeper|.|##She|##was|##a,I doubt that Carol saw a bear at the zoo. It's not like she was a bear expert. She was a zoo keeper. She was a
3_bear_modal,Carol wants to see a bear at the zoo and it,modal,it,"Car|ol|##wants|##to|##see|##a|##bear|##at|##the|##zoo|##and|##it|'s|##up|##to|##you|##to|##help|##her|.|Ċ|Ċ|The|##game|##is|##a|##simple|##one|,|##but","Carol wants to see a bear at the zoo and it's up to you to help her.

The game is a simple one, but"
3_bear_managed,Carol managed to see a bear at the zoo. It,managed,it,"Car|ol|##managed|##to|##see|##a|##bear|##at|##the|##zoo|.|##It|##was|##a|##big|##one|,|##and|##she|##was|##scared|.|##She|##was|##scared|##of|##the|##bear|.|##She","Carol managed to see a bear at the zoo. It was a big one, and she was scared. She was scared of the bear. She"
3_bear_failed,Carol failed to see a bear at the zoo. It,failed,it,"Car|ol|##failed|##to|##see|##a|##bear|##at|##the|##zoo|.|##It|##was|##a|##black|##bear|.|Ċ|Ċ|""|I|##was|##in|##the|##zoo|##and|##I|##saw|##a|##black","Carol failed to see a bear at the zoo. It was a black bear.

""I was in the zoo and I saw a black"
