id,sentence,type,pronoun,tokens,log_probs,continuation
1_dog_affirmative,John owns dogs and they,affirmative,it,"John| owns| dogs| and| they| are| very| cute|.|
|
|John| owns| dogs| and",-12.05151|-10.199555|-1.7167671|-4.073183|-1.3159114|-2.6136863|-2.2803595|-0.6303612|-1.1520212|-0.0011231161|-1.8737514|-1.8403416|-0.9400532|-0.1430766,"John owns dogs and they are very cute.

John owns dogs and"
1_dog_negated,John doesn't own dogs and they,negated,it,"John| doesn|'t| own| dogs| and| they| don|'t| have| a| cat|.|
|
|John| doesn",-9.116043|-0.3797415|-5.7230887|-7.4335866|-3.2686217|-4.8219123|-1.6011995|-0.005419229|-1.871778|-1.2689596|-1.5921042|-0.83912325|-1.0118868|-0.0023998371|-2.2535417|-1.4300297,"John doesn't own dogs and they don't have a cat.

John doesn"
1_dog_know,I know that John owns dogs. They,know,it,"I| know| that| John| owns| dogs|.| They| are| very| cute|.|
|
|I| know| that| John",-4.262452|-2.390003|-7.7231784|-8.214559|-8.860041|-1.7504234|-4.757856|-1.1517426|-2.7016227|-2.1885862|-0.57829124|-1.4394643|-0.0007470167|-1.9345368|-0.9385949|-0.122532256|-0.6693891,"I know that John owns dogs. They are very cute.

I know that John"
1_dog_doubt,I doubt that John owns dogs. They,doubt,it,"I| doubt| that| John| owns| dogs|.| They| are| too| much| trouble|.|
|
|I| doubt| that",-8.072716|-1.9201941|-7.7560396|-9.350591|-8.9218025|-1.5556065|-6.0608945|-1.7690835|-2.2614822|-1.433537|-0.87012213|-0.7446884|-1.5117166|-0.00068253983|-2.4830081|-0.91731256|-0.14631273,"I doubt that John owns dogs. They are too much trouble.

I doubt that"
1_dog_modal,John wants to own dogs and they,modal,it,"John| wants| to| own| dogs| and| they| are| not| allowed| in| the| building|.|
|
|John",-10.131632|-0.41485745|-7.4697704|-8.808033|-2.2330313|-5.230457|-1.7395067|-2.2996457|-0.6165884|-0.92385536|-0.74327546|-1.64206|-0.6851275|-1.1330972|-0.0016911771|-1.7102482,"John wants to own dogs and they are not allowed in the building.

John"
1_dog_managed,John managed to adopt dogs. They,managed,it,"John| managed| to| adopt| dogs|.| They| were| a| pair| of| German| She|pher|ds|,| and",-10.893146|-0.40163732|-10.016038|-11.96298|-4.3281784|-3.1115053|-1.3370007|-3.0129516|-2.8586206|-0.17098787|-3.3641431|-0.78355074|-0.09754003|-0.00025932747|-1.2695179|-2.1890206,"John managed to adopt dogs. They were a pair of German Shepherds, and"
1_dog_failed,John failed to adopt dogs. They,failed,it,"John| failed| to| adopt| dogs|.| They| were| too| much| trouble|.|
|
|John| was| a",-11.397318|-0.6134152|-8.953412|-11.616639|-3.0582635|-4.0522428|-1.6546428|-2.051321|-1.2596265|-1.2174442|-0.63337827|-1.6087955|-0.0022089588|-1.7075727|-2.2903018|-1.7427071,"John failed to adopt dogs. They were too much trouble.

John was a"
2_car_affirmative,Lucy has cars and they,affirmative,it,"Lu|cy| has| cars| and| they| are| all| very| nice|.| She| has| a| Mercedes|,",-1.6441532|-5.217131|-13.064311|-2.148841|-5.961973|-1.4638307|-2.3537023|-3.0438874|-1.8961204|-1.0154363|-1.6111709|-1.3344401|-0.76128125|-3.1640496|-1.3957248,"Lucy has cars and they are all very nice. She has a Mercedes,"
2_car_negated,Lucy doesn't have cars and they,negated,it,"Lu|cy| doesn|'t| have| cars| and| they| don|'t| have| a| car|.|
|
|They| don",-1.6437902|-7.2948627|-0.39902702|-2.6889431|-11.312664|-3.2366083|-5.104254|-1.4511784|-0.0023275432|-0.7272354|-2.6532493|-2.41844|-1.413597|-1.9187927|-0.0021170285|-2.5154316|-1.7137977,"Lucy doesn't have cars and they don't have a car.

They don"
2_car_know,I know that Lucy has cars. They,know,it,I| know| that| Lucy| has| cars|.| They|'re| all| over| the| place|.| I|'ve| seen| them,-4.262303|-2.3906283|-8.977656|-2.560508|-12.779828|-2.7495484|-4.3166375|-1.5158958|-2.251644|-1.5188574|-0.47814584|-1.3333882|-0.83346766|-1.5474554|-2.0077336|-0.83974254|-0.5959259,I know that Lucy has cars. They're all over the place. I've seen them
2_car_doubt,I doubt that Lucy has cars. They,doubt,it,"I| doubt| that| Lucy| has| cars|.| They|'re| probably| all| in| the| garage|.""|
|
|""",-8.072402|-1.9173833|-10.228864|-3.1989944|-11.875529|-3.2739575|-3.8061986|-1.6387329|-1.9032447|-2.0927591|-2.1074152|-0.9423305|-1.3732727|-1.2476803|-0.3337678|-0.0002997486|-0.45151034,"I doubt that Lucy has cars. They're probably all in the garage.""

"""
2_car_modal,Lucy wants to have cars and they,modal,it,Lu|cy| wants| to| have| cars| and| they| are| expensive|.| She| wants| to| have| a| house| and,-1.6444104|-7.67158|-0.47012976|-4.1471033|-12.799646|-1.8314885|-7.488176|-2.1057305|-2.2199113|-0.91468686|-1.8234748|-1.1043546|-0.5487339|-0.82751364|-1.0155123|-1.9796242|-0.6186901,Lucy wants to have cars and they are expensive. She wants to have a house and
2_car_managed,Lucy managed to rent cars. They,managed,it,"Lu|cy| managed| to| rent| cars|.| They| were| all| the| same|,| but| she| didn|'t| care",-1.6446073|-9.065939|-0.42915657|-10.117308|-9.325436|-4.5667396|-2.4918244|-1.9532224|-3.175203|-2.9804015|-0.20984082|-1.9794422|-2.5617297|-1.5702146|-2.4617355|-0.24183437|-0.91132194,"Lucy managed to rent cars. They were all the same, but she didn't care"
2_car_failed,Lucy failed to rent cars. They,failed,it,Lu|cy| failed| to| rent| cars|.| They| were| all| taken|.| She| tried| to| rent| a| boat,-1.6444117|-10.958992|-0.25630152|-10.823963|-6.719537|-3.8601649|-4.0658937|-1.7820021|-1.560841|-1.583689|-0.51412356|-1.5481579|-2.3338168|-1.1070248|-1.7869426|-0.380469|-1.8102636,Lucy failed to rent cars. They were all taken. She tried to rent a boat
3_bear_affirmative,Carol saw bears at the zoo and they,affirmative,it,"Car|ol| saw| bears| at| the| zoo| and| they| were| so| cute|.|
|
|I| saw| a| bear",-4.5730557|-8.131914|-13.187149|-3.4537418|-1.0710056|-2.0610666|-2.22752|-3.7006657|-0.9238208|-2.4436123|-1.0391605|-1.0328571|-1.5159217|-0.0017118911|-2.6953466|-2.0700166|-1.1753019|-1.1608745,"Carol saw bears at the zoo and they were so cute.

I saw a bear"
3_bear_negated,Carol didn't see bears at the zoo and they,negated,it,Car|ol| didn|'t| see| bears| at| the| zoo| and| they| didn|'t| see| her|.| She| was| too| busy| looking,-4.5737367|-6.219467|-0.33748707|-4.1512704|-12.900539|-3.6487195|-1.5968012|-2.2570477|-3.831548|-4.053204|-1.2473059|-0.001315517|-1.6784489|-0.7965993|-0.71160674|-1.4943079|-2.1372344|-2.9192755|-1.1537433|-1.5553398,Carol didn't see bears at the zoo and they didn't see her. She was too busy looking
3_bear_know,I know that Carol saw bears at the zoo. They,know,it,"I| know| that| Carol| saw| bears| at| the| zoo|.| They| were| in| a| cage|.|
|
|I| know| that",-4.26207|-2.3886948|-10.563387|-7.2194057|-11.708115|-3.4840035|-1.0760145|-2.9122968|-1.5910276|-4.981286|-1.1444511|-2.5205047|-1.1579294|-0.3677543|-0.7407888|-1.87245|-0.0010707263|-1.773918|-0.7030667|-0.112460144,"I know that Carol saw bears at the zoo. They were in a cage.

I know that"
3_bear_doubt,I doubt that Carol saw bears at the zoo. They,doubt,it,"I| doubt| that| Carol| saw| bears| at| the| zoo|.| They| were| probably| in| the| wild|.|
|
|I| doubt",-8.071989|-1.9223516|-11.009945|-6.742662|-12.608182|-3.4379873|-1.5817193|-3.1131334|-1.3559238|-5.004501|-2.0565352|-1.1957904|-1.8620646|-0.9995705|-2.9187262|-0.9446209|-1.6173851|-0.0019561825|-2.5263011|-1.5605347,"I doubt that Carol saw bears at the zoo. They were probably in the wild.

I doubt"
3_bear_modal,Carol wants to see bears at the zoo and they,modal,it,"Car|ol| wants| to| see| bears| at| the| zoo| and| they| go| to| the| zoo|.|
|
|Car|ol| wants",-4.5725837|-8.4969015|-0.49553382|-3.58068|-11.988602|-4.1690855|-0.96373945|-0.96822137|-3.0119634|-4.4926205|-2.1005836|-1.0841815|-0.38529733|-0.51022846|-0.8689414|-1.5102642|-0.0019944662|-1.7988827|-0.0019076335|-0.5328428,"Carol wants to see bears at the zoo and they go to the zoo.

Carol wants"
3_bear_managed,Carol managed to see bears at the zoo. They,managed,it,"Car|ol| managed| to| see| bears| at| the| zoo|.| They| were| in| a| cage|,| but| she| was| able| to",-4.5725837|-9.506661|-0.4126607|-5.89211|-13.595181|-3.319576|-1.8008999|-2.4804664|-1.979726|-3.760976|-0.85450995|-2.6853335|-0.9884181|-1.6508629|-1.1008115|-0.5270844|-1.3729956|-1.8514786|-1.5915968|-0.0106732,"Carol managed to see bears at the zoo. They were in a cage, but she was able to"
3_bear_failed,Carol failed to see bears at the zoo. They,failed,it,"Car|ol| failed| to| see| bears| at| the| zoo|.| They| were| all| hiding|.|
|
|The| zoo| was| closed",-4.5725837|-11.260001|-0.22960266|-3.2256975|-13.34653|-3.2539103|-1.4286314|-2.7512577|-1.4454771|-4.5495524|-1.024537|-2.3075004|-1.9874644|-1.1120082|-1.0463527|-0.0021581836|-2.9040709|-2.0954022|-1.6720659|-2.0231383,"Carol failed to see bears at the zoo. They were all hiding.

The zoo was closed"
4_book_affirmative,Susan published books and they,affirmative,it,Susan| published| books| and| they| were| very| successful|.| She| was| a| very| good| writer,-9.221799|-6.4109516|-2.7676158|-7.7009864|-1.6706593|-2.6848402|-1.232182|-0.5335837|-1.6738051|-1.7540898|-1.7603601|-1.8942608|-1.5067834|-0.59366196,Susan published books and they were very successful. She was a very good writer
4_book_negated,Susan didn't publish books and they,negated,it,Susan| didn|'t| publish| books| and| they| didn|'t| have| a| website|.| They| didn|'t| even,-6.3202176|-0.33390546|-10.213263|-6.110932|-4.0782266|-4.9497337|-1.4802115|-0.0015039567|-1.6164808|-1.3583248|-2.1188297|-0.7474758|-1.9679831|-1.7589234|-0.0012231303|-1.4097265,Susan didn't publish books and they didn't have a website. They didn't even
4_book_know,I know that Susan published books. They,know,it,I| know| that| Susan| published| books|.| They| were| very| good|.| I| know| that| she| was| a,-4.2624497|-2.3897922|-9.862944|-11.801618|-5.9222198|-3.1234555|-4.630198|-1.1665901|-3.004786|-1.662445|-1.0318736|-1.537102|-2.5623877|-0.4490533|-1.0073498|-1.5479487|-1.2128865,I know that Susan published books. They were very good. I know that she was a
4_book_doubt,I doubt that Susan published books. They,doubt,it,"I| doubt| that| Susan| published| books|.| They| were| probably| published| by| her| husband|,| who| was| a",-8.071989|-1.9223516|-9.430104|-12.702593|-7.2439127|-3.213055|-4.8564816|-1.1337305|-1.4853388|-1.8452005|-0.3624338|-1.8314052|-1.4152508|-1.2795871|-2.2316668|-1.2202091|-1.030371,"I doubt that Susan published books. They were probably published by her husband, who was a"
4_book_modal,Susan wants to publish books and they,modal,it,"Susan| wants| to| publish| books| and| they| are| looking| for| a| publisher|.|
|
|Susan| wants",-7.760685|-0.38770884|-7.7566867|-5.7644567|-2.4949036|-6.0814633|-1.9755014|-2.9155357|-0.19280913|-1.3470895|-2.104911|-0.5985948|-1.5898535|-0.004638122|-2.511734|-1.8727603,"Susan wants to publish books and they are looking for a publisher.

Susan wants"
