id,sentence,type,expected,order,tokens,log_probs
1_dog_affirmative_negation,John owns a dog but he doesn't own a cat. The dog,affirmative_negation,1,1,John| owns| a| dog| but| he| doesn|'t| own| a| cat|.| The| dog,-12.051212|-1.2373413|-5.7515492|-4.923368|-1.5251007|-1.3344741|-0.39245766|-1.5780692|-0.61988825|-0.8943869|-0.5333526|-5.1359496|-1.4343284
1_dog_affirmative_negation,John owns a dog but he doesn't own a cat. The cat,affirmative_negation,0,1,John| owns| a| dog| but| he| doesn|'t| own| a| cat|.| The| cat,-12.05151|-1.2389575|-5.745437|-4.91294|-1.5260595|-1.3358175|-0.3902631|-1.5774819|-0.6238731|-0.87534183|-0.53330994|-5.1338644|-2.2264702
1_dog_affirmative_negation,John owns a cat but he doesn't own a dog. The cat,affirmative_negation,1,2,John| owns| a| cat| but| he| doesn|'t| own| a| dog|.| The| cat,-12.051212|-1.2373413|-7.1868362|-4.7865477|-1.6234006|-1.2854313|-0.40199506|-1.1749095|-0.692965|-0.61508286|-0.53192705|-5.006199|-1.1414068
1_dog_affirmative_negation,John owns a cat but he doesn't own a dog. The dog,affirmative_negation,0,2,John| owns| a| cat| but| he| doesn|'t| own| a| dog|.| The| dog,-12.05151|-1.2389575|-7.1910095|-4.7846284|-1.6249663|-1.2859278|-0.398725|-1.1800417|-0.6900133|-0.6026169|-0.52679557|-5.0127954|-2.248937
1_dog_negation_affirmative,John doesn't own a dog but he owns a cat. The cat,negation_affirmative,1,1,John| doesn|'t| own| a| dog| but| he| owns| a| cat|.| The| cat,-9.115787|-0.3799011|-5.727537|-0.75152797|-4.8670444|-2.8476954|-1.129224|-3.77447|-0.4742752|-1.2127569|-0.97426945|-3.2148015|-0.28802222
1_dog_negation_affirmative,John doesn't own a dog but he owns a cat. The dog,negation_affirmative,0,1,John| doesn|'t| own| a| dog| but| he| owns| a| cat|.| The| dog,-9.115598|-0.37937883|-5.7276845|-0.74082583|-4.8639674|-2.8290124|-1.1291604|-3.812076|-0.48010424|-1.2205065|-0.9778606|-3.2213378|-2.4713776
1_dog_negation_affirmative,John doesn't own a cat but he owns a dog. The dog,negation_affirmative,1,2,John| doesn|'t| own| a| cat| but| he| owns| a| dog|.| The| dog,-9.115598|-0.37937883|-5.7276845|-0.74082583|-5.2506557|-3.271916|-1.0899975|-3.4714088|-0.5060915|-1.3820771|-0.99101776|-3.3492863|-0.38740206
1_dog_negation_affirmative,John doesn't own a cat but he owns a dog. The cat,negation_affirmative,0,2,John| doesn|'t| own| a| cat| but| he| owns| a| dog|.| The| cat,-9.115785|-0.37854487|-5.721785|-0.749617|-5.2465954|-3.2874718|-1.0836256|-3.4214315|-0.50427306|-1.3274934|-0.98742807|-3.3472192|-1.9333093
1_dog_know_doubt,I know that John owns a dog but I doubt that he owns a cat. The dog,know_doubt,1,1,I| know| that| John| owns| a| dog| but| I| doubt| that| he| owns| a| cat|.| The| dog,-4.26245|-2.389793|-7.721018|-8.204659|-1.0014095|-5.4393563|-3.6384087|-0.64941204|-5.8293047|-0.7712946|-0.63889873|-2.0377667|-0.45207044|-1.1345191|-0.6433176|-4.879193|-2.4843066
1_dog_know_doubt,I know that John owns a dog but I doubt that he owns a cat. The cat,know_doubt,0,1,I| know| that| John| owns| a| dog| but| I| doubt| that| he| owns| a| cat|.| The| cat,-4.262452|-2.3896077|-7.7219934|-8.206224|-1.003945|-5.435947|-3.632085|-0.64951336|-5.819196|-0.77851784|-0.63991046|-2.069472|-0.45575508|-1.1537578|-0.6376144|-4.9221873|-2.6079755
1_dog_know_doubt,I know that John owns a cat but I doubt that he owns a dog. The cat,know_doubt,1,2,I| know| that| John| owns| a| cat| but| I| doubt| that| he| owns| a| dog|.| The| cat,-4.262303|-2.3906283|-7.7151604|-8.208603|-1.0041908|-6.7734795|-3.8327777|-0.75106966|-5.6187725|-0.73633957|-0.6924785|-1.4823964|-0.47774786|-0.99979657|-0.75012755|-4.8575563|-1.9351159
1_dog_know_doubt,I know that John owns a cat but I doubt that he owns a dog. The dog,know_doubt,0,2,I| know| that| John| owns| a| cat| but| I| doubt| that| he| owns| a| dog|.| The| dog,-4.262303|-2.3906283|-7.7151604|-8.208601|-1.0026395|-6.775969|-3.8396242|-0.7438987|-5.615781|-0.7398944|-0.69248575|-1.5060561|-0.4715492|-1.0035182|-0.74860656|-4.832668|-2.8725877
1_dog_doubt_know,I doubt that John owns a dog but I know that he owns a cat. The cat,doubt_know,1,1,I| doubt| that| John| owns| a| dog| but| I| know| that| he| owns| a| cat|.| The| cat,-8.071785|-1.9196118|-7.754527|-9.34204|-0.96190196|-5.0849943|-4.288077|-1.5773224|-3.208714|-1.0062962|-0.8040203|-2.9646559|-0.4290473|-1.059446|-0.8351431|-5.103659|-1.3163421
1_dog_doubt_know,I doubt that John owns a dog but I know that he owns a cat. The dog,doubt_know,0,1,I| doubt| that| John| owns| a| dog| but| I| know| that| he| owns| a| cat|.| The| dog,-8.07201|-1.9216126|-7.7551336|-9.334813|-0.9642279|-5.0947666|-4.286279|-1.5780594|-3.2104821|-1.0021616|-0.80613685|-2.9620068|-0.43199196|-1.06801|-0.83742726|-5.1073284|-2.5474722
1_dog_doubt_know,I doubt that John owns a cat but I know that he owns a dog. The dog,doubt_know,1,2,I| doubt| that| John| owns| a| cat| but| I| know| that| he| owns| a| dog|.| The| dog,-8.072716|-1.9201941|-7.7560396|-9.350591|-0.9646234|-5.5031624|-4.489749|-1.561593|-3.1837578|-0.9781428|-0.81365955|-2.7681587|-0.41916463|-1.0383786|-0.8604039|-4.967585|-1.1747139
1_dog_doubt_know,I doubt that John owns a cat but I know that he owns a dog. The cat,doubt_know,0,2,I| doubt| that| John| owns| a| cat| but| I| know| that| he| owns| a| dog|.| The| cat,-8.071785|-1.9196118|-7.754527|-9.34204|-0.96190196|-5.546836|-4.4811473|-1.561116|-3.1830387|-0.97620034|-0.80924505|-2.767868|-0.42088094|-1.016057|-0.856911|-4.976738|-2.3804164
1_dog_affirmative_modal,John owns a dog but he wants to own a cat. The dog,affirmative_modal,1,1,John| owns| a| dog| but| he| wants| to| own| a| cat|.| The| dog,-12.05151|-1.2389575|-5.745437|-4.91294|-1.5260595|-5.042185|-0.6373977|-2.191278|-0.3490908|-0.46939647|-0.7802823|-4.010385|-1.3643376
1_dog_affirmative_modal,John owns a dog but he wants to own a cat. The cat,affirmative_modal,0,1,John| owns| a| dog| but| he| wants| to| own| a| cat|.| The| cat,-12.051119|-1.2373904|-5.7481155|-4.918401|-1.5242529|-5.0471606|-0.63851666|-2.2224514|-0.34706503|-0.45852458|-0.7785262|-3.9734085|-1.359692
1_dog_affirmative_modal,John owns a cat but he wants to own a dog. The cat,affirmative_modal,1,2,John| owns| a| cat| but| he| wants| to| own| a| dog|.| The| cat,-12.05151|-1.2389575|-7.1910095|-4.7846284|-1.6249663|-4.602761|-0.7919886|-1.2523466|-0.21211043|-0.25152063|-0.6781953|-4.1474137|-0.9063747
1_dog_affirmative_modal,John owns a cat but he wants to own a dog. The dog,affirmative_modal,0,2,John| owns| a| cat| but| he| wants| to| own| a| dog|.| The| dog,-12.051119|-1.2373933|-7.1971774|-4.7878304|-1.6225413|-4.606425|-0.790527|-1.3022926|-0.21092135|-0.25019786|-0.67820346|-4.129161|-1.7299639
1_dog_modal_affirmative,John wants to own a dog but he owns a cat. The cat,modal_affirmative,1,1,John| wants| to| own| a| dog| but| he| owns| a| cat|.| The| cat,-10.131065|-0.41552526|-7.4651256|-0.9899904|-4.442039|-2.427321|-2.0384507|-7.6098924|-0.36999547|-0.3965999|-0.7964882|-3.6897535|-0.704538
1_dog_modal_affirmative,John wants to own a dog but he owns a cat. The dog,modal_affirmative,0,1,John| wants| to| own| a| dog| but| he| owns| a| cat|.| The| dog,-10.131632|-0.41485745|-7.4697704|-0.9862923|-4.448371|-2.4277804|-2.034701|-7.5872145|-0.36852047|-0.40927693|-0.7913608|-3.691031|-1.7626326
1_dog_modal_affirmative,John wants to own a cat but he owns a dog. The dog,modal_affirmative,1,2,John| wants| to| own| a| cat| but| he| owns| a| dog|.| The| dog,-10.131632|-0.41485745|-7.4697704|-0.9862923|-6.0801663|-2.3261192|-2.0441568|-6.6674333|-0.23294224|-0.44937414|-0.7623342|-3.703395|-0.9142649
1_dog_modal_affirmative,John wants to own a cat but he owns a dog. The cat,modal_affirmative,0,2,John| wants| to| own| a| cat| but| he| owns| a| dog|.| The| cat,-10.131632|-0.41485745|-7.4697704|-0.9862923|-6.0801663|-2.3261175|-2.044159|-6.6674333|-0.23294224|-0.44937414|-0.7623322|-3.7033918|-1.3155024
1_dog_managed_failed,John managed to adopt a dog but failed to adopt a cat. The dog,managed_failed,1,1,John| managed| to| adopt| a| dog| but| failed| to| adopt| a| cat|.| The| dog,-10.89243|-0.4040793|-10.025999|-0.5347315|-8.595452|-4.5148406|-5.784879|-0.31081375|-4.3114|-0.55795467|-0.8651486|-0.914317|-3.191482|-2.0920846
1_dog_managed_failed,John managed to adopt a dog but failed to adopt a cat. The cat,managed_failed,0,1,John| managed| to| adopt| a| dog| but| failed| to| adopt| a| cat|.| The| cat,-10.892947|-0.404736|-10.024492|-0.53440404|-8.737602|-4.51734|-5.778674|-0.3130093|-4.30158|-0.5584026|-0.8615361|-0.91602975|-3.2454798|-2.3314614
1_dog_managed_failed,John managed to adopt a cat but failed to adopt a dog. The cat,managed_failed,1,2,John| managed| to| adopt| a| cat| but| failed| to| adopt| a| dog|.| The| cat,-10.892691|-0.40392625|-10.0211315|-0.5369772|-8.528278|-4.345945|-5.921298|-0.34558025|-4.0457406|-0.43863866|-0.594392|-0.848202|-3.3238616|-1.7905505
1_dog_managed_failed,John managed to adopt a cat but failed to adopt a dog. The dog,managed_failed,0,2,John| managed| to| adopt| a| cat| but| failed| to| adopt| a| dog|.| The| dog,-10.89243|-0.4040793|-10.025999|-0.5347315|-8.510169|-4.339207|-5.943884|-0.34271082|-4.0497074|-0.4390878|-0.6023065|-0.8504405|-3.3597264|-2.461093
1_dog_failed_managed,John failed to adopt a dog but managed to adopt a cat. The cat,failed_managed,1,1,John| failed| to| adopt| a| dog| but| managed| to| adopt| a| cat|.| The| cat,-11.397318|-0.6158006|-8.949001|-1.5591657|-5.8430915|-4.5931|-4.8771443|-0.030821672|-2.620133|-0.4943243|-1.6092409|-1.2707222|-2.7788773|-0.47252718
1_dog_failed_managed,John failed to adopt a dog but managed to adopt a cat. The dog,failed_managed,0,1,John| failed| to| adopt| a| dog| but| managed| to| adopt| a| cat|.| The| dog,-11.397318|-0.6158006|-8.949001|-1.5591657|-5.8430915|-4.5931|-4.8771443|-0.030821672|-2.620133|-0.4943243|-1.6092409|-1.2707222|-2.7788773|-4.3538747
1_dog_failed_managed,John failed to adopt a cat but managed to adopt a dog. The dog,failed_managed,1,2,John| failed| to| adopt| a| cat| but| managed| to| adopt| a| dog|.| The| dog,-11.397318|-0.6158006|-8.949001|-1.5591657|-7.4408903|-4.59641|-4.865735|-0.047497198|-2.407512|-0.4587951|-1.7331191|-1.2969372|-2.7094166|-0.45954123
1_dog_failed_managed,John failed to adopt a cat but managed to adopt a dog. The cat,failed_managed,0,2,John| failed| to| adopt| a| cat| but| managed| to| adopt| a| dog|.| The| cat,-11.397318|-0.6158006|-8.949001|-1.5591657|-7.4408903|-4.59641|-4.865735|-0.047497198|-2.407512|-0.4587951|-1.7331191|-1.2969372|-2.7094166|-3.7318418
2_car_affirmative_negation,Peter has a car but he doesn't have a bike. The car,affirmative_negation,1,1,Peter| has| a| car| but| he| doesn|'t| have| a| bike|.| The| car,-5.826751|-2.2420554|-6.9217095|-4.315438|-1.1690874|-1.4030281|-0.36814725|-0.9332636|-0.27713692|-6.0237727|-0.91633546|-4.9793673|-2.8294601
2_car_affirmative_negation,Peter has a car but he doesn't have a bike. The bike,affirmative_negation,0,1,Peter| has| a| car| but| he| doesn|'t| have| a| bike|.| The| bike,-5.826751|-2.2420554|-6.9217095|-4.315438|-1.1690874|-1.4030281|-0.36814725|-0.9332636|-0.27713692|-6.0237727|-0.91633546|-4.9793673|-2.9168055
2_car_affirmative_negation,Peter has a bike but he doesn't have a car. The bike,affirmative_negation,1,2,Peter| has| a| bike| but| he| doesn|'t| have| a| car|.| The| bike,-5.8257346|-2.2458875|-8.652155|-4.6471252|-1.3337941|-1.3407443|-0.34512517|-1.6707668|-0.28985518|-3.2715416|-0.92734915|-4.8813777|-3.0176232
2_car_affirmative_negation,Peter has a bike but he doesn't have a car. The car,affirmative_negation,0,2,Peter| has| a| bike| but| he| doesn|'t| have| a| car|.| The| car,-5.8262587|-2.2438405|-8.64283|-4.640736|-1.3364339|-1.3422648|-0.34653997|-1.6759696|-0.2896728|-3.2659914|-0.9260456|-4.8894434|-2.3897262
2_car_negation_affirmative,Peter doesn't have a car but he has a bike. The bike,negation_affirmative,1,1,Peter| doesn|'t| have| a| car| but| he| has| a| bike|.| The| bike,-8.206048|-0.38883504|-2.6739972|-1.3842509|-3.6363888|-4.038142|-0.8554657|-2.054062|-0.5838316|-1.7705925|-1.0168089|-4.307041|-1.9317597
2_car_negation_affirmative,Peter doesn't have a car but he has a bike. The car,negation_affirmative,0,1,Peter| doesn|'t| have| a| car| but| he| has| a| bike|.| The| car,-8.204909|-0.38831893|-2.6692111|-1.3839138|-3.63701|-4.04452|-0.8502453|-2.0523233|-0.58603215|-1.7647809|-1.0184418|-4.306961|-3.1047857
