id,sentence,type,pronoun,tokens,log_probs
1_dog_affirmative,John owns a dog and it follows him everywhere he goes.,affirmative,it,John| owns| a| dog| and| it| follows| him| everywhere| he| goes|.,-12.05151|-1.2389575|-5.751538|-2.5454457|-3.8152804|-5.400128|-0.1905186|-1.1938651|-2.102642|-0.015156917|-0.2737273
1_dog_affirmative,John owns a dog and he is thinking about getting another one.,affirmative,subj,John| owns| a| dog| and| he| is| thinking| about| getting| another| one|.,-12.05151|-1.2377483|-5.7441144|-2.543074|-2.680736|-2.112665|-5.2182674|-0.87311286|-2.0310872|-1.5936052|-0.78830415|-0.29862157
1_dog_negated,John doesn't own a dog and it follows him everywhere he goes.,negated,it,John| doesn|'t| own| a| dog| and| it| follows| him| everywhere| he| goes|.,-9.115598|-0.37937883|-5.7276845|-0.74082583|-4.8639674|-3.2675385|-4.603357|-8.756788|-1.532984|-1.4241316|-1.6847764|-0.023266261|-0.60639817
1_dog_negated,John doesn't own a dog and he isn't planning on getting one.,negated,subj,John| doesn|'t| own| a| dog| and| he| isn|'t| planning| on| getting| one|.,-9.115598|-0.3801139|-5.721107|-0.742062|-4.8583655|-3.2731614|-1.7111341|-3.7431805|-0.0039588106|-3.937067|-0.7801819|-0.52405363|-0.14364646|-0.9850071
1_dog_know,I know that John owns a dog. It follows him everywhere he goes.,know,it,I| know| that| John| owns| a| dog|.| It| follows| him| everywhere| he| goes|.,-4.26207|-2.391085|-7.7221985|-8.204338|-1.0036731|-5.437448|-1.5886258|-4.2700014|-4.767761|-8.425542|-0.9200664|-2.0240865|-0.00823063|-0.47498026
1_dog_know,I know that John owns a dog. He is thinking about getting another one.,know,subj,I| know| that| John| owns| a| dog|.| He| is| thinking| about| getting| another| one|.,-4.26207|-2.3886948|-7.724874|-8.208318|-1.0030878|-5.431399|-1.5840068|-3.363145|-2.1135352|-5.6926246|-0.9107359|-0.95702875|-1.7811887|-0.7012391|-0.2851184
1_dog_doubt,I doubt that John owns a dog. It follows him everywhere he goes.,doubt,it,I| doubt| that| John| owns| a| dog|.| It| follows| him| everywhere| he| goes|.,-8.071802|-1.9205159|-7.7536063|-9.350482|-0.9627433|-5.1073136|-1.3999203|-5.253034|-6.4180217|-9.883486|-0.8532387|-2.0143092|-0.008242593|-0.40162778
1_dog_doubt,I doubt that John owns a dog. He doesn't own any other pets either.,doubt,subj,I| doubt| that| John| owns| a| dog|.| He| doesn|'t| own| any| other| pets| either|.,-8.071802|-1.9226406|-7.7488523|-9.351249|-0.96360266|-5.11647|-1.4064077|-3.501626|-1.9074644|-0.31430593|-6.4056077|-2.7253296|-6.0648727|-0.6643208|-1.3970311|-0.33462462
1_dog_modal,John wants to own a dog and it follows him everywhere he goes.,modal,it,John| wants| to| own| a| dog| and| it| follows| him| everywhere| he| goes|.,-10.131335|-0.4154294|-7.4620886|-0.9953083|-4.4314833|-2.884417|-5.124458|-8.257325|-0.7206968|-1.3394054|-2.0519962|-0.029953793|-0.4419449
1_dog_modal,John wants to own a dog and he cannot wait to move to a building that allows pets.,modal,subj,John| wants| to| own| a| dog| and| he| cannot| wait| to| move| to| a| building| that| allows| pets|.,-10.131632|-0.41485745|-7.4697704|-0.98629224|-4.446697|-2.8846996|-2.3108096|-6.498183|-1.8457849|-0.9125487|-5.7939568|-1.6070142|-1.2164211|-8.038557|-1.2856678|-0.42405757|-0.90064585|-0.2909246
1_dog_managed,John managed to adopt a dog. It follows him everywhere he goes.,managed,it,John| managed| to| adopt| a| dog|.| It| follows| him| everywhere| he| goes|.,-10.892691|-0.4022149|-10.024581|-0.53725857|-8.612742|-3.0105414|-2.742144|-8.463243|-2.0504208|-1.2122233|-2.6619883|-0.024329873|-0.6543545
1_dog_managed,John managed to adopt a dog. He only needed permission from his landlord.,managed,subj,John| managed| to| adopt| a| dog|.| He| only| needed| permission| from| his| landlord|.,-10.892691|-0.40392625|-10.0211315|-0.5369772|-8.620002|-3.0115461|-2.0048032|-7.380668|-3.9909227|-6.246385|-0.3494738|-1.2920811|-2.2447653|-1.2426544
1_dog_failed,John failed to adopt a dog. It follows him everywhere he goes.,failed,it,John| failed| to| adopt| a| dog|.| It| follows| him| everywhere| he| goes|.,-11.397318|-0.61667323|-8.957377|-1.5593356|-5.8399725|-2.4840653|-4.8730483|-6.5725784|-7.133383|-2.059205|-2.0176694|-0.02076328|-0.48219398
1_dog_failed,John failed to adopt a dog. He doesn't have a big enough apartment.,failed,subj,John| failed| to| adopt| a| dog|.| He| doesn|'t| have| a| big| enough| apartment|.,-11.397318|-0.61667323|-8.957377|-1.5583633|-5.8963003|-2.4861872|-2.9176576|-4.5367827|-0.31305486|-1.7810378|-1.2587359|-5.0561204|-1.5242633|-2.1571887|-0.5490995
2_car_affirmative,Lucy has a car and it has a self-driving mode.,affirmative,it,Lu|cy| has| a| car| and| it| has| a| self|-|driving| mode|.,-1.6447488|-5.2178197|-1.9235734|-7.197704|-2.561034|-3.8921313|-3.7765148|-1.2877147|-8.274019|-0.21766888|-1.3224392|-1.2434455|-1.0092921
2_car_affirmative,Lucy has a car and she loves to go on roadtrips.,affirmative,subj,Lu|cy| has| a| car| and| she| loves| to| go| on| road|tri|ps|.,-1.6447488|-5.221226|-1.9222343|-7.195458|-2.55989|-1.8944756|-3.9651759|-0.6794219|-2.8848245|-2.3999097|-1.3052628|-2.526195|-0.00025300472|-0.6901746
2_car_negated,Lucy doesn't have a car and it has a self-driving mode.,negated,it,Lu|cy| doesn|'t| have| a| car| and| it| has| a| self|-|driving| mode|.,-1.6447488|-7.299044|-0.40128085|-2.6942658|-1.3786206|-4.051017|-2.8281674|-3.7723448|-5.439362|-3.9934537|-9.3277855|-0.31799364|-1.4853765|-1.2011014|-1.2693555
2_car_negated,Lucy doesn't have a car and she only buys second-hand clothes.,negated,subj,Lu|cy| doesn|'t| have| a| car| and| she| only| buys| second|-|hand| clothes|.,-1.6447488|-7.299044|-0.40128085|-2.6942658|-1.3786206|-4.051017|-2.8281674|-1.9500487|-5.1997457|-6.003279|-4.0556393|-0.74033386|-0.026797969|-0.7065399|-0.89042664
