id,sentence,type,pronoun,tokens,continuation,referential_it,non-referential/event it,noteworthy,
1_dog_affirmative,John owns a dog and it,affirmative,it,John|##owns|##a|##dog|##and|##it|'s|##a|##big|##deal|.|##He|'s|##a|##big|##fan|##of|##the|##show|##and|##he|'s|##a|##big|##fan|##of|##the|##show|'s|##characters,John owns a dog and it's a big deal. He's a big fan of the show and he's a big fan of the show's characters,0,1,0,
1_dog_negated,John doesn't own a dog and it,negated,it,John|##doesn|'t|##own|##a|##dog|##and|##it|'s|##not|##a|##big|##deal|.|##He|'s|##a|##good|##dog|.|##He|'s|##a|##good|##dog|.|##He|'s|##a|##good,John doesn't own a dog and it's not a big deal. He's a good dog. He's a good dog. He's a good,0,0,0,
1_dog_know,I know that John owns a dog. It,know,it,I|##know|##that|##John|##owns|##a|##dog|.|##It|'s|##a|##dog|.|##It|'s|##a|##dog|.|##It|'s|##a|##dog|.|##It|'s|##a|##dog|.|##It|'s,I know that John owns a dog. It's a dog. It's a dog. It's a dog. It's a dog. It's,1,0,0,
1_dog_doubt,I doubt that John owns a dog. It,doubt,it,I|##doubt|##that|##John|##owns|##a|##dog|.|##It|'s|##not|##like|##he|'s|##a|##dog|##owner|.|##He|'s|##a|##dog|##owner|.|##He|'s|##a|##dog|##owner|.,I doubt that John owns a dog. It's not like he's a dog owner. He's a dog owner. He's a dog owner.,0,1,0,
1_dog_modal,John wants to own a dog and it,modal,it,"John|##wants|##to|##own|##a|##dog|##and|##it|'s|##not|##a|##good|##idea|##to|##have|##a|##dog|.|Ċ|Ċ|""|I|'m|##not|##going|##to|##be|##a|##dog|##owner","John wants to own a dog and it's not a good idea to have a dog.

""I'm not going to be a dog owner",0,1,0,
1_dog_managed,John managed to adopt a dog. It,managed,it,"John|##managed|##to|##adopt|##a|##dog|.|##It|##was|##named|##""|B|obby|""|##and|##he|##was|##named|##after|##his|##father|.|Ċ|Ċ|""|I|##was|##very|##happy|##with","John managed to adopt a dog. It was named ""Bobby"" and he was named after his father.

""I was very happy with",1,0,0,
1_dog_failed,John failed to adopt a dog. It,failed,it,John|##failed|##to|##adopt|##a|##dog|.|##It|##was|##a|##dog|##that|##was|##a|##bit|##too|##big|##for|##him|.|##He|##was|##a|##bit|##too|##big|##for|##me|.|##I,John failed to adopt a dog. It was a dog that was a bit too big for him. He was a bit too big for me. I,1,0,0,
2_car_affirmative,Lucy has a car and it,affirmative,it,Lu|cy|##has|##a|##car|##and|##it|'s|##a|##big|##one|.|##She|'s|##got|##a|##lot|##of|##money|##and|##she|'s|##got|##a|##lot|##of|##friends|.|##She|'s,Lucy has a car and it's a big one. She's got a lot of money and she's got a lot of friends. She's,1,0,0,
2_car_negated,Lucy doesn't have a car and it,negated,it,Lu|cy|##doesn|'t|##have|##a|##car|##and|##it|'s|##not|##like|##she|'s|##going|##to|##be|##able|##to|##drive|##it|.|##She|'s|##going|##to|##have|##to|##get|##a,Lucy doesn't have a car and it's not like she's going to be able to drive it. She's going to have to get a,0,0,1,
2_car_know,I know that Lucy has a car. It,know,it,I|##know|##that|##Lucy|##has|##a|##car|.|##It|'s|##a|##car|##that|##she|'s|##driving|.|##She|'s|##driving|##it|.|##She|'s|##driving|##it|.|##She|'s|##driving,I know that Lucy has a car. It's a car that she's driving. She's driving it. She's driving it. She's driving,1,0,0,
