id,sentence,type,pronoun,tokens,log_probs,pronoun_log_prob,critical_token_idx
1_dog_affirmative,John owns a dog and it follows him everywhere he goes.,affirmative,it,John|##owns|##a|##dog|##and|##it|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-9.888463|-11.115249|-8.747046|-7.9778824|-7.252853|-9.330764|-13.434839|-11.880597|-7.292184|-14.57733|-12.749821|-10.3546295|-11.537975,-9.330764,5
1_dog_affirmative,John owns a dog and he is thinking about getting another one.,affirmative,subj,John|##owns|##a|##dog|##and|##he|##is|##thinking|##about|##getting|##another|##one|.|<|endoftext|>,-9.888463|-11.115249|-8.747046|-7.9778824|-7.252853|-9.36072|-9.4288845|-11.092122|-8.481757|-11.268131|-9.499166|-6.638823|-10.392009|-11.555282,-9.36072,5
1_dog_negated,John doesn't own a dog and it follows him everywhere he goes.,negated,it,John|##doesn|'t|##own|##a|##dog|##and|##it|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-9.888463|-10.518702|-11.227001|-10.666262|-10.10988|-8.713612|-7.6008196|-9.915702|-12.961262|-11.824136|-7.4035172|-14.314365|-13.483315|-10.62784|-11.401314,-9.915702,7
1_dog_negated,John doesn't own a dog and he isn't planning on getting one.,negated,subj,John|##doesn|'t|##own|##a|##dog|##and|##he|##isn|'t|##planning|##on|##getting|##one|.|<|endoftext|>,-9.888463|-10.518702|-11.227001|-10.666262|-10.10988|-8.713612|-7.6008196|-9.554243|-17.278904|-15.356934|-14.394627|-9.813787|-13.775603|-6.268865|-11.14278|-11.471104,-9.554243,7
1_dog_know,I know that John owns a dog. It follows him everywhere he goes.,know,it,I|##know|##that|##John|##owns|##a|##dog|.|##It|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-8.608882|-11.01769|-5.189838|-6.093275|-12.129921|-9.083792|-7.3545284|-10.69153|-13.92283|-11.466541|-11.416786|-8.968707|-14.009119|-13.460178|-10.675138|-11.573181,-13.92283,8
1_dog_know,I know that John owns a dog. He is thinking about getting another one.,know,subj,I|##know|##that|##John|##owns|##a|##dog|.|##He|##is|##thinking|##about|##getting|##another|##one|.|<|endoftext|>,-8.608882|-11.017689|-5.1898394|-6.0932755|-12.129921|-9.08379|-7.3545284|-10.691532|-12.837835|-9.54573|-11.718945|-8.27491|-11.67022|-9.921091|-6.9875026|-10.458052|-11.511374,-12.837835,8
1_dog_doubt,I doubt that John owns a dog. It follows him everywhere he goes.,doubt,it,I|##doubt|##that|##John|##owns|##a|##dog|.|##It|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-8.608882|-11.764902|-4.9677625|-6.2646303|-12.673348|-9.32168|-8.340323|-10.2859745|-13.515344|-11.043777|-10.220755|-8.6656685|-13.102789|-13.158731|-10.309336|-11.583662,-13.515344,8
1_dog_doubt,I doubt that John owns a dog. He doesn't own any other pets either.,doubt,subj,I|##doubt|##that|##John|##owns|##a|##dog|.|##He|##doesn|'t|##own|##any|##other|##pets|##either|.|<|endoftext|>,-8.608882|-11.764904|-4.967763|-6.2646294|-12.673348|-9.32168|-8.340322|-10.2859745|-13.086906|-16.482697|-12.221341|-11.355389|-9.1747055|-9.258279|-13.224874|-8.225828|-10.380629|-11.64257,-13.086906,8
1_dog_modal,John wants to own a dog and it follows him everywhere he goes.,modal,it,John|##wants|##to|##own|##a|##dog|##and|##it|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-9.888463|-11.417618|-8.600997|-9.915767|-9.28892|-6.6353717|-7.21232|-9.324106|-12.383934|-10.549928|-7.5149584|-14.071578|-12.320151|-10.188885|-11.518676,-9.324106,7
1_dog_modal,John wants to own a dog and he cannot wait to move to a building that allows pets.,modal,subj,John|##wants|##to|##own|##a|##dog|##and|##he|##cannot|##wait|##to|##move|##to|##a|##building|##that|##allows|##pets|.|<|endoftext|>,-9.888463|-11.41762|-8.600997|-9.915764|-9.28892|-6.6353707|-7.2123203|-9.844057|-12.255178|-9.949137|-8.995415|-11.742181|-9.304087|-8.967543|-10.301984|-8.909485|-10.616629|-11.405415|-10.21079|-11.679733,-9.844057,7
