id,sentence,type,pronoun,tokens,log_probs
1_dog_affirmative,John owns dogs and they follow him everywhere he goes.,affirmative,it,John| owns| dogs| and| they| follow| him| everywhere| he| goes|.,-12.04942|-10.174972|-1.7171971|-4.07818|-6.347676|-0.2133484|-1.6749175|-2.2392216|-0.026392018|-0.37688124
1_dog_affirmative,John owns dogs and he is thinking about getting another one.,affirmative,subj,John| owns| dogs| and| he| is| thinking| about| getting| another| one|.,-12.049811|-10.119422|-1.7183965|-2.9427462|-2.4095397|-5.2333746|-0.904526|-1.861183|-2.1677222|-0.64523|-0.3086984
1_dog_negated,John doesn't own dogs and they follow him everywhere he goes.,negated,it,John| doesn|'t| own| dogs| and| they| follow| him| everywhere| he| goes|.,-9.11599|-0.37886032|-5.724555|-7.3954773|-3.2671955|-4.808612|-8.092926|-0.50956947|-1.8635546|-2.287285|-0.03807178|-0.6832238
1_dog_negated,John doesn't own dogs and he isn't planning on getting one.,negated,subj,John| doesn|'t| own| dogs| and| he| isn|'t| planning| on| getting| one|.,-9.115468|-0.38087717|-5.721444|-7.4219995|-3.2708416|-1.868151|-3.9397142|-0.0045993193|-4.052391|-0.8758748|-0.84037304|-0.68302965|-1.2486839
1_dog_know,I know that John owns dogs. They follow him everywhere he goes.,know,it,I| know| that| John| owns| dogs|.| They| follow| him| everywhere| he| goes|.,-4.2621655|-2.3900595|-7.724614|-8.210035|-8.86731|-1.7523339|-4.757547|-6.9481854|-0.1565019|-1.5771862|-2.4057589|-0.011588129|-0.55779415
1_dog_know,I know that John owns dogs. He is thinking about getting another one.,know,subj,I| know| that| John| owns| dogs|.| He| is| thinking| about| getting| another| one|.,-4.2621636|-2.3900633|-7.725422|-8.208608|-8.845826|-1.756562|-2.6109738|-2.7291374|-5.359142|-0.98959064|-0.93938935|-2.08762|-0.6291356|-0.3271852
1_dog_doubt,I doubt that John owns dogs. They follow him everywhere he goes.,doubt,it,I| doubt| that| John| owns| dogs|.| They| follow| him| everywhere| he| goes|.,-8.073204|-1.9193743|-7.7518754|-9.339456|-8.913481|-1.5501882|-6.063617|-7.4951477|-0.92648906|-1.229126|-2.3992186|-0.012890001|-0.66475105
1_dog_doubt,I doubt that John owns dogs. He doesn't own any other pets either.,doubt,subj,I| doubt| that| John| owns| dogs|.| He| doesn|'t| own| any| other| pets| either|.,-8.073021|-1.9209533|-7.742378|-9.351517|-8.923756|-1.558918|-3.1941233|-1.8310295|-0.30370823|-4.964891|-1.810427|-4.952727|-0.7974268|-2.1871343|-0.38549447
1_dog_modal,John wants to own dogs and they follow him everywhere he goes.,modal,it,John| wants| to| own| dogs| and| they| follow| him| everywhere| he| goes|.,-10.129277|-0.41790947|-7.4653893|-8.812661|-2.2343807|-5.2365756|-8.843172|-0.50777805|-1.9280602|-2.1846833|-0.04301872|-0.4664305
1_dog_modal,John wants to own dogs and he cannot wait to move to a building that allows pets.,modal,subj,John| wants| to| own| dogs| and| he| cannot| wait| to| move| to| a| building| that| allows| pets|.,-10.130342|-0.41671744|-7.4717813|-8.813994|-2.2368858|-2.7030575|-5.613253|-3.6644118|-0.7111088|-5.104254|-1.447282|-1.2942258|-7.920476|-1.4896182|-0.54797953|-1.6198457|-0.3498744
1_dog_managed,John managed to adopt dogs. They follow him everywhere he goes.,managed,it,John| managed| to| adopt| dogs|.| They| follow| him| everywhere| he| goes|.,-10.892344|-0.40186027|-10.024079|-11.952081|-4.323887|-3.1049175|-8.332839|-0.7145781|-1.1630687|-2.507735|-0.10551982|-0.64376223
1_dog_managed,John managed to adopt dogs. He only needed permission from his landlord.,managed,subj,John| managed| to| adopt| dogs|.| He| only| needed| permission| from| his| landlord|.,-10.892333|-0.40263|-10.025453|-11.999143|-4.321959|-1.9370213|-6.982297|-3.6134925|-6.195241|-0.47858465|-1.8013196|-2.5529447|-1.3401048
1_dog_failed,John failed to adopt dogs. They follow him everywhere he goes.,failed,it,John| failed| to| adopt| dogs|.| They| follow| him| everywhere| he| goes|.,-11.396497|-0.6177847|-8.94894|-11.646714|-3.0583203|-4.043253|-9.209219|-1.5338713|-2.0083518|-2.333869|-0.1313508|-0.63957775
