id,sentence,type,expected,order,tokens,log_probs,pronoun_log_prob,critical_token_idx
1_dog_affirmative_negation,John owns a dog but he doesn't own a cat. The dog,affirmative_negation,1,1,John|##owns|##a|##dog|##but|##he|##doesn|'t|##own|##a|##cat|.|##The|##dog|<|endoftext|>,-9.936898|-11.739592|-8.96608|-6.6907873|-9.642976|-9.202103|-15.112894|-12.244523|-10.574713|-9.732785|-10.534735|-10.085567|-11.145364|-7.792693|-12.672481,-7.792693,13
1_dog_affirmative_negation,John owns a dog but he doesn't own a cat. The cat,affirmative_negation,0,1,John|##owns|##a|##dog|##but|##he|##doesn|'t|##own|##a|##cat|.|##The|##cat|<|endoftext|>,-9.936898|-11.739592|-8.96608|-6.6907873|-9.642976|-9.202103|-15.112894|-12.244523|-10.574713|-9.732785|-10.534735|-10.085567|-11.145364|-7.685348|-12.673969,-7.685348,13
1_dog_affirmative_negation,John owns a cat but he doesn't own a dog. The cat,affirmative_negation,1,2,John|##owns|##a|##cat|##but|##he|##doesn|'t|##own|##a|##dog|.|##The|##cat|<|endoftext|>,-9.936898|-11.739592|-8.96608|-8.258142|-9.738103|-9.190322|-15.256472|-11.9409895|-10.579372|-9.854374|-8.10808|-9.97395|-11.062833|-7.2776475|-12.692144,-7.2776475,13
1_dog_affirmative_negation,John owns a cat but he doesn't own a dog. The dog,affirmative_negation,0,2,John|##owns|##a|##cat|##but|##he|##doesn|'t|##own|##a|##dog|.|##The|##dog|<|endoftext|>,-9.936898|-11.739592|-8.96608|-8.258142|-9.738103|-9.190322|-15.256472|-11.9409895|-10.579372|-9.854374|-8.10808|-9.97395|-11.062833|-8.082554|-12.692502,-8.082554,13
1_dog_negation_affirmative,John doesn't own a dog but he owns a cat. The cat,negation_affirmative,1,1,John|##doesn|'t|##own|##a|##dog|##but|##he|##owns|##a|##cat|.|##The|##cat|<|endoftext|>,-9.936898|-14.552651|-10.976233|-10.365701|-10.135315|-8.872593|-9.340938|-9.512378|-12.741503|-8.778076|-9.568087|-10.056648|-11.850776|-7.680422|-12.774393,-7.680422,13
1_dog_negation_affirmative,John doesn't own a dog but he owns a cat. The dog,negation_affirmative,0,1,John|##doesn|'t|##own|##a|##dog|##but|##he|##owns|##a|##cat|.|##The|##dog|<|endoftext|>,-9.936898|-14.552651|-10.976233|-10.365701|-10.135315|-8.872593|-9.340938|-9.512378|-12.741503|-8.778076|-9.568087|-10.056648|-11.850776|-8.587387|-12.77356,-8.587387,13
1_dog_negation_affirmative,John doesn't own a cat but he owns a dog. The dog,negation_affirmative,1,2,John|##doesn|'t|##own|##a|##cat|##but|##he|##owns|##a|##dog|.|##The|##dog|<|endoftext|>,-9.936898|-14.552651|-10.976233|-10.365701|-10.135315|-10.162312|-9.491645|-9.539958|-12.6335745|-8.763311|-7.0967274|-9.986879|-11.027052|-8.726909|-12.77928,-8.726909,13
1_dog_negation_affirmative,John doesn't own a cat but he owns a dog. The cat,negation_affirmative,0,2,John|##doesn|'t|##own|##a|##cat|##but|##he|##owns|##a|##dog|.|##The|##cat|<|endoftext|>,-9.936898|-14.552651|-10.976233|-10.365701|-10.135315|-10.162312|-9.491645|-9.539958|-12.6335745|-8.763311|-7.0967274|-9.986879|-11.027052|-7.3223515|-12.780609,-7.3223515,13
1_dog_know_doubt,I know that John owns a dog but I doubt that he owns a cat. The dog,know_doubt,1,1,I|##know|##that|##John|##owns|##a|##dog|##but|##I|##doubt|##that|##he|##owns|##a|##cat|.|##The|##dog|<|endoftext|>,-8.253021|-10.449959|-5.3576436|-5.881065|-12.439189|-9.027311|-6.9918146|-8.85578|-10.210464|-14.401823|-4.867385|-9.458281|-13.879211|-8.79115|-10.654082|-9.291606|-10.939852|-6.798739|-12.770459,-6.798739,17
1_dog_know_doubt,I know that John owns a dog but I doubt that he owns a cat. The cat,know_doubt,0,1,I|##know|##that|##John|##owns|##a|##dog|##but|##I|##doubt|##that|##he|##owns|##a|##cat|.|##The|##cat|<|endoftext|>,-8.253021|-10.449959|-5.3576436|-5.881065|-12.439189|-9.027311|-6.9918146|-8.85578|-10.210464|-14.401823|-4.867385|-9.458281|-13.879211|-8.79115|-10.654082|-9.291606|-10.939852|-7.4417615|-12.769123,-7.4417615,17
1_dog_know_doubt,I know that John owns a cat but I doubt that he owns a dog. The cat,know_doubt,1,2,I|##know|##that|##John|##owns|##a|##cat|##but|##I|##doubt|##that|##he|##owns|##a|##dog|.|##The|##cat|<|endoftext|>,-8.253021|-10.449959|-5.3576436|-5.881065|-12.439189|-9.027311|-8.419912|-8.878566|-10.171097|-14.682492|-4.870187|-9.369675|-13.925782|-8.772081|-9.134409|-9.273005|-10.774251|-7.13592|-12.794464,-7.13592,17
1_dog_know_doubt,I know that John owns a cat but I doubt that he owns a dog. The dog,know_doubt,0,2,I|##know|##that|##John|##owns|##a|##cat|##but|##I|##doubt|##that|##he|##owns|##a|##dog|.|##The|##dog|<|endoftext|>,-8.253021|-10.449959|-5.3576436|-5.881065|-12.439189|-9.027311|-8.419912|-8.878566|-10.171097|-14.682492|-4.870187|-9.369675|-13.925782|-8.772081|-9.134409|-9.273005|-10.774251|-7.284907|-12.796648,-7.284907,17
1_dog_doubt_know,I doubt that John owns a dog but I know that he owns a cat. The cat,doubt_know,1,1,I|##doubt|##that|##John|##owns|##a|##dog|##but|##I|##know|##that|##he|##owns|##a|##cat|.|##The|##cat|<|endoftext|>,-8.253021|-11.769142|-5.1762204|-6.0308094|-12.904413|-9.444734|-7.252231|-9.142596|-10.44723|-11.712005|-6.159161|-9.515747|-12.494931|-8.79199|-9.476512|-9.433659|-11.417001|-7.072492|-12.755133,-7.072492,17
1_dog_doubt_know,I doubt that John owns a dog but I know that he owns a cat. The dog,doubt_know,0,1,I|##doubt|##that|##John|##owns|##a|##dog|##but|##I|##know|##that|##he|##owns|##a|##cat|.|##The|##dog|<|endoftext|>,-8.253021|-11.769142|-5.1762204|-6.0308094|-12.904413|-9.444734|-7.252231|-9.142596|-10.44723|-11.712005|-6.159161|-9.515747|-12.494931|-8.79199|-9.476512|-9.433659|-11.417001|-7.5990057|-12.754517,-7.5990057,17
1_dog_doubt_know,I doubt that John owns a cat but I know that he owns a dog. The dog,doubt_know,1,2,I|##doubt|##that|##John|##owns|##a|##cat|##but|##I|##know|##that|##he|##owns|##a|##dog|.|##The|##dog|<|endoftext|>,-8.253021|-11.769142|-5.1762204|-6.0308094|-12.904413|-9.444734|-8.659289|-9.172725|-10.45598|-11.860048|-6.302653|-9.537712|-12.488335|-8.8272|-7.7171803|-9.393609|-10.888674|-7.6500225|-12.755712,-7.6500225,17
1_dog_doubt_know,I doubt that John owns a cat but I know that he owns a dog. The cat,doubt_know,0,2,I|##doubt|##that|##John|##owns|##a|##cat|##but|##I|##know|##that|##he|##owns|##a|##dog|.|##The|##cat|<|endoftext|>,-8.253021|-11.769142|-5.1762204|-6.0308094|-12.904413|-9.444734|-8.659289|-9.172725|-10.45598|-11.860048|-6.302653|-9.537712|-12.488335|-8.8272|-7.7171803|-9.393609|-10.888674|-6.8493953|-12.755384,-6.8493953,17
1_dog_affirmative_modal,John owns a dog but he wants to own a cat. The dog,affirmative_modal,1,1,John|##owns|##a|##dog|##but|##he|##wants|##to|##own|##a|##cat|.|##The|##dog|<|endoftext|>,-9.936898|-11.739592|-8.96608|-6.6907873|-9.642976|-9.202103|-13.420397|-8.7907505|-10.81811|-9.054525|-10.472562|-10.266052|-11.1898575|-7.2267084|-12.775655,-7.2267084,13
1_dog_affirmative_modal,John owns a dog but he wants to own a cat. The cat,affirmative_modal,0,1,John|##owns|##a|##dog|##but|##he|##wants|##to|##own|##a|##cat|.|##The|##cat|<|endoftext|>,-9.936898|-11.739592|-8.96608|-6.6907873|-9.642976|-9.202103|-13.420397|-8.7907505|-10.81811|-9.054525|-10.472562|-10.266052|-11.1898575|-7.6719484|-12.776409,-7.6719484,13
1_dog_affirmative_modal,John owns a cat but he wants to own a dog. The cat,affirmative_modal,1,2,John|##owns|##a|##cat|##but|##he|##wants|##to|##own|##a|##dog|.|##The|##cat|<|endoftext|>,-9.936898|-11.739592|-8.96608|-8.258142|-9.738103|-9.190322|-13.225403|-8.780975|-11.031861|-9.004534|-8.341924|-10.170286|-11.054748|-7.150654|-12.795261,-7.150654,13
1_dog_affirmative_modal,John owns a cat but he wants to own a dog. The dog,affirmative_modal,0,2,John|##owns|##a|##cat|##but|##he|##wants|##to|##own|##a|##dog|.|##The|##dog|<|endoftext|>,-9.936898|-11.739592|-8.96608|-8.258142|-9.738103|-9.190322|-13.225403|-8.780975|-11.031861|-9.004534|-8.341924|-10.170286|-11.054748|-7.8342695|-12.795899,-7.8342695,13
1_dog_modal_affirmative,John wants to own a dog but he owns a cat. The cat,modal_affirmative,1,1,John|##wants|##to|##own|##a|##dog|##but|##he|##owns|##a|##cat|.|##The|##cat|<|endoftext|>,-9.936898|-12.492069|-8.514174|-10.297271|-8.991724|-6.6527915|-9.354163|-9.926367|-13.164495|-9.027231|-10.968465|-10.267785|-11.759135|-8.1477995|-12.801976,-8.1477995,13
1_dog_modal_affirmative,John wants to own a dog but he owns a cat. The dog,modal_affirmative,0,1,John|##wants|##to|##own|##a|##dog|##but|##he|##owns|##a|##cat|.|##The|##dog|<|endoftext|>,-9.936898|-12.492069|-8.514174|-10.297271|-8.991724|-6.6527915|-9.354163|-9.926367|-13.164495|-9.027231|-10.968465|-10.267785|-11.759135|-8.106289|-12.803831,-8.106289,13
1_dog_modal_affirmative,John wants to own a cat but he owns a dog. The dog,modal_affirmative,1,2,John|##wants|##to|##own|##a|##cat|##but|##he|##owns|##a|##dog|.|##The|##dog|<|endoftext|>,-9.936898|-12.492069|-8.514174|-10.297271|-8.991724|-8.472843|-9.362028|-9.892645|-13.0223255|-8.867027|-8.614109|-10.1113205|-11.306625|-8.758116|-12.804604,-8.758116,13
1_dog_modal_affirmative,John wants to own a cat but he owns a dog. The cat,modal_affirmative,0,2,John|##wants|##to|##own|##a|##cat|##but|##he|##owns|##a|##dog|.|##The|##cat|<|endoftext|>,-9.936898|-12.492069|-8.514174|-10.297271|-8.991724|-8.472843|-9.362028|-9.892645|-13.0223255|-8.867027|-8.614109|-10.1113205|-11.306625|-7.601126|-12.808007,-7.601126,13
1_dog_managed_failed,John managed to adopt a dog but failed to adopt a cat. The dog,managed_failed,1,1,John|##managed|##to|##adopt|##a|##dog|##but|##failed|##to|##adopt|##a|##cat|.|##The|##dog|<|endoftext|>,-9.936898|-12.574859|-8.678687|-12.483589|-9.120842|-6.624638|-9.474239|-11.759637|-8.532227|-11.415209|-10.056248|-11.805118|-10.331074|-10.803511|-7.9462247|-12.5971775,-7.9462247,14
1_dog_managed_failed,John managed to adopt a dog but failed to adopt a cat. The cat,managed_failed,0,1,John|##managed|##to|##adopt|##a|##dog|##but|##failed|##to|##adopt|##a|##cat|.|##The|##cat|<|endoftext|>,-9.936898|-12.574859|-8.678687|-12.483589|-9.120842|-6.624638|-9.474239|-11.759637|-8.532227|-11.415209|-10.056248|-11.805118|-10.331074|-10.803511|-9.65755|-12.595969,-9.65755,14
1_dog_managed_failed,John managed to adopt a cat but failed to adopt a dog. The cat,managed_failed,1,2,John|##managed|##to|##adopt|##a|##cat|##but|##failed|##to|##adopt|##a|##dog|.|##The|##cat|<|endoftext|>,-9.936898|-12.574859|-8.678687|-12.483589|-9.120842|-9.045528|-9.458704|-12.042641|-8.677181|-12.216022|-9.704611|-9.926344|-10.26746|-10.750651|-8.850287|-12.643463,-8.850287,14
1_dog_managed_failed,John managed to adopt a cat but failed to adopt a dog. The dog,managed_failed,0,2,John|##managed|##to|##adopt|##a|##cat|##but|##failed|##to|##adopt|##a|##dog|.|##The|##dog|<|endoftext|>,-9.936898|-12.574859|-8.678687|-12.483589|-9.120842|-9.045528|-9.458704|-12.042641|-8.677181|-12.216022|-9.704611|-9.926344|-10.26746|-10.750651|-8.497303|-12.64796,-8.497303,14
1_dog_failed_managed,John failed to adopt a dog but managed to adopt a cat. The cat,failed_managed,1,1,John|##failed|##to|##adopt|##a|##dog|##but|##managed|##to|##adopt|##a|##cat|.|##The|##cat|<|endoftext|>,-9.936898|-10.04158|-8.874502|-10.933692|-9.348469|-6.961479|-9.225016|-12.19506|-8.3175|-11.793976|-8.800966|-10.3292675|-10.201699|-11.23429|-9.24015|-12.54784,-9.24015,14
1_dog_failed_managed,John failed to adopt a dog but managed to adopt a cat. The dog,failed_managed,0,1,John|##failed|##to|##adopt|##a|##dog|##but|##managed|##to|##adopt|##a|##cat|.|##The|##dog|<|endoftext|>,-9.936898|-10.04158|-8.874502|-10.933692|-9.348469|-6.961479|-9.225016|-12.19506|-8.3175|-11.793976|-8.800966|-10.3292675|-10.201699|-11.23429|-8.390244|-12.549137,-8.390244,14
1_dog_failed_managed,John failed to adopt a cat but managed to adopt a dog. The dog,failed_managed,1,2,John|##failed|##to|##adopt|##a|##cat|##but|##managed|##to|##adopt|##a|##dog|.|##The|##dog|<|endoftext|>,-9.936898|-10.04158|-8.874502|-10.933692|-9.348469|-8.886333|-9.308161|-12.077694|-8.32284|-12.158746|-8.5892935|-7.0960274|-10.11109|-10.87655|-8.779987|-12.556512,-8.779987,14
1_dog_failed_managed,John failed to adopt a cat but managed to adopt a dog. The cat,failed_managed,0,2,John|##failed|##to|##adopt|##a|##cat|##but|##managed|##to|##adopt|##a|##dog|.|##The|##cat|<|endoftext|>,-9.936898|-10.04158|-8.874502|-10.933692|-9.348469|-8.886333|-9.308161|-12.077694|-8.32284|-12.158746|-8.5892935|-7.0960274|-10.11109|-10.87655|-8.329124|-12.559935,-8.329124,14
2_car_affirmative_negation,Peter has a car but he doesn't have a bike. The car,affirmative_negation,1,1,Peter|##has|##a|##car|##but|##he|##doesn|'t|##have|##a|##bike|.|##The|##car|<|endoftext|>,-11.788133|-8.307171|-8.850384|-9.030485|-9.254052|-9.712521|-15.556376|-12.41947|-11.506955|-10.092934|-7.8323574|-10.6736145|-11.325315|-7.7474585|-12.659548,-7.7474585,13
2_car_affirmative_negation,Peter has a car but he doesn't have a bike. The bike,affirmative_negation,0,1,Peter|##has|##a|##car|##but|##he|##doesn|'t|##have|##a|##bike|.|##The|##bike|<|endoftext|>,-11.788133|-8.307171|-8.850384|-9.030485|-9.254052|-9.712521|-15.556376|-12.41947|-11.506955|-10.092934|-7.8323574|-10.6736145|-11.325315|-6.6837916|-12.659062,-6.6837916,13
2_car_affirmative_negation,Peter has a bike but he doesn't have a car. The bike,affirmative_negation,1,2,Peter|##has|##a|##bike|##but|##he|##doesn|'t|##have|##a|##car|.|##The|##bike|<|endoftext|>,-11.788133|-8.307171|-8.850384|-6.7557034|-9.175425|-9.736136|-15.481751|-12.592543|-11.449148|-9.936542|-9.042229|-10.756929|-11.457413|-6.7339783|-12.673403,-6.7339783,13
2_car_affirmative_negation,Peter has a bike but he doesn't have a car. The car,affirmative_negation,0,2,Peter|##has|##a|##bike|##but|##he|##doesn|'t|##have|##a|##car|.|##The|##car|<|endoftext|>,-11.788133|-8.307171|-8.850384|-6.7557034|-9.175425|-9.736136|-15.481751|-12.592543|-11.449148|-9.936542|-9.042229|-10.756929|-11.457413|-8.222115|-12.668538,-8.222115,13
2_car_negation_affirmative,Peter doesn't have a car but he has a bike. The bike,negation_affirmative,1,1,Peter|##doesn|'t|##have|##a|##car|##but|##he|##has|##a|##bike|.|##The|##bike|<|endoftext|>,-11.788133|-12.580519|-11.118801|-11.526383|-9.83507|-8.843813|-9.467562|-9.708779|-9.495009|-9.224257|-7.5255814|-10.661656|-11.4074745|-7.511148|-12.725582,-7.511148,13
2_car_negation_affirmative,Peter doesn't have a car but he has a bike. The car,negation_affirmative,0,1,Peter|##doesn|'t|##have|##a|##car|##but|##he|##has|##a|##bike|.|##The|##car|<|endoftext|>,-11.788133|-12.580519|-11.118801|-11.526383|-9.83507|-8.843813|-9.467562|-9.708779|-9.495009|-9.224257|-7.5255814|-10.661656|-11.4074745|-8.406941|-12.724947,-8.406941,13
2_car_negation_affirmative,Peter doesn't have a bike but he has a car. The car,negation_affirmative,1,2,Peter|##doesn|'t|##have|##a|##bike|##but|##he|##has|##a|##car|.|##The|##car|<|endoftext|>,-11.788133|-12.580519|-11.118801|-11.526383|-9.83507|-6.201356|-9.283344|-9.745241|-9.539005|-9.161396|-8.215564|-10.5907955|-10.996313|-8.39547|-12.732242,-8.39547,13
2_car_negation_affirmative,Peter doesn't have a bike but he has a car. The bike,negation_affirmative,0,2,Peter|##doesn|'t|##have|##a|##bike|##but|##he|##has|##a|##car|.|##The|##bike|<|endoftext|>,-11.788133|-12.580519|-11.118801|-11.526383|-9.83507|-6.201356|-9.283344|-9.745241|-9.539005|-9.161396|-8.215564|-10.5907955|-10.996313|-7.5089054|-12.739102,-7.5089054,13
