id,sentence,type,expected,order,tokens,log_probs
1_dog_affirmative_negation,John owns a dog but he doesn't own a cat. The dog,affirmative_negation,1,1,John|##owns|##a|##dog|##but|##he|##doesn|'t|##own|##a|##cat|.|##The|##dog|<|endoftext|>,-11.836182|-11.474472|-10.139519|-7.1224594|-9.357727|-9.897217|-20.786285|-13.213898|-11.436516|-9.953896|-10.142689|-9.8526|-10.047844|-8.362122|-11.750763
1_dog_affirmative_negation,John owns a dog but he doesn't own a cat. The cat,affirmative_negation,0,1,John|##owns|##a|##dog|##but|##he|##doesn|'t|##own|##a|##cat|.|##The|##cat|<|endoftext|>,-11.836182|-11.474472|-10.139519|-7.1224594|-9.357727|-9.897217|-20.786285|-13.213898|-11.436516|-9.953896|-10.142689|-9.8526|-10.047844|-6.5663986|-11.738632
1_dog_affirmative_negation,John owns a cat but he doesn't own a dog. The cat,affirmative_negation,1,2,John|##owns|##a|##cat|##but|##he|##doesn|'t|##own|##a|##dog|.|##The|##cat|<|endoftext|>,-11.836182|-11.474472|-10.139519|-7.414131|-9.2361145|-9.84111|-20.863098|-12.853806|-11.157936|-9.898514|-10.51968|-9.757423|-10.190697|-6.9468765|-11.722488
1_dog_affirmative_negation,John owns a cat but he doesn't own a dog. The dog,affirmative_negation,0,2,John|##owns|##a|##cat|##but|##he|##doesn|'t|##own|##a|##dog|.|##The|##dog|<|endoftext|>,-11.836182|-11.474472|-10.139519|-7.414131|-9.2361145|-9.84111|-20.863098|-12.853806|-11.157936|-9.898514|-10.51968|-9.757423|-10.190697|-8.184044|-11.727669
1_dog_negation_affirmative,John doesn't own a dog but he owns a cat. The cat,negation_affirmative,1,1,John|##doesn|'t|##own|##a|##dog|##but|##he|##owns|##a|##cat|.|##The|##cat|<|endoftext|>,-11.836182|-19.123611|-11.048294|-10.977119|-10.625641|-8.453133|-9.207672|-9.916|-12.414696|-9.731247|-9.140751|-9.689957|-10.506393|-7.2344666|-11.773132
1_dog_negation_affirmative,John doesn't own a dog but he owns a cat. The dog,negation_affirmative,0,1,John|##doesn|'t|##own|##a|##dog|##but|##he|##owns|##a|##cat|.|##The|##dog|<|endoftext|>,-11.836182|-19.123611|-11.048294|-10.977119|-10.625641|-8.453133|-9.207672|-9.916|-12.414696|-9.731247|-9.140751|-9.689957|-10.506393|-8.214455|-11.785912
1_dog_negation_affirmative,John doesn't own a cat but he owns a dog. The dog,negation_affirmative,1,2,John|##doesn|'t|##own|##a|##cat|##but|##he|##owns|##a|##dog|.|##The|##dog|<|endoftext|>,-11.836182|-19.123611|-11.048294|-10.977119|-10.625641|-8.327316|-9.123398|-9.894653|-12.745018|-9.3643875|-8.639969|-9.554001|-10.340328|-8.55648|-11.778053
1_dog_negation_affirmative,John doesn't own a cat but he owns a dog. The cat,negation_affirmative,0,2,John|##doesn|'t|##own|##a|##cat|##but|##he|##owns|##a|##dog|.|##The|##cat|<|endoftext|>,-11.836182|-19.123611|-11.048294|-10.977119|-10.625641|-8.327316|-9.123398|-9.894653|-12.745018|-9.3643875|-8.639969|-9.554001|-10.340328|-6.7851334|-11.770676
1_dog_know_doubt,I know that John owns a dog but I doubt that he owns a cat. The dog,know_doubt,1,1,I|##know|##that|##John|##owns|##a|##dog|##but|##I|##doubt|##that|##he|##owns|##a|##cat|.|##The|##dog|<|endoftext|>,-8.450356|-10.6460495|-5.7970123|-6.783684|-12.397736|-10.08223|-7.514633|-8.844452|-10.574829|-13.839409|-4.9590454|-9.491058|-13.506275|-8.98394|-9.920048|-9.272278|-10.06221|-7.5635376|-11.721458
1_dog_know_doubt,I know that John owns a dog but I doubt that he owns a cat. The cat,know_doubt,0,1,I|##know|##that|##John|##owns|##a|##dog|##but|##I|##doubt|##that|##he|##owns|##a|##cat|.|##The|##cat|<|endoftext|>,-8.450356|-10.6460495|-5.7970123|-6.783684|-12.397736|-10.08223|-7.514633|-8.844452|-10.574829|-13.839409|-4.9590454|-9.491058|-13.506275|-8.98394|-9.920048|-9.272278|-10.06221|-6.869919|-11.708023
