id,sentence,type,expected,order,tokens,log_probs
1_dog_affirmative_negation,John owns a dog but he doesn't own a cat. The dog,affirmative_negation,1,1,John|##owns|##a|##dog|##but|##he|##doesn|'t|##own|##a|##cat|.|##The|##dog|<|endoftext|>,-9.567303|-10.970505|-7.947838|-6.544609|-9.67881|-9.370758|-18.216675|-11.850021|-10.212738|-9.477089|-8.841019|-11.172638|-10.459084|-7.505005|-12.716476
1_dog_affirmative_negation,John owns a dog but he doesn't own a cat. The cat,affirmative_negation,0,1,John|##owns|##a|##dog|##but|##he|##doesn|'t|##own|##a|##cat|.|##The|##cat|<|endoftext|>,-9.567303|-10.970505|-7.947838|-6.544609|-9.67881|-9.370758|-18.216675|-11.850021|-10.212738|-9.477089|-8.841019|-11.172638|-10.459084|-6.1533356|-12.69178
1_dog_affirmative_negation,John owns a cat but he doesn't own a dog. The cat,affirmative_negation,1,2,John|##owns|##a|##cat|##but|##he|##doesn|'t|##own|##a|##dog|.|##The|##cat|<|endoftext|>,-9.567303|-10.970505|-7.947838|-7.1546936|-9.561005|-9.375015|-18.262344|-12.014801|-10.481804|-9.248543|-8.482376|-11.096329|-10.384132|-6.367386|-12.70813
1_dog_affirmative_negation,John owns a cat but he doesn't own a dog. The dog,affirmative_negation,0,2,John|##owns|##a|##cat|##but|##he|##doesn|'t|##own|##a|##dog|.|##The|##dog|<|endoftext|>,-9.567303|-10.970505|-7.947838|-7.1546936|-9.561005|-9.375015|-18.262344|-12.014801|-10.481804|-9.248543|-8.482376|-11.096329|-10.384132|-7.340706|-12.692764
1_dog_negation_affirmative,John doesn't own a dog but he owns a cat. The cat,negation_affirmative,1,1,John|##doesn|'t|##own|##a|##dog|##but|##he|##owns|##a|##cat|.|##The|##cat|<|endoftext|>,-9.567303|-14.78009|-10.614151|-10.966743|-9.225418|-7.668373|-9.080353|-10.034744|-12.874916|-8.027588|-7.800804|-10.688721|-10.208313|-6.0920258|-12.604164
1_dog_negation_affirmative,John doesn't own a dog but he owns a cat. The dog,negation_affirmative,0,1,John|##doesn|'t|##own|##a|##dog|##but|##he|##owns|##a|##cat|.|##The|##dog|<|endoftext|>,-9.567303|-14.78009|-10.614151|-10.966743|-9.225418|-7.668373|-9.080353|-10.034744|-12.874916|-8.027588|-7.800804|-10.688721|-10.208313|-7.6499023|-12.616676
1_dog_negation_affirmative,John doesn't own a cat but he owns a dog. The dog,negation_affirmative,1,2,John|##doesn|'t|##own|##a|##cat|##but|##he|##owns|##a|##dog|.|##The|##dog|<|endoftext|>,-9.567303|-14.78009|-10.614151|-10.966743|-9.225418|-8.36515|-8.923874|-10.009918|-13.111176|-7.963974|-7.6477203|-10.574112|-10.111977|-7.650429|-12.611679
1_dog_negation_affirmative,John doesn't own a cat but he owns a dog. The cat,negation_affirmative,0,2,John|##doesn|'t|##own|##a|##cat|##but|##he|##owns|##a|##dog|.|##The|##cat|<|endoftext|>,-9.567303|-14.78009|-10.614151|-10.966743|-9.225418|-8.36515|-8.923874|-10.009918|-13.111176|-7.963974|-7.6477203|-10.574112|-10.111977|-6.3343277|-12.621155
1_dog_know_doubt,I know that John owns a dog but I doubt that he owns a cat. The dog,know_doubt,1,1,I|##know|##that|##John|##owns|##a|##dog|##but|##I|##doubt|##that|##he|##owns|##a|##cat|.|##The|##dog|<|endoftext|>,-5.9291916|-11.287071|-5.565056|-6.2989883|-11.555168|-8.28521|-6.315796|-9.05529|-9.429474|-15.024162|-5.346977|-9.527298|-13.314255|-8.745415|-8.9179|-10.639496|-10.82943|-7.0838394|-12.772255
1_dog_know_doubt,I know that John owns a dog but I doubt that he owns a cat. The cat,know_doubt,0,1,I|##know|##that|##John|##owns|##a|##dog|##but|##I|##doubt|##that|##he|##owns|##a|##cat|.|##The|##cat|<|endoftext|>,-5.9291916|-11.287071|-5.565056|-6.2989883|-11.555168|-8.28521|-6.315796|-9.05529|-9.429474|-15.024162|-5.346977|-9.527298|-13.314255|-8.745415|-8.9179|-10.639496|-10.82943|-6.262314|-12.74865
1_dog_know_doubt,I know that John owns a cat but I doubt that he owns a dog. The cat,know_doubt,1,2,I|##know|##that|##John|##owns|##a|##cat|##but|##I|##doubt|##that|##he|##owns|##a|##dog|.|##The|##cat|<|endoftext|>,-5.9291916|-11.287071|-5.565056|-6.2989883|-11.555168|-8.28521|-7.069824|-8.958984|-9.436813|-14.973007|-5.279396|-9.597046|-13.663429|-8.474419|-8.815155|-10.627319|-10.831352|-6.475754|-12.762581
1_dog_know_doubt,I know that John owns a cat but I doubt that he owns a dog. The dog,know_doubt,0,2,I|##know|##that|##John|##owns|##a|##cat|##but|##I|##doubt|##that|##he|##owns|##a|##dog|.|##The|##dog|<|endoftext|>,-5.9291916|-11.287071|-5.565056|-6.2989883|-11.555168|-8.28521|-7.069824|-8.958984|-9.436813|-14.973007|-5.279396|-9.597046|-13.663429|-8.474419|-8.815155|-10.627319|-10.831352|-7.1122284|-12.749756
