id,sentence,type,pronoun,tokens,continuation
1_dog_affirmative,John owns a dog and it,affirmative,it,John|##owns|##a|##dog|##and|##it|'s|##a|##very|##loyal|##dog|.|##He|'s|##a|##very|##good|##dog|.|##He|'s|##a|##very|##good|##dog|.|##He|'s|##a|##very,John owns a dog and it's a very loyal dog. He's a very good dog. He's a very good dog. He's a very
1_dog_negated,John doesn't own a dog and it,negated,it,"John|##doesn|'t|##own|##a|##dog|##and|##it|'s|##not|##his|##job|##to|##care|##for|##it|.|##He|'s|##just|##a|##guy|##who|##likes|##to|##play|##with|##dogs|.""|Ċ","John doesn't own a dog and it's not his job to care for it. He's just a guy who likes to play with dogs.""
"
1_dog_know,I know that John owns a dog. It,know,it,I|##know|##that|##John|##owns|##a|##dog|.|##It|'s|##a|##German|##Shepherd|.|##He|'s|##a|##very|##good|##dog|.|##He|'s|##a|##very|##good|##dog|.|##He|'s,I know that John owns a dog. It's a German Shepherd. He's a very good dog. He's a very good dog. He's
1_dog_doubt,I doubt that John owns a dog. It,doubt,it,I|##doubt|##that|##John|##owns|##a|##dog|.|##It|'s|##not|##like|##he|'s|##a|##dog|##person|.|##He|'s|##a|##guy|##who|##likes|##to|##play|##with|##dogs|.|##He,I doubt that John owns a dog. It's not like he's a dog person. He's a guy who likes to play with dogs. He
1_dog_modal,John wants to own a dog and it,modal,it,"John|##wants|##to|##own|##a|##dog|##and|##it|'s|##not|##a|##good|##idea|##for|##him|##to|##have|##a|##dog|,""|##said|##the|##woman|.|Ċ|Ċ|""|I|##think|##it","John wants to own a dog and it's not a good idea for him to have a dog,"" said the woman.

""I think it"
1_dog_managed,John managed to adopt a dog. It,managed,it,"John|##managed|##to|##adopt|##a|##dog|.|##It|##was|##a|##black|##Labrador|##named|##T|oots|ie|.|Ċ|Ċ|""|I|##was|##just|##so|##happy|##to|##have|##a|##dog|,""","John managed to adopt a dog. It was a black Labrador named Tootsie.

""I was just so happy to have a dog,"""
1_dog_failed,John failed to adopt a dog. It,failed,it,"John|##failed|##to|##adopt|##a|##dog|.|##It|##was|##a|##dog|##that|##had|##been|##abandoned|##by|##his|##father|.|Ċ|Ċ|""|I|##was|##very|##upset|,""|##he|##said|.","John failed to adopt a dog. It was a dog that had been abandoned by his father.

""I was very upset,"" he said."
2_car_affirmative,Lucy has a car and it,affirmative,it,Lu|cy|##has|##a|##car|##and|##it|'s|##a|##nice|##car|.|##She|'s|##a|##nice|##person|.|##She|'s|##a|##good|##person|.|##She|'s|##a|##good|##person|.,Lucy has a car and it's a nice car. She's a nice person. She's a good person. She's a good person.
2_car_negated,Lucy doesn't have a car and it,negated,it,Lu|cy|##doesn|'t|##have|##a|##car|##and|##it|'s|##not|##a|##big|##deal|.|##She|'s|##just|##a|##normal|##girl|##who|'s|##been|##living|##in|##a|##house|##with|##her,Lucy doesn't have a car and it's not a big deal. She's just a normal girl who's been living in a house with her
2_car_know,I know that Lucy has a car. It,know,it,I|##know|##that|##Lucy|##has|##a|##car|.|##It|'s|##a|##nice|##car|.|##I|##know|##that|##she|'s|##got|##a|##car|.|##I|##know|##that|##she|'s|##got|##a,I know that Lucy has a car. It's a nice car. I know that she's got a car. I know that she's got a
2_car_doubt,I doubt that Lucy has a car. It,doubt,it,I|##doubt|##that|##Lucy|##has|##a|##car|.|##It|'s|##not|##like|##she|'s|##going|##to|##be|##able|##to|##afford|##one|.|##She|'s|##not|##going|##to|##be|##able|##to,I doubt that Lucy has a car. It's not like she's going to be able to afford one. She's not going to be able to
