id,sentence,type,pronoun,tokens,log_probs,continuation
1_dog_affirmative,John owns a dog and it,affirmative,it,"John| owns| a| dog| and| it| is| a| very| good| dog|.|
|
|John| owns",-12.051212|-1.2373413|-5.7515492|-2.5466518|-3.8244371|-1.114904|-1.9358698|-2.8317614|-1.787746|-0.3227439|-0.32823217|-1.4809717|-0.002574197|-1.1558274|-1.7368902,"John owns a dog and it is a very good dog.

John owns"
1_dog_negated,John doesn't own a dog and it,negated,it,John| doesn|'t| own| a| dog| and| it|'s| not| because| he| doesn|'t| like| them|.| He,-9.115947|-0.3812781|-5.733354|-0.7399808|-4.995343|-3.2741678|-4.608898|-0.8803013|-1.6869721|-2.1521897|-0.223446|-1.0334749|-0.0046573426|-0.58818954|-0.8482526|-0.46796244|-0.85703856,John doesn't own a dog and it's not because he doesn't like them. He
1_dog_know,I know that John owns a dog. It,know,it,"I| know| that| John| owns| a| dog|.| It| is| a| fact| that| John| owns| a| dog|.|
",-4.262303|-2.3906283|-7.7151604|-8.206289|-1.0014886|-5.4414606|-1.589952|-4.2558627|-1.1830602|-1.379153|-1.958104|-0.873709|-1.5979503|-0.52023125|-0.038763896|-0.037080344|-0.20870103|-1.0946937,"I know that John owns a dog. It is a fact that John owns a dog.
"
1_dog_doubt,I doubt that John owns a dog. It,doubt,it,I| doubt| that| John| owns| a| dog|.| It|'s| not| like| him| to| have| a| pet|.| He,-8.07179|-1.9218215|-7.7518053|-9.352088|-0.9615805|-5.106885|-1.4026334|-5.255624|-1.091179|-2.0057018|-2.1595495|-0.744402|-1.1813812|-1.340882|-0.8472073|-0.4018746|-0.74830407|-1.5915306,I doubt that John owns a dog. It's not like him to have a pet. He
1_dog_modal,John wants to own a dog and it,modal,it,John| wants| to| own| a| dog| and| it| is| his| birthday|.| He| has| a| lot| of| money,-10.131547|-0.41677982|-7.472171|-0.99466723|-4.36608|-2.885632|-5.1233015|-1.2634665|-2.257236|-1.4754325|-1.1707491|-1.5510125|-2.1503131|-1.7513555|-2.4602444|-0.033970036|-1.840653,John wants to own a dog and it is his birthday. He has a lot of money
1_dog_managed,John managed to adopt a dog. It,managed,it,"John| managed| to| adopt| a| dog|.| It| was| a| small| dog|,| but| it| was| a| dog",-10.89243|-0.4032093|-10.018786|-0.5331477|-8.751082|-3.0132785|-2.7311106|-0.88671196|-0.6631033|-3.1703975|-1.7416404|-1.0006598|-1.4760945|-1.0911608|-0.57041216|-1.2367887|-0.27743608,"John managed to adopt a dog. It was a small dog, but it was a dog"
1_dog_failed,John failed to adopt a dog. It,failed,it,"John| failed| to| adopt| a| dog|.| It| was| a| pity|.|
|
|John| was| a| good",-11.397571|-0.6158663|-8.957741|-1.5591209|-5.848485|-2.4873352|-4.854493|-1.3709482|-1.7180235|-2.8861642|-1.2686254|-1.4788015|-0.0011857749|-1.5843084|-2.624283|-2.4192789|-2.5818758,"John failed to adopt a dog. It was a pity.

John was a good"
2_car_affirmative,Lucy has a car and it,affirmative,it,Lu|cy| has| a| car| and| it|'s| a| convertible|.| She|'s| a| good| driver| and,-1.6441534|-5.217133|-1.9242759|-7.196751|-2.5520985|-3.8938441|-1.0183616|-2.0339293|-2.637929|-0.99085605|-1.829524|-2.0009224|-2.6419055|-2.8310812|-0.12702616|-1.3023775,Lucy has a car and it's a convertible. She's a good driver and
2_car_negated,Lucy doesn't have a car and it,negated,it,Lu|cy| doesn|'t| have| a| car| and| it|'s| a| long| walk| to| the| bus| stop|.| She,-1.6443692|-7.2891707|-0.40060726|-2.6937673|-1.3779054|-4.0472383|-2.831058|-3.7753263|-0.6795798|-1.8536993|-1.2075791|-0.59430367|-0.9098565|-0.45853618|-1.7607669|-0.3848981|-0.842343|-1.8295239,Lucy doesn't have a car and it's a long walk to the bus stop. She
2_car_know,I know that Lucy has a car. It,know,it,I| know| that| Lucy| has| a| car|.| It|'s| a| little| red| sports| car|.| I|'ve| seen,-4.261595|-2.3901029|-8.995729|-2.5616984|-2.0595958|-6.5437|-1.7726258|-3.174571|-0.72752756|-1.1317499|-2.7231314|-1.7206926|-2.0641274|-0.067698754|-0.99945205|-1.354117|-1.725104|-0.66153365,I know that Lucy has a car. It's a little red sports car. I've seen
2_car_doubt,I doubt that Lucy has a car. It,doubt,it,I| doubt| that| Lucy| has| a| car|.| It|'s| not| like| she|'s| a| teenager|.| She|'s,-8.07179|-1.9218215|-10.253063|-3.1906297|-2.7071877|-5.7512293|-1.3871473|-3.4609687|-1.0092987|-1.836487|-1.0389494|-0.6432186|-1.3533006|-2.03919|-2.9731238|-1.523635|-1.2525954|-0.86077476,I doubt that Lucy has a car. It's not like she's a teenager. She's
2_car_modal,Lucy wants to have a car and it,modal,it,Lu|cy| wants| to| have| a| car| and| it|'s| not| fair| that| she| can|'t| have| one|.,-1.6443692|-7.682422|-0.47098204|-4.148614|-0.99979234|-7.350174|-2.9584074|-5.4953737|-1.586944|-2.1971757|-1.6417692|-1.4571208|-0.8679071|-0.75088024|-0.023031047|-1.0241144|-0.29480308|-1.2197545,Lucy wants to have a car and it's not fair that she can't have one.
2_car_managed,Lucy managed to rent a car. It,managed,it,"Lu|cy| managed| to| rent| a| car|.| It| was| a| little| old|,| but| it| ran| well| enough",-1.6444104|-9.06187|-0.43122837|-10.127188|-0.50123656|-2.3594792|-3.0138807|-2.7102928|-0.55833346|-0.9180518|-2.6010966|-2.4761703|-2.0381303|-0.39095905|-0.68875825|-1.5245951|-1.3790032|-0.7984314,"Lucy managed to rent a car. It was a little old, but it ran well enough"
2_car_failed,Lucy failed to rent a car. It,failed,it,Lu|cy| failed| to| rent| a| car|.| It| was| too| expensive|.| She| had| to| take| a| taxi,-1.6444104|-10.95623|-0.25654957|-10.81222|-1.605164|-1.8350642|-2.3744438|-4.2861257|-0.97990483|-2.2861462|-1.1565219|-0.4907699|-1.0925138|-2.4768884|-1.2862775|-1.995692|-0.8301881|-0.9859475,Lucy failed to rent a car. It was too expensive. She had to take a taxi
3_bear_affirmative,Carol saw a bear at the zoo and it,affirmative,it,"Car|ol| saw| a| bear| at| the| zoo| and| it| was| so| cute|.|
|
|I| saw| a| bear",-4.5737367|-8.110033|-2.502495|-8.380826|-4.0697184|-0.9215878|-2.9524574|-2.6145859|-2.7672882|-0.98173916|-2.2689795|-0.9533595|-1.2274168|-1.2667559|-0.0015038374|-2.5803819|-1.7498939|-0.33931717|-0.8706167,"Carol saw a bear at the zoo and it was so cute.

I saw a bear"
3_bear_negated,Carol didn't see a bear at the zoo and it,negated,it,"Car|ol| didn|'t| see| a| bear| at| the| zoo| and| it| was| a| very| disappointing| day|.|
|
|""|I",-4.5730557|-6.217398|-0.34060663|-4.1492367|-3.545064|-7.012546|-3.4291291|-1.9034369|-3.7915523|-3.9379961|-3.8680327|-1.5300431|-1.7973007|-3.1496985|-2.3096805|-0.90120435|-0.83719176|-1.5655683|-0.004126261|-2.8591893|-1.7794793,"Carol didn't see a bear at the zoo and it was a very disappointing day.

""I"
3_bear_know,I know that Carol saw a bear at the zoo. It,know,it,I| know| that| Carol| saw| a| bear| at| the| zoo|.| It| was| a| black| bear|.| It| was| a| black| bear,-4.26207|-2.3900952|-10.558348|-7.199257|-2.982023|-6.733057|-3.5651102|-0.9523828|-4.258103|-1.6984617|-4.110154|-0.77744514|-1.4916173|-2.0019681|-0.10641708|-0.71379113|-1.7944617|-0.5493191|-1.9297184|-1.4973379|-0.097055666,I know that Carol saw a bear at the zoo. It was a black bear. It was a black bear
3_bear_doubt,I doubt that Carol saw a bear at the zoo. It,doubt,it,"I| doubt| that| Carol| saw| a| bear| at| the| zoo|.| It| was| probably| a| dog|.|
|
|I| doubt| that",-8.071957|-1.9210562|-11.018634|-6.7385855|-3.4793367|-6.6732817|-3.0641463|-2.0601187|-4.9155335|-1.1304101|-3.4930682|-1.3347145|-0.8816737|-0.9522494|-2.0634644|-1.1911081|-0.9816369|-0.0011928758|-2.4195898|-1.3707018|-0.13406864,"I doubt that Carol saw a bear at the zoo. It was probably a dog.

I doubt that"
3_bear_modal,Carol wants to see a bear at the zoo and it,modal,it,Car|ol| wants| to| see| a| bear| at| the| zoo| and| it|'s| a| good| thing| she|'s| not| a| little| girl,-4.5730557|-8.503349|-0.4953731|-3.5667741|-3.1407013|-8.22184|-4.5327516|-0.709877|-0.54859453|-3.3291764|-4.377122|-1.435281|-2.5630863|-2.5892467|-1.0112681|-1.7323263|-1.9202611|-1.9175985|-2.2769885|-3.0866466|-1.5576209,Carol wants to see a bear at the zoo and it's a good thing she's not a little girl
3_bear_managed,Carol managed to see a bear at the zoo. It,managed,it,Car|ol| managed| to| see| a| bear| at| the| zoo|.| It| was| a| black| bear|.| She| was| very| excited|.,-4.5737185|-9.512535|-0.41513437|-5.890474|-2.6618593|-9.518242|-3.8342166|-1.1473643|-2.2435584|-1.7343045|-3.241444|-0.3907836|-1.4380058|-2.3439543|-0.08467814|-1.2892952|-1.6206461|-2.1811452|-2.1272418|-1.1332504|-1.0151641,Carol managed to see a bear at the zoo. It was a black bear. She was very excited.
3_bear_failed,Carol failed to see a bear at the zoo. It,failed,it,"Car|ol| failed| to| see| a| bear| at| the| zoo|.| It| was| a| big| disappointment|.|
|
|I|'m| not",-4.5738626|-11.2946615|-0.22854124|-3.2240896|-3.7193432|-7.4892864|-3.957491|-1.1715646|-2.5324361|-1.2122815|-4.471796|-0.8171344|-2.190544|-2.9994092|-1.1638612|-0.7862204|-1.0569326|-0.001409702|-3.0307603|-2.5800416|-2.0291743,"Carol failed to see a bear at the zoo. It was a big disappointment.

I'm not"
4_book_affirmative,Susan published a book and it,affirmative,it,Susan| published| a| book| and| it|bytes:\xe2\x80|bytes:\x99|s| called|bytes: \xe2\x80|bytes:\x9c|The| Art| of| the,-9.221876|-1.5151775|-1.4407172|-5.0058417|-3.8114128|-1.7213593|-0.00061991304|-0.0036942253|-2.2310295|-1.1171149|-0.36586303|-1.8187308|-3.6272116|-0.14826009|-2.9361184,Susan published a book and it’s called “The Art of the
4_book_negated,Susan didn't publish a book and it,negated,it,Susan| didn|'t| publish| a| book| and| it|'s| not| clear| if| she| ever| intended| to|.| She,-6.321505|-0.33369473|-10.231535|-2.581043|-1.9005587|-4.4185867|-4.348352|-1.5333704|-1.7998179|-1.9952352|-1.3954328|-0.2957468|-1.566774|-1.9816511|-0.024219092|-0.58176464|-1.7419964,Susan didn't publish a book and it's not clear if she ever intended to. She
4_book_know,I know that Susan published a book. It,know,it,"I| know| that| Susan| published| a| book|.| It|'s| called| ""|The| Art| of| the| Deal|.""| It",-4.262303|-2.3906283|-9.829053|-11.810421|-1.0715706|-1.3246422|-3.1508775|-2.9740622|-1.3968116|-1.1181378|-1.6404417|-1.8187586|-4.358018|-0.14641857|-2.7468505|-3.2471457|-1.00624|-1.7076138,"I know that Susan published a book. It's called ""The Art of the Deal."" It"
4_book_doubt,I doubt that Susan published a book. It,doubt,it,I| doubt| that| Susan| published| a| book|.| It|'s| not| her| style|.| She|'s| a| very| private,-8.072626|-1.9209074|-9.442851|-12.673443|-2.6212568|-1.7268984|-2.501936|-3.450423|-1.5487659|-2.155763|-1.756782|-0.5706186|-0.72917366|-1.3222644|-1.2632382|-1.8201131|-2.7482445|-0.6276066,I doubt that Susan published a book. It's not her style. She's a very private
4_book_modal,Susan wants to publish a book and it,modal,it,Susan| wants| to| publish| a| book| and| it|'s| a| good| idea|.| She|'s| a| good| writer,-7.7599397|-0.38440406|-7.7595696|-0.99850297|-1.0009972|-3.2478662|-4.8120403|-1.6419573|-2.379195|-2.538864|-1.254313|-1.0163478|-1.7099106|-1.5122032|-2.0093942|-1.9121213|-0.14602071,Susan wants to publish a book and it's a good idea. She's a good writer
4_book_managed,Susan managed to write a book. It,managed,it,"Susan| managed| to| write| a| book|.| It| was| a| best|seller|.|
|
|Susan| managed| to",-9.99576|-0.096572176|-6.203724|-1.3631986|-2.9050446|-3.4411142|-2.5773873|-1.3409381|-1.3250636|-2.771653|-0.6614242|-0.5301547|-1.5781783|-0.0024895242|-2.0568206|-2.261049|-0.01913946,"Susan managed to write a book. It was a bestseller.

Susan managed to"
4_book_failed,Susan failed to write a book. It,failed,it,"Susan| failed| to| write| a| book|.| It| was| a| great| disappointment| to| her|.|
|
|Susan",-11.023252|-0.21735348|-5.917781|-1.830113|-2.741431|-2.335069|-4.401511|-1.2636234|-1.667557|-3.1498325|-1.2303363|-0.5560927|-0.7949494|-1.2389413|-1.3038945|-0.0014788234|-2.348668,"Susan failed to write a book. It was a great disappointment to her.

Susan"
5_shirt_affirmative,Mary found a shirt at the store and it,affirmative,it,Mary| found| a| shirt| at| the| store| and| it| was| a| perfect| fit|.| She| was| so| happy|.,-7.6170807|-2.2530577|-7.886231|-4.887595|-0.5978393|-4.8498225|-1.7620516|-3.4582431|-1.1377822|-2.1076376|-1.7681789|-0.15212587|-0.5947864|-1.6535705|-2.2142882|-1.550972|-0.71645445|-1.5868458,Mary found a shirt at the store and it was a perfect fit. She was so happy.
5_shirt_negated,Mary didn't find a shirt at the store and it,negated,it,Mary| didn|'t| find| a| shirt| at| the| store| and| it| was| too| late| to| go| back| to| the| house|.,-7.45465|-0.45390257|-5.7992845|-2.949729|-7.8901863|-4.821491|-1.0025555|-2.1728704|-2.8749475|-4.655964|-1.1867526|-2.036638|-0.490379|-0.1989727|-1.1318287|-1.007293|-1.0504268|-0.8061655|-1.4781002|-0.95869124,Mary didn't find a shirt at the store and it was too late to go back to the house.
5_shirt_know,I know that Mary found a shirt at the store. It,know,it,"I| know| that| Mary| found| a| shirt| at| the| store|.| It| was| on| sale|.|
|
|I| know| that| Mary",-4.262303|-2.3906283|-9.098566|-6.782751|-2.3369029|-8.136254|-3.570474|-1.0169363|-3.0423174|-2.6225772|-3.5561812|-0.9490436|-1.8041316|-0.25734192|-1.3163918|-1.5578785|-0.0009760399|-1.8194007|-0.4111856|-0.09048627|-0.44358435,"I know that Mary found a shirt at the store. It was on sale.

I know that Mary"
5_shirt_doubt,I doubt that Mary found a shirt at the store. It,doubt,it,"I| doubt| that| Mary| found| a| shirt| at| the| store|.| It|'s| more| likely| that| she| made| one|.|
|
",-8.071822|-1.9218339|-9.090048|-6.644282|-3.58668|-9.662037|-4.2170916|-1.2455634|-2.7804267|-1.9082249|-3.2409568|-1.607973|-1.430008|-0.1361276|-0.2860904|-0.23362747|-1.8682057|-1.133673|-0.9420892|-1.4568089|-0.0022357227,"I doubt that Mary found a shirt at the store. It's more likely that she made one.

"
5_shirt_modal,Mary wants to find a shirt at the store and it,modal,it,Mary| wants| to| find| a| shirt| at| the| store| and| it| is| not| there|.| She| asks| the| clerk| if| they,-9.947539|-0.5215013|-4.6814723|-1.3683068|-7.893969|-5.2983303|-1.1771185|-1.9227211|-3.5672631|-4.1777945|-1.4052697|-2.5037456|-1.8180254|-0.3856018|-1.2043775|-2.0345871|-1.272193|-1.2831656|-1.335612|-1.4053832,Mary wants to find a shirt at the store and it is not there. She asks the clerk if they
5_shirt_managed,Mary managed to find a shirt at the store. It,managed,it,"Mary| managed| to| find| a| shirt| at| the| store|.| It| was| a| little| big|,| but| it| would| do|.",-10.077516|-0.2793577|-3.6577919|-1.1026006|-7.0608025|-5.0600824|-0.7269426|-4.782643|-1.9627109|-2.5837314|-0.6657484|-1.4209663|-2.0835814|-1.4293038|-0.74115694|-0.13014762|-1.0714881|-1.105112|-0.6452091|-0.5301449,"Mary managed to find a shirt at the store. It was a little big, but it would do."
