id,sentence,type,pronoun,tokens,log_probs,pronoun_log_prob
1_dog_affirmative,John owns a dog and it follows him everywhere he goes.,affirmative,it,John| owns| a| dog| and| it| follows| him| everywhere| he| goes|.,-12.05151|-1.2389575|-5.751538|-2.5454457|-3.8152804|-5.400128|-0.1905186|-1.1938651|-2.102642|-0.015156917|-0.2737273,-5.400128
1_dog_affirmative,John owns a dog and he is thinking about getting another one.,affirmative,subj,John| owns| a| dog| and| he| is| thinking| about| getting| another| one|.,-12.050948|-1.2370327|-5.750761|-2.5439568|-2.675106|-2.1130917|-5.2468224|-0.8774881|-2.0285068|-1.5971469|-0.79111254|-0.29943717,-2.1130917
1_dog_negated,John doesn't own a dog and it follows him everywhere he goes.,negated,it,John| doesn|'t| own| a| dog| and| it| follows| him| everywhere| he| goes|.,-9.115828|-0.37966186|-5.7289095|-0.7410115|-4.8657327|-3.2693431|-4.6129947|-8.737575|-1.5350059|-1.4226121|-1.6927426|-0.023457844|-0.60358715,-8.737575
1_dog_negated,John doesn't own a dog and he isn't planning on getting one.,negated,subj,John| doesn|'t| own| a| dog| and| he| isn|'t| planning| on| getting| one|.,-9.115947|-0.38127935|-5.7333508|-0.73997855|-4.995341|-3.2680337|-1.7172291|-3.7438183|-0.0032572944|-3.9273818|-0.77858675|-0.5255985|-0.14338942|-0.98342377,-3.7438183
1_dog_know,I know that John owns a dog. It follows him everywhere he goes.,know,it,I| know| that| John| owns| a| dog|.| It| follows| him| everywhere| he| goes|.,-4.262303|-2.3906283|-7.7151604|-8.208603|-1.0041908|-5.435513|-1.5872812|-4.2617435|-4.764607|-8.426699|-0.9250432|-2.0326664|-0.008220354|-0.47631174,-4.764607
1_dog_know,I know that John owns a dog. He is thinking about getting another one.,know,subj,I| know| that| John| owns| a| dog|.| He| is| thinking| about| getting| another| one|.,-4.262303|-2.3906283|-7.7151604|-8.208603|-1.0041908|-5.435513|-1.5872812|-3.3631632|-2.117301|-5.6883698|-0.9117726|-0.94885236|-1.7891185|-0.6735812|-0.28361112,-2.117301
1_dog_doubt,I doubt that John owns a dog. It follows him everywhere he goes.,doubt,it,I| doubt| that| John| owns| a| dog|.| It| follows| him| everywhere| he| goes|.,-8.071822|-1.9218339|-7.7534723|-9.360069|-0.9652474|-5.0892467|-1.4007983|-5.284011|-6.4254146|-9.838907|-0.8398276|-2.0239377|-0.008164345|-0.39790747,-6.4254146
1_dog_doubt,I doubt that John owns a dog. He doesn't own any other pets either.,doubt,subj,I| doubt| that| John| owns| a| dog|.| He| doesn|'t| own| any| other| pets| either|.,-8.072716|-1.9201941|-7.7560396|-9.350591|-0.9646234|-5.113033|-1.4051815|-3.507697|-1.9026139|-0.3201804|-6.383998|-2.7152045|-6.0379214|-0.6498186|-1.3429637|-0.31034514,-1.9026139
1_dog_modal,John wants to own a dog and it follows him everywhere he goes.,modal,it,John| wants| to| own| a| dog| and| it| follows| him| everywhere| he| goes|.,-10.131065|-0.41552633|-7.465124|-0.98999304|-4.442937|-2.8823662|-5.127141|-8.266352|-0.72039014|-1.3325925|-2.05673|-0.029994141|-0.4406802,-8.266352
1_dog_modal,John wants to own a dog and he cannot wait to move to a building that allows pets.,modal,subj,John| wants| to| own| a| dog| and| he| cannot| wait| to| move| to| a| building| that| allows| pets|.,-10.131213|-0.41681063|-7.4652343|-0.9890638|-4.440587|-2.8819916|-2.3111053|-6.4985905|-1.8348098|-0.913934|-5.810989|-1.6022424|-1.2166747|-8.026679|-1.2869827|-0.41608912|-0.9056148|-0.28906396,-6.4985905
