id,sentence,type,pronoun,tokens,log_probs
1_dog_affirmative,John owns a dog and it follows him everywhere he goes.,affirmative,it,John|##owns|##a|##dog|##and|##it|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-9.567303|-10.970505|-7.947838|-6.544609|-7.3216934|-10.625191|-12.395096|-11.41111|-7.296112|-14.350365|-12.460136|-11.213882|-12.854004
1_dog_affirmative,John owns a dog and he is thinking about getting another one.,affirmative,subj,John|##owns|##a|##dog|##and|##he|##is|##thinking|##about|##getting|##another|##one|.|<|endoftext|>,-9.567303|-10.970505|-7.947838|-6.544609|-7.3216934|-9.456955|-10.120781|-11.739861|-8.037888|-11.299744|-10.7612|-9.090431|-10.784973|-12.779205
1_dog_negated,John doesn't own a dog and it follows him everywhere he goes.,negated,it,John|##doesn|'t|##own|##a|##dog|##and|##it|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-9.567303|-14.78009|-10.614151|-10.966743|-9.225418|-7.668373|-7.6322174|-10.747795|-11.765213|-11.139389|-7.61483|-14.598412|-11.609352|-10.964584|-12.642876
1_dog_negated,John doesn't own a dog and he isn't planning on getting one.,negated,subj,John|##doesn|'t|##own|##a|##dog|##and|##he|##isn|'t|##planning|##on|##getting|##one|.|<|endoftext|>,-9.567303|-14.78009|-10.614151|-10.966743|-9.225418|-7.668373|-7.6322174|-10.116791|-19.22467|-13.778732|-14.150251|-8.150475|-11.615471|-7.579193|-10.779083|-12.605011
1_dog_know,I know that John owns a dog. It follows him everywhere he goes.,know,it,I|##know|##that|##John|##owns|##a|##dog|.|##It|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-5.9291916|-11.287071|-5.565056|-6.2989883|-11.555168|-8.28521|-6.315796|-11.406296|-14.384689|-12.105103|-10.635094|-7.2858734|-13.700333|-12.950104|-11.066589|-12.796257
1_dog_know,I know that John owns a dog. He is thinking about getting another one.,know,subj,I|##know|##that|##John|##owns|##a|##dog|.|##He|##is|##thinking|##about|##getting|##another|##one|.|<|endoftext|>,-5.9291916|-11.287071|-5.565056|-6.2989883|-11.555168|-8.28521|-6.315796|-11.406296|-13.02845|-9.761162|-11.171974|-7.691139|-11.213524|-10.7152405|-8.708824|-10.422211|-12.7469635
1_dog_doubt,I doubt that John owns a dog. It follows him everywhere he goes.,doubt,it,I|##doubt|##that|##John|##owns|##a|##dog|.|##It|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-5.9291916|-12.024307|-5.201149|-5.8358|-12.04718|-9.1807785|-6.4630127|-11.35527|-14.548691|-12.167889|-10.743645|-7.515465|-13.004646|-13.170982|-10.906036|-12.72612
1_dog_doubt,I doubt that John owns a dog. He doesn't own any other pets either.,doubt,subj,I|##doubt|##that|##John|##owns|##a|##dog|.|##He|##doesn|'t|##own|##any|##other|##pets|##either|.|<|endoftext|>,-5.9291916|-12.024307|-5.201149|-5.8358|-12.04718|-9.1807785|-6.4630127|-11.35527|-13.837883|-18.219086|-10.902954|-11.215164|-8.655045|-7.799576|-12.05925|-7.3209763|-10.973648|-12.691956
1_dog_modal,John wants to own a dog and it follows him everywhere he goes.,modal,it,John|##wants|##to|##own|##a|##dog|##and|##it|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-9.567303|-12.720268|-8.770935|-9.825783|-8.773705|-6.9807434|-7.409355|-10.462074|-11.873611|-10.726166|-7.435318|-13.875511|-12.033745|-10.929718|-12.609116
1_dog_modal,John wants to own a dog and he cannot wait to move to a building that allows pets.,modal,subj,John|##wants|##to|##own|##a|##dog|##and|##he|##cannot|##wait|##to|##move|##to|##a|##building|##that|##allows|##pets|.|<|endoftext|>,-9.567303|-12.720268|-8.770935|-9.825783|-8.773705|-6.9807434|-7.409355|-10.015175|-12.041367|-10.438438|-9.615402|-12.920578|-8.6623|-8.002869|-8.069946|-8.805801|-12.579819|-10.796814|-10.503113|-12.531418
1_dog_managed,John managed to adopt a dog. It follows him everywhere he goes.,managed,it,John|##managed|##to|##adopt|##a|##dog|.|##It|##follows|##him|##everywhere|##he|##goes|.|<|endoftext|>,-9.567303|-11.151474|-8.914459|-11.391655|-7.640259|-6.1337814|-11.428612|-14.222763|-10.374088|-11.822006|-7.776291|-13.94075|-13.284576|-11.317581|-12.599266
