id,sent,expected,block,type,display,sent1,sent2,sent2delay,sliderdelay
,,,,,instruction,,,300,600
,,,,,practice,,,300,600
15_bone_affirmative_affirmative_pref,David discovered a bone on his archeological expedition and Andy discovered a bone on his archeological expedition too. The bones likely belonged to an extinct bird species.,1,block15,target,trial,David discovered a bone on his archeological expedition and Andy discovered a bone on his archeological expedition too.,The bones likely belonged to an extinct bird species.,5400,8100
16_house_doubt_know_pref,I doubt that Lisa built a house but I know that Jordan built a house. The houses are the most beautiful buildings I have ever seen.,0,block16,target,trial,I doubt that Lisa built a house but I know that Jordan built a house.,The houses are the most beautiful buildings I have ever seen.,4500,7800
filler3,Mandy managed to pass the knowledge test for getting a driver's license but she failed the road test. She will need to take the road test again.,1,filler3,filler,trial,Mandy managed to pass the knowledge test for getting a driver's license but she failed the road test.,She will need to take the road test again.,5400,8100
filler5,It was unfortunate that Barbara did not get an offer from the job she wanted. She accepted the offer immediately.,0,filler5,filler,trial,It was unfortunate that Barbara did not get an offer from the job she wanted.,She accepted the offer immediately.,4500,6000
3_bear_negation_negation_pref,Carol didn't see a bear at the zoo and Jack didn't see a bear at the zoo either. The bears were taller than expected.,0,block3,target,trial,Carol didn't see a bear at the zoo and Jack didn't see a bear at the zoo either.,The bears were taller than expected.,5400,7200
6_rat_doubt_doubt_sref,I doubt that Carla got a pet rat and I doubt that Linda got a pet rat as well. The rat is very noisy at night.,0,block6,target,trial,I doubt that Carla got a pet rat and I doubt that Linda got a pet rat as well.,The rat is very noisy at night.,5700,7800
4_book_doubt_know_sref,I doubt that Susan published a book but I know that Ben published a book. The book is a real page-turner.,1,block4,target,trial,I doubt that Susan published a book but I know that Ben published a book.,The book is a real page-turner.,4500,6300
10_hat_negation_negation_pref,Chris didn't knit a hat and George didn't knit a hat either. The hats were very colorful.,0,block10,target,trial,Chris didn't knit a hat and George didn't knit a hat either.,The hats were very colorful.,3600,5100
filler6,Nick was so busy today that he was forced to skip lunch. He had a chicken sandwich and some fries for lunch.,0,filler6,filler,trial,Nick was so busy today that he was forced to skip lunch.,He had a chicken sandwich and some fries for lunch.,3600,6600
11_rabbit_managed_managed_sref,Sarah managed to catch a rabbit and Alice managed to catch a rabbit as well. The rabbit made a fantastic dinner.,0,block11,target,trial,Sarah managed to catch a rabbit and Alice managed to catch a rabbit as well.,The rabbit made a fantastic dinner.,4500,6300
14_gin_failed_managed_pref,Dan failed to mix a gin tonic but Jessica managed to mix a gin tonic. The gin tonics were very strong.,0,block14,target,trial,Dan failed to mix a gin tonic but Jessica managed to mix a gin tonic.,The gin tonics were very strong.,4500,6300
filler4,Doug didn't make salad for dinner but he made pasta. He skillfully garnished the pasta with fresh basil and grated Parmesan.,1,filler4,filler,trial,Doug didn't make salad for dinner but he made pasta.,He skillfully garnished the pasta with fresh basil and grated Parmesan.,3000,6300
filler1,Jane and Julie watched a movie last Friday night. It was about the first world war.,1,filler1,filler,trial,Jane and Julie watched a movie last Friday night.,It was about the first world war.,2700,4800
1_dog_doubt_doubt_sref,I doubt that John owns a dog and I doubt that Mark owns a dog as well. The dog is very cute.,0,block1,target,trial,I doubt that John owns a dog and I doubt that Mark owns a dog as well.,The dog is very cute.,5100,6600
5_shirt_doubt_doubt_pref,I doubt that Mary found a shirt at the store and I doubt that Teresa found a shirt at the store as well. The shirts look amazing.,0,block5,target,trial,I doubt that Mary found a shirt at the store and I doubt that Teresa found a shirt at the store as well.,The shirts look amazing.,6900,8100
2_car_affirmative_affirmative_sref,Lucy has a car and Ethan has a car too. The car has a self-driving mode.,0,block2,target,trial,Lucy has a car and Ethan has a car too.,The car has a self-driving mode.,3000,4800
9_letter_managed_failed_pref,Carolyn managed to write a letter to her parents but Jennifer failed to write a letter to her parents. The letters arrived three days after they were sent.,0,block9,target,trial,Carolyn managed to write a letter to her parents but Jennifer failed to write a letter to her parents.,The letters arrived three days after they were sent.,5700,8400
filler7,Andy had to walk to school every day because no other means of transporation was available. The bus ride took him 15 minutes.,0,filler7,filler,trial,Andy had to walk to school every day because no other means of transporation was available.,The bus ride took him 15 minutes.,4800,6900
7_beer_know_know_pref,I know that Sam ordered a beer at the bar and I know that Kate ordered a beer at the bar as well. The beers were warm.,1,block7,target,trial,I know that Sam ordered a beer at the bar and I know that Kate ordered a beer at the bar as well.,The beers were warm.,6900,8100
filler8,Katie's parents were able to support her emotionally but not financially. They gave her one thousand dollars every month to help cover her rent.,0,filler8,filler,trial,Katie's parents were able to support her emotionally but not financially.,They gave her one thousand dollars every month to help cover her rent.,3300,7200
13_bed_affirmative_negation_sref,Luke bought a bed but Rachel didn't buy a bed. The bed was delivered the next day.,1,block13,target,trial,Luke bought a bed but Rachel didn't buy a bed.,The bed was delivered the next day.,3000,5100
filler2,I know that Peter loves pizzas but I doubt that he likes them with pineapple. He hates that combination.,1,filler2,filler,trial,I know that Peter loves pizzas but I doubt that he likes them with pineapple.,He hates that combination.,4500,5700
8_cake_failed_managed_sref,Michael failed to bake a cake but Adam managed to bake a cake. The cake was the best thing at the picnic.,1,block8,target,trial,Michael failed to bake a cake but Adam managed to bake a cake.,The cake was the best thing at the picnic.,3900,6600
12_ticket_failed_managed_sref,Thomas failed to book a ticket but Patrick managed to book a ticket. The ticket was much cheaper than expected.,1,block12,target,trial,Thomas failed to book a ticket but Patrick managed to book a ticket.,The ticket was much cheaper than expected.,3900,6000
