id,sent,expected,block,type,display,sent1,sent2,sent2delay,sliderdelay
,,,,,instruction,,,300,600
,,,,,practice,,,300,600
1_dog_know_doubt_pref,I know that John owns a dog but I doubt that Mark owns a dog. The dogs are very cute.,0,block1,target,trial,I know that John owns a dog but I doubt that Mark owns a dog.,The dogs are very cute.,4500,6000
filler8,Katie's parents were able to support her emotionally but not financially. They gave her one thousand dollars every month to help cover her rent.,0,filler8,filler,trial,Katie's parents were able to support her emotionally but not financially.,They gave her one thousand dollars every month to help cover her rent.,3300,7200
8_cake_negation_affirmative_sref,Michael didn't bake a cake but Adam baked a cake. The cake was the best thing at the picnic.,1,block8,target,trial,Michael didn't bake a cake but Adam baked a cake.,The cake was the best thing at the picnic.,3000,5700
filler7,Andy had to walk to school every day because no other means of transporation was available. The bus ride took him 15 minutes.,0,filler7,filler,trial,Andy had to walk to school every day because no other means of transporation was available.,The bus ride took him 15 minutes.,4800,6900
10_hat_failed_failed_sref,Chris failed to knit a hat and George failed to knit a hat as well. The hat was very colorful.,0,block10,target,trial,Chris failed to knit a hat and George failed to knit a hat as well.,The hat was very colorful.,4500,6000
14_gin_know_doubt_pref,I know that Dan drank a gin tonic but I doubt that Jessica drank a gin tonic. The gin tonics were very strong.,0,block14,target,trial,I know that Dan drank a gin tonic but I doubt that Jessica drank a gin tonic.,The gin tonics were very strong.,5100,6900
filler6,Nick was so busy today that he was forced to skip lunch. He had a chicken sandwich and some fries for lunch.,0,filler6,filler,trial,Nick was so busy today that he was forced to skip lunch.,He had a chicken sandwich and some fries for lunch.,3600,6600
13_bed_negation_negation_sref,Luke didn't buy a bed and Rachel didn't buy a bed either. The bed was delivered the next day.,0,block13,target,trial,Luke didn't buy a bed and Rachel didn't buy a bed either.,The bed was delivered the next day.,3600,5700
filler2,I know that Peter loves pizzas but I doubt that he likes them with pineapple. He hates that combination.,1,filler2,filler,trial,I know that Peter loves pizzas but I doubt that he likes them with pineapple.,He hates that combination.,4500,5700
15_bone_negation_negation_sref,David didn't discover a bone on his archeological expedition and Andy didn't discover a bone on his archeological expedition either. The bone likely belonged to an extinct bird species.,0,block15,target,trial,David didn't discover a bone on his archeological expedition and Andy didn't discover a bone on his archeological expedition either.,The bone likely belonged to an extinct bird species.,6000,8700
6_rat_affirmative_negation_sref,Carla got a pet rat but Linda didn't get a pet rat. The rat is very noisy at night.,1,block6,target,trial,Carla got a pet rat but Linda didn't get a pet rat.,The rat is very noisy at night.,3600,5700
5_shirt_managed_failed_pref,Mary managed to find a shirt at the store but Teresa failed to find a shirt at the store. The shirts look amazing.,0,block5,target,trial,Mary managed to find a shirt at the store but Teresa failed to find a shirt at the store.,The shirts look amazing.,5700,6900
filler4,Doug didn't make salad for dinner but he made pasta. He skillfully garnished the pasta with fresh basil and grated Parmesan.,1,filler4,filler,trial,Doug didn't make salad for dinner but he made pasta.,He skillfully garnished the pasta with fresh basil and grated Parmesan.,3000,6300
filler3,Mandy managed to pass the knowledge test for getting a driver's license but she failed the road test. She will need to take the road test again.,1,filler3,filler,trial,Mandy managed to pass the knowledge test for getting a driver's license but she failed the road test.,She will need to take the road test again.,5400,8100
3_bear_doubt_doubt_sref,I doubt that Carol saw a bear at the zoo and I doubt that Jack saw a bear at the zoo as well. The bear was taller than expected.,0,block3,target,trial,I doubt that Carol saw a bear at the zoo and I doubt that Jack saw a bear at the zoo as well.,The bear was taller than expected.,6900,8700
2_car_affirmative_affirmative_pref,Lucy has a car and Ethan has a car too. The cars have a self-driving mode.,1,block2,target,trial,Lucy has a car and Ethan has a car too.,The cars have a self-driving mode.,3000,4800
7_beer_affirmative_affirmative_pref,Sam ordered a beer at the bar and Kate ordered a beer at the bar too. The beers were warm.,1,block7,target,trial,Sam ordered a beer at the bar and Kate ordered a beer at the bar too.,The beers were warm.,4800,6000
16_house_negation_affirmative_sref,Lisa didn't build a house but Jordan built a house. The house is the most beautiful building I have ever seen.,1,block16,target,trial,Lisa didn't build a house but Jordan built a house.,The house is the most beautiful building I have ever seen.,3000,6300
filler5,It was unfortunate that Barbara did not get an offer from the job she wanted. She accepted the offer immediately.,0,filler5,filler,trial,It was unfortunate that Barbara did not get an offer from the job she wanted.,She accepted the offer immediately.,4500,6000
4_book_managed_failed_pref,Susan managed to write a book but Ben failed to write a book. The books are real page-turners.,0,block4,target,trial,Susan managed to write a book but Ben failed to write a book.,The books are real page-turners.,3900,5400
12_ticket_affirmative_affirmative_pref,Thomas booked a ticket in advance and Patrick booked a ticket in advance too. The tickets were much cheaper than expected.,1,block12,target,trial,Thomas booked a ticket in advance and Patrick booked a ticket in advance too.,The tickets were much cheaper than expected.,4200,6300
filler1,Jane and Julie watched a movie last Friday night. It was about the first world war.,1,filler1,filler,trial,Jane and Julie watched a movie last Friday night.,It was about the first world war.,2700,4800
11_rabbit_managed_managed_pref,Sarah managed to catch a rabbit and Alice managed to catch a rabbit as well. The rabbits made a fantastic dinner.,1,block11,target,trial,Sarah managed to catch a rabbit and Alice managed to catch a rabbit as well.,The rabbits made a fantastic dinner.,4500,6300
9_letter_doubt_know_sref,I doubt that Carolyn wrote a letter to her parents but I know that Jennifer wrote a letter to her parents. The letter arrived three days after it was sent.,1,block9,target,trial,I doubt that Carolyn wrote a letter to her parents but I know that Jennifer wrote a letter to her parents.,The letter arrived three days after it was sent.,6300,9000
