id,sent,expected,block,type,display,sent1,sent2,sent2delay,sliderdelay
,,,,,instruction,,,300,600
,,,,,practice,,,300,600
3_bear_doubt_know_sref,I doubt that Carol saw a bear at the zoo but I know that Jack saw a bear at the zoo. The bear was taller than expected.,1,block3,target,trial,I doubt that Carol saw a bear at the zoo but I know that Jack saw a bear at the zoo.,The bear was taller than expected.,6300,8100
filler5,It was unfortunate that Barbara did not get an offer from the job she wanted. She accepted the offer immediately.,0,filler5,filler,trial,It was unfortunate that Barbara did not get an offer from the job she wanted.,She accepted the offer immediately.,4500,6000
filler3,Mandy managed to pass the knowledge test for getting a driver's license but she failed the road test. She will need to take the road test again.,1,filler3,filler,trial,Mandy managed to pass the knowledge test for getting a driver's license but she failed the road test.,She will need to take the road test again.,5400,8100
12_ticket_affirmative_negation_pref,Thomas booked a ticket in advance but Patrick didn't book a ticket in advance. The tickets were much cheaper than expected.,0,block12,target,trial,Thomas booked a ticket in advance but Patrick didn't book a ticket in advance.,The tickets were much cheaper than expected.,4200,6300
11_rabbit_failed_failed_sref,Sarah failed to catch a rabbit and Alice failed to catch a rabbit as well. The rabbit made a fantastic dinner.,0,block11,target,trial,Sarah failed to catch a rabbit and Alice failed to catch a rabbit as well.,The rabbit made a fantastic dinner.,4500,6300
1_dog_managed_managed_sref,John managed to adopt a dog and Mark managed to adopt a dog as well. The dog is very cute.,0,block1,target,trial,John managed to adopt a dog and Mark managed to adopt a dog as well.,The dog is very cute.,4500,6000
filler6,Nick was so busy today that he was forced to skip lunch. He had a chicken sandwich and some fries for lunch.,0,filler6,filler,trial,Nick was so busy today that he was forced to skip lunch.,He had a chicken sandwich and some fries for lunch.,3600,6600
filler8,Katie's parents were able to support her emotionally but not financially. They gave her one thousand dollars every month to help cover her rent.,0,filler8,filler,trial,Katie's parents were able to support her emotionally but not financially.,They gave her one thousand dollars every month to help cover her rent.,3300,7200
9_letter_know_doubt_pref,I know that Carolyn wrote a letter to her parents but I doubt that Jennifer wrote a letter to her parents. The letters arrived three days after they were sent.,0,block9,target,trial,I know that Carolyn wrote a letter to her parents but I doubt that Jennifer wrote a letter to her parents.,The letters arrived three days after they were sent.,6300,9000
16_house_affirmative_affirmative_sref,Lisa built a house and Jordan built a house too. The house is the most beautiful building I have ever seen.,0,block16,target,trial,Lisa built a house and Jordan built a house too.,The house is the most beautiful building I have ever seen.,3000,6300
5_shirt_negation_negation_sref,Mary didn't find a shirt at the store and Teresa didn't find a shirt at the store either. The shirt looks amazing.,0,block5,target,trial,Mary didn't find a shirt at the store and Teresa didn't find a shirt at the store either.,The shirt looks amazing.,5400,6600
filler1,Jane and Julie watched a movie last Friday night. It was about the first world war.,1,filler1,filler,trial,Jane and Julie watched a movie last Friday night.,It was about the first world war.,2700,4800
14_gin_negation_affirmative_pref,Dan didn't drink a gin tonic but Jessica drank a gin tonic. The gin tonics were very strong.,0,block14,target,trial,Dan didn't drink a gin tonic but Jessica drank a gin tonic.,The gin tonics were very strong.,3600,5400
filler4,Doug didn't make salad for dinner but he made pasta. He skillfully garnished the pasta with fresh basil and grated Parmesan.,1,filler4,filler,trial,Doug didn't make salad for dinner but he made pasta.,He skillfully garnished the pasta with fresh basil and grated Parmesan.,3000,6300
13_bed_failed_managed_pref,Luke failed to buy a bed but Rachel managed to buy a bed. The beds were delivered the next day.,0,block13,target,trial,Luke failed to buy a bed but Rachel managed to buy a bed.,The beds were delivered the next day.,3900,6000
7_beer_managed_managed_sref,Sam managed to order a beer at the bar and Kate managed to order a beer at the bar as well. The beer was warm.,0,block7,target,trial,Sam managed to order a beer at the bar and Kate managed to order a beer at the bar as well.,The beer was warm.,6300,7500
4_book_affirmative_affirmative_sref,Susan published a book and Ben published a book too. The book is a real page-turner.,0,block4,target,trial,Susan published a book and Ben published a book too.,The book is a real page-turner.,3000,4800
8_cake_know_know_sref,I know that Michael baked a cake and I know that Adam baked a cake as well. The cake was the best thing at the picnic.,0,block8,target,trial,I know that Michael baked a cake and I know that Adam baked a cake as well.,The cake was the best thing at the picnic.,5100,7800
10_hat_managed_failed_pref,Chris managed to knit a hat but George failed to knit a hat. The hats were very colorful.,0,block10,target,trial,Chris managed to knit a hat but George failed to knit a hat.,The hats were very colorful.,3900,5400
15_bone_negation_affirmative_pref,David didn't discover a bone on his archeological expedition but Andy discovered a bone on his archeological expedition. The bones likely belonged to an extinct bird species.,0,block15,target,trial,David didn't discover a bone on his archeological expedition but Andy discovered a bone on his archeological expedition.,The bones likely belonged to an extinct bird species.,5400,8100
2_car_doubt_doubt_pref,I doubt that Lucy has a car and I doubt that Ethan has a car as well. The cars have a self-driving mode.,0,block2,target,trial,I doubt that Lucy has a car and I doubt that Ethan has a car as well.,The cars have a self-driving mode.,5100,6900
6_rat_failed_managed_sref,Carla failed to get a pet rat but Linda managed to get a pet rat. The rat is very noisy at night.,1,block6,target,trial,Carla failed to get a pet rat but Linda managed to get a pet rat.,The rat is very noisy at night.,4500,6600
filler2,I know that Peter loves pizzas but I doubt that he likes them with pineapple. He hates that combination.,1,filler2,filler,trial,I know that Peter loves pizzas but I doubt that he likes them with pineapple.,He hates that combination.,4500,5700
filler7,Andy had to walk to school every day because no other means of transporation was available. The bus ride took him 15 minutes.,0,filler7,filler,trial,Andy had to walk to school every day because no other means of transporation was available.,The bus ride took him 15 minutes.,4800,6900
