id,sent,expected,block,type,display,sent1,sent2,sent2delay,sliderdelay
,,,,,instruction,,,300,600
,,,,,practice,,,300,600
12_ticket_managed_failed_sref,Thomas managed to book a ticket but Patrick failed to book a ticket. The ticket was much cheaper than expected.,1,block12,target,trial,Thomas managed to book a ticket but Patrick failed to book a ticket.,The ticket was much cheaper than expected.,3900,6000
13_bed_doubt_doubt_pref,I doubt that Luke bought a bed and I doubt that Rachel bought a bed as well. The beds were delivered the next day.,0,block13,target,trial,I doubt that Luke bought a bed and I doubt that Rachel bought a bed as well.,The beds were delivered the next day.,5100,7200
4_book_failed_managed_pref,Susan failed to write a book but Ben managed to write a book. The books are real page-turners.,0,block4,target,trial,Susan failed to write a book but Ben managed to write a book.,The books are real page-turners.,3900,5400
11_rabbit_negation_affirmative_pref,Sarah didn't catch a rabbit but Alice caught a rabbit. The rabbits made a fantastic dinner.,0,block11,target,trial,Sarah didn't catch a rabbit but Alice caught a rabbit.,The rabbits made a fantastic dinner.,3000,4800
5_shirt_failed_failed_sref,Mary failed to find a shirt at the store and Teresa failed to find a shirt at the store as well. The shirt looks amazing.,0,block5,target,trial,Mary failed to find a shirt at the store and Teresa failed to find a shirt at the store as well.,The shirt looks amazing.,6300,7500
filler6,Nick was so busy today that he was forced to skip lunch. He had a chicken sandwich and some fries for lunch.,0,filler6,filler,trial,Nick was so busy today that he was forced to skip lunch.,He had a chicken sandwich and some fries for lunch.,3600,6600
filler5,It was unfortunate that Barbara did not get an offer from the job she wanted. She accepted the offer immediately.,0,filler5,filler,trial,It was unfortunate that Barbara did not get an offer from the job she wanted.,She accepted the offer immediately.,4500,6000
1_dog_failed_failed_sref,John failed to adopt a dog and Mark failed to adopt a dog as well. The dog is very cute.,0,block1,target,trial,John failed to adopt a dog and Mark failed to adopt a dog as well.,The dog is very cute.,4500,6000
15_bone_know_doubt_sref,I know that David discovered a bone on his archeological expedition but I doubt that Andy discovered a bone on his archeological expedition. The bone likely belonged to an extinct bird species.,1,block15,target,trial,I know that David discovered a bone on his archeological expedition but I doubt that Andy discovered a bone on his archeological expedition.,The bone likely belonged to an extinct bird species.,6900,9600
14_gin_negation_negation_pref,Dan didn't drink a gin tonic and Jessica didn't drink a gin tonic either. The gin tonics were very strong.,0,block14,target,trial,Dan didn't drink a gin tonic and Jessica didn't drink a gin tonic either.,The gin tonics were very strong.,4200,6000
2_car_know_know_pref,I know that Lucy has a car and I know that Ethan has a car as well. The cars have a self-driving mode.,1,block2,target,trial,I know that Lucy has a car and I know that Ethan has a car as well.,The cars have a self-driving mode.,5100,6900
filler7,Andy had to walk to school every day because no other means of transporation was available. The bus ride took him 15 minutes.,0,filler7,filler,trial,Andy had to walk to school every day because no other means of transporation was available.,The bus ride took him 15 minutes.,4800,6900
8_cake_affirmative_affirmative_sref,Michael baked a cake and Adam baked a cake too. The cake was the best thing at the picnic.,0,block8,target,trial,Michael baked a cake and Adam baked a cake too.,The cake was the best thing at the picnic.,3000,5700
filler3,Mandy managed to pass the knowledge test for getting a driver's license but she failed the road test. She will need to take the road test again.,1,filler3,filler,trial,Mandy managed to pass the knowledge test for getting a driver's license but she failed the road test.,She will need to take the road test again.,5400,8100
16_house_affirmative_affirmative_pref,Lisa built a house and Jordan built a house too. The houses are the most beautiful buildings I have ever seen.,1,block16,target,trial,Lisa built a house and Jordan built a house too.,The houses are the most beautiful buildings I have ever seen.,3000,6300
filler1,Jane and Julie watched a movie last Friday night. It was about the first world war.,1,filler1,filler,trial,Jane and Julie watched a movie last Friday night.,It was about the first world war.,2700,4800
6_rat_affirmative_affirmative_sref,Carla got a pet rat and Linda got a pet rat too. The rat is very noisy at night.,0,block6,target,trial,Carla got a pet rat and Linda got a pet rat too.,The rat is very noisy at night.,3600,5700
9_letter_failed_failed_pref,Carolyn failed to write a letter to her parents and Jennifer failed to write a letter to her parents as well. The letters arrived three days after they were sent.,0,block9,target,trial,Carolyn failed to write a letter to her parents and Jennifer failed to write a letter to her parents as well.,The letters arrived three days after they were sent.,6300,9000
filler4,Doug didn't make salad for dinner but he made pasta. He skillfully garnished the pasta with fresh basil and grated Parmesan.,1,filler4,filler,trial,Doug didn't make salad for dinner but he made pasta.,He skillfully garnished the pasta with fresh basil and grated Parmesan.,3000,6300
7_beer_failed_managed_pref,Sam failed to order a beer at the bar but Kate managed to order a beer at the bar. The beers were warm.,0,block7,target,trial,Sam failed to order a beer at the bar but Kate managed to order a beer at the bar.,The beers were warm.,5700,6900
filler2,I know that Peter loves pizzas but I doubt that he likes them with pineapple. He hates that combination.,1,filler2,filler,trial,I know that Peter loves pizzas but I doubt that he likes them with pineapple.,He hates that combination.,4500,5700
filler8,Katie's parents were able to support her emotionally but not financially. They gave her one thousand dollars every month to help cover her rent.,0,filler8,filler,trial,Katie's parents were able to support her emotionally but not financially.,They gave her one thousand dollars every month to help cover her rent.,3300,7200
10_hat_failed_managed_pref,Chris failed to knit a hat but George managed to knit a hat. The hats were very colorful.,0,block10,target,trial,Chris failed to knit a hat but George managed to knit a hat.,The hats were very colorful.,3900,5400
3_bear_negation_affirmative_sref,Carol didn't see a bear at the zoo but Jack saw a bear at the zoo. The bear was taller than expected.,1,block3,target,trial,Carol didn't see a bear at the zoo but Jack saw a bear at the zoo.,The bear was taller than expected.,4800,6600
