id,sent,expected,block,type,display,sent1,sent2,sent2delay,sliderdelay
,,,,,instruction,,,300,600
,,,,,practice,,,300,600
3_bear_failed_managed_sref,Carol failed to see a bear at the zoo but Jack managed to see a bear at the zoo. The bear was taller than expected.,1,block3,target,trial,Carol failed to see a bear at the zoo but Jack managed to see a bear at the zoo.,The bear was taller than expected.,5700,7500
2_car_doubt_know_sref,I doubt that Lucy has a car but I know that Ethan has a car. The car has a self-driving mode.,1,block2,target,trial,I doubt that Lucy has a car but I know that Ethan has a car.,The car has a self-driving mode.,4500,6300
filler2,I know that Peter loves pizzas but I doubt that he likes them with pineapple. He hates that combination.,1,filler2,filler,trial,I know that Peter loves pizzas but I doubt that he likes them with pineapple.,He hates that combination.,4500,5700
filler8,Katie's parents were able to support her emotionally but not financially. They gave her one thousand dollars every month to help cover her rent.,0,filler8,filler,trial,Katie's parents were able to support her emotionally but not financially.,They gave her one thousand dollars every month to help cover her rent.,3300,7200
12_ticket_negation_negation_sref,Thomas didn't book a ticket in advance and Patrick didn't book a ticket in advance either. The ticket was much cheaper than expected.,0,block12,target,trial,Thomas didn't book a ticket in advance and Patrick didn't book a ticket in advance either.,The ticket was much cheaper than expected.,4800,6900
15_bone_affirmative_negation_pref,David discovered a bone on his archeological expedition but Andy didn't discover a bone on his archeological expedition. The bones likely belonged to an extinct bird species.,0,block15,target,trial,David discovered a bone on his archeological expedition but Andy didn't discover a bone on his archeological expedition.,The bones likely belonged to an extinct bird species.,5400,8100
14_gin_affirmative_negation_pref,Dan drank a gin tonic but Jessica didn't drink a gin tonic. The gin tonics were very strong.,0,block14,target,trial,Dan drank a gin tonic but Jessica didn't drink a gin tonic.,The gin tonics were very strong.,3600,5400
5_shirt_failed_managed_sref,Mary failed to find a shirt at the store but Teresa managed to find a shirt at the store. The shirt looks amazing.,1,block5,target,trial,Mary failed to find a shirt at the store but Teresa managed to find a shirt at the store.,The shirt looks amazing.,5700,6900
11_rabbit_know_know_sref,I know that Sarah caught a rabbit and I know that Alice caught a rabbit as well. The rabbit made a fantastic dinner.,0,block11,target,trial,I know that Sarah caught a rabbit and I know that Alice caught a rabbit as well.,The rabbit made a fantastic dinner.,5100,6900
6_rat_managed_failed_pref,Carla managed to get a pet rat but Linda failed to get a pet rat. The rats are very noisy at night.,0,block6,target,trial,Carla managed to get a pet rat but Linda failed to get a pet rat.,The rats are very noisy at night.,4500,6600
filler4,Doug didn't make salad for dinner but he made pasta. He skillfully garnished the pasta with fresh basil and grated Parmesan.,1,filler4,filler,trial,Doug didn't make salad for dinner but he made pasta.,He skillfully garnished the pasta with fresh basil and grated Parmesan.,3000,6300
16_house_doubt_know_sref,I doubt that Lisa built a house but I know that Jordan built a house. The house is the most beautiful building I have ever seen.,1,block16,target,trial,I doubt that Lisa built a house but I know that Jordan built a house.,The house is the most beautiful building I have ever seen.,4500,7800
filler3,Mandy managed to pass the knowledge test for getting a driver's license but she failed the road test. She will need to take the road test again.,1,filler3,filler,trial,Mandy managed to pass the knowledge test for getting a driver's license but she failed the road test.,She will need to take the road test again.,5400,8100
filler7,Andy had to walk to school every day because no other means of transporation was available. The bus ride took him 15 minutes.,0,filler7,filler,trial,Andy had to walk to school every day because no other means of transporation was available.,The bus ride took him 15 minutes.,4800,6900
7_beer_know_know_sref,I know that Sam ordered a beer at the bar and I know that Kate ordered a beer at the bar as well. The beer was warm.,0,block7,target,trial,I know that Sam ordered a beer at the bar and I know that Kate ordered a beer at the bar as well.,The beer was warm.,6900,8100
filler6,Nick was so busy today that he was forced to skip lunch. He had a chicken sandwich and some fries for lunch.,0,filler6,filler,trial,Nick was so busy today that he was forced to skip lunch.,He had a chicken sandwich and some fries for lunch.,3600,6600
10_hat_managed_managed_sref,Chris managed to knit a hat and George managed to knit a hat as well. The hat was very colorful.,0,block10,target,trial,Chris managed to knit a hat and George managed to knit a hat as well.,The hat was very colorful.,4500,6000
filler5,It was unfortunate that Barbara did not get an offer from the job she wanted. She accepted the offer immediately.,0,filler5,filler,trial,It was unfortunate that Barbara did not get an offer from the job she wanted.,She accepted the offer immediately.,4500,6000
9_letter_failed_failed_sref,Carolyn failed to write a letter to her parents and Jennifer failed to write a letter to her parents as well. The letter arrived three days after it was sent.,0,block9,target,trial,Carolyn failed to write a letter to her parents and Jennifer failed to write a letter to her parents as well.,The letter arrived three days after it was sent.,6300,9000
1_dog_negation_affirmative_pref,John doesn't own a dog but Mark owns a dog. The dogs are very cute.,0,block1,target,trial,John doesn't own a dog but Mark owns a dog.,The dogs are very cute.,3000,4500
8_cake_failed_managed_pref,Michael failed to bake a cake but Adam managed to bake a cake. The cakes were the best thing at the picnic.,0,block8,target,trial,Michael failed to bake a cake but Adam managed to bake a cake.,The cakes were the best thing at the picnic.,3900,6600
filler1,Jane and Julie watched a movie last Friday night. It was about the first world war.,1,filler1,filler,trial,Jane and Julie watched a movie last Friday night.,It was about the first world war.,2700,4800
13_bed_managed_managed_sref,Luke managed to buy a bed and Rachel managed to buy a bed as well. The bed was delivered the next day.,0,block13,target,trial,Luke managed to buy a bed and Rachel managed to buy a bed as well.,The bed was delivered the next day.,4500,6600
4_book_managed_managed_pref,Susan managed to write a book and Ben managed to write a book as well. The books are real page-turners.,1,block4,target,trial,Susan managed to write a book and Ben managed to write a book as well.,The books are real page-turners.,4500,6000
