id,sent,expected,block,type,display,sent1,sent2,sent2delay,sliderdelay
,,,,,instruction,,,300,600
,,,,,practice,,,300,600
8_cake_doubt_doubt_sref,I doubt that Michael baked a cake and I doubt that Adam baked a cake as well. The cake was the best thing at the picnic.,0,block8,target,trial,I doubt that Michael baked a cake and I doubt that Adam baked a cake as well.,The cake was the best thing at the picnic.,5100,7800
14_gin_doubt_know_pref,I doubt that Dan drank a gin tonic but I know that Jessica drank a gin tonic. The gin tonics were very strong.,0,block14,target,trial,I doubt that Dan drank a gin tonic but I know that Jessica drank a gin tonic.,The gin tonics were very strong.,5100,6900
13_bed_negation_affirmative_sref,Luke didn't buy a bed but Rachel bought a bed. The bed was delivered the next day.,1,block13,target,trial,Luke didn't buy a bed but Rachel bought a bed.,The bed was delivered the next day.,3000,5100
filler3,Mandy managed to pass the knowledge test for getting a driver's license but she failed the road test. She will need to take the road test again.,1,filler3,filler,trial,Mandy managed to pass the knowledge test for getting a driver's license but she failed the road test.,She will need to take the road test again.,5400,8100
filler8,Katie's parents were able to support her emotionally but not financially. They gave her one thousand dollars every month to help cover her rent.,0,filler8,filler,trial,Katie's parents were able to support her emotionally but not financially.,They gave her one thousand dollars every month to help cover her rent.,3300,7200
16_house_negation_negation_pref,Lisa didn't build a house and Jordan didn't build a house either. The houses are the most beautiful buildings I have ever seen.,0,block16,target,trial,Lisa didn't build a house and Jordan didn't build a house either.,The houses are the most beautiful buildings I have ever seen.,3600,6900
12_ticket_managed_failed_pref,Thomas managed to book a ticket but Patrick failed to book a ticket. The tickets were much cheaper than expected.,0,block12,target,trial,Thomas managed to book a ticket but Patrick failed to book a ticket.,The tickets were much cheaper than expected.,3900,6000
3_bear_know_doubt_pref,I know that Carol saw a bear at the zoo but I doubt that Jack saw a bear at the zoo. The bears were taller than expected.,0,block3,target,trial,I know that Carol saw a bear at the zoo but I doubt that Jack saw a bear at the zoo.,The bears were taller than expected.,6300,8100
filler7,Andy had to walk to school every day because no other means of transporation was available. The bus ride took him 15 minutes.,0,filler7,filler,trial,Andy had to walk to school every day because no other means of transporation was available.,The bus ride took him 15 minutes.,4800,6900
7_beer_managed_failed_pref,Sam managed to order a beer at the bar but Kate failed to order a beer at the bar. The beers were warm.,0,block7,target,trial,Sam managed to order a beer at the bar but Kate failed to order a beer at the bar.,The beers were warm.,5700,6900
1_dog_doubt_doubt_pref,I doubt that John owns a dog and I doubt that Mark owns a dog as well. The dogs are very cute.,0,block1,target,trial,I doubt that John owns a dog and I doubt that Mark owns a dog as well.,The dogs are very cute.,5100,6600
6_rat_doubt_doubt_pref,I doubt that Carla got a pet rat and I doubt that Linda got a pet rat as well. The rats are very noisy at night.,0,block6,target,trial,I doubt that Carla got a pet rat and I doubt that Linda got a pet rat as well.,The rats are very noisy at night.,5700,7800
filler5,It was unfortunate that Barbara did not get an offer from the job she wanted. She accepted the offer immediately.,0,filler5,filler,trial,It was unfortunate that Barbara did not get an offer from the job she wanted.,She accepted the offer immediately.,4500,6000
filler2,I know that Peter loves pizzas but I doubt that he likes them with pineapple. He hates that combination.,1,filler2,filler,trial,I know that Peter loves pizzas but I doubt that he likes them with pineapple.,He hates that combination.,4500,5700
filler6,Nick was so busy today that he was forced to skip lunch. He had a chicken sandwich and some fries for lunch.,0,filler6,filler,trial,Nick was so busy today that he was forced to skip lunch.,He had a chicken sandwich and some fries for lunch.,3600,6600
15_bone_failed_failed_sref,David failed to discover a bone on his archeological expedition and Andy failed to discover a bone on his archeological expedition as well. The bone likely belonged to an extinct bird species.,0,block15,target,trial,David failed to discover a bone on his archeological expedition and Andy failed to discover a bone on his archeological expedition as well.,The bone likely belonged to an extinct bird species.,6900,9600
4_book_failed_failed_pref,Susan failed to write a book and Ben failed to write a book as well. The books are real page-turners.,0,block4,target,trial,Susan failed to write a book and Ben failed to write a book as well.,The books are real page-turners.,4500,6000
9_letter_failed_managed_sref,Carolyn failed to write a letter to her parents but Jennifer managed to write a letter to her parents. The letter arrived three days after it was sent.,1,block9,target,trial,Carolyn failed to write a letter to her parents but Jennifer managed to write a letter to her parents.,The letter arrived three days after it was sent.,5700,8400
11_rabbit_doubt_know_pref,I doubt that Sarah caught a rabbit but I know that Alice caught a rabbit. The rabbits made a fantastic dinner.,0,block11,target,trial,I doubt that Sarah caught a rabbit but I know that Alice caught a rabbit.,The rabbits made a fantastic dinner.,4500,6300
2_car_negation_negation_pref,Lucy doesn't have a car and Ethan doesn't have a car either. The cars have a self-driving mode.,0,block2,target,trial,Lucy doesn't have a car and Ethan doesn't have a car either.,The cars have a self-driving mode.,3600,5400
filler1,Jane and Julie watched a movie last Friday night. It was about the first world war.,1,filler1,filler,trial,Jane and Julie watched a movie last Friday night.,It was about the first world war.,2700,4800
10_hat_managed_managed_pref,Chris managed to knit a hat and George managed to knit a hat as well. The hats were very colorful.,1,block10,target,trial,Chris managed to knit a hat and George managed to knit a hat as well.,The hats were very colorful.,4500,6000
5_shirt_affirmative_affirmative_sref,Mary found a shirt at the store and Teresa found a shirt at the store too. The shirt looks amazing.,0,block5,target,trial,Mary found a shirt at the store and Teresa found a shirt at the store too.,The shirt looks amazing.,4800,6000
filler4,Doug didn't make salad for dinner but he made pasta. He skillfully garnished the pasta with fresh basil and grated Parmesan.,1,filler4,filler,trial,Doug didn't make salad for dinner but he made pasta.,He skillfully garnished the pasta with fresh basil and grated Parmesan.,3000,6300
