id,sent,expected,block,type,display,sent1,sent2,sent2delay,sliderdelay
,,,,,instruction,,,300,600
,,,,,practice,,,300,600
10_hat_negation_negation_sref,Chris didn't knit a hat and George didn't knit a hat either. The hat was very colorful.,0,block10,target,trial,Chris didn't knit a hat and George didn't knit a hat either.,The hat was very colorful.,3600,5100
16_house_managed_failed_sref,Lisa managed to build a house but Jordan failed to build a house. The house is the most beautiful building I have ever seen.,1,block16,target,trial,Lisa managed to build a house but Jordan failed to build a house.,The house is the most beautiful building I have ever seen.,3900,7200
9_letter_managed_managed_pref,Carolyn managed to write a letter to her parents and Jennifer managed to write a letter to her parents as well. The letters arrived three days after they were sent.,1,block9,target,trial,Carolyn managed to write a letter to her parents and Jennifer managed to write a letter to her parents as well.,The letters arrived three days after they were sent.,6300,9000
filler4,Doug didn't make salad for dinner but he made pasta. He skillfully garnished the pasta with fresh basil and grated Parmesan.,1,filler4,filler,trial,Doug didn't make salad for dinner but he made pasta.,He skillfully garnished the pasta with fresh basil and grated Parmesan.,3000,6300
4_book_affirmative_negation_pref,Susan published a book but Ben didn't publish a book. The books are real page-turners.,0,block4,target,trial,Susan published a book but Ben didn't publish a book.,The books are real page-turners.,3000,4500
8_cake_know_doubt_sref,I know that Michael baked a cake but I doubt that Adam baked a cake. The cake was the best thing at the picnic.,1,block8,target,trial,I know that Michael baked a cake but I doubt that Adam baked a cake.,The cake was the best thing at the picnic.,4500,7200
filler2,I know that Peter loves pizzas but I doubt that he likes them with pineapple. He hates that combination.,1,filler2,filler,trial,I know that Peter loves pizzas but I doubt that he likes them with pineapple.,He hates that combination.,4500,5700
14_gin_affirmative_negation_sref,Dan drank a gin tonic but Jessica didn't drink a gin tonic. The gin tonic was very strong.,1,block14,target,trial,Dan drank a gin tonic but Jessica didn't drink a gin tonic.,The gin tonic was very strong.,3600,5400
filler7,Andy had to walk to school every day because no other means of transporation was available. The bus ride took him 15 minutes.,0,filler7,filler,trial,Andy had to walk to school every day because no other means of transporation was available.,The bus ride took him 15 minutes.,4800,6900
filler3,Mandy managed to pass the knowledge test for getting a driver's license but she failed the road test. She will need to take the road test again.,1,filler3,filler,trial,Mandy managed to pass the knowledge test for getting a driver's license but she failed the road test.,She will need to take the road test again.,5400,8100
filler1,Jane and Julie watched a movie last Friday night. It was about the first world war.,1,filler1,filler,trial,Jane and Julie watched a movie last Friday night.,It was about the first world war.,2700,4800
7_beer_know_doubt_sref,I know that Sam ordered a beer at the bar but I doubt that Kate ordered a beer at the bar. The beer was warm.,1,block7,target,trial,I know that Sam ordered a beer at the bar but I doubt that Kate ordered a beer at the bar.,The beer was warm.,6300,7500
12_ticket_know_know_pref,I know that Thomas booked a ticket in advance and I know that Patrick booked a ticket in advance as well. The tickets were much cheaper than expected.,1,block12,target,trial,I know that Thomas booked a ticket in advance and I know that Patrick booked a ticket in advance as well.,The tickets were much cheaper than expected.,6300,8400
3_bear_negation_negation_sref,Carol didn't see a bear at the zoo and Jack didn't see a bear at the zoo either. The bear was taller than expected.,0,block3,target,trial,Carol didn't see a bear at the zoo and Jack didn't see a bear at the zoo either.,The bear was taller than expected.,5400,7200
11_rabbit_failed_managed_pref,Sarah failed to catch a rabbit but Alice managed to catch a rabbit. The rabbits made a fantastic dinner.,0,block11,target,trial,Sarah failed to catch a rabbit but Alice managed to catch a rabbit.,The rabbits made a fantastic dinner.,3900,5700
5_shirt_doubt_know_pref,I doubt that Mary found a shirt at the store but I know that Teresa found a shirt at the store. The shirts look amazing.,0,block5,target,trial,I doubt that Mary found a shirt at the store but I know that Teresa found a shirt at the store.,The shirts look amazing.,6300,7500
2_car_negation_negation_sref,Lucy doesn't have a car and Ethan doesn't have a car either. The car has a self-driving mode.,0,block2,target,trial,Lucy doesn't have a car and Ethan doesn't have a car either.,The car has a self-driving mode.,3600,5400
6_rat_know_know_pref,I know that Carla got a pet rat and I know that Linda got a pet rat as well. The rats are very noisy at night.,1,block6,target,trial,I know that Carla got a pet rat and I know that Linda got a pet rat as well.,The rats are very noisy at night.,5700,7800
filler5,It was unfortunate that Barbara did not get an offer from the job she wanted. She accepted the offer immediately.,0,filler5,filler,trial,It was unfortunate that Barbara did not get an offer from the job she wanted.,She accepted the offer immediately.,4500,6000
filler6,Nick was so busy today that he was forced to skip lunch. He had a chicken sandwich and some fries for lunch.,0,filler6,filler,trial,Nick was so busy today that he was forced to skip lunch.,He had a chicken sandwich and some fries for lunch.,3600,6600
1_dog_doubt_know_pref,I doubt that John owns a dog but I know that Mark owns a dog. The dogs are very cute.,0,block1,target,trial,I doubt that John owns a dog but I know that Mark owns a dog.,The dogs are very cute.,4500,6000
13_bed_doubt_doubt_sref,I doubt that Luke bought a bed and I doubt that Rachel bought a bed as well. The bed was delivered the next day.,0,block13,target,trial,I doubt that Luke bought a bed and I doubt that Rachel bought a bed as well.,The bed was delivered the next day.,5100,7200
15_bone_managed_managed_pref,David managed to discover a bone on his archeological expedition and Andy managed to discover a bone on his archeological expedition as well. The bones likely belonged to an extinct bird species.,1,block15,target,trial,David managed to discover a bone on his archeological expedition and Andy managed to discover a bone on his archeological expedition as well.,The bones likely belonged to an extinct bird species.,6900,9600
filler8,Katie's parents were able to support her emotionally but not financially. They gave her one thousand dollars every month to help cover her rent.,0,filler8,filler,trial,Katie's parents were able to support her emotionally but not financially.,They gave her one thousand dollars every month to help cover her rent.,3300,7200
