id,sent,expected,block,type,display,sent1,sent2,sent2delay,sliderdelay
,,,,,instruction,,,300,600
,,,,,practice,,,300,600
filler7,Andy had to walk to school every day because no other means of transporation was available. The bus ride took him 15 minutes.,0,filler7,filler,trial,Andy had to walk to school every day because no other means of transporation was available.,The bus ride took him 15 minutes.,4800,6900
filler5,It was unfortunate that Barbara did not get an offer from the job she wanted. She accepted the offer immediately.,0,filler5,filler,trial,It was unfortunate that Barbara did not get an offer from the job she wanted.,She accepted the offer immediately.,4500,6000
filler3,Mandy managed to pass the knowledge test for getting a driver's license but she failed the road test. She will need to take the road test again.,1,filler3,filler,trial,Mandy managed to pass the knowledge test for getting a driver's license but she failed the road test.,She will need to take the road test again.,5400,8100
12_ticket_doubt_doubt_pref,I doubt that Thomas booked a ticket in advance and I doubt that Patrick booked a ticket in advance as well. The tickets were much cheaper than expected.,0,block12,target,trial,I doubt that Thomas booked a ticket in advance and I doubt that Patrick booked a ticket in advance as well.,The tickets were much cheaper than expected.,6300,8400
8_cake_failed_failed_sref,Michael failed to bake a cake and Adam failed to bake a cake as well. The cake was the best thing at the picnic.,0,block8,target,trial,Michael failed to bake a cake and Adam failed to bake a cake as well.,The cake was the best thing at the picnic.,4500,7200
11_rabbit_failed_failed_pref,Sarah failed to catch a rabbit and Alice failed to catch a rabbit as well. The rabbits made a fantastic dinner.,0,block11,target,trial,Sarah failed to catch a rabbit and Alice failed to catch a rabbit as well.,The rabbits made a fantastic dinner.,4500,6300
4_book_know_know_sref,I know that Susan published a book and I know that Ben published a book as well. The book is a real page-turner.,0,block4,target,trial,I know that Susan published a book and I know that Ben published a book as well.,The book is a real page-turner.,5100,6900
filler4,Doug didn't make salad for dinner but he made pasta. He skillfully garnished the pasta with fresh basil and grated Parmesan.,1,filler4,filler,trial,Doug didn't make salad for dinner but he made pasta.,He skillfully garnished the pasta with fresh basil and grated Parmesan.,3000,6300
15_bone_affirmative_affirmative_sref,David discovered a bone on his archeological expedition and Andy discovered a bone on his archeological expedition too. The bone likely belonged to an extinct bird species.,0,block15,target,trial,David discovered a bone on his archeological expedition and Andy discovered a bone on his archeological expedition too.,The bone likely belonged to an extinct bird species.,5400,8100
10_hat_failed_managed_sref,Chris failed to knit a hat but George managed to knit a hat. The hat was very colorful.,1,block10,target,trial,Chris failed to knit a hat but George managed to knit a hat.,The hat was very colorful.,3900,5400
2_car_doubt_doubt_sref,I doubt that Lucy has a car and I doubt that Ethan has a car as well. The car has a self-driving mode.,0,block2,target,trial,I doubt that Lucy has a car and I doubt that Ethan has a car as well.,The car has a self-driving mode.,5100,6900
filler2,I know that Peter loves pizzas but I doubt that he likes them with pineapple. He hates that combination.,1,filler2,filler,trial,I know that Peter loves pizzas but I doubt that he likes them with pineapple.,He hates that combination.,4500,5700
16_house_failed_failed_pref,Lisa failed to build a house and Jordan failed to build a house as well. The houses are the most beautiful buildings I have ever seen.,0,block16,target,trial,Lisa failed to build a house and Jordan failed to build a house as well.,The houses are the most beautiful buildings I have ever seen.,4500,7800
filler6,Nick was so busy today that he was forced to skip lunch. He had a chicken sandwich and some fries for lunch.,0,filler6,filler,trial,Nick was so busy today that he was forced to skip lunch.,He had a chicken sandwich and some fries for lunch.,3600,6600
9_letter_doubt_know_pref,I doubt that Carolyn wrote a letter to her parents but I know that Jennifer wrote a letter to her parents. The letters arrived three days after they were sent.,0,block9,target,trial,I doubt that Carolyn wrote a letter to her parents but I know that Jennifer wrote a letter to her parents.,The letters arrived three days after they were sent.,6300,9000
3_bear_doubt_doubt_pref,I doubt that Carol saw a bear at the zoo and I doubt that Jack saw a bear at the zoo as well. The bears were taller than expected.,0,block3,target,trial,I doubt that Carol saw a bear at the zoo and I doubt that Jack saw a bear at the zoo as well.,The bears were taller than expected.,6900,8700
filler8,Katie's parents were able to support her emotionally but not financially. They gave her one thousand dollars every month to help cover her rent.,0,filler8,filler,trial,Katie's parents were able to support her emotionally but not financially.,They gave her one thousand dollars every month to help cover her rent.,3300,7200
5_shirt_know_doubt_pref,I know that Mary found a shirt at the store but I doubt that Teresa found a shirt at the store. The shirts look amazing.,0,block5,target,trial,I know that Mary found a shirt at the store but I doubt that Teresa found a shirt at the store.,The shirts look amazing.,6300,7500
1_dog_doubt_know_sref,I doubt that John owns a dog but I know that Mark owns a dog. The dog is very cute.,1,block1,target,trial,I doubt that John owns a dog but I know that Mark owns a dog.,The dog is very cute.,4500,6000
14_gin_negation_negation_sref,Dan didn't drink a gin tonic and Jessica didn't drink a gin tonic either. The gin tonic was very strong.,0,block14,target,trial,Dan didn't drink a gin tonic and Jessica didn't drink a gin tonic either.,The gin tonic was very strong.,4200,6000
6_rat_know_doubt_pref,I know that Carla got a pet rat but I doubt that Linda got a pet rat. The rats are very noisy at night.,0,block6,target,trial,I know that Carla got a pet rat but I doubt that Linda got a pet rat.,The rats are very noisy at night.,5100,7200
13_bed_doubt_know_pref,I doubt that Luke bought a bed but I know that Rachel bought a bed. The beds were delivered the next day.,0,block13,target,trial,I doubt that Luke bought a bed but I know that Rachel bought a bed.,The beds were delivered the next day.,4500,6600
filler1,Jane and Julie watched a movie last Friday night. It was about the first world war.,1,filler1,filler,trial,Jane and Julie watched a movie last Friday night.,It was about the first world war.,2700,4800
7_beer_negation_affirmative_sref,Sam didn't order a beer at the bar but Kate ordered a beer at the bar. The beer was warm.,1,block7,target,trial,Sam didn't order a beer at the bar but Kate ordered a beer at the bar.,The beer was warm.,4800,6000
