id,sent,expected,tokens,logprobs
1_dog_affirmative_negation_sref,John owns a dog but Mark doesn't own a dog. The dog is very cute.,1,▁John|▁own|s|▁a|▁dog|▁but|▁Mark|▁doesn|'|t|▁own|▁a|▁dog|.|▁The|▁dog|▁is|▁very|▁c|ute|.,"[-11.543848037719727, -0.3777572214603424, -1.2467354536056519, -5.497631072998047, -5.1964430809021, -9.33525276184082, -1.6101514101028442, -0.6676260232925415, -0.0005413020844571292, -1.8935282230377197, -0.1676727831363678, -0.21652302145957947, -0.4713785946369171, -3.367152214050293, -2.9065914154052734, -1.1166956424713135, -4.220454692840576, -3.446990728378296, -0.04026687890291214, -0.7427433729171753]"
1_dog_affirmative_negation_pref,John owns a dog but Mark doesn't own a dog. The dogs are very cute.,0,▁John|▁own|s|▁a|▁dog|▁but|▁Mark|▁doesn|'|t|▁own|▁a|▁dog|.|▁The|▁dogs|▁are|▁very|▁c|ute|.,"[-11.543848037719727, -0.3777572214603424, -1.2467354536056519, -5.497631072998047, -5.1964430809021, -9.33525276184082, -1.6101514101028442, -0.6676260232925415, -0.0005413020844571292, -1.8935282230377197, -0.1676727831363678, -0.21652302145957947, -0.4713785946369171, -3.367152214050293, -4.772439956665039, -1.2482467889785767, -4.064846992492676, -4.299774646759033, -0.028320083394646645, -0.6518359780311584]"
1_dog_affirmative_negation_nonref,John owns a dog but Mark doesn't own a dog. It's not a big deal.,1,▁John|▁own|s|▁a|▁dog|▁but|▁Mark|▁doesn|'|t|▁own|▁a|▁dog|.|▁It|'|s|▁not|▁a|▁big|▁deal|.,"[-11.543848037719727, -0.3777572214603424, -1.2467354536056519, -5.497631072998047, -5.1964430809021, -9.33525276184082, -1.6101514101028442, -0.6676260232925415, -0.0005413020844571292, -1.8935282230377197, -0.1676727831363678, -0.21652302145957947, -0.4713785946369171, -4.382881164550781, -1.2686848640441895, -0.004032338969409466, -2.141599655151367, -2.141763687133789, -2.8056235313415527, -0.24587170779705048, -1.235390305519104]"
1_dog_affirmative_affirmative_sref,John owns a dog and Mark owns a dog too. The dog is very cute.,0,▁John|▁own|s|▁a|▁dog|▁and|▁Mark|▁own|s|▁a|▁dog|▁too|.|▁The|▁dog|▁is|▁very|▁c|ute|.,"[-11.543848037719727, -0.3777572214603424, -1.2467354536056519, -5.497631072998047, -2.306532382965088, -8.799379348754883, -1.928897738456726, -0.003943287767469883, -0.10352683067321777, -1.7908244132995605, -4.385404109954834, -0.3953310549259186, -2.989206314086914, -2.0618553161621094, -2.6463170051574707, -3.8111796379089355, -3.2078869342803955, -0.03392836079001427, -0.6866644620895386]"
1_dog_affirmative_affirmative_pref,John owns a dog and Mark owns a dog too. The dogs are very cute.,1,▁John|▁own|s|▁a|▁dog|▁and|▁Mark|▁own|s|▁a|▁dog|▁too|.|▁The|▁dogs|▁are|▁very|▁c|ute|.,"[-11.543848037719727, -0.3777572214603424, -1.2467354536056519, -5.497631072998047, -2.306532382965088, -8.799379348754883, -1.928897738456726, -0.003943287767469883, -0.10352683067321777, -1.7908244132995605, -4.385404109954834, -0.3953310549259186, -2.989206314086914, -1.9841643571853638, -0.7910324335098267, -3.6826658248901367, -4.872926712036133, -0.03923030570149422, -0.7018080353736877]"
1_dog_affirmative_affirmative_nonref,John owns a dog and Mark owns a dog too. It's not a big deal.,1,▁John|▁own|s|▁a|▁dog|▁and|▁Mark|▁own|s|▁a|▁dog|▁too|.|▁It|'|s|▁not|▁a|▁big|▁deal|.,"[-11.543848037719727, -0.3777572214603424, -1.2467354536056519, -5.497631072998047, -2.306532382965088, -8.799379348754883, -1.928897738456726, -0.003943287767469883, -0.10352683067321777, -1.7908244132995605, -4.385404109954834, -0.3953310549259186, -4.585704326629639, -2.321038246154785, -0.0076081277802586555, -2.373288154602051, -2.151594877243042, -2.507753610610962, -0.3691226541996002, -1.216265082359314]"
1_dog_negation_affirmative_sref,John doesn't own a dog but Mark owns a dog. The dog is very cute.,1,▁John|▁doesn|'|t|▁own|▁a|▁dog|▁but|▁Mark|▁own|s|▁a|▁dog|.|▁The|▁dog|▁is|▁very|▁c|ute|.,"[-8.43586540222168, -0.7719613313674927, -0.0005440423847176135, -5.909218788146973, -1.2280699014663696, -4.275908470153809, -3.738844394683838, -9.62976360321045, -3.7261385917663574, -0.005360396578907967, -0.566601037979126, -0.6613651514053345, -0.758951723575592, -3.4446587562561035, -2.1206841468811035, -1.0529470443725586, -4.07685661315918, -3.341888904571533, -0.0309342909604311, -0.6232510209083557]"
1_dog_negation_affirmative_pref,John doesn't own a dog but Mark owns a dog. The dogs are very cute.,0,▁John|▁doesn|'|t|▁own|▁a|▁dog|▁but|▁Mark|▁own|s|▁a|▁dog|.|▁The|▁dogs|▁are|▁very|▁c|ute|.,"[-8.43586540222168, -0.7719613313674927, -0.0005440423847176135, -5.909218788146973, -1.2280699014663696, -4.275908470153809, -3.738844394683838, -9.62976360321045, -3.7261385917663574, -0.005360396578907967, -0.566601037979126, -0.6613651514053345, -0.758951723575592, -3.4446587562561035, -4.3054327964782715, -1.0117841958999634, -4.125040054321289, -4.703248977661133, -0.025731321424245834, -0.5804899334907532]"
1_dog_negation_affirmative_nonref,John doesn't own a dog but Mark owns a dog. It's not a big deal.,1,▁John|▁doesn|'|t|▁own|▁a|▁dog|▁but|▁Mark|▁own|s|▁a|▁dog|.|▁It|'|s|▁not|▁a|▁big|▁deal|.,"[-8.43586540222168, -0.7719613313674927, -0.0005440423847176135, -5.909218788146973, -1.2280699014663696, -4.275908470153809, -3.738844394683838, -9.62976360321045, -3.7261385917663574, -0.005360396578907967, -0.566601037979126, -0.6613651514053345, -0.758951723575592, -4.566951274871826, -1.269700527191162, -0.0057900091633200645, -2.1738154888153076, -2.2498347759246826, -3.023625135421753, -0.4400295317173004, -1.230395793914795]"
1_dog_negation_negation_sref,John doesn't own a dog and Mark doesn't own a dog either. The dog is very cute.,0,▁John|▁doesn|'|t|▁own|▁a|▁dog|▁and|▁Mark|▁doesn|'|t|▁own|▁a|▁dog|▁either|.|▁The|▁dog|▁is|▁very|▁c|ute|.,"[-8.43586540222168, -0.7719613313674927, -0.0005440423847176135, -5.909218788146973, -1.2280699014663696, -4.275908470153809, -2.9209647178649902, -7.892024993896484, -1.679051399230957, -0.004667577799409628, -0.00036399890086613595, -0.5765773057937622, -0.07522961497306824, -1.657470941543579, -3.1374778747558594, -0.4632461965084076, -3.577021598815918, -3.409616231918335, -1.7306740283966064, -4.031316757202148, -4.224398612976074, -0.07665572315454483, -0.980174720287323]"
