id,sent,expected,tokens,logprobs,critical_token_idx,continuation_prob,type
1_dog_affirmative_negation_sref,John owns a dog but Mark doesn't own a dog. The dog is very cute.,1,John| owns| a| dog| but| Mark| doesn|'t| own| a| dog|.| The| dog| is| very| cute|.,"[-11.053879, -1.0857754, -5.739887, -5.200621, -7.999663, -1.0735235, -0.7012907, -2.729908, -0.23454402, -0.79008245, -1.1688876, -3.9614449, -1.626608, -1.0441517, -3.3830154, -2.2703745, -0.9285258]",11,1.8246537772922194e-06,affirmative_negation_sref
1_dog_affirmative_negation_pref,John owns a dog but Mark doesn't own a dog. The dogs are very cute.,0,John| owns| a| dog| but| Mark| doesn|'t| own| a| dog|.| The| dogs| are| very| cute|.,"[-11.053879, -1.0857754, -5.739887, -5.200621, -7.999663, -1.0735235, -0.7012907, -2.729908, -0.23454402, -0.79008245, -1.1688876, -3.9614449, -5.056243, -1.0883989, -3.4540343, -2.7555218, -0.99390596]",11,3.037794880492883e-08,affirmative_negation_pref
1_dog_affirmative_negation_nonref,John owns a dog but Mark doesn't own a dog. It's not a big deal.,-1,John| owns| a| dog| but| Mark| doesn|'t| own| a| dog|.| It|'s| not| a| big| deal|.,"[-11.053879, -1.0857754, -5.739887, -5.200621, -7.999663, -1.0735235, -0.7012907, -2.729908, -0.23454402, -0.79008245, -1.1688876, -4.3087845, -1.0467176, -2.713572, -2.4510453, -3.0721083, -0.6180967, -1.2856821]",11,1.8628156826666982e-07,affirmative_negation_nonref
1_dog_affirmative_affirmative_sref,John owns a dog and Mark owns a dog too. The dog is very cute.,0,John| owns| a| dog| and| Mark| owns| a| dog| too|.| The| dog| is| very| cute|.,"[-11.053879, -1.0857754, -5.739887, -2.6180654, -10.307045, -1.4433562, -0.13564873, -1.9768871, -3.8224964, -0.6642772, -3.101016, -1.2089483, -2.4666033, -3.5728092, -2.2870185, -0.8782947]",10,1.3509668995358722e-06,affirmative_affirmative_sref
1_dog_affirmative_affirmative_pref,John owns a dog and Mark owns a dog too. The dogs are very cute.,1,John| owns| a| dog| and| Mark| owns| a| dog| too|.| The| dogs| are| very| cute|.,"[-11.053879, -1.0857754, -5.739887, -2.6180654, -10.307045, -1.4433562, -0.13564873, -1.9768871, -3.8224964, -0.6642772, -3.101016, -1.4780761, -0.7011596, -3.5518587, -3.6103623, -0.9240838]",10,1.5666726794138502e-06,affirmative_affirmative_pref
1_dog_affirmative_affirmative_nonref,John owns a dog and Mark owns a dog too. It's not a big deal.,-1,John| owns| a| dog| and| Mark| owns| a| dog| too|.| It|'s| not| a| big| deal|.,"[-11.053879, -1.0857754, -5.739887, -2.6180654, -10.307045, -1.4433562, -0.13564873, -1.9768871, -3.8224964, -0.6642772, -4.4540777, -1.6686487, -2.2524219, -1.938563, -2.88143, -0.32382786, -1.1228259]",10,4.376724401021778e-07,affirmative_affirmative_nonref
1_dog_negation_affirmative_sref,John doesn't own a dog but Mark owns a dog. The dog is very cute.,1,John| doesn|'t| own| a| dog| but| Mark| owns| a| dog|.| The| dog| is| very| cute|.,"[-9.187478, -0.5443634, -5.2641926, -0.84913796, -4.41849, -3.3216748, -9.501773, -2.886689, -1.0316588, -0.9896386, -1.2660124, -3.4787664, -1.0383579, -0.9584265, -3.9536707, -2.1762886, -0.9338132]",11,3.582952775086565e-06,negation_affirmative_sref
1_dog_negation_affirmative_pref,John doesn't own a dog but Mark owns a dog. The dogs are very cute.,0,John| doesn|'t| own| a| dog| but| Mark| owns| a| dog|.| The| dogs| are| very| cute|.,"[-9.187478, -0.5443634, -5.2641926, -0.84913796, -4.41849, -3.3216748, -9.501773, -2.886689, -1.0316588, -0.9896386, -1.2660124, -3.4787664, -4.5468903, -1.1584573, -3.9784708, -2.8319144, -1.005362]",11,4.140512382021233e-08,negation_affirmative_pref
1_dog_negation_affirmative_nonref,John doesn't own a dog but Mark owns a dog. It's not a big deal.,-1,John| doesn|'t| own| a| dog| but| Mark| owns| a| dog|.| It|'s| not| a| big| deal|.,"[-9.187478, -0.5443634, -5.2641926, -0.84913796, -4.41849, -3.3216748, -9.501773, -2.886689, -1.0316588, -0.9896386, -1.2660124, -4.072282, -1.0197079, -2.2893853, -2.2671633, -2.6460495, -1.4591342, -1.3434471]",11,2.775764905834401e-07,negation_affirmative_nonref
1_dog_negation_negation_sref,John doesn't own a dog and Mark doesn't own a dog either. The dog is very cute.,0,John| doesn|'t| own| a| dog| and| Mark| doesn|'t| own| a| dog| either|.| The| dog| is| very| cute|.,"[-9.187478, -0.5443634, -5.2641926, -0.84913796, -4.41849, -3.0943837, -7.7414007, -1.1705737, -0.013113989, -0.6643804, -0.08666359, -2.2531123, -1.3790059, -1.1045982, -3.568322, -2.3616724, -1.7590443, -3.8398504, -2.3608823, -1.0405837]",14,3.279662599038996e-07,negation_negation_sref
